hidden_activation,a3_method,seed,stage,layer,code,count,fraction
identity,absmax,0,initial,0,-1,66,0.0007333333333333333
identity,absmax,0,initial,0,0,77997,0.8666333333333334
identity,absmax,0,initial,0,1,11937,0.13263333333333333
identity,absmax,0,initial,1,-1,46327,0.046327
identity,absmax,0,initial,1,0,899189,0.899189
identity,absmax,0,initial,1,1,54484,0.054484
identity,absmax,0,final,0,-1,66,0.0007333333333333333
identity,absmax,0,final,0,0,77997,0.8666333333333334
identity,absmax,0,final,0,1,11937,0.13263333333333333
identity,absmax,0,final,1,-1,55663,0.055663
identity,absmax,0,final,1,0,886213,0.886213
identity,absmax,0,final,1,1,58124,0.058124
identity,absmax,1,initial,0,-1,66,0.0007333333333333333
identity,absmax,1,initial,0,0,77997,0.8666333333333334
identity,absmax,1,initial,0,1,11937,0.13263333333333333
identity,absmax,1,initial,1,-1,57093,0.057093
identity,absmax,1,initial,1,0,894976,0.894976
identity,absmax,1,initial,1,1,47931,0.047931
identity,absmax,1,final,0,-1,66,0.0007333333333333333
identity,absmax,1,final,0,0,77997,0.8666333333333334
identity,absmax,1,final,0,1,11937,0.13263333333333333
identity,absmax,1,final,1,-1,63059,0.063059
identity,absmax,1,final,1,0,884192,0.884192
identity,absmax,1,final,1,1,52749,0.052749
identity,absmax,2,initial,0,-1,66,0.0007333333333333333
identity,absmax,2,initial,0,0,77997,0.8666333333333334
identity,absmax,2,initial,0,1,11937,0.13263333333333333
identity,absmax,2,initial,1,-1,52054,0.052054
identity,absmax,2,initial,1,0,900091,0.900091
identity,absmax,2,initial,1,1,47855,0.047855
identity,absmax,2,final,0,-1,66,0.0007333333333333333
identity,absmax,2,final,0,0,77997,0.8666333333333334
identity,absmax,2,final,0,1,11937,0.13263333333333333
identity,absmax,2,final,1,-1,58209,0.058209
identity,absmax,2,final,1,0,886684,0.886684
identity,absmax,2,final,1,1,55107,0.055107
identity,mean_threshold,0,initial,0,-1,58804,0.6533777777777777
identity,mean_threshold,0,initial,0,0,9988,0.11097777777777777
identity,mean_threshold,0,initial,0,1,21208,0.23564444444444443
identity,mean_threshold,0,initial,1,-1,344135,0.344135
identity,mean_threshold,0,initial,1,0,297427,0.297427
identity,mean_threshold,0,initial,1,1,358438,0.358438
identity,mean_threshold,0,final,0,-1,58804,0.6533777777777777
identity,mean_threshold,0,final,0,0,9988,0.11097777777777777
identity,mean_threshold,0,final,0,1,21208,0.23564444444444443
identity,mean_threshold,0,final,1,-1,350536,0.350536
identity,mean_threshold,0,final,1,0,304312,0.304312
identity,mean_threshold,0,final,1,1,345152,0.345152
identity,mean_threshold,1,initial,0,-1,58804,0.6533777777777777
identity,mean_threshold,1,initial,0,0,9988,0.11097777777777777
identity,mean_threshold,1,initial,0,1,21208,0.23564444444444443
identity,mean_threshold,1,initial,1,-1,371306,0.371306
identity,mean_threshold,1,initial,1,0,277259,0.277259
identity,mean_threshold,1,initial,1,1,351435,0.351435
identity,mean_threshold,1,final,0,-1,58804,0.6533777777777777
identity,mean_threshold,1,final,0,0,9988,0.11097777777777777
identity,mean_threshold,1,final,0,1,21208,0.23564444444444443
identity,mean_threshold,1,final,1,-1,358825,0.358825
identity,mean_threshold,1,final,1,0,302191,0.302191
identity,mean_threshold,1,final,1,1,338984,0.338984
identity,mean_threshold,2,initial,0,-1,58804,0.6533777777777777
identity,mean_threshold,2,initial,0,0,9988,0.11097777777777777
identity,mean_threshold,2,initial,0,1,21208,0.23564444444444443
identity,mean_threshold,2,initial,1,-1,364356,0.364356
identity,mean_threshold,2,initial,1,0,285098,0.285098
identity,mean_threshold,2,initial,1,1,350546,0.350546
identity,mean_threshold,2,final,0,-1,58804,0.6533777777777777
