hidden_activation,a3_method,seed,stage,layer,values,zero_fraction,mse,relative_squared_error
identity,absmax,0,initial,0,90000,0.8666333333333334,0.24602190665600057,0.4162756440775216
identity,absmax,0,initial,1,1000000,0.899189,0.5007706031982352,0.7231269589584745
identity,absmax,0,final,0,90000,0.8666333333333334,0.24602190665600057,0.4162756440775216
identity,absmax,0,final,1,1000000,0.886213,0.5478367129373887,0.6949144237844871
identity,absmax,1,initial,0,90000,0.8666333333333334,0.24602190665600057,0.4162756440775216
identity,absmax,1,initial,1,1000000,0.894976,0.5017330801460554,0.7110091577227245
identity,absmax,1,final,0,90000,0.8666333333333334,0.24602190665600057,0.4162756440775216
identity,absmax,1,final,1,1000000,0.884192,0.5623782973029492,0.6899196345049197
identity,absmax,2,initial,0,90000,0.8666333333333334,0.24602190665600057,0.4162756440775216
identity,absmax,2,initial,1,1000000,0.900091,0.50347279084383,0.7222648554894164
identity,absmax,2,final,0,90000,0.8666333333333334,0.24602190665600057,0.4162756440775216
identity,absmax,2,final,1,1000000,0.886684,0.5550887313597347,0.6975860484843305
identity,mean_threshold,0,initial,0,90000,0.11097777777777777,0.20353275200104815,0.3443828583467337
identity,mean_threshold,0,initial,1,1000000,0.297427,0.08629060498376284,0.2168080054909244
identity,mean_threshold,0,final,0,90000,0.11097777777777777,0.20353275200104815,0.3443828583467337
identity,mean_threshold,0,final,1,1000000,0.304312,0.09398838441485016,0.22886755474270024
identity,mean_threshold,1,initial,0,90000,0.11097777777777777,0.20353275200104815,0.3443828583467337
identity,mean_threshold,1,initial,1,1000000,0.277259,0.08184886034143399,0.22015108658752075
identity,mean_threshold,1,final,0,90000,0.11097777777777777,0.20353275200104815,0.3443828583467337
identity,mean_threshold,1,final,1,1000000,0.302191,0.09656670589025877,0.2357560009769493
identity,mean_threshold,2,initial,0,90000,0.11097777777777777,0.20353275200104815,0.3443828583467337
identity,mean_threshold,2,initial,1,1000000,0.285098,0.0869403613622938,0.22345727564310122
identity,mean_threshold,2,final,0,90000,0.11097777777777777,0.20353275200104815,0.3443828583467337
identity,mean_threshold,2,final,1,1000000,0.30181,0.09981778655314777,0.2417961995925825
relu,absmax,0,initial,0,90000,0.8666333333333334,0.24602190665600057,0.4162756440775216
relu,absmax,0,initial,1,1000000,0.937929,0.24705680347714765,0.6751291816780368
relu,absmax,0,final,0,90000,0.8666333333333334,0.24602190665600057,0.4162756440775216
relu,absmax,0,final,1,1000000,0.918411,0.3101882633719157,0.6274707980667389
relu,absmax,1,initial,0,90000,0.8666333333333334,0.24602190665600057,0.4162756440775216
relu,absmax,1,initial,1,1000000,0.941617,0.22316447368792916,0.6743253743149121
relu,absmax,1,final,0,90000,0.8666333333333334,0.24602190665600057,0.4162756440775216
relu,absmax,1,final,1,1000000,0.920937,0.288657904009072,0.6257344646728855
relu,absmax,2,initial,0,90000,0.8666333333333334,0.24602190665600057,0.4162756440775216
relu,absmax,2,initial,1,1000000,0.943324,0.23063943681538845,0.6832247600101643
relu,absmax,2,final,0,90000,0.8666333333333334,0.24602190665600057,0.4162756440775216
relu,absmax,2,final,1,1000000,0.920012,0.29566958196983023,0.6292576590058064
relu,mean_threshold,0,initial,0,90000,0.11097777777777777,0.20353275200104815,0.3443828583467337
relu,mean_threshold,0,initial,1,1000000,0.571729,0.05670854400225083,0.27373011875069825
relu,mean_threshold,0,final,0,90000,0.11097777777777777,0.20353275200104815,0.3443828583467337
relu,mean_threshold,0,final,1,1000000,0.56933,0.10176540235336705,0.2762628675963484
relu,mean_threshold,1,initial,0,90000,0.11097777777777777,0.20353275200104815,0.3443828583467337
relu,mean_threshold,1,initial,1,1000000,0.591748,0.04767049503879855,0.2697043106355912
relu,mean_threshold,1,final,0,90000,0.11097777777777777,0.20353275200104815,0.3443828583467337
relu,mean_threshold,1,final,1,1000000,0.566851,0.09638017590339841,0.30854933490870506
relu,mean_threshold,2,initial,0,90000,0.11097777777777777,0.20353275200104815,0.3443828583467337
relu,mean_threshold,2,initial,1,1000000,0.587316,0.048958415002574196,0.2705197120524878
relu,mean_threshold,2,final,0,90000,0.11097777777777777,0.20353275200104815,0.3443828583467337
relu,mean_threshold,2,final,1,1000000,0.564306,0.1006638551710357,0.3077766673240877
