hidden_activation,a3_method,seed,initial_val_accuracy,initial_val_loss,val_accuracy,val_loss,test_accuracy,test_loss,total_fires,zero_difference_count,candidate_pair_count,zero_difference_fraction,train_forward_calls,elapsed_seconds,layer_0_fires,layer_1_fires
identity,absmax,0,0.097,2.61637548828125,0.764,0.8610389404296875,0.7725,0.8113242919921875,10780,162,768000,0.0002109375,1536000,1409.002189528197,9378,1402
identity,absmax,1,0.116,2.65501806640625,0.777,0.835781982421875,0.7771,0.7941920654296875,10802,175,768000,0.00022786458333333334,1536000,1287.6128249168396,9328,1474
identity,absmax,2,0.084,2.725609130859375,0.775,0.842030517578125,0.7799,0.8042476745605469,10816,123,768000,0.00016015625,1536000,1455.2767998762429,9325,1491
identity,mean_threshold,0,0.082,2.420368408203125,0.802,0.79587451171875,0.8288,0.7568772094726562,10939,21,768000,2.734375e-05,1536000,1770.3210273869336,9316,1623
identity,mean_threshold,1,0.081,2.44402734375,0.819,0.7572754516601562,0.8319,0.7318641052246094,10978,13,768000,1.6927083333333333e-05,1536000,1643.6294034458697,9250,1728
identity,mean_threshold,2,0.091,2.44015087890625,0.811,0.7677728271484375,0.8329,0.7352274230957031,10907,15,768000,1.953125e-05,1536000,1827.2688717134297,9256,1651
relu,absmax,0,0.119,2.485982177734375,0.756,0.9154254760742188,0.7692,0.8642888854980468,10533,3523,768000,0.004587239583333333,1536000,1136.9524699375033,9140,1393
relu,absmax,1,0.106,2.49068994140625,0.768,0.9028530883789062,0.7687,0.8738974792480468,10529,4230,768000,0.0055078125,1536000,1407.4046473279595,9104,1425
relu,absmax,2,0.062,2.47408740234375,0.748,0.917718017578125,0.7685,0.8713718505859375,10556,4352,768000,0.005666666666666667,1536000,1419.1583983041346,9107,1449
relu,mean_threshold,0,0.118,2.368676025390625,0.779,1.0104037475585939,0.8052,0.9809342224121094,11021,30,768000,3.90625e-05,1536000,1853.055683489889,9399,1622
relu,mean_threshold,1,0.131,2.376458984375,0.793,1.0370098876953124,0.8035,1.0147352844238282,10978,39,768000,5.078125e-05,1536000,1766.936531420797,9338,1640
relu,mean_threshold,2,0.079,2.349490478515625,0.796,1.026380126953125,0.807,1.0037639770507814,11000,22,768000,2.8645833333333333e-05,1536000,1489.8017388768494,9402,1598
