condition,seed,layer,selected_intervals,count,mean,rms,median,p90,p99,max,zero_fraction
residual,0,0,8359,534976,1.882996650024284,2.3865301680858426,1.5638561248779297,3.9121503829956055,6.393378734588623,14.054695129394531,1.8692427323842565e-06
residual,0,1,8005,512320,1.8585268902227627,2.3571432983030602,1.5445222854614258,3.860372161865235,6.33680908203125,14.054695129394531,1.9519050593379138e-06
residual,0,2,8027,513728,1.8492502706540512,2.346409255084761,1.5351800918579102,3.8457380294799806,6.315220336914059,14.054695129394531,1.9465553756073253e-06
residual,0,3,7910,506240,1.8484607354710738,2.3454512677016672,1.5334100723266602,3.8388862609863295,6.312052650451658,13.6331787109375,1.975347661188369e-06
residual,0,4,7973,510272,1.8392673865863374,2.3335404198429543,1.526545524597168,3.8227916717529298,6.267048664093016,14.054695129394531,1.9597391195284086e-06
residual,0,5,8033,514112,1.8384605950203925,2.332795347040793,1.5262603759765625,3.8191535949707043,6.274304428100588,14.054695129394531,0.0
residual,0,6,8024,513536,1.8360291881373492,2.3302756302568683,1.5235538482666016,3.8152666091918945,6.276439285278321,13.6331787109375,1.9472831505483548e-06
residual,0,7,7879,504256,1.8326413488139173,2.325280118823832,1.5213346481323242,3.8061656951904297,6.251530838012697,13.6331787109375,0.0
residual,0,8,7948,508672,1.831172393300258,2.3236229167826004,1.5195484161376953,3.803532791137696,6.248212070465083,14.054695129394531,0.0
residual,0,9,7834,501376,1.8306409979154938,2.3230972478356393,1.5196523666381836,3.803269386291504,6.250504493713379,14.054695129394531,1.9945111054378352e-06
residual,0,10,7936,507904,1.8334094462296624,2.326404649614731,1.5201282501220703,3.807911491394044,6.258350963592518,14.054695129394531,1.968876008064516e-06
residual,0,11,8024,513536,1.8247104357289203,2.3167353671695117,1.512892723083496,3.7954978942871094,6.238893985748291,13.6331787109375,1.9472831505483548e-06
residual,0,12,7976,510464,1.827976224895421,2.319658819416299,1.516169548034668,3.7996700286865233,6.237883510589599,14.054695129394531,1.959002006018054e-06
residual,0,13,8000,512000,1.8262816376313566,2.317649187592986,1.5154809951782227,3.7962936401367195,6.2284592819213875,12.397018432617188,0.0
residual,0,14,7908,506112,1.8300094232113904,2.3217390451809607,1.5186090469360352,3.8032957077026373,6.237700576782227,13.46575927734375,1.9758472432979262e-06
residual,0,15,1500,96000,1.8193085204958916,2.30786991290168,1.5170221328735352,3.775201034545899,6.214355106353759,12.234428405761719,0.0
residual,2,0,8336,533504,1.8219576557247315,2.3185961268673263,1.5055999755859375,3.7900711059570313,6.315771980285644,12.72811508178711,0.0
residual,2,1,7925,507200,1.7910528673753376,2.2788460430122583,1.481496810913086,3.725520896911622,6.2060308456420925,13.851032257080078,0.0
residual,2,2,8034,514176,1.785132923949661,2.2717572656700775,1.4765777587890625,3.714883804321289,6.187259197235107,13.851032257080078,0.0
residual,2,3,7981,510784,1.7821049787409398,2.2672793162221,1.4726438522338867,3.7036035537719734,6.163499031066892,13.851032257080078,0.0
residual,2,4,7914,506496,1.781366698718791,2.2673890441779165,1.4713077545166016,3.7044477462768555,6.180195903778076,12.72811508178711,0.0
residual,2,5,7851,502464,1.7781669657604813,2.263835047867634,1.4683494567871094,3.7012342453002933,6.176899490356445,13.851032257080078,0.0
residual,2,6,8013,512832,1.7725905962376711,2.2567091918099127,1.4631824493408203,3.6876619338989256,6.139861545562745,12.72811508178711,0.0
residual,2,7,7886,504704,1.7730586049223713,2.2570580660932356,1.4638652801513672,3.6904129028320316,6.16013338088989,12.72811508178711,0.0
residual,2,8,7914,506496,1.774436723955855,2.2591907658808665,1.4636163711547852,3.694337844848633,6.166020774841304,13.851032257080078,0.0
residual,2,9,8067,516288,1.7693988383370467,2.252298896400913,1.4608697891235352,3.682386779785156,6.132820396423341,13.851032257080078,0.0
residual,2,10,7923,507072,1.7724778286103693,2.2567706763629123,1.4626531600952148,3.6966926574707037,6.144105224609366,13.851032257080078,0.0
