condition,seed,count,mean,rms,median,p90,p99,max,zero_fraction,normalized_count,normalized_mean,normalized_rms,normalized_median,normalized_p90,normalized_p99,normalized_max,normalized_zero_fraction
residual,0,768000,1.8382415149398148,2.332655672094953,1.5255889892578125,3.820969200134277,6.272439785003666,14.054695129394531,1.3020833333333333e-06,768000,1.1700843079886176,1.850521786933301,0.9762400664356852,2.3982111230796272,3.8157854210608875,315.3440475463867,1.3020833333333333e-06
residual,2,768000,1.7780974938236176,2.2634841451233836,1.4682998657226562,3.7004796981811516,6.166409149169922,13.851032257080078,0.0,768000,1.172945731503758,2.033857165513239,0.9761292946342608,2.4038658061752987,3.8133938492788926,320.40138244628906,0.0
residual,1,768000,1.8856123237609863,2.3835933934061457,1.5738487243652344,3.9079971313476562,6.331740303039553,14.093744277954102,1.3020833333333333e-06,768000,1.1714314535190324,1.921880015821578,0.976851436266363,2.400406135513928,3.8009679391576303,350.9603500366211,1.3020833333333333e-06
rmsnorm,1,768000,0.06814961621693025,0.08565813712581456,0.057344675064086914,0.14071893692016596,0.2226274085044861,0.4284205436706543,0.0,768000,1.1611603248732418,1.4603622784868593,0.9762017759230204,2.3983860370817514,3.8083946050210526,11.93973308618984,0.0
rmsnorm,2,768000,0.06473493107936035,0.08134083551616518,0.05452084541320801,0.13374640941619872,0.21151121854782112,0.4347679615020752,0.0,768000,1.159661311013911,1.45853846051204,0.9752714873737336,2.3961637382888084,3.801711342853433,11.266827583312988,0.0
rmsnorm,0,768000,0.06861689737563333,0.08617627157691098,0.057767510414123535,0.14170432090759277,0.22352508544921879,0.42668914794921875,0.0,768000,1.1597155237357148,1.458080137989755,0.9749178801224246,2.396455838066972,3.7897322893532595,11.938989162445068,0.0
lloyd,2,768000,0.009660238838133713,0.012187876391167593,0.008080244064331055,0.019995450973510742,0.032168867588043215,0.06358981132507324,1.171875e-05,768000,1.1610542704436195,1.4614512894862344,0.9747071122311814,2.400460931071846,3.822778519189909,7.711071145238038,1.171875e-05
lloyd,0,768000,0.008533365972029666,0.010734405075025572,0.00717473030090332,0.017638206481933594,0.02801466226577759,0.054558753967285156,6.510416666666667e-06,768000,1.1593997992274476,1.4590157988944532,0.9741794494825547,2.3978654679286753,3.813267526364319,7.612874452160212,6.510416666666667e-06
lloyd,1,768000,0.00726744029764086,0.009135877011113996,0.00611567497253418,0.015005826950073242,0.02382708072662354,0.04723787307739258,5.208333333333333e-06,768000,1.1581337185491585,1.4569692647523849,0.9731192879059316,2.392794873588762,3.8088225785605156,7.653967030652879,5.208333333333333e-06
none,0,768000,0.007075706353411078,0.00890823703889093,0.005942583084106445,0.014613652229309076,0.023362879753112797,0.0471036434173584,1.4322916666666666e-05,768000,1.1577911374295966,1.456289680049212,0.9741540881575743,2.3900611160335896,3.804021422328853,7.868108178000533,1.4322916666666666e-05
none,1,768000,0.0068022993846486015,0.008562641454789308,0.0057141780853271484,0.014081716537475586,0.02236510753631593,0.05107378959655762,1.6927083333333333e-05,768000,1.158860147615038,1.4589019088925934,0.9730099397069043,2.3994618462806057,3.8110713355477213,8.808652069978415,1.6927083333333333e-05
none,2,768000,0.007702855505670111,0.009698276685881664,0.006468772888183594,0.01594021320343017,0.025383746623992953,0.04994988441467285,9.114583333333334e-06,768000,1.1592324838402628,1.4589537116401088,0.9743164455543711,2.3996139252210082,3.8117663484730873,7.367895412343492,9.114583333333334e-06
