condition,seed,start_step,end_step,count,mean,rms,median,p90,p99,max,zero_fraction,normalized_mean,clip_rate,nonzero_vote_rate
residual,0,1,500,32000,2.47608222591877,3.1047872779193817,2.089914321899414,5.087421035766602,8.078858489990234,14.054695129394531,0.0,1.4198321235739657,0.49996875,0.739712890625
residual,0,501,1000,32000,2.3781959483623503,2.9804244973581913,2.012615203857422,4.894180679321292,7.64863803863523,12.397018432617188,0.0,1.1526416499517684,0.48821875,0.734173828125
residual,0,1001,1500,32000,2.2919050456285475,2.8722411824435365,1.934295654296875,4.71759948730469,7.388585929870604,11.573543548583984,0.0,1.1563203464687644,0.488875,0.734580078125
residual,0,1501,2000,32000,2.2111614070534706,2.778457229060066,1.8511486053466797,4.574401473999024,7.170014915466302,11.534660339355469,0.0,1.1627025631019359,0.487625,0.734048828125
residual,0,2001,2500,32000,2.121506123006344,2.659015558383801,1.7910041809082031,4.367663955688476,6.871392116546624,12.234428405761719,0.0,1.1550136283672972,0.4884375,0.735333984375
residual,0,2501,3000,32000,2.0332607590556147,2.5603178608018253,1.7040395736694336,4.238100051879883,6.639722290039062,10.769233703613281,0.0,1.1634360850942842,0.4900625,0.732837890625
residual,0,3001,3500,32000,1.9381590532660484,2.428576440761339,1.641535758972168,4.007056999206544,6.255978298187247,9.304098129272461,0.0,1.1541059454547549,0.48890625,0.735263671875
residual,0,3501,4000,32000,1.8794311374425887,2.3591275411891592,1.591207504272461,3.8662853240966797,6.109947776794428,10.741458892822266,0.0,1.157457676441843,0.49171875,0.734537109375
residual,0,4001,4500,32000,1.8281390196681022,2.297496371744087,1.5316028594970703,3.783128356933594,5.959012565612792,10.319644927978516,0.0,1.1636543207771775,0.4893125,0.735314453125
residual,0,4501,5000,32000,1.8295442726016045,2.299284746508472,1.5407743453979492,3.7701457977294925,5.96916032791137,10.833240509033203,0.0,1.160389569152123,0.490625,0.734205078125
residual,0,5001,5500,32000,1.7589414548277855,2.215591254453866,1.472818374633789,3.6491571426391616,5.767946224212639,10.02456283569336,0.0,1.1621139111301835,0.48775,0.733779296875
residual,0,5501,6000,32000,1.737898553133011,2.1865141902781398,1.459665298461914,3.5960798263549805,5.642553157806392,9.094217300415039,0.0,1.166111358314112,0.4913125,0.736697265625
residual,0,6001,6500,32000,1.7287168455123902,2.1749028841508418,1.4627685546875,3.5693473815917978,5.707879962921133,9.216861724853516,0.0,1.161485475111179,0.4904375,0.73416796875
residual,0,6501,7000,32000,1.6736840980052947,2.0986580280916316,1.4116086959838867,3.4502801895141615,5.4453420066833464,8.319175720214844,0.0,1.1597573856548493,0.489625,0.7365078125
residual,0,7001,7500,32000,1.6376072886586188,2.057202769805574,1.38580322265625,3.3776082992553715,5.371831645965574,9.788568496704102,0.0,1.1576301371595747,0.49078125,0.734720703125
residual,0,7501,8000,32000,1.637929097056389,2.0569319445791145,1.3734760284423828,3.3704999923706063,5.370441761016844,8.378362655639648,0.0,1.1599055292269311,0.48765625,0.734701171875
residual,0,8001,8500,32000,1.646207129597664,2.0703991666568844,1.387068748474121,3.3883655548095706,5.406682472229003,10.410860061645508,0.0,1.1564639901794647,0.4870625,0.732927734375
residual,0,8501,9000,32000,1.6403346162438392,2.0650278845554353,1.3741998672485352,3.399392509460452,5.416678638458251,9.654462814331055,0.0,1.164161318583992,0.48878125,0.733255859375
residual,0,9001,9500,32000,1.6176804946660996,2.0330359887657754,1.3652267456054688,3.345558929443361,5.2515174865722605,7.932594299316406,0.0,1.1603596816256603,0.4909375,0.73223046875
residual,0,9501,10000,32000,1.6295738260149957,2.042668180062374,1.3844728469848633,3.33911304473877,5.3300524520874015,8.672113418579102,0.0,1.1523579534625958,0.49025,0.7346484375
residual,0,10001,10500,32000,1.6214478341341019,2.0424592915775266,1.361628532409668,3.351314353942872,5.331568870544434,9.244894027709961,0.0,1.1573980782610747,0.4865,0.732740234375
