condition,stage,layer,seeds,mse_mean,mse_std,relative_squared_error_mean,relative_squared_error_std,cosine_mean_valid_mean,cosine_mean_valid_std,cosine_undefined_examples_mean,cosine_undefined_examples_std,code_-1_fraction_mean,code_-1_fraction_std,code_0_fraction_mean,code_0_fraction_std,code_1_fraction_mean,code_1_fraction_std
residual,initial,0,3,0.20353275200104815,0.0,0.3443828583467337,0.0,0.8199608809768789,0.0,0.0,0.0,0.6533777777777777,0.0,0.11097777777777777,0.0,0.23564444444444443,0.0
residual,initial,1,3,0.08458553171643243,0.004148025461107036,0.21675400681012968,0.004456165439547286,0.8842702949758291,0.0033551696130613602,0.0,0.0,0.36060337552742616,0.023955709858475876,0.3051054852320675,0.010161067337150794,0.3342911392405063,0.03159170352249611
residual,initial,2,3,0.14418429654499632,0.023949237476195283,0.21259231144720242,0.016592788398093798,0.8865812358491314,0.010742734637942316,0.0,0.0,0.35934552845528456,0.020511043489224397,0.3043252032520325,0.005109702737560225,0.33632926829268295,0.015551324516890022
residual,initial,3,3,0.24408564006290973,0.007710969390085661,0.20315928637468877,0.0059334854949459215,0.8923866550862809,0.003382107710351005,0.0,0.0,0.3595,0.01617110173272062,0.30321666666666663,0.0023563190750264026,0.3372833333333333,0.017648000653992885
residual,initial,4,3,0.4714757516077362,0.06425128112570819,0.20550922260053786,0.002372128125884677,0.8914939016325711,0.0014557211492751652,0.0,0.0,0.34173577235772357,0.015859765865533372,0.3085487804878049,0.0022190766123103556,0.34971544715447156,0.01694931263767205
residual,initial,5,3,0.8759218239130154,0.13044670481392018,0.21066602371232476,0.002317356773347658,0.8882157269024049,0.001696543719992055,0.0,0.0,0.3425416666666667,0.02655035702835901,0.3098958333333333,0.002477786730800958,0.3475625,0.024481558748372215
residual,initial,6,3,1.633891177283733,0.3148857464909353,0.21119528640317062,0.007115083939969857,0.8880231368862294,0.003754384899761777,0.0,0.0,0.3355447154471545,0.024557240292089704,0.3093658536585366,0.004784732436137405,0.35508943089430894,0.020333830282949838
residual,initial,7,3,2.8577182988112018,0.46401542904377513,0.21196214036491395,0.0029450729507035428,0.8874170220951904,0.001592547394245966,0.0,0.0,0.33925102880658436,0.024780377595044534,0.3097325102880658,0.0026252015500485334,0.35101646090534977,0.023302973041181785
residual,initial,8,3,4.922588595486568,0.6235141190234185,0.20708760560057093,0.004844707276037383,0.8903535295617886,0.002407591050329564,0.0,0.0,0.347522633744856,0.018593528468786542,0.30702880658436216,0.004022292198144871,0.3454485596707819,0.022442652732860047
residual,initial,9,3,9.410151947105147,1.342582803522162,0.21701938309647395,0.012850014400086188,0.8849033591082625,0.007028386018269084,0.0,0.0,0.35556378600823046,0.02703551868258527,0.3111687242798354,0.005265780651241734,0.33326748971193415,0.02275797370303491
residual,initial,10,3,16.046428179184943,0.6485183134833734,0.21095318438028932,0.005369585782824407,0.8881294091852947,0.0032449362102148533,0.0,0.0,0.34969135802469137,0.024198881922473627,0.30824279835390944,0.0026719578659805815,0.3420658436213992,0.021554814283541123
residual,initial,11,3,28.382235968732246,0.7375148517565879,0.21069151503826214,0.002313828549716356,0.8882795434995946,0.0013914119830253863,0.0,0.0,0.35158024691358025,0.023878563500519603,0.31064609053497944,0.00348964399343758,0.3377736625514403,0.022932411420806462
residual,initial,12,3,51.06146897351045,3.061813265650674,0.21193193430034535,0.005122026713068132,0.8876078522699937,0.0026055135194957375,0.0,0.0,0.3536219512195122,0.018518657087414216,0.31085365853658536,0.0033485992880826383,0.33552439024390246,0.018864253325789476
residual,initial,13,3,90.26706198768836,2.8689158021590755,0.2106431945080549,0.0006166935617805811,0.888257412418805,6.059901394833524e-05,0.0,0.0,0.35758024691358026,0.01719979955434502,0.3094732510288066,0.0012016813231206626,0.33294650205761317,0.01605809988019859
residual,initial,14,3,157.6029670019815,4.644509708634899,0.2091486861591341,0.004196083905064571,0.8886276928788189,0.002021670201655312,0.0,0.0,0.35408943089430894,0.010565265093321964,0.3071341463414634,0.0023232267453717212,0.33877642276422765,0.01019793208247021
residual,initial,15,3,283.99266981126675,19.588316117659172,0.20889818228475546,0.0025700039809319133,0.8891563127084948,0.0010834606345970874,0.0,0.0,0.34453333333333336,0.010848655830716232,0.30802083333333335,0.0014023603614382787,0.34744583333333334,0.011585513134226432
residual,final,0,3,0.20353275200104815,0.0,0.3443828583467337,0.0,0.8199608809768789,0.0,0.0,0.0,0.6533777777777777,0.0,0.11097777777777777,0.0,0.23564444444444443,0.0
residual,final,1,3,0.08079398831074544,0.009152742767236315,0.21484459771749542,0.003969988663090143,0.8859232023548124,0.0021496029518599225,0.0,0.0,0.3566455696202532,0.03083948290968637,0.30366244725738395,0.010322925154331107,0.3396919831223629,0.039128564982041085
residual,final,2,3,0.12166651817971269,0.01353822434390347,0.21599602458653547,0.011239151735622822,0.8850895755526575,0.005492843875366838,0.0,0.0,0.3676341463414634,0.01549269655802068,0.3139878048780488,0.005012595675645062,0.3183780487804878,0.015317709129255314
residual,final,3,3,0.18964209744266575,0.014682529735227287,0.2078254156376596,0.002044071022290158,0.8896348682699315,0.001322086891503629,0.0,0.0,0.36740416666666664,0.02392562150882049,0.30762083333333334,0.001975052741911808,0.324975,0.023453974210141875
residual,final,4,3,0.3144782829509709,0.028703307258958023,0.20466091046099474,0.00186799684689134,0.8917719916391709,0.00183644210985785,0.0,0.0,0.34865040650406504,0.018460290410243736,0.3046138211382114,0.0022312852237560622,0.34673577235772357,0.020602716842804455
residual,final,5,3,0.5536694285260727,0.034506820659240905,0.210534599116865,0.0021160885986005527,0.8885323380169433,0.0009594026554351935,0.0,0.0,0.34500833333333336,0.001528905518118542,0.30899583333333336,0.0017978430363447422,0.34599583333333334,0.0018547798611515368
residual,final,6,3,0.9194201175633776,0.040598918427306084,0.21130812894927353,0.0022816674605577484,0.8880385270498369,0.0012492450295751413,0.0,0.0,0.3427479674796748,0.014883317406465991,0.31071138211382116,0.0019232110723661378,0.34654065040650406,0.013019035697842025
