condition,seed,checkpoint_stage,layer,stage,values,examples,features,mean,std,rms,zero_fraction,negative_fraction,max_abs,nonfinite_count,dead_features,dead_feature_fraction
residual,0,initial,0,input,90000,1000,90,-0.24865594502025182,0.5706528477563928,0.6224744586297459,0.11097777777777777,0.6533777777777777,1.9996788501739502,0,0,0.0
residual,0,initial,0,output,79000,1000,79,-0.028095396617204407,0.6438380603776636,0.6444507733736923,0.0,0.5186962025316456,3.760883092880249,0,0,0.0
residual,0,initial,0,pre_activation,79000,1000,79,-0.028095396617204407,0.6438380603776636,0.6444507733736923,0.0,0.5186962025316456,3.760883092880249,0,0,0.0
residual,0,initial,0,pre_quantization,90000,1000,90,0.018114338403025208,0.7685564910431445,0.7687699325418043,0.0,0.7199444444444445,2.821486711502075,0,0,0.0
residual,0,initial,1,branch_shortcut_rms_ratio,1000,1000,1,0.8808254730701447,0.05859950120381235,0.8827725729487634,0.0,0.0,1.0562560558319092,0,0,0.0
residual,0,initial,1,input,79000,1000,79,-0.025980684464113623,0.5706943169435416,0.5712853922138036,0.3139367088607595,0.36063291139240505,1.1842705011367798,0,0,0.0
residual,0,initial,1,output,82000,1000,82,-0.03924953980782113,0.8008723567882474,0.8018335601873293,0.0,0.5151341463414634,5.005279064178467,0,0,0.0
residual,0,initial,1,pre_activation,82000,1000,82,-0.03924953980782113,0.8008723567882474,0.8018335601873293,0.0,0.5151341463414634,5.005279064178467,0,0,0.0
residual,0,initial,1,pre_quantization,79000,1000,79,-0.028095396617204407,0.6438380603776636,0.6444507733736923,0.0,0.5186962025316456,3.760883092880249,0,0,0.0
residual,0,initial,1,residual_branch,82000,1000,82,-0.012182023488715709,0.5597733659179387,0.5599059053871267,0.0,0.5078658536585365,3.4677584171295166,0,0,0.0
residual,0,initial,1,shortcut,82000,1000,82,-0.027067516253160343,0.6319728093978432,0.6325521972567305,0.036585365853658534,0.49971951219512195,3.760883092880249,0,3,0.036585365853658534
residual,0,initial,2,branch_shortcut_rms_ratio,1000,1000,1,0.9073369771242141,0.06627096618000083,0.90975393981853,0.0,0.0,1.0894358158111572,0,0,0.0
residual,0,initial,2,input,82000,1000,82,-0.029157446382249274,0.7147657373152994,0.7153602001225796,0.30473170731707316,0.3626951219512195,1.683687686920166,0,0,0.0
residual,0,initial,2,output,80000,1000,80,-0.0657786500524045,1.0823945359278917,1.0843914248136015,0.0,0.5198625,6.473938465118408,0,0,0.0
residual,0,initial,2,pre_activation,80000,1000,80,-0.0657786500524045,1.0823945359278917,1.0843914248136015,0.0,0.5198625,6.473938465118408,0,0,0.0
residual,0,initial,2,pre_quantization,82000,1000,82,-0.03924953980782113,0.8008723567882474,0.8018335601873293,0.0,0.5151341463414634,5.005279064178467,0,0,0.0
residual,0,initial,2,residual_branch,80000,1000,80,-0.026081404744176865,0.732540954628849,0.7330051090422052,0.0,0.518625,4.782109260559082,0,0,0.0
residual,0,initial,2,shortcut,80000,1000,80,-0.03969724540782906,0.8066519857753123,0.8076281925788772,0.0,0.5150125,5.005279064178467,0,0,0.0
residual,0,initial,3,branch_shortcut_rms_ratio,1000,1000,1,0.8903947142958641,0.06696417859041542,0.8929092610452097,0.0,0.0,1.094813585281372,0,0,0.0
residual,0,initial,3,input,80000,1000,80,-0.044457134462147954,0.9687938480807377,0.9698133618813822,0.3018625,0.36725,2.4526562690734863,0,0,0.0
residual,0,initial,3,output,82000,1000,82,-0.06259122913942353,1.3810370731963084,1.3824547224078658,0.0,0.5108780487804878,8.932695388793945,0,0,0.0
residual,0,initial,3,pre_activation,82000,1000,82,-0.06259122913942353,1.3810370731963084,1.3824547224078658,0.0,0.5108780487804878,8.932695388793945,0,0,0.0
residual,0,initial,3,pre_quantization,80000,1000,80,-0.0657786500524045,1.0823945359278917,1.0843914248136015,0.0,0.5198625,6.473938465118408,0,0,0.0
residual,0,initial,3,residual_branch,82000,1000,82,0.0015830635401102202,0.9539096814217682,0.9539109950096767,0.0,0.507060975609756,5.709345817565918,0,0,0.0
residual,0,initial,3,shortcut,82000,1000,82,-0.06417429273405316,1.0691612686611094,1.0710855046414123,0.024390243902439025,0.5071829268292682,6.473938465118408,0,2,0.024390243902439025
