checkpoint_stage,layer,stage,values,examples,features,mean,std,rms,zero_fraction,negative_fraction,max_abs,nonfinite_count,dead_features,dead_feature_fraction
initial,0,input,90000,1000,90,0.07408712807794413,0.6607627774775384,0.664903264126947,0.4970888888888889,0.3023888888888889,2.484405755996704,0,0,0.0
initial,0,lloyd_beta,1000,1000,1,1.181869717091322,0.5659814702332936,1.3104011037941634,0.0,0.0,2.484405755996704,0,0,0.0
initial,0,lloyd_iterations,1000,1000,1,2.314,0.7206968849662109,2.4236336356801123,0.0,0.0,5.0,0,0,0.0
initial,0,lloyd_threshold,1000,1000,1,0.5908626827448606,0.28292391312782833,0.6551065947462419,0.0,0.0,1.242202877998352,0,0,0.0
initial,0,lloyd_threshold_sigma,1000,1000,1,0.7600002300143242,0.2643202873465675,0.804652449151059,0.0,0.0,1.4049358367919922,0,0,0.0
initial,0,lloyd_unconverged,1000,1000,1,0.001,0.03160696125855822,0.03162277660168379,0.999,0.0,1.0,0,0,0.0
initial,0,output,79000,1000,79,-0.03465622850986095,0.6597044218433147,0.6606140918676726,0.0,0.5145443037974684,4.086699962615967,0,0,0.0
initial,0,pre_activation,79000,1000,79,-0.03465622850986095,0.6597044218433147,0.6606140918676726,0.0,0.5145443037974684,4.086699962615967,0,0,0.0
initial,0,pre_quantization,90000,1000,90,0.018114338403025208,0.7685564910431445,0.7687699325418043,0.0,0.7199444444444445,2.821486711502075,0,0,0.0
initial,1,input,79000,1000,79,-0.02335901329977603,0.594936898083911,0.5953952940728077,0.4525063291139241,0.2878607594936709,1.5250415802001953,0,0,0.0
initial,1,lloyd_beta,1000,1000,1,0.7939439743459225,0.17793985347708624,0.8136397395995636,0.0,0.0,1.5250415802001953,0,0,0.0
initial,1,lloyd_iterations,1000,1000,1,1.035,0.1994367067517916,1.0540398474441086,0.0,0.0,3.0,0,0,0.0
initial,1,lloyd_threshold,1000,1000,1,0.3969719871729612,0.08896992673854312,0.4068198697997818,0.0,0.0,0.7625207901000977,0,0,0.0
initial,1,lloyd_threshold_sigma,1000,1000,1,0.6154883397221566,0.03844944671458505,0.616688135354163,0.0,0.0,0.7188981175422668,0,0,0.0
initial,1,lloyd_unconverged,1000,1000,1,0.0,0.0,0.0,1.0,0.0,0.0,0,1,1.0
initial,1,output,82000,1000,82,-0.0431750057387484,0.589392375482074,0.5909716180976402,0.0,0.5293780487804878,4.412991046905518,0,0,0.0
initial,1,pre_activation,82000,1000,82,-0.0431750057387484,0.589392375482074,0.5909716180976402,0.0,0.5293780487804878,4.412991046905518,0,0,0.0
initial,1,pre_quantization,79000,1000,79,-0.03465622850986095,0.6597044218433147,0.6606140918676726,0.0,0.5145443037974684,4.086699962615967,0,0,0.0
initial,2,input,82000,1000,82,-0.03810587558150291,0.5306424568424563,0.5320089047728722,0.4463536585365854,0.30097560975609755,1.5669318437576294,0,0,0.0
initial,2,lloyd_beta,1000,1000,1,0.7013148587048054,0.1736714979771383,0.7224986645314746,0.0,0.0,1.5669318437576294,0,0,0.0
initial,2,lloyd_iterations,1000,1000,1,1.024,0.1530490117576723,1.0353743284435828,0.0,0.0,2.0,0,0,0.0
initial,2,lloyd_threshold,1000,1000,1,0.3506574293524027,0.08683574898856915,0.3612493322657373,0.0,0.0,0.7834659218788147,0,0,0.0
initial,2,lloyd_threshold_sigma,1000,1000,1,0.6136255253553391,0.035605527341312476,0.6146576599578573,0.0,0.0,0.7458309531211853,0,0,0.0
initial,2,lloyd_unconverged,1000,1000,1,0.0,0.0,0.0,1.0,0.0,0.0,0,1,1.0
initial,2,output,80000,1000,80,-0.014469717189343295,0.5174064425713646,0.5176087320842785,0.0,0.5054625,2.9669947624206543,0,0,0.0
initial,2,pre_activation,80000,1000,80,-0.014469717189343295,0.5174064425713646,0.5176087320842785,0.0,0.5054625,2.9669947624206543,0,0,0.0
initial,2,pre_quantization,82000,1000,82,-0.0431750057387484,0.589392375482074,0.5909716180976402,0.0,0.5293780487804878,4.412991046905518,0,0,0.0
initial,3,input,80000,1000,80,-0.011248097214475275,0.4665443835786073,0.46667995622234404,0.4543375,0.2770625,1.414764165878296,0,0,0.0
initial,3,lloyd_beta,1000,1000,1,0.6146410353481769,0.16635336035466441,0.6367550885820762,0.0,0.0,1.414764165878296,0,0,0.0
initial,3,lloyd_iterations,1000,1000,1,1.017,0.129271033104869,1.0251829105091441,0.0,0.0,2.0,0,0,0.0
initial,3,lloyd_threshold,1000,1000,1,0.30732051767408847,0.08317668017733221,0.3183775442910381,0.0,0.0,0.707382082939148,0,0,0.0
initial,3,lloyd_threshold_sigma,1000,1000,1,0.6162782203555107,0.03463101064311515,0.6172504773450718,0.0,0.0,0.747848391532898,0,0,0.0
initial,3,lloyd_unconverged,1000,1000,1,0.0,0.0,0.0,1.0,0.0,0.0,0,1,1.0
