stage,layer,values,zero_fraction,mse,relative_squared_error,cosine_mean_valid,cosine_valid_examples,cosine_undefined_examples,code_-1_fraction,code_0_fraction,code_1_fraction
initial,0,90000,0.4970888888888889,0.14891085450358912,0.2519611473269743,0.8601227175210698,1000,0,0.3023888888888889,0.4970888888888889,0.2005222222222222
initial,1,79000,0.46462025316455696,0.08866033368795617,0.18893105104220856,0.8993079519354459,1000,0,0.26567088607594935,0.46462025316455696,0.2697088607594937
initial,2,82000,0.46076829268292685,0.07994977830163437,0.19170939129800127,0.8982897514071303,1000,0,0.27220731707317075,0.46076829268292685,0.26702439024390245
initial,3,80000,0.442275,0.054980662000877215,0.17910054395770475,0.9052399257243423,1000,0,0.2597625,0.442275,0.2979625
initial,4,82000,0.45190243902439026,0.04585210296874836,0.18397894709277868,0.9027107034232948,1000,0,0.2559878048780488,0.45190243902439026,0.29210975609756096
initial,5,80000,0.451175,0.03861212075285745,0.1805832250020716,0.9037406146023605,1000,0,0.268375,0.451175,0.28045
initial,6,82000,0.44864634146341464,0.031343276082494965,0.1832603332988029,0.9029069112537452,1000,0,0.26009756097560977,0.44864634146341464,0.2912560975609756
initial,7,81000,0.4521604938271605,0.02488297281238946,0.18433178577140527,0.9029698181520728,1000,0,0.2651728395061728,0.4521604938271605,0.2826666666666667
initial,8,81000,0.45224691358024693,0.019882099713445234,0.18308754468471458,0.9033902861934593,1000,0,0.2764691358024691,0.45224691358024693,0.27128395061728394
initial,9,81000,0.4494814814814815,0.016264470996494848,0.1808941979905252,0.9041601509523732,1000,0,0.26550617283950617,0.4494814814814815,0.28501234567901235
initial,10,81000,0.44693827160493826,0.013745621804944104,0.18061423884743033,0.9044842693451376,1000,0,0.27853086419753087,0.44693827160493826,0.27453086419753087
initial,11,81000,0.4493086419753086,0.011258284729351259,0.18269371894739536,0.9037175599646076,1000,0,0.2801111111111111,0.4493086419753086,0.27058024691358024
initial,12,82000,0.4527439024390244,0.009315830927851619,0.18627045415388696,0.9029459245616831,1000,0,0.26147560975609757,0.4527439024390244,0.285780487804878
initial,13,81000,0.44379012345679014,0.00696997164358279,0.18267032619658427,0.9044960460400755,1000,0,0.2709012345679012,0.44379012345679014,0.28530864197530864
initial,14,82000,0.45128048780487806,0.005918099211520319,0.18456201422343604,0.9031258517897616,1000,0,0.2785975609756098,0.45128048780487806,0.2701219512195122
initial,15,80000,0.4505,0.005017791298026974,0.1845274589185213,0.9032044453135109,1000,0,0.2747125,0.4505,0.2747875
final,0,90000,0.4970888888888889,0.14891085450358912,0.2519611473269743,0.8601227175210698,1000,0,0.3023888888888889,0.4970888888888889,0.2005222222222222
final,1,79000,0.4662911392405063,0.08934766057480518,0.1856467619726587,0.9004502324919594,1000,0,0.26346835443037975,0.4662911392405063,0.27024050632911395
final,2,82000,0.4550609756097561,0.07328914361488076,0.1871011641475888,0.90169368749228,1000,0,0.27870731707317076,0.4550609756097561,0.2662317073170732
final,3,80000,0.447025,0.056055419255076004,0.1776372501131659,0.9061678895176299,1000,0,0.2548875,0.447025,0.2980875
final,4,82000,0.44595121951219513,0.04897700162412131,0.18196288342400466,0.9049960220172735,1000,0,0.24808536585365853,0.44595121951219513,0.30596341463414634
final,5,80000,0.447425,0.046966723758877026,0.18234762439424113,0.9038248338899091,1000,0,0.2554375,0.447425,0.2971375
final,6,82000,0.44853658536585367,0.03851444545922368,0.1886651963197925,0.9006061762775079,1000,0,0.25709756097560976,0.44853658536585367,0.29436585365853657
final,7,81000,0.44958024691358023,0.03062931950296405,0.18445315394715434,0.9029912955029851,1000,0,0.2630493827160494,0.44958024691358023,0.2873703703703704
final,8,81000,0.450641975308642,0.025093153855412255,0.1817377923714751,0.9039826203394393,1000,0,0.2778888888888889,0.450641975308642,0.2714691358024691
final,9,81000,0.45108641975308644,0.02212201251703962,0.18373396956395463,0.9035759729129008,1000,0,0.271641975308642,0.45108641975308644,0.27727160493827163
final,10,81000,0.4537777777777778,0.018790705539413383,0.18226811054897366,0.9038938405150476,1000,0,0.2639012345679012,0.4537777777777778,0.282320987654321
final,11,81000,0.4503086419753086,0.015569263217722597,0.18186559490665982,0.9038100892228568,1000,0,0.2761111111111111,0.4503086419753086,0.27358024691358024
final,12,82000,0.44997560975609757,0.013011540629329132,0.182037248249181,0.9042005353019552,1000,0,0.27663414634146344,0.44997560975609757,0.27339024390243905
final,13,81000,0.4484074074074074,0.01035900373179332,0.18097780461432267,0.9044566432941191,1000,0,0.27382716049382716,0.4484074074074074,0.2777654320987654
final,14,82000,0.4468780487804878,0.008936603454656952,0.18099240309620063,0.9044829915919473,1000,0,0.27846341463414637,0.4468780487804878,0.2746585365853659
final,15,80000,0.449975,0.008287860001387324,0.1855268165522594,0.9018974411801765,1000,0,0.2718625,0.449975,0.2781625
