stage,layer,pair,perturbed_coordinates,loss_plus,loss_minus,abs_y
initial,0,0,16,2.321619749069214,2.3232014179229736,0.0015816688537597656
initial,0,1,16,2.331488609313965,2.3167715072631836,0.01471710205078125
initial,0,2,16,2.3224844932556152,2.305635452270508,0.016849040985107422
initial,0,3,16,2.3230159282684326,2.3228249549865723,0.00019097328186035156
initial,0,4,16,2.3208723068237305,2.32269549369812,0.0018231868743896484
initial,0,5,16,2.330962657928467,2.3088793754577637,0.022083282470703125
initial,0,6,16,2.320500135421753,2.3199942111968994,0.0005059242248535156
initial,0,7,16,2.308748722076416,2.3140180110931396,0.005269289016723633
initial,0,8,16,2.300313949584961,2.306597948074341,0.006283998489379883
initial,0,9,16,2.312108039855957,2.3082456588745117,0.0038623809814453125
initial,0,10,16,2.316783905029297,2.28804349899292,0.028740406036376953
initial,0,11,16,2.3014135360717773,2.3140852451324463,0.012671709060668945
initial,0,12,16,2.313415288925171,2.3129799365997314,0.0004353523254394531
initial,0,13,16,2.306105852127075,2.3165132999420166,0.010407447814941406
initial,0,14,16,2.326151132583618,2.3230371475219727,0.003113985061645508
initial,0,15,16,2.322352170944214,2.323676586151123,0.0013244152069091797
initial,0,16,16,2.3227407932281494,2.333876132965088,0.011135339736938477
initial,0,17,16,2.318372964859009,2.3405096530914307,0.022136688232421875
initial,0,18,16,2.29929256439209,2.305269479751587,0.00597691535949707
initial,0,19,16,2.318652868270874,2.309539794921875,0.009113073348999023
initial,0,20,16,2.3139100074768066,2.3128726482391357,0.0010373592376708984
initial,0,21,16,2.3128957748413086,2.3114116191864014,0.0014841556549072266
initial,0,22,16,2.3046252727508545,2.2951676845550537,0.009457588195800781
initial,0,23,16,2.297088861465454,2.2968435287475586,0.0002453327178955078
initial,0,24,16,2.311133861541748,2.3351197242736816,0.023985862731933594
initial,0,25,16,2.3079662322998047,2.309743881225586,0.00177764892578125
initial,0,26,16,2.3054680824279785,2.3067333698272705,0.0012652873992919922
initial,0,27,16,2.297498941421509,2.311836004257202,0.01433706283569336
initial,0,28,16,2.296889305114746,2.305311918258667,0.008422613143920898
initial,0,29,16,2.3264007568359375,2.310861587524414,0.015539169311523438
initial,0,30,16,2.2972378730773926,2.3055481910705566,0.008310317993164062
initial,0,31,16,2.292234182357788,2.316767454147339,0.02453327178955078
initial,0,32,16,2.3271994590759277,2.32025408744812,0.006945371627807617
initial,0,33,16,2.3193376064300537,2.318845510482788,0.000492095947265625
initial,0,34,16,2.306563377380371,2.3027002811431885,0.003863096237182617
initial,0,35,16,2.3074545860290527,2.3362784385681152,0.0288238525390625
initial,0,36,16,2.307530164718628,2.3126587867736816,0.005128622055053711
initial,0,37,16,2.3214094638824463,2.3312277793884277,0.009818315505981445
initial,0,38,16,2.3028266429901123,2.3064513206481934,0.0036246776580810547
initial,0,39,16,2.3217291831970215,2.323361873626709,0.0016326904296875
initial,0,40,16,2.3135592937469482,2.3031654357910156,0.010393857955932617
initial,0,41,16,2.304152250289917,2.2990033626556396,0.005148887634277344
initial,0,42,16,2.307539224624634,2.3123884201049805,0.00484919548034668
initial,0,43,16,2.308586597442627,2.316347122192383,0.007760524749755859
initial,0,44,16,2.3209452629089355,2.3260560035705566,0.005110740661621094
initial,0,45,16,2.3205909729003906,2.31687331199646,0.003717660903930664
initial,0,46,16,2.2990384101867676,2.3160879611968994,0.017049551010131836
initial,0,47,16,2.2986416816711426,2.2838566303253174,0.014785051345825195
initial,0,48,16,2.2987332344055176,2.311141014099121,0.012407779693603516
initial,0,49,16,2.292577028274536,2.3010268211364746,0.008449792861938477
initial,0,50,16,2.3179562091827393,2.3218045234680176,0.0038483142852783203
initial,0,51,16,2.316511392593384,2.3233416080474854,0.0068302154541015625
initial,0,52,16,2.310887575149536,2.309450387954712,0.0014371871948242188
initial,0,53,16,2.3174798488616943,2.300365924835205,0.017113924026489258
initial,0,54,16,2.341456890106201,2.320284128189087,0.021172761917114258
initial,0,55,16,2.307607889175415,2.289699077606201,0.017908811569213867
initial,0,56,16,2.318108320236206,2.3199071884155273,0.001798868179321289
initial,0,57,16,2.3249423503875732,2.339233636856079,0.01429128646850586
initial,0,58,16,2.311490535736084,2.3240654468536377,0.012574911117553711
initial,0,59,16,2.2869908809661865,2.2980241775512695,0.011033296585083008
initial,0,60,16,2.3352744579315186,2.3241188526153564,0.01115560531616211
initial,0,61,16,2.3063876628875732,2.304016351699829,0.0023713111877441406
initial,0,62,16,2.32476806640625,2.3182573318481445,0.006510734558105469
initial,0,63,16,2.3039724826812744,2.322624683380127,0.01865220069885254
final,0,0,16,2.2580313682556152,2.2621445655822754,0.004113197326660156
final,0,1,16,2.217442750930786,2.2265679836273193,0.009125232696533203
final,0,2,16,2.2400617599487305,2.2247352600097656,0.015326499938964844
final,0,3,16,2.275301218032837,2.2531960010528564,0.02210521697998047
final,0,4,16,2.2420527935028076,2.2295122146606445,0.012540578842163086
final,0,5,16,2.2380080223083496,2.229334592819214,0.008673429489135742
final,0,6,16,2.273895740509033,2.2678072452545166,0.0060884952545166016
final,0,7,16,2.2363014221191406,2.2477777004241943,0.011476278305053711
final,0,8,16,2.254511594772339,2.253227710723877,0.001283884048461914
final,0,9,16,2.258272409439087,2.2402989864349365,0.01797342300415039
final,0,10,16,2.2761404514312744,2.28709077835083,0.010950326919555664
final,0,11,16,2.264195680618286,2.2478256225585938,0.016370058059692383
final,0,12,16,2.226762533187866,2.261549949645996,0.03478741645812988
final,0,13,16,2.2570364475250244,2.268456220626831,0.01141977310180664
final,0,14,16,2.2521755695343018,2.2719461917877197,0.01977062225341797
final,0,15,16,2.219982862472534,2.256190776824951,0.03620791435241699
final,0,16,16,2.2591564655303955,2.2664668560028076,0.007310390472412109
final,0,17,16,2.2448244094848633,2.2202720642089844,0.024552345275878906
final,0,18,16,2.282589912414551,2.2685327529907227,0.014057159423828125
final,0,19,16,2.280007839202881,2.2796905040740967,0.0003173351287841797
final,0,20,16,2.242753028869629,2.25284481048584,0.010091781616210938
final,0,21,16,2.23913311958313,2.2711172103881836,0.03198409080505371
final,0,22,16,2.2494101524353027,2.257929563522339,0.008519411087036133
final,0,23,16,2.2567620277404785,2.2492408752441406,0.007521152496337891
