checkpoint_stage,layer,stage,values,examples,features,mean,std,rms,zero_fraction,negative_fraction,max_abs,nonfinite_count,dead_features,dead_feature_fraction
initial,0,input,90000,1000,90,-0.24865594502025182,0.5706528477563928,0.6224744586297459,0.11097777777777777,0.6533777777777777,1.9996788501739502,0,0,0.0
initial,0,output,79000,1000,79,-0.028095396617204407,0.6438380603776636,0.6444507733736923,0.0,0.5186962025316456,3.760883092880249,0,0,0.0
initial,0,pre_activation,79000,1000,79,-0.028095396617204407,0.6438380603776636,0.6444507733736923,0.0,0.5186962025316456,3.760883092880249,0,0,0.0
initial,0,pre_quantization,90000,1000,90,0.018114338403025208,0.7685564910431445,0.7687699325418043,0.0,0.7199444444444445,2.821486711502075,0,0,0.0
initial,1,input,79000,1000,79,-0.025980684464113623,0.5706943169435416,0.5712853922138036,0.3139367088607595,0.36063291139240505,1.1842705011367798,0,0,0.0
initial,1,output,82000,1000,82,-0.012182023488715709,0.5597733659179387,0.5599059053871267,0.0,0.5078658536585365,3.4677584171295166,0,0,0.0
initial,1,pre_activation,82000,1000,82,-0.012182023488715709,0.5597733659179387,0.5599059053871267,0.0,0.5078658536585365,3.4677584171295166,0,0,0.0
initial,1,pre_quantization,79000,1000,79,-0.028095396617204407,0.6438380603776636,0.6444507733736923,0.0,0.5186962025316456,3.760883092880249,0,0,0.0
initial,2,input,82000,1000,82,-0.010788378878701025,0.4978560352637078,0.4979729118810869,0.3246707317073171,0.3453292682926829,1.145137071609497,0,0,0.0
initial,2,output,80000,1000,80,0.020940503733757172,0.47702688796498477,0.4774862893719375,0.0,0.48035,3.0768630504608154,0,0,0.0
initial,2,pre_activation,80000,1000,80,0.020940503733757172,0.47702688796498477,0.4774862893719375,0.0,0.48035,3.0768630504608154,0,0,0.0
initial,2,pre_quantization,82000,1000,82,-0.012182023488715709,0.5597733659179387,0.5599059053871267,0.0,0.5078658536585365,3.4677584171295166,0,0,0.0
initial,3,input,80000,1000,80,0.015673885420709847,0.42322989447475795,0.42352002817021095,0.327725,0.3185875,1.055283784866333,0,0,0.0
initial,3,output,82000,1000,82,0.021257179468185002,0.41824325215609615,0.41878310096403176,0.0,0.4795853658536585,2.5922884941101074,0,0,0.0
initial,3,pre_activation,82000,1000,82,0.021257179468185002,0.41824325215609615,0.41878310096403176,0.0,0.4795853658536585,2.5922884941101074,0,0,0.0
initial,3,pre_quantization,80000,1000,80,0.020940503733757172,0.47702688796498477,0.4774862893719375,0.0,0.48035,3.0768630504608154,0,0,0.0
initial,4,input,82000,1000,82,0.016502799954356218,0.37302286441549737,0.3733877338412124,0.32195121951219513,0.31835365853658537,0.8981236815452576,0,0,0.0
initial,4,output,80000,1000,80,-0.014582592865985237,0.3584331241916373,0.35872964267324325,0.0,0.514575,2.3079609870910645,0,0,0.0
initial,4,pre_activation,80000,1000,80,-0.014582592865985237,0.3584331241916373,0.35872964267324325,0.0,0.514575,2.3079609870910645,0,0,0.0
initial,4,pre_quantization,82000,1000,82,0.021257179468185002,0.41824325215609615,0.41878310096403176,0.0,0.4795853658536585,2.5922884941101074,0,0,0.0
initial,5,input,80000,1000,80,-0.011784502808749675,0.3198308196609532,0.320047852221268,0.3229,0.3512625,0.8406188488006592,0,0,0.0
initial,5,output,82000,1000,82,0.007364902632851762,0.3200712656582361,0.3201559883726315,0.0,0.4928780487804878,1.9805176258087158,0,0,0.0
initial,5,pre_activation,82000,1000,82,0.007364902632851762,0.3200712656582361,0.3201559883726315,0.0,0.4928780487804878,1.9805176258087158,0,0,0.0
initial,5,pre_quantization,80000,1000,80,-0.014582592865985237,0.3584331241916373,0.35872964267324325,0.0,0.514575,2.3079609870910645,0,0,0.0
initial,6,input,82000,1000,82,0.006416282033229747,0.2858394961136933,0.28591150066700716,0.31602439024390244,0.3344878048780488,0.7464167475700378,0,0,0.0
initial,6,output,81000,1000,81,-0.006332026179812389,0.2792549082048995,0.27932668743259864,0.0,0.5112839506172839,2.0418922901153564,0,0,0.0
initial,6,pre_activation,81000,1000,81,-0.006332026179812389,0.2792549082048995,0.27932668743259864,0.0,0.5112839506172839,2.0418922901153564,0,0,0.0
initial,6,pre_quantization,82000,1000,82,0.007364902632851762,0.3200712656582361,0.3201559883726315,0.0,0.4928780487804878,1.9805176258087158,0,0,0.0
initial,7,input,81000,1000,81,-0.0059700771781765385,0.24943200811435168,0.2495034438509244,0.3145802469135802,0.3544814814814815,0.6514610052108765,0,0,0.0
initial,7,output,81000,1000,81,-0.003820456302226271,0.25351742367133323,0.2535462087890637,0.0,0.5056049382716049,1.7881803512573242,0,0,0.0
initial,7,pre_activation,81000,1000,81,-0.003820456302226271,0.25351742367133323,0.2535462087890637,0.0,0.5056049382716049,1.7881803512573242,0,0,0.0
initial,7,pre_quantization,81000,1000,81,-0.006332026179812389,0.2792549082048995,0.27932668743259864,0.0,0.5112839506172839,2.0418922901153564,0,0,0.0
initial,8,input,81000,1000,81,-0.002327532093466064,0.22547802018032967,0.22549003301717632,0.31541975308641973,0.3455925925925926,0.654022216796875,0,0,0.0
initial,8,output,81000,1000,81,0.0016380785241360304,0.23085582128611437,0.2308616328516664,0.0,0.49593827160493825,1.5288180112838745,0,0,0.0
initial,8,pre_activation,81000,1000,81,0.0016380785241360304,0.23085582128611437,0.2308616328516664,0.0,0.49593827160493825,1.5288180112838745,0,0,0.0
initial,8,pre_quantization,81000,1000,81,-0.003820456302226271,0.25351742367133323,0.2535462087890637,0.0,0.5056049382716049,1.7881803512573242,0,0,0.0
initial,9,input,81000,1000,81,0.0008044347298550017,0.20561052993420423,0.20561210357140675,0.3092469135802469,0.3441975308641975,0.5791704654693604,0,0,0.0
initial,9,output,81000,1000,81,-0.0010683562204807505,0.21203806119262195,0.21204075263811892,0.0,0.4977283950617284,1.4376323223114014,0,0,0.0
initial,9,pre_activation,81000,1000,81,-0.0010683562204807505,0.21203806119262195,0.21204075263811892,0.0,0.4977283950617284,1.4376323223114014,0,0,0.0
initial,9,pre_quantization,81000,1000,81,0.0016380785241360304,0.23085582128611437,0.2308616328516664,0.0,0.49593827160493825,1.5288180112838745,0,0,0.0
initial,10,input,81000,1000,81,0.0005762285582813216,0.18895979393122625,0.18896067252707074,0.30714814814814817,0.34582716049382717,0.5479961633682251,0,0,0.0
initial,10,output,81000,1000,81,0.0017633208640988945,0.1844619022099462,0.18447033004627472,0.0,0.49869135802469133,1.2695918083190918,0,0,0.0
initial,10,pre_activation,81000,1000,81,0.0017633208640988945,0.1844619022099462,0.18447033004627472,0.0,0.49869135802469133,1.2695918083190918,0,0,0.0
initial,10,pre_quantization,81000,1000,81,-0.0010683562204807505,0.21203806119262195,0.21204075263811892,0.0,0.4977283950617284,1.4376323223114014,0,0,0.0
initial,11,input,81000,1000,81,0.0009326936952125879,0.16468160081686967,0.164684242006137,0.31960493827160497,0.3390246913580247,0.4752190411090851,0,0,0.0
initial,11,output,82000,1000,82,-0.0016918405796187612,0.1647884423183958,0.16479712693572696,0.0,0.5029634146341463,1.1640442609786987,0,0,0.0
initial,11,pre_activation,82000,1000,82,-0.0016918405796187612,0.1647884423183958,0.16479712693572696,0.0,0.5029634146341463,1.1640442609786987,0,0,0.0
initial,11,pre_quantization,81000,1000,81,0.0017633208640988945,0.1844619022099462,0.18447033004627472,0.0,0.49869135802469133,1.2695918083190918,0,0,0.0
initial,12,input,82000,1000,82,-0.0013285201319107195,0.14696254923274146,0.14696855392473196,0.31435365853658537,0.3464390243902439,0.43261411786079407,0,0,0.0
initial,12,output,81000,1000,81,0.0017275307544400247,0.14386645314126462,0.14387682475630056,0.0,0.49446913580246915,0.8776687979698181,0,0,0.0
initial,12,pre_activation,81000,1000,81,0.0017275307544400247,0.14386645314126462,0.14387682475630056,0.0,0.49446913580246915,0.8776687979698181,0,0,0.0
initial,12,pre_quantization,82000,1000,82,-0.0016918405796187612,0.1647884423183958,0.16479712693572696,0.0,0.5029634146341463,1.1640442609786987,0,0,0.0
initial,13,input,81000,1000,81,0.001164143358391744,0.12847729482915288,0.12848256892036353,0.3191851851851852,0.3361604938271605,0.3808364272117615,0,0,0.0
initial,13,output,82000,1000,82,0.0018515777578021594,0.12914610645851266,0.12915937888355872,0.0,0.4935609756097561,1.0365055799484253,0,0,0.0
initial,13,pre_activation,82000,1000,82,0.0018515777578021594,0.12914610645851266,0.12915937888355872,0.0,0.4935609756097561,1.0365055799484253,0,0,0.0
initial,13,pre_quantization,81000,1000,81,0.0017275307544400247,0.14386645314126462,0.14387682475630056,0.0,0.49446913580246915,0.8776687979698181,0,0,0.0
initial,14,input,82000,1000,82,0.0017012855666803152,0.11524753484068048,0.11526009135617261,0.316109756097561,0.33551219512195124,0.35788777470588684,0,0,0.0
