stage,layer,pair,perturbed_coordinates,loss_plus,loss_minus,abs_y
initial,0,0,16,2.320166826248169,2.315715789794922,0.00445103645324707
initial,0,1,16,2.30253005027771,2.3056232929229736,0.003093242645263672
initial,0,2,16,2.3153350353240967,2.317600965499878,0.00226593017578125
initial,0,3,16,2.314713954925537,2.307410717010498,0.0073032379150390625
initial,0,4,16,2.325014352798462,2.308988094329834,0.01602625846862793
initial,0,5,16,2.299699306488037,2.3066563606262207,0.006957054138183594
initial,0,6,16,2.316640853881836,2.3055641651153564,0.011076688766479492
initial,0,7,16,2.313734531402588,2.3116564750671387,0.0020780563354492188
initial,0,8,16,2.3118646144866943,2.3036980628967285,0.00816655158996582
initial,0,9,16,2.319366455078125,2.3095099925994873,0.009856462478637695
initial,0,10,16,2.3170273303985596,2.316908836364746,0.00011849403381347656
initial,0,11,16,2.3123350143432617,2.318647623062134,0.00631260871887207
initial,0,12,16,2.3133411407470703,2.3046140670776367,0.008727073669433594
initial,0,13,16,2.3106191158294678,2.2978203296661377,0.012798786163330078
initial,0,14,16,2.330213785171509,2.306239604949951,0.023974180221557617
initial,0,15,16,2.3309249877929688,2.326650381088257,0.004274606704711914
initial,0,16,16,2.3026280403137207,2.2995450496673584,0.0030829906463623047
initial,0,17,16,2.298245668411255,2.326150894165039,0.02790522575378418
initial,0,18,16,2.3044686317443848,2.315218925476074,0.010750293731689453
initial,0,19,16,2.31907320022583,2.305499315261841,0.013573884963989258
initial,0,20,16,2.3089137077331543,2.301025152206421,0.007888555526733398
initial,0,21,16,2.314051389694214,2.303241729736328,0.010809659957885742
initial,0,22,16,2.319493055343628,2.322768211364746,0.003275156021118164
initial,0,23,16,2.308964252471924,2.3226418495178223,0.013677597045898438
initial,0,24,16,2.3229260444641113,2.301083564758301,0.021842479705810547
initial,0,25,16,2.300468683242798,2.3104374408721924,0.009968757629394531
initial,0,26,16,2.2957096099853516,2.3052432537078857,0.00953364372253418
initial,0,27,16,2.298741579055786,2.3048136234283447,0.006072044372558594
initial,0,28,16,2.3131332397460938,2.3140125274658203,0.0008792877197265625
initial,0,29,16,2.316236972808838,2.3009982109069824,0.015238761901855469
initial,0,30,16,2.3164939880371094,2.321319103240967,0.004825115203857422
initial,0,31,16,2.2976438999176025,2.3063650131225586,0.008721113204956055
initial,0,32,16,2.308875322341919,2.30910587310791,0.00023055076599121094
initial,0,33,16,2.3047971725463867,2.308795213699341,0.0039980411529541016
initial,0,34,16,2.3300669193267822,2.320434808731079,0.009632110595703125
initial,0,35,16,2.3040497303009033,2.299854278564453,0.004195451736450195
initial,0,36,16,2.3061020374298096,2.302811622619629,0.003290414810180664
initial,0,37,16,2.3088631629943848,2.3071744441986084,0.0016887187957763672
initial,0,38,16,2.3011868000030518,2.3040146827697754,0.002827882766723633
initial,0,39,16,2.3020341396331787,2.3087382316589355,0.006704092025756836
initial,0,40,16,2.3007545471191406,2.3154995441436768,0.014744997024536133
initial,0,41,16,2.317267417907715,2.3172709941864014,3.5762786865234375e-06
initial,0,42,16,2.320640802383423,2.3205506801605225,9.012222290039062e-05
initial,0,43,16,2.301306962966919,2.3304035663604736,0.029096603393554688
initial,0,44,16,2.3093714714050293,2.314159870147705,0.004788398742675781
initial,0,45,16,2.3000364303588867,2.300194501876831,0.00015807151794433594
initial,0,46,16,2.3038368225097656,2.3046865463256836,0.0008497238159179688
