stage,layer,pair,perturbed_coordinates,loss_plus,loss_minus,abs_y
initial,0,0,16,49.050682067871094,49.266197204589844,0.21551513671875
initial,0,1,16,53.170440673828125,44.90409851074219,8.266342163085938
initial,0,2,16,53.51784133911133,50.005592346191406,3.512248992919922
initial,0,3,16,49.5217399597168,51.33073806762695,1.8089981079101562
initial,0,4,16,51.17910385131836,48.4921760559082,2.6869277954101562
initial,0,5,16,47.12997817993164,46.1978759765625,0.9321022033691406
initial,0,6,16,49.84311294555664,52.9553108215332,3.1121978759765625
initial,0,7,16,46.985870361328125,49.15093231201172,2.1650619506835938
initial,0,8,16,44.45524597167969,43.342342376708984,1.1129035949707031
initial,0,9,16,48.36882781982422,46.09581756591797,2.27301025390625
initial,0,10,16,50.4393196105957,49.63486099243164,0.8044586181640625
initial,0,11,16,51.37215805053711,49.47917175292969,1.8929862976074219
initial,0,12,16,50.63397216796875,45.76982879638672,4.864143371582031
initial,0,13,16,48.01132583618164,51.03013610839844,3.018810272216797
initial,0,14,16,52.894386291503906,54.23426055908203,1.339874267578125
initial,0,15,16,48.2377815246582,48.94231033325195,0.70452880859375
initial,0,16,16,49.65233612060547,52.80292892456055,3.150592803955078
initial,0,17,16,45.6099739074707,48.31476593017578,2.704792022705078
initial,0,18,16,55.86659240722656,53.03101348876953,2.8355789184570312
initial,0,19,16,50.777076721191406,43.2627067565918,7.514369964599609
initial,0,20,16,52.229881286621094,47.53452682495117,4.695354461669922
initial,0,21,16,48.284324645996094,51.94767761230469,3.6633529663085938
initial,0,22,16,44.98627853393555,43.229766845703125,1.7565116882324219
initial,0,23,16,41.91682434082031,50.25624084472656,8.33941650390625
initial,0,24,16,56.697837829589844,51.261173248291016,5.436664581298828
initial,0,25,16,51.16084671020508,46.22589874267578,4.934947967529297
initial,0,26,16,53.25651931762695,52.78532409667969,0.4711952209472656
initial,0,27,16,46.93137741088867,49.93603515625,3.004657745361328
initial,0,28,16,49.52811813354492,48.58761978149414,0.9404983520507812
initial,0,29,16,45.201759338378906,46.471153259277344,1.2693939208984375
initial,0,30,16,49.11907958984375,53.91714096069336,4.798061370849609
initial,0,31,16,49.905033111572266,48.292720794677734,1.6123123168945312
initial,0,32,16,49.598854064941406,52.587867736816406,2.989013671875
initial,0,33,16,47.12052917480469,46.33525466918945,0.7852745056152344
initial,0,34,16,48.12559127807617,42.50221633911133,5.623374938964844
initial,0,35,16,47.521392822265625,54.642635345458984,7.121242523193359
initial,0,36,16,54.41902542114258,52.64048385620117,1.7785415649414062
initial,0,37,16,50.714324951171875,53.284664154052734,2.5703392028808594
initial,0,38,16,49.185218811035156,43.926307678222656,5.2589111328125
initial,0,39,16,53.082279205322266,49.04743194580078,4.034847259521484
initial,0,40,16,47.76227951049805,50.579444885253906,2.8171653747558594
initial,0,41,16,47.85159683227539,51.84370803833008,3.9921112060546875
initial,0,42,16,54.63701629638672,45.23906707763672,9.39794921875
initial,0,43,16,47.572105407714844,45.34423065185547,2.227874755859375
initial,0,44,16,53.78219223022461,49.27043914794922,4.511753082275391
initial,0,45,16,44.52336502075195,56.527191162109375,12.003826141357422
initial,0,46,16,48.3372917175293,46.04486846923828,2.2924232482910156
initial,0,47,16,44.85310745239258,49.2662467956543,4.413139343261719
initial,0,48,16,48.880531311035156,49.07828903198242,0.19775772094726562
initial,0,49,16,45.8438606262207,50.86293029785156,5.019069671630859
initial,0,50,16,52.77927780151367,49.189781188964844,3.589496612548828
initial,0,51,16,44.46600341796875,47.23258590698242,2.766582489013672
initial,0,52,16,52.51618957519531,47.60380172729492,4.912387847900391
initial,0,53,16,51.29692077636719,48.790367126464844,2.5065536499023438
initial,0,54,16,50.92452621459961,50.48892593383789,0.43560028076171875
initial,0,55,16,45.70029067993164,50.64290237426758,4.9426116943359375
initial,0,56,16,49.03532028198242,49.66872024536133,0.6333999633789062
initial,0,57,16,49.763328552246094,47.307926177978516,2.455402374267578
initial,0,58,16,46.59968185424805,45.74247360229492,0.857208251953125
initial,0,59,16,49.388275146484375,45.874210357666016,3.5140647888183594
initial,0,60,16,46.05708312988281,40.125694274902344,5.931388854980469
initial,0,61,16,49.414764404296875,48.068931579589844,1.3458328247070312
initial,0,62,16,50.11693572998047,47.3149299621582,2.8020057678222656
initial,0,63,16,46.700050354003906,51.682613372802734,4.982563018798828
final,0,0,16,19.36602783203125,21.049394607543945,1.6833667755126953
final,0,1,16,21.775001525878906,22.24223518371582,0.46723365783691406
final,0,2,16,23.266469955444336,22.39031219482422,0.8761577606201172
final,0,3,16,22.110984802246094,19.625600814819336,2.485383987426758
final,0,4,16,22.292001724243164,20.807209014892578,1.484792709350586
final,0,5,16,22.595584869384766,19.970848083496094,2.624736785888672
final,0,6,16,20.189485549926758,21.722501754760742,1.5330162048339844
final,0,7,16,20.869569778442383,20.107561111450195,0.7620086669921875
final,0,8,16,21.1396484375,19.307628631591797,1.8320198059082031
final,0,9,16,21.275724411010742,19.435260772705078,1.840463638305664
final,0,10,16,20.288366317749023,18.612506866455078,1.6758594512939453
final,0,11,16,20.874067306518555,24.34557342529297,3.471506118774414
final,0,12,16,25.52490234375,22.51664161682129,3.008260726928711
final,0,13,16,22.664260864257812,21.631067276000977,1.033193588256836
final,0,14,16,22.06557846069336,22.1905517578125,0.12497329711914062
final,0,15,16,21.916379928588867,20.466379165649414,1.4500007629394531
final,0,16,16,21.539501190185547,22.466339111328125,0.9268379211425781
final,0,17,16,21.42870330810547,22.756855010986328,1.3281517028808594
final,0,18,16,21.981462478637695,21.88802719116211,0.09343528747558594
final,0,19,16,19.179149627685547,23.187204360961914,4.008054733276367
final,0,20,16,22.82107925415039,21.529132843017578,1.2919464111328125
final,0,21,16,19.689502716064453,20.015607833862305,0.32610511779785156
final,0,22,16,18.115259170532227,20.762052536010742,2.6467933654785156
final,0,23,16,19.05898666381836,19.395851135253906,0.3368644714355469
final,0,24,16,18.508665084838867,19.180999755859375,0.6723346710205078
final,0,25,16,22.730852127075195,19.001020431518555,3.7298316955566406
final,0,26,16,20.478439331054688,20.69870948791504,0.22027015686035156
final,0,27,16,20.78133773803711,21.763744354248047,0.9824066162109375
final,0,28,16,19.14496421813965,20.107423782348633,0.9624595642089844
final,0,29,16,20.073530197143555,20.136362075805664,0.06283187866210938
final,0,30,16,21.765409469604492,17.48740005493164,4.278009414672852
final,0,31,16,19.673961639404297,20.13677215576172,0.4628105163574219
final,0,32,16,18.498586654663086,20.412172317504883,1.9135856628417969
final,0,33,16,22.0638427734375,22.674177169799805,0.6103343963623047
final,0,34,16,20.04526710510254,20.951805114746094,0.9065380096435547
final,0,35,16,20.412036895751953,21.473724365234375,1.0616874694824219
final,0,36,16,19.508392333984375,23.745243072509766,4.236850738525391
final,0,37,16,22.331832885742188,20.816823959350586,1.5150089263916016
final,0,38,16,17.17130470275879,19.843626022338867,2.672321319580078
final,0,39,16,22.135910034179688,19.83144187927246,2.3044681549072266
final,0,40,16,19.725078582763672,20.501272201538086,0.7761936187744141
final,0,41,16,23.934202194213867,18.59906005859375,5.335142135620117
final,0,42,16,19.7856388092041,20.79163932800293,1.0060005187988281
final,0,43,16,20.474895477294922,23.851638793945312,3.3767433166503906
final,0,44,16,19.99150276184082,17.952070236206055,2.0394325256347656
final,0,45,16,17.08062744140625,21.64067840576172,4.560050964355469
final,0,46,16,20.603952407836914,18.10491371154785,2.4990386962890625
final,0,47,16,20.6962833404541,19.770599365234375,0.9256839752197266
final,0,48,16,18.48137664794922,20.464595794677734,1.9832191467285156
final,0,49,16,21.632104873657227,20.315217971801758,1.3168869018554688
final,0,50,16,19.694433212280273,20.606590270996094,0.9121570587158203
final,0,51,16,18.02852439880371,19.569461822509766,1.5409374237060547
final,0,52,16,19.246105194091797,21.610225677490234,2.3641204833984375
final,0,53,16,24.045513153076172,23.622873306274414,0.4226398468017578
final,0,54,16,20.83009147644043,19.105236053466797,1.7248554229736328
final,0,55,16,22.672208786010742,20.00921630859375,2.662992477416992
final,0,56,16,20.072628021240234,21.467897415161133,1.3952693939208984
final,0,57,16,21.519893646240234,21.833559036254883,0.31366539001464844
final,0,58,16,22.7537899017334,19.993120193481445,2.760669708251953
final,0,59,16,19.69366455078125,23.43407440185547,3.7404098510742188
final,0,60,16,23.31917953491211,22.136138916015625,1.1830406188964844
final,0,61,16,21.785167694091797,21.07787322998047,0.7072944641113281
final,0,62,16,21.138622283935547,22.359333038330078,1.2207107543945312
final,0,63,16,19.918964385986328,20.541048049926758,0.6220836639404297
initial,1,0,16,48.45219802856445,52.87674331665039,4.4245452880859375
initial,1,1,16,50.89274215698242,52.94327163696289,2.0505294799804688
initial,1,2,16,50.019432067871094,50.769203186035156,0.7497711181640625
initial,1,3,16,49.78806686401367,48.124576568603516,1.6634902954101562
initial,1,4,16,49.27622604370117,48.139183044433594,1.1370429992675781
initial,1,5,16,43.719207763671875,49.293941497802734,5.574733734130859
initial,1,6,16,49.693084716796875,49.22816467285156,0.4649200439453125
initial,1,7,16,54.546932220458984,55.07283401489258,0.5259017944335938
initial,1,8,16,50.50170135498047,47.99258804321289,2.509113311767578
initial,1,9,16,47.67985534667969,53.12439727783203,5.444541931152344
initial,1,10,16,42.89661407470703,46.85302734375,3.9564132690429688
initial,1,11,16,47.91389846801758,47.89825439453125,0.015644073486328125
initial,1,12,16,49.92270278930664,46.13151931762695,3.7911834716796875
initial,1,13,16,51.457305908203125,46.17074203491211,5.286563873291016
