checkpoint_stage,layer,stage,values,examples,features,mean,std,rms,zero_fraction,negative_fraction,max_abs,nonfinite_count,dead_features,dead_feature_fraction
initial,0,input,90000,1000,90,-0.24865594502025182,0.5706528477563928,0.6224744586297459,0.11097777777777777,0.6533777777777777,1.9996788501739502,0,0,0.0
initial,0,output,79000,1000,79,0.039558168885600105,0.6144035838846382,0.6156757365820659,0.0,0.4842405063291139,3.614204168319702,0,0,0.0
initial,0,pre_activation,79000,1000,79,0.039558168885600105,0.6144035838846382,0.6156757365820659,0.0,0.4842405063291139,3.614204168319702,0,0,0.0
initial,0,pre_quantization,90000,1000,90,0.018114338403025208,0.7685564910431445,0.7687699325418043,0.0,0.7199444444444445,2.821486711502075,0,0,0.0
initial,1,branch_shortcut_rms_ratio,1000,1000,1,0.9487876582741738,0.06677136061624618,0.9511342886742834,0.0,0.0,1.1894508600234985,0,0,0.0
initial,1,input,79000,1000,79,0.01812677955099299,0.5427849908329235,0.5430875863158604,0.294,0.3366329113924051,1.4673786163330078,0,0,0.0
initial,1,output,82000,1000,82,0.001164492838326285,0.8611156593602692,0.8611164467358882,0.0,0.4880121951219512,5.463850975036621,0,0,0.0
initial,1,pre_activation,82000,1000,82,0.001164492838326285,0.8611156593602692,0.8611164467358882,0.0,0.4880121951219512,5.463850975036621,0,0,0.0
initial,1,pre_quantization,79000,1000,79,0.039558168885600105,0.6144035838846382,0.6156757365820659,0.0,0.4842405063291139,3.614204168319702,0,0,0.0
initial,1,residual_branch,82000,1000,82,-0.03694642595785658,0.5767791903672164,0.5779613073828741,0.0,0.5102073170731707,3.586127281188965,0,0,0.0
initial,1,shortcut,82000,1000,82,0.038110918804419615,0.6031055012449746,0.6043084376078736,0.036585365853658534,0.46652439024390246,3.614204168319702,0,3,0.036585365853658534
initial,2,branch_shortcut_rms_ratio,1000,1000,1,0.8152530229687691,0.06743355386964314,0.8180371480851016,0.0,0.0,1.0051093101501465,0,0,0.0
initial,2,input,82000,1000,82,0.011882708450643027,0.7546910034221034,0.7547845450235346,0.30921951219512195,0.3373658536585366,1.9240788221359253,0,0,0.0
initial,2,output,80000,1000,80,0.016242196564404014,1.1127966973770602,1.1129152252721362,0.0,0.4882625,6.930624961853027,0,0,0.0
initial,2,pre_activation,80000,1000,80,0.016242196564404014,1.1127966973770602,1.1129152252721362,0.0,0.4882625,6.930624961853027,0,0,0.0
initial,2,pre_quantization,82000,1000,82,0.001164492838326285,0.8611156593602692,0.8611164467358882,0.0,0.4880121951219512,5.463850975036621,0,0,0.0
initial,2,residual_branch,80000,1000,80,0.026593599998992124,0.7169109902554385,0.7174040615371088,0.0,0.48655,4.222300052642822,0,0,0.0
initial,2,shortcut,80000,1000,80,-0.01035140354687591,0.8655660035058709,0.8656278981066378,0.0,0.4968875,5.463850975036621,0,0,0.0
initial,3,branch_shortcut_rms_ratio,1000,1000,1,0.9627380301356315,0.06506265568138445,0.9649340204561919,0.0,0.0,1.151890754699707,0,0,0.0
