stage,layer,values,zero_fraction,mse,relative_squared_error,cosine_mean_valid,cosine_valid_examples,cosine_undefined_examples,code_-1_fraction,code_0_fraction,code_1_fraction
initial,0,90000,0.11097777777777777,0.20353275200104815,0.3443828583467337,0.8199608809768789,1000,0,0.6533777777777777,0.11097777777777777,0.23564444444444443
initial,1,79000,0.30737974683544306,0.08069430855661165,0.21418911060101595,0.88606115639078,1000,0,0.38454430379746835,0.30737974683544306,0.3080759493670886
initial,2,82000,0.3235,0.16284838905340637,0.1991021363834899,0.8948138343822202,1000,0,0.343,0.3235,0.3335
initial,3,80000,0.3169375,0.19641960545401524,0.2016073117275541,0.8936170293352378,1000,0,0.347625,0.3169375,0.3354375
initial,4,82000,0.3060731707317073,0.21723140007365546,0.20238024974667876,0.893157473510692,1000,0,0.33896341463414636,0.3060731707317073,0.3549634146341463
initial,5,80000,0.315575,0.22786576523115323,0.21743397768212228,0.8850263264316729,1000,0,0.364025,0.315575,0.3204
initial,6,82000,0.3196341463414634,0.19339205505810952,0.20138842419579311,0.8936253415433869,1000,0,0.3267560975609756,0.3196341463414634,0.35360975609756096
initial,7,81000,0.3197530864197531,0.19146381153928815,0.200987610942283,0.8938551113650056,1000,0,0.34355555555555556,0.3197530864197531,0.33669135802469136
initial,8,81000,0.31809876543209875,0.20292345183779573,0.203410992573608,0.892612785256709,1000,0,0.33328395061728394,0.31809876543209875,0.3486172839506173
initial,9,81000,0.31692592592592594,0.20670300327440908,0.20574854282283428,0.8914581522884212,1000,0,0.35498765432098767,0.31692592592592594,0.32808641975308644
initial,10,81000,0.316,0.19518746863900932,0.201671712489275,0.8936144975856641,1000,0,0.360358024691358,0.316,0.32364197530864197
initial,11,81000,0.3204444444444444,0.1950618091274064,0.20416184027366294,0.8920831652471304,1000,0,0.33167901234567904,0.3204444444444444,0.34787654320987654
initial,12,82000,0.323109756097561,0.1962449029798316,0.20377186008183265,0.8923911225818315,1000,0,0.3447682926829268,0.323109756097561,0.3321219512195122
initial,13,81000,0.3220246913580247,0.19835360771388005,0.20485522735951636,0.8917360864383013,1000,0,0.34298765432098766,0.3220246913580247,0.33498765432098765
initial,14,82000,0.31578048780487805,0.20441169381810612,0.20400741070315878,0.8922628028706528,1000,0,0.33969512195121954,0.31578048780487805,0.3445243902439024
initial,15,80000,0.3163,0.20720963814356183,0.20666002528477256,0.8909634339635307,1000,0,0.347075,0.3163,0.336625
final,0,90000,0.11097777777777777,0.20353275200104815,0.3443828583467337,0.8199608809768789,1000,0,0.6533777777777777,0.11097777777777777,0.23564444444444443
final,1,79000,0.30870886075949366,0.08593339138525115,0.21979855673909932,0.8829522717284853,1000,0,0.3898860759493671,0.30870886075949366,0.30140506329113925
final,2,82000,0.3149878048780488,0.18947729765215146,0.1966756458082809,0.8963848605934462,1000,0,0.3268536585365854,0.3149878048780488,0.35815853658536584
final,3,80000,0.3195,0.1898043762103606,0.20254517204331315,0.893041424389553,1000,0,0.3223,0.3195,0.3582
final,4,82000,0.3228048780487805,0.18295033904958483,0.1999803042645827,0.8943516574930362,1000,0,0.3511463414634146,0.3228048780487805,0.3260487804878049
final,5,80000,0.3073375,0.22259010905555998,0.20793127620049914,0.8900453967116576,1000,0,0.3488375,0.3073375,0.343825
final,6,82000,0.32232926829268294,0.19424631276632592,0.20548353015874848,0.8913575516933089,1000,0,0.3383536585365854,0.32232926829268294,0.33931707317073173
final,7,81000,0.32312345679012344,0.1953874803312089,0.20367292408413556,0.8923254403780814,1000,0,0.3191111111111111,0.32312345679012344,0.35776543209876543
final,8,81000,0.321679012345679,0.2027547717299977,0.20455335267194658,0.8919857569835408,1000,0,0.34425925925925926,0.321679012345679,0.3340617283950617
final,9,81000,0.3157037037037037,0.2037877159852668,0.20357150172139218,0.8924564103677926,1000,0,0.344679012345679,0.3157037037037037,0.3396172839506173
final,10,81000,0.31566666666666665,0.2016252093194457,0.2024724138024684,0.8932236630780543,1000,0,0.3562716049382716,0.31566666666666665,0.3280617283950617
final,11,81000,0.3148641975308642,0.1990253835912524,0.2024419247210577,0.8931200159506788,1000,0,0.3496172839506173,0.3148641975308642,0.3355185185185185
final,12,82000,0.3177560975609756,0.2032489627329782,0.20457994556920675,0.8920111801252046,1000,0,0.33345121951219514,0.3177560975609756,0.34879268292682925
final,13,81000,0.31253086419753084,0.21178724134229038,0.20745839341218486,0.890411057144939,1000,0,0.3429506172839506,0.31253086419753084,0.3445185185185185
final,14,82000,0.31470731707317073,0.2125744286042136,0.20585066167742885,0.8913770468031057,1000,0,0.343,0.31470731707317073,0.3422926829268293
final,15,80000,0.3136125,0.20105724229657362,0.20368112806046695,0.8925529402567413,1000,0,0.3397875,0.3136125,0.3466
