stage,layer,pair,perturbed_coordinates,loss_plus,loss_minus,abs_y
initial,0,0,16,2.7728054523468018,2.7790262699127197,0.006220817565917969
initial,0,1,16,2.61822247505188,2.6810898780822754,0.06286740303039551
initial,0,2,16,2.7354843616485596,2.7488489151000977,0.013364553451538086
initial,0,3,16,2.7736499309539795,2.7157204151153564,0.05792951583862305
initial,0,4,16,2.800490379333496,2.6668343544006348,0.13365602493286133
initial,0,5,16,2.542264699935913,2.6387226581573486,0.09645795822143555
initial,0,6,16,2.7172696590423584,2.67764949798584,0.039620161056518555
initial,0,7,16,2.6968302726745605,2.7567551136016846,0.05992484092712402
initial,0,8,16,2.688711166381836,2.6522414684295654,0.03646969795227051
initial,0,9,16,2.7464962005615234,2.7333996295928955,0.01309657096862793
initial,0,10,16,2.7337403297424316,2.747037649154663,0.013297319412231445
initial,0,11,16,2.687516450881958,2.7979180812835693,0.11040163040161133
initial,0,12,16,2.724205493927002,2.6899404525756836,0.03426504135131836
initial,0,13,16,2.663443088531494,2.5645017623901367,0.09894132614135742
initial,0,14,16,2.789534091949463,2.7170650959014893,0.07246899604797363
initial,0,15,16,2.847029447555542,2.8195409774780273,0.02748847007751465
initial,0,16,16,2.6434171199798584,2.6675572395324707,0.024140119552612305
initial,0,17,16,2.5242083072662354,2.80320143699646,0.2789931297302246
initial,0,18,16,2.6641933917999268,2.756960153579712,0.09276676177978516
initial,0,19,16,2.7909657955169678,2.6788504123687744,0.11211538314819336
initial,0,20,16,2.63922119140625,2.6284737586975098,0.010747432708740234
initial,0,21,16,2.6971936225891113,2.620128870010376,0.07706475257873535
initial,0,22,16,2.795471429824829,2.8631603717803955,0.0676889419555664
initial,0,23,16,2.7450742721557617,2.8513498306274414,0.10627555847167969
initial,0,24,16,2.821816921234131,2.6825718879699707,0.13924503326416016
initial,0,25,16,2.5518901348114014,2.6576738357543945,0.10578370094299316
initial,0,26,16,2.5501558780670166,2.6944022178649902,0.14424633979797363
initial,0,27,16,2.6338741779327393,2.639899730682373,0.006025552749633789
initial,0,28,16,2.7438738346099854,2.715790033340454,0.02808380126953125
initial,0,29,16,2.6883163452148438,2.6319994926452637,0.05631685256958008
initial,0,30,16,2.794173002243042,2.7992818355560303,0.005108833312988281
initial,0,31,16,2.589369058609009,2.7227444648742676,0.1333754062652588
initial,0,32,16,2.6747806072235107,2.673785924911499,0.0009946823120117188
initial,0,33,16,2.687687635421753,2.707670211791992,0.019982576370239258
initial,0,34,16,2.878082752227783,2.726428985595703,0.15165376663208008
initial,0,35,16,2.6946983337402344,2.5948562622070312,0.09984207153320312
initial,0,36,16,2.596639633178711,2.6247856616973877,0.028146028518676758
initial,0,37,16,2.672945022583008,2.668853998184204,0.004091024398803711
initial,0,38,16,2.614471912384033,2.614103078842163,0.0003688335418701172
initial,0,39,16,2.6826164722442627,2.689852714538574,0.0072362422943115234
initial,0,40,16,2.6185362339019775,2.7689311504364014,0.15039491653442383
initial,0,41,16,2.762855052947998,2.775465965270996,0.012610912322998047
initial,0,42,16,2.7878799438476562,2.7831645011901855,0.004715442657470703
initial,0,43,16,2.6188910007476807,2.914659261703491,0.29576826095581055
initial,0,44,16,2.6940677165985107,2.726928949356079,0.03286123275756836
initial,0,45,16,2.5870580673217773,2.652967691421509,0.06590962409973145
initial,0,46,16,2.660872220993042,2.6220204830169678,0.03885173797607422
initial,0,47,16,2.834186553955078,2.784668207168579,0.04951834678649902
initial,0,48,16,2.5368828773498535,2.6841938495635986,0.14731097221374512
initial,0,49,16,2.716461420059204,2.689546823501587,0.026914596557617188
initial,0,50,16,2.8191423416137695,2.802414894104004,0.016727447509765625
initial,0,51,16,2.5999796390533447,2.6115448474884033,0.011565208435058594
initial,0,52,16,2.830172300338745,2.8808627128601074,0.050690412521362305
initial,0,53,16,2.735790252685547,2.5880515575408936,0.14773869514465332
initial,0,54,16,2.8143835067749023,2.6791045665740967,0.13527894020080566
initial,0,55,16,2.6831958293914795,2.787529945373535,0.10433411598205566
initial,0,56,16,2.8881337642669678,2.7837398052215576,0.10439395904541016
initial,0,57,16,2.679518222808838,2.6963977813720703,0.016879558563232422
initial,0,58,16,2.7379746437072754,2.737025022506714,0.0009496212005615234
initial,0,59,16,2.606227397918701,2.6122031211853027,0.0059757232666015625
initial,0,60,16,2.788506031036377,2.6011745929718018,0.1873314380645752
initial,0,61,16,2.59155535697937,2.6722352504730225,0.08067989349365234
initial,0,62,16,2.704030752182007,2.630951166152954,0.07307958602905273
initial,0,63,16,2.696810722351074,2.765908718109131,0.06909799575805664
final,0,0,16,2.46848201751709,2.505985975265503,0.037503957748413086
final,0,1,16,2.54468035697937,2.6263647079467773,0.08168435096740723
final,0,2,16,2.526197910308838,2.4421422481536865,0.08405566215515137
final,0,3,16,2.528118371963501,2.5025429725646973,0.02557539939880371
final,0,4,16,2.508540153503418,2.4763150215148926,0.03222513198852539
final,0,5,16,2.467108726501465,2.5338399410247803,0.06673121452331543
final,0,6,16,2.5879135131835938,2.5478434562683105,0.0400700569152832
final,0,7,16,2.455456018447876,2.441598892211914,0.013857126235961914
final,0,8,16,2.5748777389526367,2.52710223197937,0.0477755069732666
final,0,9,16,2.652327299118042,2.4773380756378174,0.1749892234802246
final,0,10,16,2.5478718280792236,2.5987601280212402,0.0508882999420166
final,0,11,16,2.4821135997772217,2.4970831871032715,0.014969587326049805
final,0,12,16,2.5608506202697754,2.442615032196045,0.11823558807373047
final,0,13,16,2.508995294570923,2.507316827774048,0.001678466796875
final,0,14,16,2.5254788398742676,2.597841739654541,0.07236289978027344
final,0,15,16,2.514248847961426,2.533379077911377,0.019130229949951172
final,0,16,16,2.5934319496154785,2.5549139976501465,0.03851795196533203
final,0,17,16,2.449234962463379,2.5501387119293213,0.10090374946594238
