checkpoint_stage,layer,stage,values,examples,features,mean,std,rms,zero_fraction,negative_fraction,max_abs,nonfinite_count,dead_features,dead_feature_fraction
initial,0,input,90000,1000,90,-0.24865594502025182,0.5706528477563928,0.6224744586297459,0.11097777777777777,0.6533777777777777,1.9996788501739502,0,0,0.0
initial,0,output,79000,1000,79,0.039558168885600105,0.6144035838846382,0.6156757365820659,0.0,0.4842405063291139,3.614204168319702,0,0,0.0
initial,0,pre_activation,79000,1000,79,0.039558168885600105,0.6144035838846382,0.6156757365820659,0.0,0.4842405063291139,3.614204168319702,0,0,0.0
initial,0,pre_quantization,90000,1000,90,0.018114338403025208,0.7685564910431445,0.7687699325418043,0.0,0.7199444444444445,2.821486711502075,0,0,0.0
initial,1,input,79000,1000,79,0.03933593809453747,0.9992260426348514,1.0000000001527416,0.294,0.3366329113924051,1.339945673942566,0,0,0.0
initial,1,normalization_gain,1000,1000,1,1.9386453122496605,0.32102179809936404,1.9650446920013123,0.0,0.0,3.0324959754943848,0,0,0.0
initial,1,output,82000,1000,82,-0.07239351731468036,1.057187451382625,1.059663214757444,0.0,0.5093658536585366,4.502872467041016,0,0,0.0
initial,1,pre_activation,82000,1000,82,-0.07239351731468036,1.057187451382625,1.059663214757444,0.0,0.5093658536585366,4.502872467041016,0,0,0.0
initial,1,pre_quantization,79000,1000,79,0.039558168885600105,0.6144035838846382,0.6156757365820659,0.0,0.4842405063291139,3.614204168319702,0,0,0.0
initial,1,quantized_before_norm,79000,1000,79,0.01812677955099299,0.5427849908329235,0.5430875863158604,0.294,0.3366329113924051,1.4673786163330078,0,0,0.0
initial,2,input,82000,1000,82,-0.02678224335792588,0.9996412887029497,0.9999999973194885,0.30959756097560975,0.3563170731707317,1.3651506900787354,0,0,0.0
initial,2,normalization_gain,1000,1000,1,1.0763375226855278,0.06813542769510492,1.0784919560423314,0.0,0.0,1.3453916311264038,0,0,0.0
initial,2,output,80000,1000,80,0.06199494974369302,0.949703885241856,0.9517251932344752,0.0,0.47435,4.909902095794678,0,0,0.0
initial,2,pre_activation,80000,1000,80,0.06199494974369302,0.949703885241856,0.9517251932344752,0.0,0.47435,4.909902095794678,0,0,0.0
initial,2,pre_quantization,82000,1000,82,-0.07239351731468036,1.057187451382625,1.059663214757444,0.0,0.5093658536585366,4.502872467041016,0,0,0.0
initial,2,quantized_before_norm,82000,1000,82,-0.02545848173411881,0.9342069256757112,0.9345537514090189,0.30959756097560975,0.3563170731707317,1.3898451328277588,0,0,0.0
initial,3,input,80000,1000,80,0.05763481975048781,0.9983377276564764,0.999999995454984,0.3194125,0.3164625,1.3639887571334839,0,0,0.0
initial,3,normalization_gain,1000,1000,1,1.188500071465969,0.1001511468054224,1.1927123174014154,0.0,0.0,1.5591360330581665,0,0,0.0
initial,3,output,82000,1000,82,0.06409094631630823,1.0457343424460768,1.0476965039413124,0.0,0.47168292682926827,4.199124813079834,0,0,0.0
