condition,seed,layer,fires,all_interval_rate,selected_interval_rate,selected_coordinates
residual,0,0,745,0.06208333333333333,0.08912549348008135,13771
residual,0,1,693,0.05775,0.08657089319175515,12525
residual,0,2,683,0.056916666666666664,0.08508782857854741,12612
residual,0,3,716,0.059666666666666666,0.09051833122629582,12491
residual,0,4,709,0.059083333333333335,0.08892512228772106,12713
residual,0,5,726,0.0605,0.09037719407444292,12702
residual,0,6,688,0.05733333333333333,0.08574277168494517,12804
residual,0,7,713,0.059416666666666666,0.09049371747683717,12450
residual,0,8,753,0.06275,0.0947408152994464,12586
residual,0,9,710,0.059166666666666666,0.09063058463109523,12503
residual,0,10,700,0.058333333333333334,0.08820564516129033,12555
residual,0,11,703,0.058583333333333334,0.08761216350947158,12794
residual,0,12,715,0.059583333333333335,0.08964393179538616,12751
residual,0,13,668,0.05566666666666667,0.0835,12690
residual,0,14,690,0.0575,0.08725341426403642,12457
residual,0,15,99,0.00825,0.066,1596
residual,2,0,747,0.06225,0.08961132437619962,13542
residual,2,1,670,0.05583333333333333,0.08454258675078864,12579
residual,2,2,709,0.059083333333333335,0.08824993776450087,12689
residual,2,3,708,0.059,0.08871068788372384,12636
residual,2,4,712,0.059333333333333335,0.08996714682840536,12469
residual,2,5,737,0.06141666666666667,0.0938733919245956,12336
residual,2,6,662,0.05516666666666667,0.08261574940721328,12738
residual,2,7,722,0.06016666666666667,0.0915546538168907,12581
residual,2,8,711,0.05925,0.08984078847611827,12530
residual,2,9,709,0.059083333333333335,0.08788893020949548,12755
residual,2,10,674,0.05616666666666666,0.08506878707560267,12491
residual,2,11,746,0.06216666666666667,0.09245259635642583,12943
residual,2,12,704,0.058666666666666666,0.08825372947223267,12629
residual,2,13,679,0.05658333333333333,0.08471615720524017,12872
residual,2,14,730,0.060833333333333336,0.09154752947078003,12726
residual,2,15,87,0.00725,0.06161473087818697,1484
residual,1,0,703,0.058583333333333334,0.08561685543782731,13455
residual,1,1,702,0.0585,0.088782091817377,12408
residual,1,2,718,0.059833333333333336,0.08958203368683718,12690
residual,1,3,683,0.056916666666666664,0.0872508942258559,12484
residual,1,4,674,0.05616666666666666,0.08541376251425675,12490
residual,1,5,690,0.0575,0.08670520231213873,12575
residual,1,6,703,0.058583333333333334,0.08843879733299786,12728
residual,1,7,690,0.0575,0.08678153691359577,12651
residual,1,8,721,0.060083333333333336,0.09086326402016383,12615
residual,1,9,731,0.06091666666666667,0.09254335991897708,12566
residual,1,10,708,0.059,0.08862185505069471,12610
residual,1,11,733,0.06108333333333334,0.0901488131841102,13011
residual,1,12,717,0.05975,0.08940149625935162,12731
residual,1,13,731,0.06091666666666667,0.09123814278582126,12720
residual,1,14,739,0.06158333333333333,0.09239809952488122,12729
residual,1,15,72,0.006,0.0496551724137931,1537
rmsnorm,1,0,718,0.059833333333333336,0.08744367312142248,13455
rmsnorm,1,1,672,0.056,0.08498798532945491,12408
rmsnorm,1,2,693,0.05775,0.08646288209606987,12690
rmsnorm,1,3,647,0.05391666666666667,0.08265201839550332,12484
rmsnorm,1,4,650,0.05416666666666667,0.08237232289950576,12490
rmsnorm,1,5,681,0.05675,0.08557426489067604,12575
rmsnorm,1,6,740,0.06166666666666667,0.09309347087683985,12728
rmsnorm,1,7,670,0.05583333333333333,0.08426613004653502,12651
rmsnorm,1,8,694,0.057833333333333334,0.0874606175173283,12615
rmsnorm,1,9,680,0.056666666666666664,0.08608684643625776,12566
rmsnorm,1,10,728,0.06066666666666667,0.09112529728376517,12610
rmsnorm,1,11,743,0.06191666666666667,0.0913786742098143,13011
rmsnorm,1,12,746,0.06216666666666667,0.09301745635910225,12731
rmsnorm,1,13,695,0.057916666666666665,0.08674488267598603,12720
rmsnorm,1,14,723,0.06025,0.09039759939984997,12729
rmsnorm,1,15,96,0.008,0.06620689655172414,1537
rmsnorm,2,0,735,0.06125,0.08817178502879079,13542
rmsnorm,2,1,693,0.05775,0.08744479495268138,12579
rmsnorm,2,2,653,0.05441666666666667,0.08127956186208614,12689
rmsnorm,2,3,733,0.06108333333333334,0.09184312742764064,12636
rmsnorm,2,4,695,0.057916666666666665,0.08781905483952489,12469
rmsnorm,2,5,708,0.059,0.09017959495605656,12336
rmsnorm,2,6,696,0.058,0.0868588543616623,12738
rmsnorm,2,7,650,0.05416666666666667,0.0824245498351509,12581
rmsnorm,2,8,698,0.058166666666666665,0.08819812989638615,12530
rmsnorm,2,9,675,0.05625,0.08367422833767199,12755
rmsnorm,2,10,699,0.05825,0.08822415751609239,12491
rmsnorm,2,11,710,0.059166666666666666,0.08799107696120957,12943
rmsnorm,2,12,717,0.05975,0.08988341481760061,12629
rmsnorm,2,13,730,0.060833333333333336,0.09107922645040549,12872
rmsnorm,2,14,684,0.057,0.08577878103837472,12726
rmsnorm,2,15,82,0.006833333333333334,0.05807365439093484,1484
rmsnorm,0,0,743,0.06191666666666667,0.08888623041033616,13771
rmsnorm,0,1,641,0.05341666666666667,0.08007495315427858,12525
rmsnorm,0,2,630,0.0525,0.07848511274448736,12612
rmsnorm,0,3,660,0.055,0.08343868520859671,12491
rmsnorm,0,4,710,0.059166666666666666,0.08905054559137088,12713
rmsnorm,0,5,687,0.05725,0.08552222083903896,12702
rmsnorm,0,6,728,0.06066666666666667,0.09072781655034895,12804
rmsnorm,0,7,681,0.05675,0.08643228836146719,12450
rmsnorm,0,8,710,0.059166666666666666,0.08933064921992954,12586
rmsnorm,0,9,708,0.059,0.09037528720959918,12503
rmsnorm,0,10,690,0.0575,0.08694556451612903,12555
rmsnorm,0,11,754,0.06283333333333334,0.09396809571286141,12794
rmsnorm,0,12,756,0.063,0.09478435305917753,12751
rmsnorm,0,13,746,0.06216666666666667,0.09325,12690
rmsnorm,0,14,697,0.058083333333333334,0.08813859382903388,12457
rmsnorm,0,15,86,0.007166666666666667,0.05733333333333333,1596
lloyd,2,0,756,0.063,0.09069097888675624,13542
lloyd,2,1,665,0.05541666666666667,0.08391167192429022,12579
lloyd,2,2,666,0.0555,0.08289768483943241,12689
lloyd,2,3,735,0.06125,0.09209372259115399,12636
lloyd,2,4,670,0.05583333333333333,0.08466009603234774,12469
lloyd,2,5,712,0.059333333333333335,0.09068908419309642,12336
lloyd,2,6,680,0.056666666666666664,0.0848620990889804,12738
lloyd,2,7,633,0.05275,0.08026883083946233,12581
lloyd,2,8,652,0.05433333333333333,0.08238564569118019,12530
lloyd,2,9,704,0.058666666666666666,0.0872691211106979,12755
lloyd,2,10,748,0.06233333333333333,0.09440868357945223,12491
lloyd,2,11,716,0.059666666666666666,0.08873466352707894,12943
lloyd,2,12,714,0.0595,0.08950733358405416,12629
lloyd,2,13,724,0.060333333333333336,0.09033063006862134,12872
lloyd,2,14,724,0.060333333333333336,0.090795084023075,12726
lloyd,2,15,73,0.006083333333333333,0.051699716713881017,1484
lloyd,0,0,788,0.06566666666666666,0.09426964947960283,13771
lloyd,0,1,727,0.060583333333333336,0.09081823860087446,12525
lloyd,0,2,637,0.05308333333333334,0.07935716955275944,12612
lloyd,0,3,701,0.058416666666666665,0.088621997471555,12491
lloyd,0,4,709,0.059083333333333335,0.08892512228772106,12713
lloyd,0,5,705,0.05875,0.08776297771691771,12702
lloyd,0,6,719,0.05991666666666667,0.0896061814556331,12804
lloyd,0,7,676,0.05633333333333333,0.08579769006219064,12450
lloyd,0,8,686,0.057166666666666664,0.08631102164066431,12586
lloyd,0,9,700,0.058333333333333334,0.089354097523615,12503
lloyd,0,10,685,0.05708333333333333,0.08631552419354839,12555
lloyd,0,11,718,0.059833333333333336,0.089481555333998,12794
lloyd,0,12,747,0.06225,0.09365596790371114,12751
lloyd,0,13,695,0.057916666666666665,0.086875,12690
lloyd,0,14,678,0.0565,0.08573596358118361,12457
lloyd,0,15,77,0.006416666666666667,0.051333333333333335,1596
lloyd,1,0,708,0.059,0.08622579466569237,13455
lloyd,1,1,658,0.05483333333333333,0.08321740230175793,12408
lloyd,1,2,693,0.05775,0.08646288209606987,12690
lloyd,1,3,695,0.057916666666666665,0.08878385283597343,12484
lloyd,1,4,690,0.0575,0.08744138892409073,12490
lloyd,1,5,723,0.06025,0.09085197285750188,12575
lloyd,1,6,667,0.05558333333333333,0.08390992577682728,12728
lloyd,1,7,678,0.0565,0.08527229279335932,12651
lloyd,1,8,721,0.060083333333333336,0.09086326402016383,12615
lloyd,1,9,699,0.05825,0.08849221420432966,12566
lloyd,1,10,702,0.0585,0.08787082238077357,12610
lloyd,1,11,730,0.060833333333333336,0.08977985487639897,13011
lloyd,1,12,723,0.06025,0.0901496259351621,12731
lloyd,1,13,711,0.05925,0.08874188716924614,12720
lloyd,1,14,734,0.06116666666666667,0.09177294323580895,12729
lloyd,1,15,87,0.00725,0.06,1537
none,0,0,735,0.06125,0.08792917813135542,13771
none,0,1,680,0.056666666666666664,0.08494690818238601,12525
none,0,2,645,0.05375,0.0803538059050704,12612
none,0,3,686,0.057166666666666664,0.08672566371681416,12491
none,0,4,723,0.06025,0.09068104853881852,12713
none,0,5,695,0.057916666666666665,0.08651811278476286,12702
none,0,6,701,0.058416666666666665,0.0873629112662014,12804
none,0,7,674,0.05616666666666666,0.08554385074248001,12450
none,0,8,724,0.060333333333333336,0.09109209864116759,12586
none,0,9,741,0.06175,0.09458769466428389,12503
none,0,10,694,0.057833333333333334,0.08744959677419355,12555
none,0,11,659,0.05491666666666667,0.08212861415752742,12794
none,0,12,769,0.06408333333333334,0.09641424272818455,12751
none,0,13,675,0.05625,0.084375,12690
none,0,14,688,0.05733333333333333,0.08700050581689428,12457
none,0,15,97,0.008083333333333333,0.06466666666666666,1596
none,1,0,687,0.05725,0.08366824990865912,13455
none,1,1,648,0.054,0.08195270013911723,12408
none,1,2,678,0.0565,0.08459139114160948,12690
none,1,3,683,0.056916666666666664,0.0872508942258559,12484
none,1,4,672,0.056,0.0851603092130275,12490
none,1,5,708,0.059,0.08896707715506409,12575
none,1,6,700,0.058333333333333334,0.08806139136998364,12728
none,1,7,729,0.06075,0.09168658030436423,12651
none,1,8,732,0.061,0.09224952741020793,12615
none,1,9,696,0.058,0.08811241929358146,12566
none,1,10,704,0.058666666666666666,0.0881211666040806,12610
none,1,11,788,0.06566666666666666,0.09691304882548273,13011
none,1,12,711,0.05925,0.08865336658354114,12731
none,1,13,651,0.05425,0.08125312031952071,12720
none,1,14,713,0.059416666666666666,0.08914728682170543,12729
none,1,15,85,0.007083333333333333,0.05862068965517241,1537
none,2,0,740,0.06166666666666667,0.08877159309021113,13542
none,2,1,658,0.05483333333333333,0.08302839116719243,12579
none,2,2,703,0.058583333333333334,0.08750311177495644,12689
none,2,3,705,0.05875,0.08833479513845383,12636
none,2,4,660,0.055,0.08339651250947688,12469
none,2,5,657,0.05475,0.08368360718379825,12336
none,2,6,695,0.057916666666666665,0.08673405715711968,12738
none,2,7,704,0.058666666666666666,0.08927212782145574,12581
none,2,8,715,0.059583333333333335,0.09034622188526661,12530
none,2,9,738,0.0615,0.09148382298252139,12755
none,2,10,696,0.058,0.08784551306323363,12491
none,2,11,723,0.06025,0.08960218118725988,12943
none,2,12,722,0.06016666666666667,0.09051021687351135,12629
none,2,13,700,0.058333333333333334,0.08733624454148471,12872
none,2,14,705,0.05875,0.08841234010534237,12726
none,2,15,83,0.0069166666666666664,0.058781869688385266,1484
