condition,layer,seeds,fires_mean,fires_std,all_interval_rate_mean,all_interval_rate_std,selected_interval_rate_mean,selected_interval_rate_std
residual,0,3,731.6666666666666,24.8461935381123,0.06097222222222222,0.0020705161281760233,0.0881178910980361,0.0021795395029989163
residual,1,3,688.3333333333334,16.502525059315417,0.05736111111111111,0.0013752104216096207,0.08663185725330694,0.0021204099285298044
residual,2,3,703.3333333333334,18.175074506954115,0.058611111111111114,0.0015145895422461787,0.08763993334329515,0.0023083649915605527
residual,3,3,702.3333333333334,17.21433511156714,0.058527777777777776,0.0014345279259639293,0.08882663777862519,0.0016368015828305785
residual,4,3,698.3333333333334,21.1266025033211,0.058194444444444444,0.0017605502086100945,0.08810201054346106,0.0023856784958870086
residual,5,3,717.6666666666666,24.583192089989723,0.059805555555555556,0.002048599340832476,0.09031859610372575,0.003584454054896333
residual,6,3,684.3333333333334,20.744477176668813,0.05702777777777778,0.0017287064313890668,0.08559910614171877,0.0029141811247293714
residual,7,3,708.3333333333334,16.502525059315417,0.059027777777777776,0.0013752104216096168,0.08960996940244122,0.0025062759699160902
residual,8,3,728.3333333333334,21.93931022920578,0.06069444444444445,0.0018282758524338157,0.0918149559319095,0.0025849282076095253
residual,9,3,716.6666666666666,12.42309676905615,0.059722222222222225,0.0010352580640880127,0.0903542915865226,0.0023394833542869364
residual,10,3,694.0,17.776388834631177,0.057833333333333334,0.0014813657362192656,0.0872987624291959,0.0019423954865666394
residual,11,3,727.3333333333334,22.052966542697455,0.060611111111111116,0.0018377472118914552,0.0900711910166692,0.0024211498171585913
residual,12,3,712.0,7.0,0.059333333333333335,0.0005833333333333335,0.08909971917565682,0.0007426086997927247
residual,13,3,692.6666666666666,33.6501609703926,0.05772222222222222,0.0028041800808660494,0.08648476666368715,0.00416121352562212
residual,14,3,719.6666666666666,26.083200212652844,0.059972222222222225,0.0021736000177210685,0.09039968108656589,0.0027577370329938443
residual,15,3,86.0,13.527749258468683,0.007166666666666667,0.0011273124382057238,0.059089967763993355,0.00845985631041107
rmsnorm,0,3,732.0,12.767145334803704,0.061,0.0010639287779003082,0.08816722952018315,0.0007212894338914882
rmsnorm,1,3,668.6666666666666,26.159765544311234,0.05572222222222222,0.0021799804620259372,0.08416924447880496,0.003752518416845349
rmsnorm,2,3,658.6666666666666,31.879983270593687,0.05488888888888889,0.002656665272549476,0.08207585223421446,0.004048056289667979
rmsnorm,3,3,680.0,46.357307945997036,0.05666666666666667,0.0038631089954997543,0.08597794367724688,0.005094604644927594
rmsnorm,4,3,685.0,31.22498999199199,0.05708333333333333,0.0026020824993326645,0.08641397444346717,0.0035539207602414014
rmsnorm,5,3,692.0,14.177446878757825,0.057666666666666665,0.0011814539065631493,0.08709202689525719,0.0026740389943639533
rmsnorm,6,3,721.3333333333334,22.744962812309307,0.060111111111111115,0.0018954135676924413,0.09022671392961704,0.0031473701164955905
rmsnorm,7,3,667.0,15.716233645501712,0.05558333333333333,0.0013096861371251422,0.08437432274771771,0.0020060586405366743
rmsnorm,8,3,700.6666666666666,8.32666399786453,0.058388888888888886,0.0006938886664887106,0.08832979887788132,0.0009419433012126663
rmsnorm,9,3,687.6666666666666,17.7857620959388,0.057305555555555554,0.0014821468413282316,0.08671212066117631,0.00339400550876382
rmsnorm,10,3,705.6666666666666,19.857828011475306,0.058805555555555555,0.0016548190009562744,0.0887650064386622,0.002141711855034778
rmsnorm,11,3,735.6666666666666,22.89832599412746,0.06130555555555556,0.0019081938328439577,0.09111261562796176,0.002997378632427419
rmsnorm,12,3,739.6666666666666,20.256686138984662,0.06163888888888889,0.0016880571782487237,0.09256174141196012,0.0024820467354029264
rmsnorm,13,3,723.6666666666666,26.083200212652844,0.06030555555555556,0.0021736000177210724,0.09035803637546384,0.003311981913136368
rmsnorm,14,3,701.3333333333334,19.857828011475306,0.058444444444444445,0.0016548190009562736,0.08810499142241952,0.0023095925193360265
rmsnorm,15,3,88.0,7.211102550927978,0.007333333333333333,0.0006009252125773315,0.06053796142533077,0.004923376678411321
lloyd,0,3,750.6666666666666,40.26578365477733,0.06255555555555556,0.003355481971231445,0.09039547434401715,0.004030061074959309
lloyd,1,3,683.3333333333334,37.978063843926186,0.05694444444444444,0.003164838653660517,0.0859824376089742,0.004202288781383352
lloyd,2,3,665.3333333333334,28.005951748393294,0.05544444444444445,0.0023338293123661073,0.0829059121627539,0.003552863416130228
lloyd,3,3,710.3333333333334,21.571586249817916,0.059194444444444445,0.0017976321874848265,0.08983319096622747,0.0019593498182349806
lloyd,4,3,689.6666666666666,19.5021366350801,0.05747222222222222,0.0016251780529233431,0.08700886908138651,0.0021651598787400463
lloyd,5,3,713.3333333333334,9.073771725877465,0.059444444444444446,0.0007561476438231225,0.089768011589172,0.0017383192459710112
lloyd,6,3,688.6666666666666,27.061657993059725,0.057388888888888885,0.0022551381660883114,0.0861260687738136,0.003051236915205841
lloyd,7,3,662.3333333333334,25.423086620891127,0.05519444444444444,0.002118590551740928,0.08377960456500409,0.0030517469892652723
lloyd,8,3,686.3333333333334,34.50120770833006,0.057194444444444444,0.0028751006423608405,0.08651997711733611,0.004242670141126127
lloyd,9,3,701.0,2.6457513110645907,0.058416666666666665,0.00022047927592204722,0.08837181094621419,0.0010476900157149471
lloyd,10,3,711.6666666666666,32.593455375785695,0.059305555555555556,0.002716121281315473,0.08953167671792472,0.004294605343723242
lloyd,11,3,721.3333333333334,7.571877794400365,0.060111111111111115,0.0006309898162000318,0.08933202457915863,0.0005384011739915501
lloyd,12,3,728.0,17.05872210923198,0.06066666666666667,0.001421560175769333,0.0911043091409758,0.002233015158290686
lloyd,13,3,710.0,14.52583904633395,0.059166666666666666,0.0012104865871944979,0.08864917241262249,0.0017296796849017532
lloyd,14,3,712.0,29.866369046136157,0.059333333333333335,0.002488864087178013,0.08943466361335585,0.00324026829228312
lloyd,15,3,79.0,7.211102550927978,0.006583333333333333,0.0006009252125773319,0.05434435001573812,0.004901361214371621
none,0,3,720.6666666666666,29.26317367158479,0.060055555555555556,0.0024385978059653984,0.08678967371007522,0.0027358509922437626
none,1,3,662.0,16.3707055437449,0.05516666666666666,0.0013642254619787406,0.08330933316289856,0.0015167454484215086
