condition,seed,stage,layer,count,mean,rms,median,p90,p99,max,zero_fraction
residual,0,initial,0,64,2.9272490739822388,3.5370267170611838,2.7546539306640625,5.720338439941408,7.8563438796997005,9.458099365234375,0.0
residual,0,initial,1,64,2.7791590690612793,3.4854668516517404,2.5917930603027344,6.0506935119628915,7.993303947448729,8.341754913330078,0.0
residual,0,initial,2,64,2.9050740003585815,3.659717639942273,2.3643436431884766,6.539383697509766,8.134013175964355,8.170242309570312,0.0
residual,0,initial,3,64,2.994430184364319,3.741774829394297,2.7102203369140625,5.7369640350341795,8.425633087158193,11.030448913574219,0.0
residual,0,initial,4,64,2.935684323310852,3.7197517803903484,2.4115962982177734,6.370515060424805,8.243472404479977,9.155891418457031,0.0
residual,0,initial,5,64,2.321656107902527,2.7686100412325327,1.9074592590332031,4.441843414306641,5.600570983886717,5.8807525634765625,0.0
residual,0,initial,6,64,2.4810059666633606,3.167046873849292,2.0857696533203125,5.1689285278320325,7.223531494140624,7.6006317138671875,0.0
residual,0,initial,7,64,2.212847650051117,2.7343840506640733,1.9607810974121094,4.672916793823244,6.015462493896484,6.033775329589844,0.0
residual,0,initial,8,64,1.954022467136383,2.451826846957575,1.804229736328125,4.43519401550293,5.245157012939451,5.786399841308594,0.0
residual,0,initial,9,64,1.634128987789154,1.9556256488303494,1.3910026550292969,3.187348175048829,4.505462188720702,4.784297943115234,0.0
residual,0,initial,10,64,1.6709833145141602,1.9872752851555957,1.4090232849121094,3.2220813751220705,4.105035934448241,4.2466888427734375,0.0
residual,0,initial,11,64,1.257226824760437,1.516437590084587,1.1231536865234375,2.4175148010253906,3.1363042068481435,3.364635467529297,0.0
residual,0,initial,12,64,1.007341980934143,1.241217046212189,0.7486858367919922,2.185785293579102,2.4935802841186523,2.514495849609375,0.0
residual,0,initial,13,64,0.7174520492553711,0.9283592182403686,0.6575126647949219,1.4461200714111329,2.4444718170166,2.7833938598632812,0.0
residual,0,initial,14,64,0.35629433393478394,0.44914123941537265,0.3211803436279297,0.7709121704101564,0.9946162796020505,1.0824241638183594,0.0
residual,0,initial,15,64,0.8386567234992981,1.0599456452869198,0.6601638793945312,1.963219833374024,2.3435076522827143,2.462543487548828,0.0
residual,0,final,0,64,1.51772540807724,1.9398533125884607,1.30560302734375,3.079253578186036,5.068394470214843,5.379640579223633,0.0
residual,0,final,1,64,1.7523780465126038,2.184287423978021,1.6035079956054688,3.2524005889892584,5.811580257415768,6.632373809814453,0.0
residual,0,final,2,64,1.3766696453094482,1.7604840232530878,1.1963653564453125,2.762081146240235,4.591175727844238,4.646308898925781,0.0
residual,0,final,3,64,1.6689868867397308,2.1186090122217043,1.3409910202026367,3.684958076477051,4.916313571929932,5.031949996948242,0.0
residual,0,final,4,64,1.6298238039016724,1.958190256389541,1.5523042678833008,3.184214401245119,4.095201625823974,4.221986770629883,0.0
residual,0,final,5,64,1.4334282577037811,1.8046013267684866,1.2885704040527344,2.8308485031127932,4.409862918853756,5.220401763916016,0.0
residual,0,final,6,64,1.4573020040988922,1.7578430214546394,1.3389101028442383,2.6745494842529296,4.151015377044674,5.153312683105469,0.0
residual,0,final,7,64,1.101925551891327,1.435930467621484,0.9528369903564453,2.218791770935059,3.859092121124265,4.560047149658203,0.0
residual,0,final,8,64,1.1630174815654755,1.4895477071108132,0.9820957183837891,2.4817016601562503,3.8893212699890136,3.9484786987304688,0.0
residual,0,final,9,64,0.9445711374282837,1.2145285414178941,0.7738380432128906,2.014153861999512,3.3002770805358863,3.9108142852783203,0.0
