condition,seed,initial_val_accuracy,initial_val_loss,val_accuracy,val_loss,test_accuracy,test_loss,total_fires,train_forward_calls,elapsed_seconds,zero_difference_fraction,abs_y_mean,abs_y_rms,normalized_abs_y_mean
residual,0,0.096,52.10472265625,0.163,23.659982421875,0.185,22.3004244140625,10711,1536000,3087.4434187673032,1.3020833333333333e-06,1.8382415149398148,2.332655672094953,1.1700843079886176
residual,2,0.086,48.18356640625,0.2,20.79940625,0.1845,20.778111328125,10707,1536000,3183.3989848420024,0.0,1.7780974938236176,2.2634841451233836,1.172945731503758
residual,1,0.094,44.327078125,0.174,22.49040625,0.1766,24.1078353515625,10715,1536000,3235.892463605851,1.3020833333333333e-06,1.8856123237609863,2.3835933934061457,1.1714314535190324
rmsnorm,1,0.103,2.709751220703125,0.114,2.533049072265625,0.1251,2.5609414184570314,10576,1536000,3351.0883025862277,0.0,0.06814961621693025,0.08565813712581456,1.1611603248732418
rmsnorm,2,0.103,2.700594482421875,0.116,2.54797802734375,0.1188,2.560779541015625,10558,1536000,3352.6706695221364,0.0,0.06473493107936035,0.08134083551616518,1.159661311013911
rmsnorm,0,0.108,2.661114990234375,0.1,2.63043603515625,0.1202,2.595064099121094,10627,1536000,3416.448407035321,0.0,0.06861689737563333,0.08617627157691098,1.1597155237357148
lloyd,2,0.095,2.3080703125,0.166,2.255995361328125,0.1866,2.2461935913085935,10572,1536000,7292.961264707148,1.171875e-05,0.009660238838133713,0.012187876391167593,1.1610542704436195
lloyd,0,0.111,2.305144287109375,0.114,2.29918701171875,0.1363,2.28896591796875,10648,1536000,7307.2093066722155,6.510416666666667e-06,0.008533365972029666,0.010734405075025572,1.1593997992274476
lloyd,1,0.11,2.303400146484375,0.112,2.29954443359375,0.1229,2.2939816650390625,10619,1536000,7412.95789334923,5.208333333333333e-06,0.00726744029764086,0.009135877011113996,1.1581337185491585
none,0,0.104,2.301154296875,0.13,2.278478271484375,0.1528,2.2757098876953124,10586,1536000,3599.2428883761168,1.4322916666666666e-05,0.007075706353411078,0.00890823703889093,1.1577911374295966
none,1,0.103,2.30274462890625,0.13,2.289878173828125,0.1256,2.2925289306640626,10585,1536000,4072.640908487141,1.6927083333333333e-05,0.0068022993846486015,0.008562641454789308,1.158860147615038
none,2,0.105,2.309536376953125,0.154,2.2754765625,0.139,2.2824607177734375,10604,1536000,2694.6688418649137,9.114583333333334e-06,0.007702855505670111,0.009698276685881664,1.1592324838402628
