condition,step,layer,stage,seeds,rms_mean,rms_std,mean_mean,mean_std,std_mean,std_std,zero_fraction_mean,zero_fraction_std,max_abs_mean,max_abs_std
residual,0,0,input,3,0.6224744586297459,0.0,-0.24865594502025182,0.0,0.5706528477563928,0.0,0.11097777777777777,0.0,1.9996788501739502,0.0
residual,0,0,output,3,0.6246402264223951,0.01718221178226619,-0.019932168877288613,0.05585790363765312,0.622628436195687,0.01852161782916504,0.0,0.0,3.6011623541514077,0.16662488256623403
residual,0,0,pre_activation,3,0.6246402264223951,0.01718221178226619,-0.019932168877288613,0.05585790363765312,0.622628436195687,0.01852161782916504,0.0,0.0,3.6011623541514077,0.16662488256623403
residual,0,0,pre_quantization,3,0.7687699325418043,0.0,0.018114338403025208,0.0,0.7685564910431445,0.0,0.0,0.0,2.821486711502075,0.0
residual,0,1,branch_shortcut_rms_ratio,3,0.8835169606073738,0.06724822423955265,0.8812074730793635,0.06738999720733385,0.06363909845276028,0.0044071835575934075,0.0,0.0,1.1108098824818928,0.06978794376155367
residual,0,1,input,3,0.5528256016929514,0.01599472055424129,-0.019666978022468744,0.03506582823643745,0.5517246100206691,0.01643729345019924,0.3051054852320675,0.010161067337150794,1.2690031131108601,0.1724052820272778
residual,0,1,output,3,0.8212433476163905,0.034535134332839834,-0.037369125881417234,0.037628666929587586,0.8197798274176834,0.035841141438170465,0.0,0.0,4.941156546274821,0.5575281571610015
residual,0,1,pre_activation,3,0.8212433476163905,0.034535134332839834,-0.037369125881417234,0.037628666929587586,0.8197798274176834,0.035841141438170465,0.0,0.0,4.941156546274821,0.5575281571610015
residual,0,1,pre_quantization,3,0.6246402264223951,0.01718221178226619,-0.019932168877288613,0.05585790363765312,0.622628436195687,0.01852161782916504,0.0,0.0,3.6011623541514077,0.16662488256623403
residual,0,1,residual_branch,3,0.5437805729572472,0.04449184933400735,-0.018166182651892203,0.016616971278045168,0.5433326140743597,0.044032472650808646,0.0,0.0,3.441188335418701,0.1598884200788481
