precision,seed,stage,layer,values,zero_fraction,mse,relative_squared_error,observed_codes
a32,0,initial,0,90000,0.0,0.0,0.0,
a32,0,initial,1,100000,0.49558,0.0,0.0,
a32,0,final,0,90000,0.0,0.0,0.0,
a32,0,final,1,100000,0.32795,0.0,0.0,
a32,1,initial,0,90000,0.0,0.0,0.0,
a32,1,initial,1,100000,0.54815,0.0,0.0,
a32,1,final,0,90000,0.0,0.0,0.0,
a32,1,final,1,100000,0.35811,0.0,0.0,
a32,2,initial,0,90000,0.0,0.0,0.0,
a32,2,initial,1,100000,0.51216,0.0,0.0,
a32,2,final,0,90000,0.0,0.0,0.0,
a32,2,final,1,100000,0.33993,0.0,0.0,
a16,0,initial,0,90000,0.0,2.800162166966666e-08,4.7379492558986193e-08,
a16,0,initial,1,100000,0.49559,1.3312498676173448e-08,4.281570289475947e-08,
a16,0,final,0,90000,0.0,2.800162166966666e-08,4.7379492558986193e-08,
a16,0,final,1,100000,0.32821,3.950831875619112e-08,4.3812648157188096e-08,
a16,1,initial,0,90000,0.0,2.800162166966666e-08,4.7379492558986193e-08,
a16,1,initial,1,100000,0.5481,9.499109707482753e-09,4.290667544261562e-08,
a16,1,final,0,90000,0.0,2.800162166966666e-08,4.7379492558986193e-08,
a16,1,final,1,100000,0.36513,3.7019186971149316e-08,4.326601763032492e-08,
a16,2,initial,0,90000,0.0,2.800162166966666e-08,4.7379492558986193e-08,
a16,2,initial,1,100000,0.51218,1.1926558443008093e-08,4.3145755348019646e-08,
a16,2,final,0,90000,0.0,2.800162166966666e-08,4.7379492558986193e-08,
a16,2,final,1,100000,0.34118,3.8291592579875915e-08,4.2647958884257285e-08,
a8,0,initial,0,90000,0.0029444444444444444,2.7498265922950906e-05,4.652780117705896e-05,184
a8,0,initial,1,100000,0.49962,9.874275149154158e-06,3.1769958942362244e-05,128
a8,0,final,0,90000,0.0029444444444444444,2.7498265922950906e-05,4.652780117705896e-05,184
a8,0,final,1,100000,0.32618,2.505449238262238e-05,2.8259053158776783e-05,128
a8,1,initial,0,90000,0.0029444444444444444,2.7498265922950906e-05,4.652780117705896e-05,184
a8,1,initial,1,100000,0.55137,6.5929357170189505e-06,2.979597298101375e-05,128
a8,1,final,0,90000,0.0029444444444444444,2.7498265922950906e-05,4.652780117705896e-05,184
a8,1,final,1,100000,0.36428,2.3953114298167813e-05,2.7174052768530367e-05,128
a8,2,initial,0,90000,0.0029444444444444444,2.7498265922950906e-05,4.652780117705896e-05,184
a8,2,initial,1,100000,0.51613,8.587799986394736e-06,3.108205892407145e-05,128
a8,2,final,0,90000,0.0029444444444444444,2.7498265922950906e-05,4.652780117705896e-05,184
a8,2,final,1,100000,0.32145,2.695339401444905e-05,2.854576601009837e-05,128
a4,0,initial,0,90000,0.05282222222222222,0.0077437047742206135,0.013102555525440002,12
a4,0,initial,1,100000,0.56511,0.0031619817190165263,0.010440886167218381,8
a4,0,final,0,90000,0.05282222222222222,0.0077437047742206135,0.013102555525440002,12
a4,0,final,1,100000,0.41563,0.007437673775904168,0.009697207426964543,8
a4,1,initial,0,90000,0.05282222222222222,0.0077437047742206135,0.013102555525440002,12
a4,1,initial,1,100000,0.61135,0.0021197006799911107,0.009888006046489423,8
a4,1,final,0,90000,0.05282222222222222,0.0077437047742206135,0.013102555525440002,12
a4,1,final,1,100000,0.46461,0.006524629090644762,0.00924496780667686,8
a4,2,initial,0,90000,0.05282222222222222,0.0077437047742206135,0.013102555525440002,12
a4,2,initial,1,100000,0.58007,0.0027321758838202543,0.010185325045901555,8
a4,2,final,0,90000,0.05282222222222222,0.0077437047742206135,0.013102555525440002,12
a4,2,final,1,100000,0.43487,0.0074895408344563385,0.009298471626524377,8
a3,0,initial,0,90000,0.8666333333333334,0.24602190665600057,0.4162756440775216,3
a3,0,initial,1,100000,0.89152,0.18151209321923067,0.4843119962857752,2
a3,0,final,0,90000,0.8666333333333334,0.24602190665600057,0.4162756440775216,3
a3,0,final,1,100000,0.84911,0.3136664988065821,0.4424835356405607,2
a3,1,initial,0,90000,0.8666333333333334,0.24602190665600057,0.4162756440775216,3
a3,1,initial,1,100000,0.90107,0.11872055051693318,0.4566902735925985,2
a3,1,final,0,90000,0.8666333333333334,0.24602190665600057,0.4162756440775216,3
a3,1,final,1,100000,0.85357,0.30331068971479447,0.4319359416191782,2
a3,2,initial,0,90000,0.8666333333333334,0.24602190665600057,0.4162756440775216,3
a3,2,initial,1,100000,0.89829,0.15484160129497956,0.4755547327417919,2
a3,2,final,0,90000,0.8666333333333334,0.24602190665600057,0.4162756440775216,3
a3,2,final,1,100000,0.85644,0.33293655956197415,0.44165577198537626,2
