precision,seed,num_params,initial_val_loss,initial_val_accuracy,val_loss,val_accuracy,test_loss,test_accuracy,total_fires,layer_0_fires,layer_1_fires,train_forward_calls,total_forward_calls,train_forward_examples,counter_abs_mean,counter_abs_max,counter_saturated_count
a32,0,10000,2.3843681640625,0.1,0.780273681640625,0.838,0.7460791442871094,0.8536,2973,2592,381,384000,384017,49152000,5.738368199824121,56,0
a32,1,10000,2.367248779296875,0.1,0.8046693725585937,0.823,0.7697742736816406,0.839,2954,2580,374,384000,384017,49152000,5.753713000942857,59,0
a32,2,10000,2.434374755859375,0.097,0.7724507446289063,0.83,0.7311993530273437,0.8465,2955,2546,409,384000,384017,49152000,5.7474065255946165,59,0
a16,0,10000,2.38437255859375,0.1,0.785580810546875,0.836,0.750435009765625,0.841,2962,2573,389,384000,384017,49152000,5.7625192806208565,55,0
a16,1,10000,2.367256591796875,0.1,0.81428515625,0.821,0.7822518310546875,0.8368,2958,2609,349,384000,384017,49152000,5.764116788556592,58,0
a16,2,10000,2.43438818359375,0.097,0.782642822265625,0.822,0.7358740966796875,0.8423,2955,2552,403,384000,384017,49152000,5.7689476542929645,57,0
a8,0,10000,2.384284423828125,0.099,0.7943776245117188,0.817,0.7541058471679688,0.8324,2964,2576,388,384000,384017,49152000,5.780370546932444,57,0
a8,1,10000,2.36707275390625,0.1,0.8082764892578125,0.814,0.7748560424804688,0.8366,2950,2589,361,384000,384017,49152000,5.7593556981954706,59,0
a8,2,10000,2.43440283203125,0.097,0.7538614501953125,0.828,0.7164179138183594,0.8494,2946,2543,403,384000,384017,49152000,5.724841136039424,54,0
a4,0,10000,2.38148974609375,0.101,0.8740897827148437,0.796,0.8406880004882813,0.8181,2968,2591,377,384000,384017,49152000,5.558945449853221,54,0
a4,1,10000,2.363668212890625,0.103,0.9047591552734375,0.799,0.8715052856445312,0.8091,2962,2579,383,384000,384017,49152000,5.565210032560689,55,0
a4,2,10000,2.430869384765625,0.097,0.86340576171875,0.815,0.8264811645507812,0.8288,2969,2562,407,384000,384017,49152000,5.57688502522017,56,0
a3,0,10000,2.4187646484375,0.106,1.313808837890625,0.614,1.2292162048339843,0.6352,2965,2597,368,384000,384017,49152000,5.147316235750901,52,0
a3,1,10000,2.417509521484375,0.12,1.2341317138671875,0.635,1.186281689453125,0.6556,2956,2639,317,384000,384017,49152000,5.149119508428877,54,0
a3,2,10000,2.410353515625,0.122,1.192156494140625,0.643,1.1466223083496094,0.6654,2955,2620,335,384000,384017,49152000,5.18558129046806,54,0
