seed,split,mode,quantized_count,quantized_linear_inputs,loss,accuracy,accuracy_delta_pp,prediction_disagreement_fraction,correct_to_wrong,wrong_to_correct
2,validation,fp32,0,,0.19582730102539062,0.951,0.0,0.0,0,0
2,validation,single_hidden_01,1,1,0.9143380126953125,0.768,-18.299999999999994,0.216,191,8
2,validation,single_hidden_02,1,2,1.286603271484375,0.654,-29.699999999999992,0.327,304,7
2,validation,single_hidden_03,1,3,0.9521697998046875,0.732,-21.9,0.256,231,12
2,validation,single_hidden_04,1,4,0.6719835815429688,0.798,-15.299999999999992,0.18,158,5
2,validation,single_hidden_05,1,5,0.38232992553710937,0.88,-7.099999999999995,0.101,81,10
2,validation,single_hidden_06,1,6,0.35201779174804687,0.891,-5.999999999999995,0.09,68,8
2,validation,single_hidden_07,1,7,0.2831437072753906,0.916,-3.499999999999992,0.063,46,11
2,validation,single_hidden_08,1,8,0.25180807495117186,0.925,-2.599999999999991,0.045,30,4
2,validation,single_hidden_09,1,9,0.2561882629394531,0.927,-2.399999999999991,0.038,29,5
2,validation,single_hidden_10,1,10,0.25926788330078127,0.922,-2.8999999999999915,0.051,38,9
2,validation,single_hidden_11,1,11,0.295677490234375,0.918,-3.299999999999992,0.051,38,5
2,validation,single_hidden_12,1,12,0.28912872314453125,0.931,-1.9999999999999907,0.044,27,7
2,validation,single_hidden_13,1,13,0.2661212158203125,0.926,-2.499999999999991,0.041,28,3
2,validation,single_hidden_14,1,14,0.21988417053222656,0.943,-0.8000000000000007,0.025,12,4
2,validation,single_hidden_15,1,15,0.27532962036132813,0.931,-1.9999999999999907,0.033,25,5
2,validation,prefix_hidden_01,1,1,0.9143380126953125,0.768,-18.299999999999994,0.216,191,8
2,validation,prefix_hidden_02,2,"1,2",1.8351961669921875,0.516,-43.49999999999999,0.475,441,6
2,validation,prefix_hidden_03,3,"1,2,3",2.327972900390625,0.35,-60.099999999999994,0.642,608,7
2,validation,prefix_hidden_04,4,"1,2,3,4",2.35702490234375,0.285,-66.6,0.709,673,7
2,validation,prefix_hidden_05,5,"1,2,3,4,5",2.3438916015625,0.224,-72.7,0.779,738,11
2,validation,prefix_hidden_06,6,"1,2,3,4,5,6",2.389040283203125,0.173,-77.8,0.833,789,11
2,validation,prefix_hidden_07,7,"1,2,3,4,5,6,7",2.34225927734375,0.164,-78.69999999999999,0.835,794,7
2,validation,prefix_hidden_08,8,"1,2,3,4,5,6,7,8",2.3403544921875,0.15,-80.1,0.846,805,4
2,validation,prefix_hidden_09,9,"1,2,3,4,5,6,7,8,9",2.33569287109375,0.136,-81.5,0.861,821,6
2,validation,prefix_hidden_10,10,"1,2,3,4,5,6,7,8,9,10",2.326846923828125,0.119,-83.2,0.88,840,8
2,validation,prefix_hidden_11,11,"1,2,3,4,5,6,7,8,9,10,11",2.322329345703125,0.117,-83.39999999999999,0.883,838,4
2,validation,prefix_hidden_12,12,"1,2,3,4,5,6,7,8,9,10,11,12",2.318424560546875,0.101,-85.0,0.899,854,4
2,validation,prefix_hidden_13,13,"1,2,3,4,5,6,7,8,9,10,11,12,13",2.315650634765625,0.105,-84.6,0.892,848,2
2,validation,prefix_hidden_14,14,"1,2,3,4,5,6,7,8,9,10,11,12,13,14",2.311998046875,0.098,-85.3,0.904,860,7
2,validation,prefix_hidden_15,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",2.30880712890625,0.098,-85.3,0.9,858,5
2,validation,input_only,1,0,1.0567841796875,0.756,-19.499999999999996,0.218,200,5
2,validation,all_linear_inputs,16,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",2.304169921875,0.105,-84.6,0.894,849,3
