steps,seed,block_size,threshold,counter_value,count,fraction
12000,0,8,8,-64,4,3.115167751783434e-05
12000,0,8,8,-63,2,1.557583875891717e-05
12000,0,8,8,-62,7,5.4515435656210084e-05
12000,0,8,8,-61,2,1.557583875891717e-05
12000,0,8,8,-60,9,7.009127441512725e-05
12000,0,8,8,-59,6,4.67275162767515e-05
12000,0,8,8,-58,5,3.893959689729292e-05
12000,0,8,8,-57,5,3.893959689729292e-05
12000,0,8,8,-56,5,3.893959689729292e-05
12000,0,8,8,-55,9,7.009127441512725e-05
12000,0,8,8,-54,7,5.4515435656210084e-05
12000,0,8,8,-53,9,7.009127441512725e-05
12000,0,8,8,-52,13,0.00010124295193296159
12000,0,8,8,-51,12,9.3455032553503e-05
12000,0,8,8,-50,15,0.00011681879069187876
12000,0,8,8,-49,12,9.3455032553503e-05
12000,0,8,8,-48,14,0.00010903087131242017
12000,0,8,8,-47,15,0.00011681879069187876
12000,0,8,8,-46,18,0.0001401825488302545
12000,0,8,8,-45,16,0.00012460671007133735
12000,0,8,8,-44,29,0.00022584966200429893
12000,0,8,8,-43,32,0.0002492134201426747
12000,0,8,8,-42,32,0.0002492134201426747
12000,0,8,8,-41,37,0.0002881530170399676
12000,0,8,8,-40,35,0.00027257717828105043
12000,0,8,8,-39,45,0.00035045637207563627
12000,0,8,8,-38,34,0.00026478925890159187
12000,0,8,8,-37,55,0.0004283355658702221
12000,0,8,8,-36,51,0.00039718388835238775
12000,0,8,8,-35,52,0.00040497180773184637
12000,0,8,8,-34,63,0.0004906389209058908
12000,0,8,8,-33,62,0.0004828510015264322
12000,0,8,8,-32,66,0.0005140026790442665
12000,0,8,8,-31,99,0.0007710040185663998
12000,0,8,8,-30,116,0.0009033986480171957
12000,0,8,8,-29,110,0.0008566711317404442
12000,0,8,8,-28,133,0.0010357932774679916
12000,0,8,8,-27,134,0.0010435811968474503
12000,0,8,8,-26,152,0.0011837637456777047
12000,0,8,8,-25,183,0.001425189246440921
12000,0,8,8,-24,193,0.0015030684402355067
12000,0,8,8,-23,283,0.002203981184386779
12000,0,8,8,-22,315,0.002453194604529454
12000,0,8,8,-21,361,0.0028114388959845486
12000,0,8,8,-20,393,0.0030606523161272234
12000,0,8,8,-19,482,0.0037537771408990375
12000,0,8,8,-18,615,0.004789570418367029
12000,0,8,8,-17,756,0.00588766705087069
12000,0,8,8,-16,847,0.0065963677144014205
12000,0,8,8,-15,1038,0.00808386031587801
12000,0,8,8,-14,1230,0.009579140836734059
12000,0,8,8,-13,1425,0.011097785115728481
12000,0,8,8,-12,1793,0.013963739447369242
12000,0,8,8,-11,2215,0.017250241425500763
