depth,threshold,seed,layer,in_width,out_width,parameters,fires,selected_coordinates,selected_intervals,fire_intervals,fire_interval_rate,fire_given_selected_interval_rate,fires_per_selected_coordinate,updates_per_parameter
4,1,0,0,90,200,18000,2719,34756,11527,2719,0.22658333333333333,0.2358809751019346,0.07823109678904362,0.15105555555555555
4,1,0,1,200,200,40000,4458,76889,11997,4458,0.3715,0.37159289822455616,0.0579796850004552,0.11145
4,1,0,2,200,200,40000,4475,76500,11998,4475,0.3729166666666667,0.3729788298049675,0.05849673202614379,0.111875
4,1,0,3,200,10,2000,347,3855,3323,347,0.028916666666666667,0.10442371351188685,0.09001297016861219,0.1735
4,1,1,0,90,200,18000,2686,34399,11483,2686,0.22383333333333333,0.23391099886789166,0.07808366522282624,0.14922222222222223
4,1,1,1,200,200,40000,4464,76679,11997,4464,0.372,0.37209302325581395,0.05821672165782026,0.1116
4,1,1,2,200,200,40000,4487,77078,11999,4487,0.3739166666666667,0.3739478289857488,0.058213757492410284,0.112175
4,1,1,3,200,10,2000,363,3844,3326,363,0.03025,0.10914010823812387,0.09443288241415193,0.1815
4,1,2,0,90,200,18000,2657,34701,11521,2657,0.22141666666666668,0.23062234181060673,0.07656839860522752,0.1476111111111111
4,1,2,1,200,200,40000,4435,76317,11995,4435,0.3695833333333333,0.3697373905794081,0.05811287131307572,0.110875
4,1,2,2,200,200,40000,4508,77115,11997,4508,0.37566666666666665,0.37576060681837126,0.05845814692342605,0.1127
4,1,2,3,200,10,2000,400,3867,3358,400,0.03333333333333333,0.11911852293031566,0.10343935867597621,0.2
4,4,0,0,90,200,18000,2675,34756,11527,2675,0.22291666666666668,0.23206385009109048,0.07696512832316722,0.1486111111111111
4,4,0,1,200,200,40000,4542,76889,11997,4542,0.3785,0.3785946486621655,0.059072168970854086,0.11355
4,4,0,2,200,200,40000,4428,76500,11998,4428,0.369,0.36906151025170864,0.05788235294117647,0.1107
4,4,0,3,200,10,2000,331,3855,3323,331,0.027583333333333335,0.09960878724044538,0.08586251621271077,0.1655
4,4,1,0,90,200,18000,2626,34399,11483,2626,0.21883333333333332,0.22868588347992685,0.0763394284717579,0.1458888888888889
4,4,1,1,200,200,40000,4420,76679,11997,4420,0.36833333333333335,0.36842543969325664,0.057642900924633866,0.1105
4,4,1,2,200,200,40000,4561,77078,11999,4561,0.38008333333333333,0.380115009584132,0.05917382391862788,0.114025
4,4,1,3,200,10,2000,368,3844,3326,368,0.030666666666666665,0.1106434155141311,0.09573361082206035,0.184
4,4,2,0,90,200,18000,2573,34701,11521,2573,0.21441666666666667,0.22333130804617654,0.07414771908590531,0.14294444444444446
4,4,2,1,200,200,40000,4500,76317,11995,4500,0.375,0.3751563151313047,0.058964581941114036,0.1125
4,4,2,2,200,200,40000,4529,77115,11997,4529,0.3774166666666667,0.3775110444277736,0.05873046748362835,0.113225
4,4,2,3,200,10,2000,374,3867,3358,374,0.031166666666666665,0.11137581893984515,0.09671580036203775,0.187
4,8,0,0,90,200,18000,2529,34756,11527,2529,0.21075,0.2193979352823805,0.07276441477730464,0.1405
4,8,0,1,200,200,40000,4023,76889,11997,4023,0.33525,0.3353338334583646,0.05232217872517525,0.100575
4,8,0,2,200,200,40000,4083,76500,11998,4083,0.34025,0.34030671778629773,0.05337254901960784,0.102075
4,8,0,3,200,10,2000,317,3855,3323,317,0.026416666666666668,0.09539572675293409,0.08223086900129702,0.1585
4,8,1,0,90,200,18000,2429,34399,11483,2429,0.20241666666666666,0.21153008795610903,0.07061251780575016,0.13494444444444445
4,8,1,1,200,200,40000,4016,76679,11997,4016,0.33466666666666667,0.3347503542552305,0.05237418328355873,0.1004
4,8,1,2,200,200,40000,4137,77078,11999,4137,0.34475,0.3447787315609634,0.05367290277381354,0.103425
4,8,1,3,200,10,2000,351,3844,3326,351,0.02925,0.10553217077570655,0.09131113423517169,0.1755
4,8,2,0,90,200,18000,2507,34701,11521,2507,0.20891666666666667,0.21760263865983856,0.07224575660643785,0.13927777777777778
4,8,2,1,200,200,40000,3997,76317,11995,3997,0.33308333333333334,0.3332221759066278,0.052373652004140625,0.099925
4,8,2,2,200,200,40000,4171,77115,11997,4171,0.34758333333333336,0.34767025089605735,0.05408805031446541,0.104275
4,8,2,3,200,10,2000,342,3867,3358,342,0.0285,0.10184633710541989,0.08844065166795965,0.171
4,16,0,0,90,200,18000,1242,34756,11527,1242,0.1035,0.10774702871519043,0.03573483715042007,0.069
4,16,0,1,200,200,40000,1302,76889,11997,1302,0.1085,0.10852713178294573,0.016933501541182745,0.03255
4,16,0,2,200,200,40000,1357,76500,11998,1357,0.11308333333333333,0.11310218369728288,0.01773856209150327,0.033925
4,16,0,3,200,10,2000,223,3855,3323,223,0.018583333333333334,0.06710803490821547,0.05784695201037614,0.1115
4,16,1,0,90,200,18000,1232,34399,11483,1232,0.10266666666666667,0.10728903596621092,0.035814994621936685,0.06844444444444445
4,16,1,1,200,200,40000,1362,76679,11997,1362,0.1135,0.11352838209552388,0.017762359968179032,0.03405
4,16,1,2,200,200,40000,1384,77078,11999,1384,0.11533333333333333,0.11534294524543712,0.01795583694439399,0.0346
4,16,1,3,200,10,2000,260,3844,3326,260,0.021666666666666667,0.07817197835237523,0.06763787721123829,0.13
4,16,2,0,90,200,18000,1208,34701,11521,1208,0.10066666666666667,0.10485200937418628,0.0348116768969194,0.06711111111111111
4,16,2,1,200,200,40000,1324,76317,11995,1324,0.11033333333333334,0.11037932471863277,0.017348690331118886,0.0331
4,16,2,2,200,200,40000,1411,77115,11997,1411,0.11758333333333333,0.1176127365174627,0.01829734811644946,0.035275
4,16,2,3,200,10,2000,244,3867,3358,244,0.02033333333333333,0.07266229898749256,0.06309800879234549,0.122
8,1,0,0,90,120,10800,1623,20890,10126,1623,0.13525,0.1602804661268023,0.07769267592149354,0.1502777777777778
8,1,0,1,120,120,14400,1739,27671,11001,1739,0.14491666666666667,0.15807653849650033,0.0628455784033826,0.12076388888888889
8,1,0,2,120,121,14520,1755,28052,11052,1755,0.14625,0.15879478827361562,0.06256238414373307,0.12086776859504132
8,1,0,3,121,121,14641,1668,28018,10999,1668,0.139,0.1516501500136376,0.059533157256049685,0.11392664435489379
8,1,0,4,121,121,14641,1581,27950,10982,1581,0.13175,0.14396284829721362,0.05656529516994633,0.10798442729321768
8,1,0,5,121,122,14762,1692,28382,11056,1692,0.141,0.15303907380607815,0.059615249101543234,0.11461861536377185
8,1,0,6,122,123,15006,1766,28590,11093,1766,0.14716666666666667,0.15919949517713874,0.06176984959776145,0.11768625882980141
8,1,0,7,123,10,1230,176,2447,2216,176,0.014666666666666666,0.07942238267148015,0.07192480588475685,0.14308943089430895
8,1,1,0,90,120,10800,1457,20529,10043,1457,0.12141666666666667,0.14507617245842874,0.07097277022748308,0.13490740740740742
8,1,1,1,120,120,14400,1796,27647,10991,1796,0.14966666666666667,0.16340642343735784,0.06496184034434116,0.12472222222222222
8,1,1,2,120,121,14520,1615,27728,11034,1615,0.13458333333333333,0.1463657785028095,0.058244373918061164,0.11122589531680441
8,1,1,3,121,121,14641,1639,28070,11024,1639,0.13658333333333333,0.1486756168359942,0.058389739935874596,0.11194590533433509
8,1,1,4,121,121,14641,1702,28182,11034,1702,0.14183333333333334,0.1542504984593076,0.06039315875381449,0.11624889010313504
8,1,1,5,121,122,14762,1805,28602,11069,1805,0.15041666666666667,0.16306802782545848,0.06310747500174813,0.1222734046877117
8,1,1,6,122,123,15006,1784,28887,11158,1784,0.14866666666666667,0.15988528410109337,0.06175788416934953,0.11888577902172465
8,1,1,7,123,10,1230,202,2355,2163,202,0.016833333333333332,0.09338881183541378,0.08577494692144373,0.16422764227642275
8,1,2,0,90,120,10800,1551,20660,10091,1551,0.12925,0.1537013180061441,0.07507260406582769,0.1436111111111111
8,1,2,1,120,120,14400,1782,27846,11051,1782,0.1485,0.161252375350647,0.06399482870071105,0.12375
8,1,2,2,120,121,14520,1641,27542,10972,1641,0.13675,0.1495625227852716,0.05958172972187931,0.11301652892561984
8,1,2,3,121,121,14641,1685,28019,11027,1685,0.14041666666666666,0.1528067470753605,0.060137763660373315,0.11508776722901441
8,1,2,4,121,121,14641,1645,28152,11110,1645,0.13708333333333333,0.14806480648064807,0.05843279340721796,0.11235571340755413
8,1,2,5,121,122,14762,1712,28463,11060,1712,0.14266666666666666,0.15479204339963834,0.06014826265678249,0.11597344533261075
8,1,2,6,122,123,15006,1804,28978,11106,1804,0.15033333333333335,0.16243471997118675,0.06225412381806888,0.12021857923497267
8,1,2,7,123,10,1230,180,2340,2149,180,0.015,0.08375988832014891,0.07692307692307693,0.14634146341463414
8,4,0,0,90,120,10800,1691,20890,10126,1691,0.14091666666666666,0.16699585226150504,0.08094782192436573,0.1565740740740741
8,4,0,1,120,120,14400,1773,27671,11001,1773,0.14775,0.16116716662121625,0.06407430161540964,0.123125
8,4,0,2,120,121,14520,1670,28052,11052,1670,0.13916666666666666,0.15110387260224395,0.059532297162412665,0.11501377410468319
8,4,0,3,121,121,14641,1722,28018,10999,1722,0.1435,0.15655968724429495,0.06146048968520237,0.11761491701386517
8,4,0,4,121,121,14641,1609,27950,10982,1609,0.13408333333333333,0.14651247495902386,0.057567084078711986,0.10989686496823987
8,4,0,5,121,122,14762,1637,28382,11056,1637,0.13641666666666666,0.1480643994211288,0.05767740116975548,0.11089283294946484
8,4,0,6,122,123,15006,1672,28590,11093,1672,0.13933333333333334,0.1507256828630668,0.05848198670863938,0.11142209782753565
8,4,0,7,123,10,1230,180,2447,2216,180,0.015,0.0812274368231047,0.07355946056395586,0.14634146341463414
8,4,1,0,90,120,10800,1494,20529,10043,1494,0.1245,0.1487603305785124,0.07277509864094696,0.13833333333333334
8,4,1,1,120,120,14400,1795,27647,10991,1795,0.14958333333333335,0.1633154399053771,0.06492567005461714,0.12465277777777778
8,4,1,2,120,121,14520,1683,27728,11034,1683,0.14025,0.15252854812398042,0.06069676860934795,0.1159090909090909
8,4,1,3,121,121,14641,1640,28070,11024,1640,0.13666666666666666,0.14876632801161102,0.05842536515853224,0.1120142066798716
8,4,1,4,121,121,14641,1695,28182,11034,1695,0.14125,0.15361609570418705,0.06014477325952736,0.11577078068437949
8,4,1,5,121,122,14762,1730,28602,11069,1730,0.14416666666666667,0.1562923479989159,0.06048528074959793,0.11719279230456578
8,4,1,6,122,123,15006,1715,28887,11158,1715,0.14291666666666666,0.1537013801756587,0.05936926645203725,0.11428761828601892
8,4,1,7,123,10,1230,202,2355,2163,202,0.016833333333333332,0.09338881183541378,0.08577494692144373,0.16422764227642275
8,4,2,0,90,120,10800,1576,20660,10091,1576,0.13133333333333333,0.15617877316420573,0.07628267182962246,0.14592592592592593
8,4,2,1,120,120,14400,1814,27846,11051,1814,0.15116666666666667,0.1641480409012759,0.06514400632047691,0.12597222222222224
8,4,2,2,120,121,14520,1679,27542,10972,1679,0.13991666666666666,0.1530258840685381,0.06096144070873575,0.115633608815427
8,4,2,3,121,121,14641,1636,28019,11027,1636,0.13633333333333333,0.14836310873310965,0.058388950355116175,0.11174100129772556
8,4,2,4,121,121,14641,1601,28152,11110,1601,0.13341666666666666,0.1441044104410441,0.056869849389030974,0.10935045420394782
8,4,2,5,121,122,14762,1675,28463,11060,1675,0.13958333333333334,0.15144665461121157,0.05884832941011137,0.11346700989025878
8,4,2,6,122,123,15006,1787,28978,11106,1787,0.14891666666666667,0.16090401584728975,0.06166747187521568,0.11908569905371184
8,4,2,7,123,10,1230,190,2340,2149,190,0.015833333333333335,0.08841321544904607,0.0811965811965812,0.15447154471544716
