depth,threshold,seed,initial_val_loss,initial_val_accuracy,val_loss,val_accuracy,test_loss,test_accuracy,total_fires,fire_epoch_fraction,zero_difference_fraction,train_forward_calls,elapsed_seconds
4,1,0,2.29040234375,0.084,0.5014505615234375,0.871,0.4628142028808594,0.879,11999,0.9999166666666667,3.3854166666666665e-05,1536000,776.6246870793402
4,1,1,2.3321884765625,0.125,0.49959454345703125,0.861,0.464172216796875,0.8781,12000,1.0,4.036458333333333e-05,1536000,825.7414948679507
4,1,2,2.284623779296875,0.176,0.488740966796875,0.863,0.4584009979248047,0.879,12000,1.0,4.817708333333333e-05,1536000,932.493925370276
4,4,0,2.29040234375,0.084,0.5093289184570312,0.871,0.46877308654785155,0.8782,11976,0.998,2.4739583333333333e-05,1536000,954.7479880005121
4,4,1,2.3321884765625,0.125,0.5053377685546875,0.865,0.4724964630126953,0.8787,11975,0.9979166666666667,3.3854166666666665e-05,1536000,1045.9359645619988
4,4,2,2.284623779296875,0.176,0.494097900390625,0.868,0.46451428527832034,0.8728,11976,0.998,2.604166666666667e-05,1536000,1073.6650840975344
4,8,0,2.29040234375,0.084,0.5336569213867187,0.867,0.49587719421386717,0.8721,10952,0.9126666666666666,3.3854166666666665e-05,1536000,1069.5253572613
4,8,1,2.3321884765625,0.125,0.5289716186523438,0.858,0.4966508972167969,0.8723,10933,0.9110833333333334,4.9479166666666665e-05,1536000,975.4647618606687
4,8,2,2.284623779296875,0.176,0.5051181945800781,0.864,0.47897466735839844,0.8699,11017,0.9180833333333334,4.296875e-05,1536000,989.4551386162639
4,16,0,2.29040234375,0.084,0.81829541015625,0.822,0.7866703186035157,0.8321,4124,0.3436666666666667,5.598958333333333e-05,1536000,1067.4709402360022
4,16,1,2.3321884765625,0.125,0.830338623046875,0.809,0.8005029479980469,0.8329,4238,0.3531666666666667,4.817708333333333e-05,1536000,781.2728439457715
4,16,2,2.284623779296875,0.176,0.7827761840820312,0.815,0.7529292175292969,0.8307,4187,0.34891666666666665,4.296875e-05,1536000,741.1243724301457
8,1,0,2.29851904296875,0.109,0.6737935180664063,0.794,0.6328600860595703,0.8069,12000,1.0,3.125e-05,1536000,1137.8189788348973
8,1,1,2.311603759765625,0.086,0.644087158203125,0.803,0.6102456756591796,0.8216,12000,1.0,6.510416666666667e-05,1536000,1301.6884457357228
8,1,2,2.301593994140625,0.099,0.654662841796875,0.806,0.6115151702880859,0.8268,12000,1.0,5.46875e-05,1536000,1148.6462114825845
8,4,0,2.29851904296875,0.109,0.6573946533203125,0.797,0.6342466339111328,0.8051,11954,0.9961666666666666,4.4270833333333337e-05,1536000,1041.114233519882
8,4,1,2.311603759765625,0.086,0.6187229614257812,0.831,0.5809946746826172,0.8393,11954,0.9961666666666666,5.7291666666666666e-05,1536000,1179.1868814975023
8,4,2,2.301593994140625,0.099,0.6293663940429688,0.809,0.6060397003173829,0.829,11958,0.9965,3.515625e-05,1536000,936.7251985259354
8,8,0,2.29851904296875,0.109,0.7092572631835937,0.803,0.6756520812988281,0.8037,10655,0.8879166666666667,3.3854166666666665e-05,1536000,1275.104751225561
8,8,1,2.311603759765625,0.086,0.6588783569335938,0.813,0.6558766387939453,0.8115,10636,0.8863333333333333,5.598958333333333e-05,1536000,1062.1172662973404
8,8,2,2.301593994140625,0.099,0.6346691284179687,0.822,0.5992548400878907,0.8288,10649,0.8874166666666666,4.9479166666666665e-05,1536000,985.0100685283542
8,16,0,2.29851904296875,0.109,1.1582952880859374,0.637,1.1478892822265625,0.652,3444,0.287,8.072916666666667e-05,1536000,983.5674007572234
8,16,1,2.311603759765625,0.086,1.1165615234375,0.698,1.1009087280273437,0.7101,3710,0.30916666666666665,0.00010286458333333333,1536000,1175.7986569032073
8,16,2,2.301593994140625,0.099,1.114597412109375,0.67,1.077938214111328,0.6859,3519,0.29325,9.244791666666666e-05,1536000,1055.8300682082772
16,1,0,2.302869873046875,0.094,1.4577728271484376,0.422,1.4638141357421874,0.4272,11993,0.9994166666666666,0.00019010416666666665,1536000,1505.6278325207531
16,1,1,2.302552734375,0.116,1.4161873779296874,0.434,1.413752099609375,0.4432,11993,0.9994166666666666,0.00032682291666666667,1536000,1535.8092871941626
