condition,depth,threshold,seed,layer,selected_intervals,selected_coordinates,count,mean,rms,median,p90,p99,max,zero_fraction
relu-a3-threshold,4,1,0,0,11527,34756,737728,0.0023309043588811114,0.0030687762435742645,0.001827239990234375,0.004979288578033453,0.009080886840820312,0.025022029876708984,3.524334171944131e-05
relu-a3-threshold,4,1,0,1,11997,76889,767808,0.0022990893196220487,0.0030342722264312364,0.001794576644897461,0.00492548942565918,0.009016036987304688,0.025022029876708984,3.5165041260315077e-05
relu-a3-threshold,4,1,0,2,11998,76500,767872,0.0022989523614604466,0.003034048416250639,0.001794576644897461,0.0049250125885009766,0.009015390872955331,0.025022029876708984,3.516211035172529e-05
relu-a3-threshold,4,1,0,3,3323,3855,212672,0.002280163438276035,0.0030057158128182996,0.001783609390258789,0.004872560501098633,0.008925676345825195,0.022652149200439453,1.4106229310863677e-05
relu-a3-threshold,4,1,1,0,11483,34399,734912,0.0020047485405683186,0.002620734692216511,0.001589059829711914,0.0042688846588134766,0.0076117253303527865,0.019204378128051758,3.537838543934512e-05
relu-a3-threshold,4,1,1,1,11997,76679,767808,0.001972290301210902,0.0025860939361128155,0.001554727554321289,0.0042150020599365234,0.007551908493041992,0.019204378128051758,4.16770859381512e-05
relu-a3-threshold,4,1,1,2,11999,77078,767936,0.0019721556253093553,0.0025859400093982826,0.0015544891357421875,0.004214763641357422,0.007551825046539312,0.019204378128051758,4.167013917826485e-05
relu-a3-threshold,4,1,1,3,3326,3844,212864,0.0019505849299628693,0.002558803096394161,0.0015385150909423828,0.004171848297119141,0.0074869966506957986,0.016324520111083984,5.167618761274805e-05
relu-a3-threshold,4,1,2,0,11521,34701,737344,0.002261260194900694,0.0029943579415688546,0.0017614364624023438,0.0048449039459228516,0.008970328569412225,0.026343345642089844,5.289254404999566e-05
relu-a3-threshold,4,1,2,1,11995,76317,767680,0.0022277445354191845,0.0029583202524231366,0.001725912094116211,0.004789483547210691,0.008905297517776467,0.026343345642089844,5.340766986244269e-05
relu-a3-threshold,4,1,2,2,11997,77115,767808,0.0022276708780303244,0.002958154014896177,0.001725912094116211,0.004789113998413086,0.00890277147293092,0.026343345642089844,5.339876635825623e-05
relu-a3-threshold,4,1,2,3,3358,3867,214912,0.0021985567342922615,0.002922057445972896,0.00170135498046875,0.004728543758392333,0.008831262588500977,0.026343345642089844,6.514294222751638e-05
relu-a3-threshold,4,4,0,0,11527,34756,737728,0.002168584131353994,0.002832118076744405,0.0017197132110595703,0.004607439041137695,0.008225138187408443,0.020841121673583984,3.524334171944131e-05
relu-a3-threshold,4,4,0,1,11997,76889,767808,0.0021382024789764215,0.0027995485167882283,0.0016889572143554688,0.0045583248138427734,0.008169634342193616,0.020841121673583984,3.776985913144953e-05
relu-a3-threshold,4,4,0,2,11998,76500,767872,0.0021379916823296313,0.0027992617939518903,0.0016887187957763672,0.004557609558105469,0.008169481754302987,0.020841121673583984,3.776671111851975e-05
relu-a3-threshold,4,4,0,3,3323,3855,212672,0.002121155818668145,0.0027740721227674805,0.0016789436340332031,0.004513692855834958,0.008071153163909918,0.016483783721923828,2.8212458621727353e-05
relu-a3-threshold,4,4,1,0,11483,34399,734912,0.002112704515002968,0.0027804530451385873,0.0016584396362304688,0.004514455795288086,0.008213520050048828,0.022023677825927734,2.721414264565009e-05
relu-a3-threshold,4,4,1,1,11997,76679,767808,0.002079090172442146,0.0027445300359122743,0.001622915267944336,0.004456996917724609,0.008150084018707288,0.022023677825927734,2.6048178711344502e-05
relu-a3-threshold,4,4,1,2,11999,77078,767936,0.0020790008803361834,0.002744415111907536,0.001622915267944336,0.004456758499145508,0.008149862289428711,0.022023677825927734,2.6043836986415534e-05
relu-a3-threshold,4,4,1,3,3326,3844,212864,0.0020531982595635265,0.0027136266216975942,0.0015995502471923828,0.004400014877319336,0.008063554763793945,0.022023677825927734,2.81870114251353e-05
relu-a3-threshold,4,4,2,0,11521,34701,737344,0.002261706631704706,0.002982744850604612,0.0017707347869873047,0.004836559295654297,0.008856058120727539,0.022487640380859375,5.0180105893585625e-05
relu-a3-threshold,4,4,2,1,11995,76317,767680,0.002227716536112456,0.002946015485872112,0.0017354488372802734,0.004780769348144531,0.008784344196319571,0.022487640380859375,4.9499791579824924e-05
relu-a3-threshold,4,4,2,2,11997,77115,767808,0.0022279385948050486,0.002946512621990372,0.0017354488372802734,0.004781007766723633,0.008787870407104492,0.022487640380859375,4.9491539551554555e-05
relu-a3-threshold,4,4,2,3,3358,3867,214912,0.0021900158672814854,0.0028992015160807325,0.001699209213256836,0.004710674285888672,0.008648197650909413,0.022487640380859375,6.048987492555092e-05
relu-a3-threshold,4,8,0,0,11527,34756,737728,0.002110245137717735,0.0027495785129827153,0.0016789436340332031,0.0044858455657958984,0.007931406497955318,0.01890397071838379,4.608744686388479e-05
relu-a3-threshold,4,8,0,1,11997,76889,767808,0.0020810442201056024,0.002718380537863524,0.0016484260559082031,0.004435300827026367,0.007880671024322522,0.01890397071838379,4.818913061598733e-05
relu-a3-threshold,4,8,0,2,11998,76500,767872,0.0020807523250574865,0.0027179484391120588,0.0016481876373291016,0.004435062408447266,0.00787694215774537,0.01890397071838379,4.8185114185697614e-05
relu-a3-threshold,4,8,0,3,3323,3855,212672,0.0020663568202384866,0.002695992373528769,0.0016434192657470703,0.004394054412841797,0.007793633937835699,0.016922473907470703,4.702076436954559e-05
relu-a3-threshold,4,8,1,0,11483,34399,734912,0.0017918858430266828,0.0023207228796665457,0.0014386177062988281,0.003796815872192383,0.006579160690307617,0.015521764755249023,3.809979970391013e-05
relu-a3-threshold,4,8,1,1,11997,76679,767808,0.0017625683100534358,0.00228981058745281,0.0014069080352783203,0.0037482500076294056,0.006533145904541016,0.015521764755249023,3.6467450195882304e-05
relu-a3-threshold,4,8,1,2,11999,77078,767936,0.001762539663705461,0.0022897670810044864,0.0014069080352783203,0.003748178482055664,0.006532895565032976,0.015521764755249023,3.646137178098175e-05
relu-a3-threshold,4,8,1,3,3326,3844,212864,0.0017394958466058457,0.0022607319142749303,0.0013895034790039062,0.003696441650390625,0.006457593441009518,0.015063047409057617,2.81870114251353e-05
relu-a3-threshold,4,8,2,0,11521,34701,737344,0.002126865674037557,0.002795149324257892,0.0016720294952392578,0.004543304443359375,0.008238213062286365,0.02339768409729004,4.7467667737175596e-05
relu-a3-threshold,4,8,2,1,11995,76317,767680,0.0020948144187587854,0.0027609103637693047,0.0016391277313232422,0.004489898681640625,0.008174231052398673,0.02339768409729004,4.689453939141309e-05
