condition,depth,threshold,layer,seeds,mean_mean,mean_std,rms_mean,rms_std,median_mean,median_std,p90_mean,p90_std,p99_mean,p99_std,zero_fraction_mean,zero_fraction_std
relu-a3-threshold,4,1,0,3,0.0021989710314500414,0.0001717683305133937,0.0028946229591198767,0.00024009499782136036,0.001725912094116211,0.00012299972672011477,0.004697692394256593,0.0003773882123473998,0.008554313580195108,0.0008181749442507967,4.1171423736260695e-05,1.0151012523800725e-05
relu-a3-threshold,4,1,1,3,0.0021663747187507117,0.00017182575594788964,0.002859562138322396,0.00023985582920524743,0.001691738764444987,0.0001235223012583873,0.004643325010935465,0.00037712042175871,0.008491080999374382,0.000815229755968123,4.341659902030299e-05,9.244879874883395e-06
relu-a3-threshold,4,1,2,3,0.002166259621600042,0.00017183577480260308,0.002859380813515033,0.00023982784462244847,0.0016916592915852864,0.00012365453438516826,0.004642963409423828,0.0003770058192204229,0.008489995797475188,0.0008144286652305119,4.3410338629415456e-05,9.242030413955255e-06
relu-a3-threshold,4,1,3,3,0.0021431017008437217,0.00017164481884568149,0.0028288587850617856,0.000237586272377254,0.0016744931538899739,0.00012473560912871356,0.0045909841855367025,0.0003700559082957832,0.008414645195007323,0.0008047529780718352,4.364178638370937e-05,2.6449956874560118e-05
relu-a3-threshold,4,4,0,3,0.002180998426020556,7.527279541408531e-05,0.0028651053241625347,0.00010510286632078453,0.001716295878092448,5.6225517732887653e-05,0.004652818044026692,0.0001657772803023416,0.008431572119394937,0.00036766155533919144,3.754586341955901e-05,1.165483039820898e-05
relu-a3-threshold,4,4,1,3,0.0021483363958436745,7.482961444354162e-05,0.0028300313461908713,0.00010414412514718503,0.0016824404398600261,5.654911422153227e-05,0.004598697026570638,0.0001656187892281964,0.008368020852406824,0.0003606790800727472,3.777260980753965e-05,1.172580667621351e-05
relu-a3-threshold,4,4,2,3,0.002148310385823621,7.500311612959798e-05,0.002830063175949933,0.00010451026143476307,0.0016823609670003254,5.6535542333391134e-05,0.004598458607991536,0.0001659393881472493,0.008369071483612064,0.0003628231450573421,3.776736255216328e-05,1.1723851296143307e-05
relu-a3-threshold,4,4,3,3,0.0021214566485043855,6.840929994788062e-05,0.0027956334201819357,9.464764928921467e-05,0.0016592343648274739,5.267180316570606e-05,0.004541460673014322,0.00015718016982540237,0.008260968526204426,0.0003353717790541174,3.896311499080452e-05,1.8642725306566786e-05
relu-a3-threshold,4,8,0,3,0.0020096655515939917,0.00018878575596330383,0.002621816905635718,0.0002617487040384589,0.001596530278523763,0.0001367999878612456,0.004275321960449219,0.0004153931126377251,0.0075829267501831,0.0008827186948273038,4.388497143499017e-05,5.057411529956075e-06
relu-a3-threshold,4,8,1,3,0.0019794756496392743,0.00018797340255310538,0.0025897004963618795,0.0002605813973061229,0.0015648206075032551,0.0001368353026818857,0.004224483172098799,0.00041333249525959037,0.0075293493270874035,0.0008751344564356212,4.385037340109424e-05,6.426480988863876e-06
