condition,depth,threshold,seed,start_step,end_step,count,mean,rms,median,p90,p99,max,zero_fraction
relu-a3-threshold,4,1,0,1,500,32000,0.0016523150727152825,0.002115535848051349,0.0013489723205566406,0.003481626510620117,0.005794353485107411,0.010875225067138672,0.0
relu-a3-threshold,4,1,0,501,1000,32000,0.0016709799244999885,0.0021480384588656986,0.001356959342956543,0.0035436153411865234,0.005940454006195066,0.010013103485107422,6.25e-05
relu-a3-threshold,4,1,0,1001,1500,32000,0.0017143319845199585,0.002205041941564744,0.001390218734741211,0.003618001937866211,0.006136658191680908,0.010727405548095703,6.25e-05
relu-a3-threshold,4,1,0,1501,2000,32000,0.0017205642014741897,0.0022109676707508215,0.0013984441757202148,0.0036099195480346685,0.006189887523651113,0.012607097625732422,3.125e-05
relu-a3-threshold,4,1,0,2001,2500,32000,0.0017649615705013276,0.0022640671861212337,0.0014376640319824219,0.0037017345428466807,0.006242291927337644,0.012352228164672852,3.125e-05
relu-a3-threshold,4,1,0,2501,3000,32000,0.0018517682850360871,0.0023793296243498204,0.0015069246292114258,0.003897929191589356,0.006602587699890127,0.01328420639038086,9.375e-05
relu-a3-threshold,4,1,0,3001,3500,32000,0.001815895490348339,0.0023268548289607275,0.0014809370040893555,0.0038298606872558625,0.0064172792434692375,0.01368093490600586,3.125e-05
relu-a3-threshold,4,1,0,3501,4000,32000,0.0019051652029156685,0.0024500814985276382,0.0015437602996826172,0.00401761531829834,0.006783289909362786,0.012534618377685547,9.375e-05
relu-a3-threshold,4,1,0,4001,4500,32000,0.0019644973427057266,0.0025138522670619607,0.0015976428985595703,0.004122257232666016,0.006899418830871572,0.012449502944946289,6.25e-05
relu-a3-threshold,4,1,0,4501,5000,32000,0.001986967608332634,0.002542645401080556,0.0016193389892578125,0.00419309139251709,0.00695157766342163,0.011417150497436523,0.0
relu-a3-threshold,4,1,0,5001,5500,32000,0.001984297975897789,0.0025542218224361033,0.0016078948974609375,0.004201006889343263,0.007037937641143789,0.013599634170532227,3.125e-05
relu-a3-threshold,4,1,0,5501,6000,32000,0.002109579548239708,0.002710945033664883,0.0017086267471313477,0.004446744918823242,0.007561006546020502,0.013547658920288086,3.125e-05
relu-a3-threshold,4,1,0,6001,6500,32000,0.0022043809816241263,0.002836505822232664,0.0017865896224975586,0.0046627759933471685,0.00785331726074218,0.015819311141967773,6.25e-05
relu-a3-threshold,4,1,0,6501,7000,32000,0.002244473345577717,0.0028813140117027857,0.0018268823623657227,0.004735493659973145,0.007890014648437495,0.0170137882232666,3.125e-05
relu-a3-threshold,4,1,0,7001,7500,32000,0.0023221722915768624,0.0029725916737296633,0.0018979310989379883,0.004858255386352539,0.008168764114379872,0.014028310775756836,9.375e-05
relu-a3-threshold,4,1,0,7501,8000,32000,0.0024030546694993973,0.003088629867459172,0.001938939094543457,0.0050654649734497076,0.00850155115127563,0.01788496971130371,0.0
relu-a3-threshold,4,1,0,8001,8500,32000,0.0024430375024676325,0.0031301438314242243,0.001986265182495117,0.005124831199645997,0.008649599552154538,0.015506505966186523,0.0
relu-a3-threshold,4,1,0,8501,9000,32000,0.0025899134874343872,0.0033218666968863777,0.0021153688430786133,0.005441689491271973,0.009144327640533443,0.01764225959777832,0.0
relu-a3-threshold,4,1,0,9001,9500,32000,0.0026911508217453955,0.0034515918290206477,0.0021833181381225586,0.005687117576599124,0.009534122943878173,0.015990257263183594,0.0
relu-a3-threshold,4,1,0,9501,10000,32000,0.002849590130150318,0.003653676080936489,0.002340555191040039,0.00599362850189209,0.010074141025543212,0.017891407012939453,3.125e-05
relu-a3-threshold,4,1,0,10001,10500,32000,0.0030530669838190077,0.003912584962334326,0.002492189407348633,0.006432628631591799,0.010698080062866211,0.025022029876708984,3.125e-05
relu-a3-threshold,4,1,0,10501,11000,32000,0.0031894768886268137,0.004078204313683604,0.0026090145111083984,0.006717061996459963,0.011119844913482665,0.01900935173034668,0.0
relu-a3-threshold,4,1,0,11001,11500,32000,0.0034536368474364283,0.004412653664537037,0.0028287172317504883,0.007274246215820315,0.012028012275695795,0.021880388259887695,0.0
relu-a3-threshold,4,1,0,11501,12000,32000,0.003594811525195837,0.00458764970405821,0.0029463768005371094,0.00752239227294922,0.012480336427688586,0.023257732391357422,6.25e-05
relu-a3-threshold,4,1,1,1,500,32000,0.001540447935461998,0.001981137893886,0.0012478828430175781,0.0032584667205810547,0.005493648052215575,0.009311914443969727,0.0
relu-a3-threshold,4,1,1,501,1000,32000,0.0015200544074177743,0.0019500856314324266,0.0012320280075073242,0.003198647499084473,0.005387325286865231,0.009727239608764648,3.125e-05
relu-a3-threshold,4,1,1,1001,1500,32000,0.0015326242595911025,0.00197488709489499,0.0012350082397460938,0.0032534837722778326,0.005514478683471664,0.010281801223754883,6.25e-05
relu-a3-threshold,4,1,1,1501,2000,32000,0.0015473468974232674,0.0019963020921587296,0.001245737075805664,0.0032808780670166016,0.005554983615875233,0.010156393051147461,9.375e-05
relu-a3-threshold,4,1,1,2001,2500,32000,0.0015647079646587373,0.0020101584264973944,0.0012676715850830078,0.0033135414123535156,0.005576610565185547,0.009499311447143555,6.25e-05
relu-a3-threshold,4,1,1,2501,3000,32000,0.0016232469752430916,0.0020834277482894873,0.0013211965560913086,0.0034182071685791016,0.005787627696990964,0.009997844696044922,9.375e-05
relu-a3-threshold,4,1,1,3001,3500,32000,0.0016350868940353393,0.00210145420195161,0.0013252496719360352,0.00345737934112549,0.0058625054359435986,0.01020359992980957,3.125e-05
relu-a3-threshold,4,1,1,3501,4000,32000,0.0016701619476079941,0.0021454852029371254,0.0013529062271118164,0.0035195350646972656,0.005985078811645499,0.011312007904052734,3.125e-05
relu-a3-threshold,4,1,1,4001,4500,32000,0.0017377137318253517,0.002227447193564302,0.0014172792434692383,0.0036612272262573258,0.006159558296203611,0.011747121810913086,6.25e-05
relu-a3-threshold,4,1,1,4501,5000,32000,0.0017643294557929039,0.0022766463987301602,0.0014306306838989258,0.0037271976470947266,0.0063649201393127285,0.013903379440307617,6.25e-05
relu-a3-threshold,4,1,1,5001,5500,32000,0.0017803732380270959,0.0022882929469070766,0.0014406442642211914,0.003764414787292481,0.006283824443817128,0.013486862182617188,3.125e-05
relu-a3-threshold,4,1,1,5501,6000,32000,0.0018568284288048745,0.002384703473879739,0.0015082359313964844,0.003930878639221193,0.006578452587127684,0.012503385543823242,0.0
relu-a3-threshold,4,1,1,6001,6500,32000,0.0018956471160054206,0.0024328440341439147,0.0015484094619750977,0.0040028333663940435,0.0066766881942749,0.013114452362060547,0.000125
relu-a3-threshold,4,1,1,6501,7000,32000,0.0019742922708392142,0.0025402805406441477,0.0016069412231445312,0.004169321060180666,0.007060086727142328,0.012374401092529297,0.0
relu-a3-threshold,4,1,1,7001,7500,32000,0.0020646766647696496,0.0026678326646914097,0.0016562938690185547,0.004371953010559084,0.007406473159790039,0.013048887252807617,0.0
relu-a3-threshold,4,1,1,7501,8000,32000,0.0021051234751939775,0.00270847700700262,0.0017085075378417969,0.0044705867767333984,0.007495443820953363,0.012361526489257812,6.25e-05
relu-a3-threshold,4,1,1,8001,8500,32000,0.002146147571504116,0.0027595239487984567,0.001732945442199707,0.004557394981384278,0.0076022171974182125,0.013892173767089844,0.0
relu-a3-threshold,4,1,1,8501,9000,32000,0.002252217896282673,0.002902361878984506,0.0018203258514404297,0.0047963619232177755,0.00807483434677123,0.016355514526367188,0.0
relu-a3-threshold,4,1,1,9001,9500,32000,0.0022819118648767472,0.0029449009332471487,0.0018353462219238281,0.004857087135314942,0.008234741687774657,0.015445232391357422,3.125e-05
relu-a3-threshold,4,1,1,9501,10000,32000,0.002380608133971691,0.003075416580887358,0.0019217729568481445,0.005054759979248048,0.008589785099029534,0.01782512664794922,3.125e-05
