condition,depth,threshold,seeds,val_accuracy_mean,val_accuracy_std,test_accuracy_mean,test_accuracy_std,val_loss_mean,val_loss_std,total_fires_mean,total_fires_std,zero_difference_fraction_mean,zero_difference_fraction_std
relu-a3-threshold,4,1,3,0.4503333333333333,0.027934447074057747,0.4586,0.01643806557962342,2.026915323893229,0.0555401476680562,12000.0,0.0,4.340277777777778e-05,9.237758964319778e-06
relu-a3-threshold,4,4,3,0.43333333333333335,0.03655589327773747,0.4395,0.034433559211908375,2.0396863606770834,0.03022828805191266,11978.666666666666,6.110100926607787,3.776041666666667e-05,1.1718749999999999e-05
relu-a3-threshold,4,8,3,0.44866666666666666,0.033857544703261244,0.4607,0.02557361921981322,2.065959228515625,0.05968700459010041,10495.0,76.62245101796209,4.3836805555555555e-05,6.423024560307612e-06
relu-a3-threshold,4,16,3,0.22133333333333333,0.05532027958473575,0.21473333333333333,0.0369529881516141,2.264165283203125,0.01502306582724617,1457.6666666666667,53.87330817142505,5.208333333333333e-05,1.3779954745128075e-05
relu-a3-threshold,8,1,3,0.09966666666666667,0.003785938897200178,0.10930000000000001,0.002433105012119289,2.2962032063802083,0.005303715120015458,12000.0,0.0,0.0001232638888888889,2.750859700953268e-05
relu-a3-threshold,8,4,3,0.117,0.009643650760992956,0.10716666666666667,0.0021962088546705534,2.2952938639322915,0.004443997410389066,11962.666666666666,1.1547005383792515,0.00012803819444444446,1.5697171284744027e-05
relu-a3-threshold,8,8,3,0.10200000000000001,0.005291502622129178,0.1066,0.012023726543796649,2.2978536783854167,0.002625271173881434,10497.333333333334,45.17004907384243,0.00015364583333333333,3.160067994664479e-05
relu-a3-threshold,8,16,3,0.09366666666666666,0.008962886439832502,0.0978,0.006954135460285487,2.3024789225260416,0.0003968698165834172,1380.6666666666667,38.42308333974947,0.00017100694444444444,2.9985634460791445e-05
relu-a3-threshold,16,1,3,0.108,0.019000000000000003,0.10786666666666667,0.007928640068342954,2.301812906901042,0.0010564682891072695,11989.333333333334,3.0550504633038935,0.004517361111111111,0.0013182822658348407
relu-a3-threshold,16,4,3,0.10666666666666666,0.018610033136277147,0.10646666666666667,0.009545854248485742,2.292795572916667,0.01677569199151953,11929.666666666666,5.131601439446884,0.004135850694444445,0.001561181264970042
relu-a3-threshold,16,8,3,0.10966666666666666,0.01320353488022557,0.11103333333333333,0.00344286702231343,2.3018968098958332,0.0008692400700402924,10353.0,135.92277219068185,0.004983072916666667,0.002117048558504703
