depth,threshold,seeds,val_accuracy_mean,val_accuracy_std,val_loss_mean,val_loss_std,test_accuracy_mean,test_accuracy_std,test_loss_mean,test_loss_std,total_fires_mean,total_fires_std,fire_epoch_fraction_mean,fire_epoch_fraction_std,zero_difference_fraction_mean,zero_difference_fraction_std
4,1,3,0.6336666666666667,0.018147543451754948,1.409032918294271,0.04276003620251031,0.6459,0.010677546534667971,1.3782618164062501,0.04037861290485535,12000,0.0,1.0,0.0,5.642361111111111e-06,1.988965145380139e-06
4,4,3,0.6226666666666667,0.02802379940931163,1.4197404785156251,0.07503627418816432,0.637,0.030738087123306806,1.3938908447265626,0.07923979272459962,11977.666666666666,6.429100507328637,0.9981388888888889,0.0005357583756107241,5.208333333333333e-06,2.604166666666667e-06
4,8,3,0.6283333333333333,0.021571586249817934,1.440952351888021,0.06737082133593172,0.6441333333333333,0.02651816987149254,1.420551652018229,0.0732022474737112,10578,28.687976575562104,0.8815000000000001,0.0023906647146301674,3.4722222222222224e-06,3.2768378625307077e-06
4,16,3,0.347,0.0475709995690652,2.0486958414713543,0.05739814887777532,0.357,0.041497831268633795,2.0366759643554686,0.05498651357888647,1560,42.14261501141095,0.13,0.003511884584284235,8.680555555555556e-06,3.0070326520293006e-06
8,1,3,0.287,0.025514701644346143,2.09340283203125,0.023820830487467907,0.2917,0.031041423936411162,2.096676228841146,0.03042151897066409,12000,0.0,1.0,0.0,3.0381944444444443e-06,1.9889651453801387e-06
8,4,3,0.31933333333333336,0.026839026311200907,2.058859375,0.02019163266123439,0.3117,0.020613587751771894,2.055749658203125,0.019919168281248102,11980.666666666666,5.8594652770823155,0.9983888888888889,0.0004882887730902023,6.510416666666667e-06,5.966895436140417e-06
8,8,3,0.3183333333333333,0.036253735439721706,2.0985437825520834,0.04210049907605774,0.314,0.04694475476557525,2.0978480428059894,0.04542654240624765,10604.333333333334,47.64801499887832,0.8836944444444444,0.003970667916573203,5.642361111111111e-06,3.2768378625307077e-06
8,16,3,0.15266666666666667,0.007571877794400371,2.279442626953125,0.0031420705324898273,0.14516666666666667,0.01924482614453384,2.2793971598307294,0.006961852712141023,1393.6666666666667,8.386497083606082,0.11613888888888889,0.0006988747569671766,7.3784722222222225e-06,1.9889651453801395e-06
16,1,3,0.12933333333333333,0.01604161255402128,2.2831841634114585,0.009248506600522097,0.13516666666666666,0.008879376855012595,2.2829738606770835,0.007859413146484934,12000,0.0,1.0,0.0,8.680555555555556e-06,1.50351632601465e-06
16,4,3,0.144,0.0052915026221291754,2.271295654296875,0.014712695421397446,0.14016666666666666,0.011576844705416641,2.2752814208984375,0.01644995573853206,11985,5.0,0.99875,0.0004166666666666763,8.246527777777779e-06,7.517581630073256e-07
16,8,3,0.138,0.013856406460551014,2.2812776692708336,0.007597965068800627,0.13913333333333333,0.013600490187244478,2.283566512044271,0.008463872477963185,10591.666666666666,10.692676621563626,0.8826388888888889,0.0008910563851303321,1.3454861111111111e-05,3.977930290760277e-06
16,16,3,0.10333333333333333,0.004618802153517002,2.301793782552083,0.001522859049471197,0.10823333333333333,0.0013316656236958767,2.301261934407552,0.0010990979939872424,1420.3333333333333,78.0085465403204,0.11836111111111111,0.006500712211693366,1.2586805555555556e-05,5.421005206943053e-06
