depth,threshold,seed,layer,in_width,out_width,parameters,fires,selected_coordinates,selected_intervals,fire_intervals,fire_interval_rate,fire_given_selected_interval_rate,fires_per_selected_coordinate,updates_per_parameter
4,1,0,0,90,200,18000,2030,34756,11527,2030,0.16916666666666666,0.17610826754576211,0.05840718149384279,0.11277777777777778
4,1,0,1,200,200,40000,4840,76889,11997,4840,0.4033333333333333,0.40343419188130364,0.06294788591345966,0.121
4,1,0,2,200,200,40000,4865,76500,11998,4865,0.40541666666666665,0.4054842473745624,0.06359477124183006,0.121625
4,1,0,3,200,10,2000,265,3855,3323,265,0.022083333333333333,0.07974721637074933,0.06874189364461739,0.1325
4,1,1,0,90,200,18000,2091,34399,11483,2091,0.17425,0.1820952712705739,0.060786650774731825,0.11616666666666667
4,1,1,1,200,200,40000,4670,76679,11997,4670,0.38916666666666666,0.38926398266233225,0.06090324599955659,0.11675
4,1,1,2,200,200,40000,4959,77078,11999,4959,0.41325,0.4132844403700308,0.06433742442720361,0.123975
4,1,1,3,200,10,2000,280,3844,3326,280,0.023333333333333334,0.0841852074564041,0.07284079084287201,0.14
4,1,2,0,90,200,18000,1991,34701,11521,1991,0.16591666666666666,0.17281485982119607,0.05737586813060142,0.1106111111111111
4,1,2,1,200,200,40000,4694,76317,11995,4694,0.39116666666666666,0.3913297207169654,0.06150661058479762,0.11735
4,1,2,2,200,200,40000,5010,77115,11997,5010,0.4175,0.4176044011002751,0.0649679050768333,0.12525
4,1,2,3,200,10,2000,305,3867,3358,305,0.025416666666666667,0.0908278737343657,0.07887251099043185,0.1525
4,4,0,0,90,200,18000,2110,34756,11527,2110,0.17583333333333334,0.18304849483820596,0.06070894234089078,0.11722222222222223
4,4,0,1,200,200,40000,4749,76889,11997,4749,0.39575,0.39584896224056015,0.0617643616121942,0.118725
4,4,0,2,200,200,40000,4844,76500,11998,4844,0.4036666666666667,0.40373395565927656,0.06332026143790849,0.1211
4,4,0,3,200,10,2000,282,3855,3323,282,0.0235,0.08486307553415588,0.07315175097276265,0.141
4,4,1,0,90,200,18000,2033,34399,11483,2033,0.16941666666666666,0.17704432639554124,0.05910055524869909,0.11294444444444444
4,4,1,1,200,200,40000,4796,76679,11997,4796,0.39966666666666667,0.39976660831874633,0.06254645991731765,0.1199
4,4,1,2,200,200,40000,4837,77078,11999,4837,0.40308333333333335,0.4031169264105342,0.06275461221100703,0.120925
4,4,1,3,200,10,2000,307,3844,3326,307,0.025583333333333333,0.09230306674684305,0.07986472424557753,0.1535
4,4,2,0,90,200,18000,2064,34701,11521,2064,0.172,0.17915111535456993,0.05947955390334572,0.11466666666666667
4,4,2,1,200,200,40000,4832,76317,11995,4832,0.4026666666666667,0.4028345143809921,0.06331485776432512,0.1208
4,4,2,2,200,200,40000,4776,77115,11997,4776,0.398,0.3980995248812203,0.06193347597743629,0.1194
4,4,2,3,200,10,2000,303,3867,3358,303,0.02525,0.09023228111971411,0.07835531419705198,0.1515
4,8,0,0,90,200,18000,1884,34756,11527,1884,0.157,0.16344235273705213,0.0542064679479802,0.10466666666666667
4,8,0,1,200,200,40000,4164,76889,11997,4164,0.347,0.34708677169292323,0.054155991104059095,0.1041
4,8,0,2,200,200,40000,4286,76500,11998,4286,0.3571666666666667,0.35722620436739455,0.05602614379084967,0.10715
4,8,0,3,200,10,2000,263,3855,3323,263,0.021916666666666668,0.07914535058681914,0.0682230869001297,0.1315
4,8,1,0,90,200,18000,1766,34399,11483,1766,0.14716666666666667,0.1537925629190978,0.05133870170644495,0.09811111111111111
4,8,1,1,200,200,40000,4206,76679,11997,4206,0.3505,0.35058764691172795,0.05485204554050001,0.10515
4,8,1,2,200,200,40000,4341,77078,11999,4341,0.36175,0.3617801483456955,0.05631957238122422,0.108525
4,8,1,3,200,10,2000,279,3844,3326,279,0.02325,0.08388454600120264,0.07258064516129033,0.1395
4,8,2,0,90,200,18000,1789,34701,11521,1789,0.14908333333333335,0.15528165957816162,0.051554710238898016,0.09938888888888889
4,8,2,1,200,200,40000,4230,76317,11995,4230,0.3525,0.3526469362234264,0.05542670702464719,0.10575
4,8,2,2,200,200,40000,4261,77115,11997,4261,0.3550833333333333,0.35517212636492457,0.0552551384296181,0.106525
4,8,2,3,200,10,2000,265,3867,3358,265,0.022083333333333333,0.07891602144133412,0.06852857512283424,0.1325
4,16,0,0,90,200,18000,277,34756,11527,277,0.023083333333333334,0.02403053700008675,0.007969846932903672,0.01538888888888889
4,16,0,1,200,200,40000,605,76889,11997,605,0.050416666666666665,0.050429273985162955,0.007868485739182458,0.015125
4,16,0,2,200,200,40000,642,76500,11998,642,0.0535,0.053508918153025505,0.008392156862745099,0.01605
4,16,0,3,200,10,2000,80,3855,3323,80,0.006666666666666667,0.024074631357207343,0.020752269779507133,0.04
4,16,1,0,90,200,18000,261,34399,11483,261,0.02175,0.022729251937646956,0.007587429867147301,0.0145
4,16,1,1,200,200,40000,646,76679,11997,646,0.05383333333333333,0.05384679503209135,0.008424731673600333,0.01615
4,16,1,2,200,200,40000,572,77078,11999,572,0.04766666666666667,0.047670639219934995,0.007421053997249539,0.0143
4,16,1,3,200,10,2000,77,3844,3326,77,0.006416666666666667,0.023150932050511126,0.020031217481789803,0.0385
4,16,2,0,90,200,18000,261,34701,11521,261,0.02175,0.022654283482336602,0.007521397077894009,0.0145
4,16,2,1,200,200,40000,601,76317,11995,601,0.050083333333333334,0.050104210087536474,0.007875047499246564,0.015025
4,16,2,2,200,200,40000,568,77115,11997,568,0.04733333333333333,0.047345169625739765,0.007365622771185891,0.0142
4,16,2,3,200,10,2000,90,3867,3358,90,0.0075,0.026801667659321026,0.023273855702094646,0.045
8,1,0,0,90,120,10800,1156,20890,10126,1156,0.09633333333333334,0.11416156428994667,0.05533748204882719,0.10703703703703704
8,1,0,1,120,120,14400,1653,27671,11001,1653,0.13775,0.15025906735751296,0.05973763145531423,0.11479166666666667
8,1,0,2,120,121,14520,1793,28052,11052,1793,0.14941666666666667,0.16223307998552297,0.06391701126479396,0.12348484848484849
8,1,0,3,121,121,14641,1745,28018,10999,1745,0.14541666666666667,0.15865078643513048,0.06228139053465629,0.11918584796120484
8,1,0,4,121,121,14641,1757,27950,10982,1757,0.14641666666666667,0.15998907302859225,0.06286225402504472,0.12000546410764291
8,1,0,5,121,122,14762,1854,28382,11056,1854,0.1545,0.1676917510853835,0.06532309210062716,0.12559273811136704
8,1,0,6,122,123,15006,1892,28590,11093,1892,0.15766666666666668,0.1705580095555756,0.06617698495977614,0.12608290017326404
8,1,0,7,123,10,1230,150,2447,2216,150,0.0125,0.06768953068592058,0.06129955046996322,0.12195121951219512
8,1,1,0,90,120,10800,1273,20529,10043,1273,0.10608333333333334,0.1267549536990939,0.06200983973890594,0.11787037037037038
8,1,1,1,120,120,14400,1713,27647,10991,1713,0.14275,0.1558547902829588,0.06195970629724744,0.11895833333333333
8,1,1,2,120,121,14520,1631,27728,11034,1631,0.13591666666666666,0.147815841943085,0.058821407963069824,0.11232782369146005
8,1,1,3,121,121,14641,1658,28070,11024,1658,0.13816666666666666,0.15039912917271409,0.05906661916636979,0.11324363089952873
8,1,1,4,121,121,14641,1834,28182,11034,1834,0.15283333333333332,0.16621352184158056,0.06507699950322901,0.12526466771395398
8,1,1,5,121,122,14762,1855,28602,11069,1855,0.15458333333333332,0.16758514770982022,0.06485560450318159,0.12566047960980897
8,1,1,6,122,123,15006,1872,28887,11158,1872,0.156,0.1677720021509231,0.06480423720012463,0.124750099960016
8,1,1,7,123,10,1230,164,2355,2163,164,0.013666666666666667,0.0758206195099399,0.06963906581740976,0.13333333333333333
8,1,2,0,90,120,10800,1159,20660,10091,1159,0.09658333333333333,0.1148548211277376,0.05609874152952565,0.10731481481481482
8,1,2,1,120,120,14400,1732,27846,11051,1732,0.14433333333333334,0.15672789792778935,0.062199238669826906,0.12027777777777778
8,1,2,2,120,121,14520,1688,27542,10972,1688,0.14066666666666666,0.15384615384615385,0.061288214363517536,0.1162534435261708
8,1,2,3,121,121,14641,1778,28019,11027,1778,0.14816666666666667,0.16124059127595902,0.06345693993361648,0.12143979236390957
8,1,2,4,121,121,14641,1825,28152,11110,1825,0.15208333333333332,0.16426642664266428,0.06482665529980108,0.1246499556041254
8,1,2,5,121,122,14762,1798,28463,11060,1798,0.14983333333333335,0.16256781193490055,0.06316972912201806,0.12179921419861807
8,1,2,6,122,123,15006,1863,28978,11106,1863,0.15525,0.16774716369529985,0.06429015114914763,0.12415033986405438
8,1,2,7,123,10,1230,157,2340,2149,157,0.013083333333333334,0.07305723592368543,0.06709401709401709,0.12764227642276424
8,4,0,0,90,120,10800,1202,20890,10126,1202,0.10016666666666667,0.11870432549871618,0.05753949258018191,0.1112962962962963
8,4,0,1,120,120,14400,1717,27671,11001,1717,0.14308333333333334,0.15607672029815473,0.06205052220736511,0.11923611111111111
8,4,0,2,120,121,14520,1741,28052,11052,1741,0.14508333333333334,0.15752804922186028,0.06206331099386853,0.11990358126721763
8,4,0,3,121,121,14641,1810,28018,10999,1810,0.15083333333333335,0.1645604145831439,0.06460132771789563,0.12362543542107779
8,4,0,4,121,121,14641,1778,27950,10982,1778,0.14816666666666667,0.1619012930249499,0.06361359570661897,0.12143979236390957
8,4,0,5,121,122,14762,1753,28382,11056,1753,0.14608333333333334,0.15855643994211288,0.06176449862588965,0.11875084676873053
8,4,0,6,122,123,15006,1844,28590,11093,1844,0.15366666666666667,0.16623095645902822,0.06449807625043721,0.12288417966146875
8,4,0,7,123,10,1230,140,2447,2216,140,0.011666666666666667,0.0631768953068592,0.05721291377196567,0.11382113821138211
8,4,1,0,90,120,10800,1191,20529,10043,1191,0.09925,0.11859006273025988,0.05801549028204004,0.11027777777777778
8,4,1,1,120,120,14400,1725,27647,10991,1725,0.14375,0.15694659266672734,0.06239374977393569,0.11979166666666667
8,4,1,2,120,121,14520,1694,27728,11034,1694,0.14116666666666666,0.15352546673916984,0.0610934795152914,0.11666666666666667
8,4,1,3,121,121,14641,1650,28070,11024,1650,0.1375,0.1496734397677794,0.058781617385108655,0.11269722013523667
8,4,1,4,121,121,14641,1855,28182,11034,1855,0.15458333333333332,0.16811673010694217,0.06582215598609041,0.1266989959702206
8,4,1,5,121,122,14762,1900,28602,11069,1900,0.15833333333333333,0.17165055560574577,0.06642892105447172,0.1287088470396965
8,4,1,6,122,123,15006,1799,28887,11158,1799,0.14991666666666667,0.16122961104140526,0.062277148890504376,0.11988537918166067
8,4,1,7,123,10,1230,160,2355,2163,160,0.013333333333333334,0.07397133610725844,0.06794055201698514,0.13008130081300814
8,4,2,0,90,120,10800,1199,20660,10091,1199,0.09991666666666667,0.1188187493806362,0.05803484995159729,0.11101851851851852
8,4,2,1,120,120,14400,1701,27846,11051,1701,0.14175,0.1539227219256176,0.06108597285067873,0.118125
8,4,2,2,120,121,14520,1772,27542,10972,1772,0.14766666666666667,0.16150200510390084,0.06433810180814756,0.12203856749311295
8,4,2,3,121,121,14641,1724,28019,11027,1724,0.14366666666666666,0.156343520449805,0.06152967629108819,0.11775151970493819
8,4,2,4,121,121,14641,1789,28152,11110,1789,0.14908333333333335,0.161026102610261,0.06354788292128445,0.12219110716481114
8,4,2,5,121,122,14762,1809,28463,11060,1809,0.15075,0.1635623869801085,0.06355619576292028,0.12254437068147947
8,4,2,6,122,123,15006,1832,28978,11106,1832,0.15266666666666667,0.16495587970466413,0.06322037407688591,0.12208449953351992
8,4,2,7,123,10,1230,157,2340,2149,157,0.013083333333333334,0.07305723592368543,0.06709401709401709,0.12764227642276424
8,8,0,0,90,120,10800,1120,20890,10126,1120,0.09333333333333334,0.11060635986569228,0.053614169459071326,0.1037037037037037
8,8,0,1,120,120,14400,1534,27671,11001,1534,0.12783333333333333,0.13944186892100718,0.05543710021321962,0.10652777777777778
8,8,0,2,120,121,14520,1526,28052,11052,1526,0.12716666666666668,0.1380745566413319,0.054398973335234566,0.10509641873278237
8,8,0,3,121,121,14641,1533,28018,10999,1533,0.12775,0.13937630693699427,0.05471482618316796,0.10470596270746534
8,8,0,4,121,121,14641,1491,27950,10982,1491,0.12425,0.135767619741395,0.05334525939177102,0.10183730619493205
8,8,0,5,121,122,14762,1574,28382,11056,1574,0.13116666666666665,0.14236613603473228,0.05545768444788951,0.10662511854762227
8,8,0,6,122,123,15006,1677,28590,11093,1677,0.13975,0.1511764175606238,0.05865687303252885,0.11175529788084766
8,8,0,7,123,10,1230,145,2447,2216,145,0.012083333333333333,0.06543321299638989,0.059256232120964446,0.11788617886178862
8,8,1,0,90,120,10800,1046,20529,10043,1046,0.08716666666666667,0.10415214577317534,0.05095231136441132,0.09685185185185186
8,8,1,1,120,120,14400,1484,27647,10991,1484,0.12366666666666666,0.13501956145937585,0.053676709950446704,0.10305555555555555
8,8,1,2,120,121,14520,1517,27728,11034,1517,0.12641666666666668,0.137484139931122,0.05471004039238315,0.10447658402203856
8,8,1,3,121,121,14641,1533,28070,11024,1533,0.12775,0.1390602322206096,0.05461346633416459,0.10470596270746534
8,8,1,4,121,121,14641,1639,28182,11034,1639,0.13658333333333333,0.14854087366322277,0.05815768930523029,0.11194590533433509
8,8,1,5,121,122,14762,1648,28602,11069,1648,0.13733333333333334,0.14888427138856264,0.057618348367247045,0.11163798943232624
8,8,1,6,122,123,15006,1670,28887,11158,1670,0.13916666666666666,0.14966839935472306,0.05781147228857272,0.11128881780621085
8,8,1,7,123,10,1230,117,2355,2163,117,0.00975,0.05409153952843273,0.049681528662420385,0.0951219512195122
8,8,2,0,90,120,10800,1116,20660,10091,1116,0.093,0.11059359825587158,0.054017424975798645,0.10333333333333333
8,8,2,1,120,120,14400,1512,27846,11051,1512,0.126,0.13682019726721564,0.05429864253393665,0.105
8,8,2,2,120,121,14520,1464,27542,10972,1464,0.122,0.13343055049216188,0.053155181177837484,0.10082644628099173
8,8,2,3,121,121,14641,1547,28019,11027,1547,0.12891666666666668,0.14029201051963364,0.05521253435168993,0.10566218154497643
8,8,2,4,121,121,14641,1566,28152,11110,1566,0.1305,0.14095409540954096,0.055626598465473145,0.10695990711017007
8,8,2,5,121,122,14762,1579,28463,11060,1579,0.13158333333333333,0.14276672694394213,0.05547552963496469,0.106963826039832
8,8,2,6,122,123,15006,1625,28978,11106,1625,0.13541666666666666,0.14631730596074194,0.056077023949202845,0.10829001732640277
8,8,2,7,123,10,1230,150,2340,2149,150,0.0125,0.06979990693345742,0.0641025641025641,0.12195121951219512
8,16,0,0,90,120,10800,153,20890,10126,153,0.01275,0.015109618803081178,0.007324078506462422,0.014166666666666666
8,16,0,1,120,120,14400,177,27671,11001,177,0.01475,0.016089446413962368,0.006396588486140725,0.012291666666666666
8,16,0,2,120,121,14520,199,28052,11052,199,0.016583333333333332,0.01800579080709374,0.007093968344503066,0.013705234159779615
8,16,0,3,121,121,14641,214,28018,10999,214,0.017833333333333333,0.019456314210382762,0.007637947034049539,0.014616487944812512
8,16,0,4,121,121,14641,208,27950,10982,208,0.017333333333333333,0.01894008377344746,0.0074418604651162795,0.01420667987159347
8,16,0,5,121,122,14762,203,28382,11056,203,0.016916666666666667,0.018361070911722142,0.007152420548234797,0.013751524183714944
8,16,0,6,122,123,15006,215,28590,11093,215,0.017916666666666668,0.01938159199495177,0.007520111927247289,0.014327602292416367
8,16,0,7,123,10,1230,15,2447,2216,15,0.00125,0.006768953068592058,0.006129955046996322,0.012195121951219513
8,16,1,0,90,120,10800,141,20529,10043,141,0.01175,0.01403962959275117,0.006868332602659652,0.013055555555555556
8,16,1,1,120,120,14400,209,27647,10991,209,0.017416666666666667,0.019015558183968703,0.007559590552320324,0.014513888888888889
8,16,1,2,120,121,14520,189,27728,11034,189,0.01575,0.017128874388254486,0.0068162146566647435,0.013016528925619835
8,16,1,3,121,121,14641,225,28070,11024,225,0.01875,0.0204100145137881,0.008015675097969362,0.015367802745714091
8,16,1,4,121,121,14641,219,28182,11034,219,0.01825,0.01984774333877107,0.007770917606983181,0.014957994672495048
8,16,1,5,121,122,14762,196,28602,11069,196,0.01633333333333333,0.017707109946697986,0.006852667645619187,0.013277333694621325
8,16,1,6,122,123,15006,201,28887,11158,201,0.01675,0.018013981000179244,0.006958147263474919,0.013394642143142742
8,16,1,7,123,10,1230,19,2355,2163,19,0.0015833333333333333,0.00878409616273694,0.008067940552016985,0.015447154471544716
8,16,2,0,90,120,10800,142,20660,10091,142,0.011833333333333333,0.01407194529779011,0.006873184898354308,0.013148148148148148
8,16,2,1,120,120,14400,193,27846,11051,193,0.016083333333333335,0.017464482852230567,0.006930977519212813,0.013402777777777777
8,16,2,2,120,121,14520,200,27542,10972,200,0.016666666666666666,0.01822821728034998,0.007261636772928618,0.013774104683195593
8,16,2,3,121,121,14641,188,28019,11027,188,0.015666666666666666,0.01704906139475832,0.006709732681394768,0.01284065296086333
8,16,2,4,121,121,14641,229,28152,11110,229,0.019083333333333334,0.02061206120612061,0.008134413185564082,0.01564100812786012
8,16,2,5,121,122,14762,216,28463,11060,216,0.018,0.01952983725135624,0.007588799494080034,0.014632163663460237
8,16,2,6,122,123,15006,202,28978,11106,202,0.016833333333333332,0.01818836664865838,0.0069708054386086,0.013461282153805145
8,16,2,7,123,10,1230,28,2340,2149,28,0.0023333333333333335,0.013029315960912053,0.011965811965811967,0.022764227642276424
16,1,0,0,90,79,7110,822,13771,8359,822,0.0685,0.09833712166527096,0.05969065427347324,0.11561181434599156
16,1,0,1,79,82,6478,776,12525,8005,776,0.06466666666666666,0.09693941286695815,0.061956087824351296,0.11979005866008027
16,1,0,2,82,80,6560,722,12612,8027,722,0.06016666666666667,0.08994643079606329,0.05724706628607675,0.1100609756097561
16,1,0,3,80,82,6560,789,12491,7910,789,0.06575,0.09974715549936788,0.06316547914498438,0.12027439024390243
16,1,0,4,82,80,6560,795,12713,7973,795,0.06625,0.09971152640160542,0.06253441359238575,0.1211890243902439
16,1,0,5,80,82,6560,787,12702,8033,787,0.06558333333333333,0.09797087016058757,0.061958746654070224,0.11996951219512195
16,1,0,6,82,81,6642,835,12804,8024,835,0.06958333333333333,0.10406281156530409,0.06521399562636676,0.12571514604034928
16,1,0,7,81,81,6561,752,12450,7879,752,0.06266666666666666,0.09544358421119431,0.06040160642570281,0.11461667428745619
16,1,0,8,81,81,6561,765,12586,7948,765,0.06375,0.09625062908907901,0.060781821071031306,0.11659807956104253
16,1,0,9,81,81,6561,793,12503,7834,793,0.06608333333333333,0.101225427623181,0.06342477805326721,0.12086572168876696
16,1,0,10,81,81,6561,825,12555,7936,825,0.06875,0.10395665322580645,0.06571087216248507,0.12574302697759487
16,1,0,11,81,82,6642,776,12794,8024,776,0.06466666666666666,0.0967098703888335,0.06065343129591996,0.11683227943390545
16,1,0,12,82,81,6642,852,12751,7976,852,0.071,0.10682046138415245,0.06681828876166575,0.12827461607949414
16,1,0,13,81,82,6642,813,12690,8000,813,0.06775,0.101625,0.06406619385342789,0.12240289069557363
16,1,0,14,82,80,6560,803,12457,7908,803,0.06691666666666667,0.10154274152756702,0.06446174841454604,0.12240853658536585
16,1,0,15,80,10,800,95,1596,1500,95,0.007916666666666667,0.06333333333333334,0.05952380952380952,0.11875
16,1,1,0,90,79,7110,802,13455,8211,802,0.06683333333333333,0.09767385214955547,0.05960609438870308,0.11279887482419128
16,1,1,1,79,82,6478,761,12408,7907,761,0.06341666666666666,0.09624383457695712,0.06133139909735654,0.1174745291756715
16,1,1,2,82,80,6560,836,12690,8015,836,0.06966666666666667,0.1043044291952589,0.06587864460204886,0.1274390243902439
16,1,1,3,80,82,6560,742,12484,7828,742,0.06183333333333333,0.09478794072560041,0.05943607818007049,0.11310975609756098
16,1,1,4,82,80,6560,761,12490,7891,761,0.06341666666666666,0.09643898111772906,0.06092874299439552,0.11600609756097562
16,1,1,5,80,82,6560,777,12575,7958,777,0.06475,0.09763759738627796,0.06178926441351889,0.1184451219512195
16,1,1,6,82,81,6642,803,12728,7949,803,0.06691666666666667,0.10101899610013838,0.06308925204274042,0.12089732008431195
16,1,1,7,81,81,6561,752,12651,7951,752,0.06266666666666666,0.09457929820148409,0.05944194134851,0.11461667428745619
16,1,1,8,81,81,6561,769,12615,7935,769,0.06408333333333334,0.09691241335853812,0.06095917558462148,0.11720774272214601
16,1,1,9,81,81,6561,796,12566,7899,796,0.06633333333333333,0.10077224965185466,0.0633455355721789,0.12132296905959457
16,1,1,10,81,81,6561,810,12610,7989,810,0.0675,0.10138941043935411,0.06423473433782712,0.12345679012345678
16,1,1,11,81,82,6642,852,13011,8131,852,0.071,0.10478415938998893,0.06548305280147568,0.12827461607949414
16,1,1,12,82,81,6642,825,12731,8020,825,0.06875,0.10286783042394015,0.06480245071086324,0.12420957542908763
16,1,1,13,81,82,6642,792,12720,8012,792,0.066,0.09885172241637544,0.062264150943396226,0.11924119241192412
16,1,1,14,82,80,6560,835,12729,7998,835,0.06958333333333333,0.10440110027506877,0.06559824023882473,0.12728658536585366
16,1,1,15,80,10,800,87,1537,1450,87,0.00725,0.06,0.05660377358490566,0.10875
16,1,2,0,90,79,7110,850,13542,8336,850,0.07083333333333333,0.10196737044145873,0.06276768571850538,0.11954992967651196
16,1,2,1,79,82,6478,764,12579,7925,764,0.06366666666666666,0.09640378548895899,0.0607361475474998,0.11793763507255325
16,1,2,2,82,80,6560,785,12689,8034,785,0.06541666666666666,0.09770973363206373,0.061864607140042556,0.11966463414634146
16,1,2,3,80,82,6560,795,12636,7981,795,0.06625,0.09961157749655432,0.06291547958214624,0.1211890243902439
16,1,2,4,82,80,6560,717,12469,7914,717,0.05975,0.09059893858984079,0.0575026064640308,0.10929878048780488
16,1,2,5,80,82,6560,770,12336,7851,770,0.06416666666666666,0.0980766781301745,0.0624189364461738,0.1173780487804878
16,1,2,6,82,81,6642,815,12738,8013,815,0.06791666666666667,0.10170972170223387,0.06398178677971424,0.12270400481782595
16,1,2,7,81,81,6561,794,12581,7886,794,0.06616666666666667,0.10068475779863048,0.06311104045783324,0.12101813747904283
16,1,2,8,81,81,6561,784,12530,7914,784,0.06533333333333333,0.09906494819307556,0.06256983240223464,0.1194939795762841
16,1,2,9,81,81,6561,809,12755,8067,809,0.06741666666666667,0.10028511218544688,0.06342610740885928,0.12330437433318092
16,1,2,10,81,81,6561,810,12491,7923,810,0.0675,0.10223400227186671,0.0648466896165239,0.12345679012345678
16,1,2,11,81,82,6642,785,12943,8069,785,0.06541666666666666,0.09728590903457678,0.06065054469597466,0.11818729298404095
16,1,2,12,82,81,6642,796,12629,7977,796,0.06633333333333333,0.09978688730099035,0.06302953519676933,0.11984342065642879
16,1,2,13,81,82,6642,805,12872,8015,805,0.06708333333333333,0.10043668122270742,0.06253884400248602,0.12119843420656429
16,1,2,14,82,80,6560,832,12726,7974,832,0.06933333333333333,0.10433910208176574,0.06537796636806538,0.12682926829268293
16,1,2,15,80,10,800,89,1484,1412,89,0.007416666666666667,0.06303116147308782,0.05997304582210242,0.11125
16,4,0,0,90,79,7110,825,13771,8359,825,0.06875,0.09869601626988875,0.0599085033766611,0.1160337552742616
16,4,0,1,79,82,6478,767,12525,8005,767,0.06391666666666666,0.09581511555277951,0.0612375249500998,0.11840074096943501
16,4,0,2,82,80,6560,744,12612,8027,744,0.062,0.0926871807649184,0.058991436726926735,0.11341463414634147
16,4,0,3,80,82,6560,803,12491,7910,803,0.06691666666666667,0.10151706700379266,0.06428628612601073,0.12240853658536585
16,4,0,4,82,80,6560,841,12713,7973,841,0.07008333333333333,0.10548099836949705,0.06615275702037285,0.12820121951219512
16,4,0,5,80,82,6560,760,12702,8033,760,0.06333333333333334,0.09460973484376944,0.05983309715005511,0.11585365853658537
16,4,0,6,82,81,6642,820,12804,8024,820,0.06833333333333333,0.10219341974077767,0.0640424867228991,0.12345679012345678
16,4,0,7,81,81,6561,697,12450,7879,697,0.058083333333333334,0.08846300291915217,0.05598393574297189,0.10623380582228319
16,4,0,8,81,81,6561,853,12586,7948,853,0.07108333333333333,0.10732259687971817,0.06777371682822184,0.1300106691053193
16,4,0,9,81,81,6561,756,12503,7834,756,0.063,0.09650242532550421,0.060465488282812126,0.11522633744855967
16,4,0,10,81,81,6561,769,12555,7936,769,0.06408333333333334,0.09690020161290322,0.061250497809637594,0.11720774272214601
16,4,0,11,81,82,6642,827,12794,8024,827,0.06891666666666667,0.10306580259222332,0.0646396748475848,0.12451068955133995
16,4,0,12,82,81,6642,830,12751,7976,830,0.06916666666666667,0.10406218655967904,0.06509293388753823,0.12496236073471846
16,4,0,13,81,82,6642,760,12690,8000,760,0.06333333333333334,0.095,0.05988967691095351,0.11442336645588679
16,4,0,14,82,80,6560,823,12457,7908,823,0.06858333333333333,0.10407182599898837,0.066067271413663,0.12545731707317073
16,4,0,15,80,10,800,115,1596,1500,115,0.009583333333333333,0.07666666666666666,0.07205513784461152,0.14375
16,4,1,0,90,79,7110,808,13455,8211,808,0.06733333333333333,0.09840457922299355,0.060052025269416574,0.11364275668073136
16,4,1,1,79,82,6478,742,12408,7907,742,0.06183333333333333,0.0938409004679398,0.05980012894906512,0.11454152516208706
16,4,1,2,82,80,6560,829,12690,8015,829,0.06908333333333333,0.10343106674984404,0.06532702915681639,0.1263719512195122
16,4,1,3,80,82,6560,752,12484,7828,752,0.06266666666666666,0.09606540623403168,0.06023710349247036,0.11463414634146342
16,4,1,4,82,80,6560,736,12490,7891,736,0.06133333333333333,0.09327081485236345,0.0589271417133707,0.11219512195121951
16,4,1,5,80,82,6560,778,12575,7958,778,0.06483333333333334,0.0977632570997738,0.06186878727634195,0.11859756097560975
16,4,1,6,82,81,6642,796,12728,7949,796,0.06633333333333333,0.10013838218643854,0.06253928346951602,0.11984342065642879
16,4,1,7,81,81,6561,769,12651,7951,769,0.06408333333333334,0.09671739403848573,0.06078570863963323,0.11720774272214601
16,4,1,8,81,81,6561,779,12615,7935,779,0.06491666666666666,0.09817265280403277,0.06175188267934998,0.11873190062490474
16,4,1,9,81,81,6561,805,12566,7899,805,0.06708333333333333,0.10191163438409925,0.06406175393920102,0.12269471117207743
16,4,1,10,81,81,6561,810,12610,7989,810,0.0675,0.10138941043935411,0.06423473433782712,0.12345679012345678
16,4,1,11,81,82,6642,831,13011,8131,831,0.06925,0.10220145123601033,0.06386903389439705,0.12511291779584463
16,4,1,12,82,81,6642,804,12731,8020,804,0.067,0.1002493765586035,0.06315293378367763,0.12104787714543812
16,4,1,13,81,82,6642,808,12720,8012,808,0.06733333333333333,0.10084872690963555,0.06352201257861635,0.1216501053899428
16,4,1,14,82,80,6560,829,12729,7998,829,0.06908333333333333,0.10365091272818204,0.06512687563830623,0.1263719512195122
16,4,1,15,80,10,800,104,1537,1450,104,0.008666666666666666,0.07172413793103448,0.06766428106701367,0.13
16,4,2,0,90,79,7110,828,13542,8336,828,0.069,0.09932821497120921,0.06114311032343819,0.11645569620253164
16,4,2,1,79,82,6478,780,12579,7925,780,0.065,0.09842271293375394,0.06200810875268304,0.12040753318925594
16,4,2,2,82,80,6560,798,12689,8034,798,0.0665,0.09932785660941,0.06288911655764835,0.12164634146341463
16,4,2,3,80,82,6560,792,12636,7981,792,0.066,0.0992356847512843,0.06267806267806268,0.12073170731707317
16,4,2,4,82,80,6560,752,12469,7914,752,0.06266666666666666,0.09502148091988881,0.060309567727965356,0.11463414634146342
16,4,2,5,80,82,6560,768,12336,7851,768,0.064,0.09782193351165457,0.0622568093385214,0.11707317073170732
16,4,2,6,82,81,6642,804,12738,8013,804,0.067,0.10033695245226507,0.06311822892133773,0.12104787714543812
16,4,2,7,81,81,6561,785,12581,7886,785,0.06541666666666666,0.09954349480091301,0.062395676019394324,0.11964639536655998
