depth,threshold,seed,initial_val_loss,initial_val_accuracy,val_loss,val_accuracy,test_loss,test_accuracy,total_fires,fire_epoch_fraction,zero_difference_fraction,train_forward_calls,elapsed_seconds
4,1,0,2.462828125,0.083,1.4573319091796875,0.631,1.419436962890625,0.6363,12000,1.0,5.208333333333333e-06,1536000,1540.4649537838995
4,1,1,2.353491943359375,0.108,1.3937618408203125,0.653,1.3766185791015626,0.644,12000,1.0,7.8125e-06,1536000,2273.541199814528
4,1,2,2.3537978515625,0.102,1.3760050048828125,0.617,1.3387299072265626,0.6574,12000,1.0,3.90625e-06,1536000,1968.287749864161
4,4,0,2.462828125,0.083,1.4722718505859376,0.594,1.4510797485351563,0.6099,11985,0.99875,2.6041666666666666e-06,1536000,1574.1345488727093
4,4,1,2.353491943359375,0.108,1.4531470947265626,0.624,1.4271511962890624,0.6307,11973,0.99775,7.8125e-06,1536000,2319.6483331248164
4,4,2,2.3537978515625,0.102,1.333802490234375,0.65,1.3034415893554687,0.6704,11975,0.9979166666666667,5.208333333333333e-06,1536000,1914.9609617330134
4,8,0,2.462828125,0.083,1.4900430908203126,0.613,1.4777142578125,0.6182,10597,0.8830833333333333,0.0,1536000,1600.8578490167856
4,8,1,2.353491943359375,0.108,1.4686697998046876,0.619,1.445895263671875,0.643,10592,0.8826666666666667,6.510416666666667e-06,1536000,2307.493692472577
4,8,2,2.3537978515625,0.102,1.3641441650390624,0.653,1.3380454345703126,0.6712,10545,0.87875,3.90625e-06,1536000,1835.21576243639
4,16,0,2.462828125,0.083,2.10570263671875,0.301,2.084769836425781,0.3197,1604,0.13366666666666666,5.208333333333333e-06,1536000,1585.2499359026551
4,16,1,2.353491943359375,0.108,2.049470703125,0.344,2.0485282104492186,0.3496,1556,0.12966666666666668,1.0416666666666666e-05,1536000,2274.3846914172173
4,16,2,2.3537978515625,0.102,1.9909141845703124,0.396,1.9767298461914062,0.4017,1520,0.12666666666666668,1.0416666666666666e-05,1536000,1899.6108476892114
8,1,0,2.319141357421875,0.14,2.0842333984375,0.288,2.0859096313476564,0.2966,12000,1.0,2.6041666666666666e-06,1536000,2438.1637101508677
8,1,1,2.314598388671875,0.118,2.12044580078125,0.261,2.13101689453125,0.2585,12000,1.0,1.3020833333333333e-06,1536000,3285.3364366889
8,1,2,2.349635009765625,0.086,2.075529296875,0.312,2.0731021606445315,0.32,12000,1.0,5.208333333333333e-06,1536000,2506.6168871819973
8,4,0,2.319141357421875,0.14,2.046383056640625,0.329,2.039276904296875,0.3239,11985,0.99875,1.3020833333333333e-06,1536000,2503.2507038749754
8,4,1,2.314598388671875,0.118,2.0480400390625,0.34,2.0500842529296874,0.3233,11974,0.9978333333333333,5.208333333333333e-06,1536000,3305.4301661886275
8,4,2,2.349635009765625,0.086,2.082155029296875,0.289,2.0778878173828126,0.2879,11983,0.9985833333333334,1.3020833333333334e-05,1536000,2436.206016175449
8,8,0,2.319141357421875,0.14,2.120603271484375,0.294,2.119785363769531,0.284,10600,0.8833333333333333,9.114583333333334e-06,1536000,2561.8054063394666
8,8,1,2.314598388671875,0.118,2.125030517578125,0.301,2.1281423950195313,0.2899,10654,0.8878333333333334,5.208333333333333e-06,1536000,3035.182701341808
8,8,2,2.349635009765625,0.086,2.04999755859375,0.36,2.045616369628906,0.3681,10559,0.8799166666666667,2.6041666666666666e-06,1536000,2707.455030567944
8,16,0,2.319141357421875,0.14,2.281221923828125,0.156,2.271370788574219,0.1624,1384,0.11533333333333333,9.114583333333334e-06,1536000,2613.349259264767
8,16,1,2.314598388671875,0.118,2.281291259765625,0.158,2.283022509765625,0.1487,1399,0.11658333333333333,5.208333333333333e-06,1536000,2969.7391405031085
8,16,2,2.349635009765625,0.086,2.275814697265625,0.144,2.283798181152344,0.1244,1398,0.1165,7.8125e-06,1536000,2585.1611039191484
16,1,0,2.301154296875,0.104,2.288228515625,0.114,2.288845666503906,0.1295,12000,1.0,1.0416666666666666e-05,1536000,3566.8894169554114
16,1,1,2.30274462890625,0.103,2.288813720703125,0.128,2.286030603027344,0.1306,12000,1.0,7.8125e-06,1536000,4180.557607803494
16,1,2,2.309536376953125,0.105,2.27251025390625,0.146,2.2740453125,0.1454,12000,1.0,7.8125e-06,1536000,3108.7255379781127
16,4,0,2.301154296875,0.104,2.258518310546875,0.14,2.2621261962890626,0.1467,11990,0.9991666666666666,9.114583333333334e-06,1536000,3680.8817558810115
16,4,1,2.30274462890625,0.103,2.287380615234375,0.142,2.293725207519531,0.1268,11980,0.9983333333333333,7.8125e-06,1536000,4259.948673028499
16,4,2,2.309536376953125,0.105,2.267988037109375,0.15,2.269992858886719,0.147,11985,0.99875,7.8125e-06,1536000,3002.2475955300033
16,8,0,2.301154296875,0.104,2.278478271484375,0.13,2.2757098876953124,0.1528,10586,0.8821666666666667,1.4322916666666666e-05,1536000,3599.2428883761168
16,8,1,2.30274462890625,0.103,2.289878173828125,0.13,2.2925289306640626,0.1256,10585,0.8820833333333333,1.6927083333333333e-05,1536000,4072.640908487141
16,8,2,2.309536376953125,0.105,2.2754765625,0.154,2.2824607177734375,0.139,10604,0.8836666666666667,9.114583333333334e-06,1536000,2694.6688418649137
16,16,0,2.301154296875,0.104,2.300323486328125,0.106,2.3002382568359376,0.1089,1343,0.11191666666666666,6.510416666666667e-06,1536000,3627.2692383490503
16,16,1,2.30274462890625,0.103,2.301693603515625,0.106,2.3011240966796875,0.1091,1419,0.11825,1.6927083333333333e-05,1536000,4033.978832606226
16,16,2,2.309536376953125,0.105,2.3033642578125,0.098,2.3024234497070313,0.1067,1499,0.12491666666666666,1.4322916666666666e-05,1536000,2647.0297119170427
