depth,threshold,step,layer,stage,seeds,rms_mean,rms_std,std_mean,std_std,mean_mean,mean_std,zero_fraction_mean,zero_fraction_std,dead_feature_fraction_mean,dead_feature_fraction_std,max_abs_mean,max_abs_std
4,1,0,0,input,3,0.6224744586297459,0.0,0.5706528477563928,0.0,-0.24865594502025182,0.0,0.11097777777777777,0.0,0.0,0.0,1.9996788501739502,0.0
4,1,0,0,output,3,0.6113137047517059,0.013706811693671168,0.6103061150077884,0.01476484527882765,-0.02986103488272946,0.021879015661833034,0.0,0.0,0.0,0.0,3.7912500699361167,0.327153003558047
4,1,0,0,pre_activation,3,0.6113137047517059,0.013706811693671168,0.6103061150077884,0.01476484527882765,-0.02986103488272946,0.021879015661833034,0.0,0.0,0.0,0.0,3.7912500699361167,0.327153003558047
4,1,0,1,input,3,0.5413868579335596,0.011865291327395725,0.5407529882913243,0.012577540882905348,-0.02225018320053816,0.016397805362277907,0.2951066666666667,0.006990676529015853,0.0,0.0,1.2904973824818928,0.1492847616949928
4,1,0,1,output,3,0.543855971118095,0.014618346753472278,0.5415202913726094,0.014846677818870205,-0.03686409080454471,0.04192215955881087,0.022055,0.0003127698834606678,0.0,0.0,3.4661242167154946,0.35931425690852115
4,1,0,1,pre_activation,3,0.543855971118095,0.014618346753472278,0.5415202913726094,0.014846677818870205,-0.03686409080454471,0.04192215955881087,0.022055,0.0003127698834606678,0.0,0.0,3.4661242167154946,0.35931425690852115
4,1,0,2,input,3,0.4824241610921644,0.013843023657455118,0.48057862688865677,0.014206090154027856,-0.033122296743492284,0.03178157279160815,0.3018533333333333,0.005506342555029904,0.0,0.0,1.1803064743677776,0.11917792526240896
4,1,0,2,output,3,0.48243746263561527,0.017196797298822973,0.48228657636943156,0.01734474796647584,0.006920802282000091,0.011890698515696156,0.021643333333333334,0.00042335957923889263,0.0,0.0,3.2636998494466147,0.30936682349246
4,1,0,2,pre_activation,3,0.48243746263561527,0.017196797298822973,0.48228657636943156,0.01734474796647584,0.006920802282000091,0.011890698515696156,0.021643333333333334,0.00042335957923889263,0.0,0.0,3.2636998494466147,0.30936682349246
4,1,0,3,input,3,0.4279134678834565,0.014725296463412292,0.4277910694317873,0.01483550575967454,0.003819116276750962,0.011487776841827653,0.30066,0.0035238224983673537,0.0,0.0,1.062756896018982,0.1180559864984939
4,1,0,3,output,3,0.4397572504152918,0.04825642311181393,0.4302043872849569,0.038343467736204125,-0.07353455901226649,0.07220388133753608,0.019200000000000002,0.0029512709126747424,0.0,0.0,2.0215402444203696,0.24877876866994378
4,1,0,3,pre_activation,3,0.4397572504152918,0.04825642311181393,0.4302043872849569,0.038343467736204125,-0.07353455901226649,0.07220388133753608,0.019200000000000002,0.0029512709126747424,0.0,0.0,2.0215402444203696,0.24877876866994378
4,1,500,0,input,3,0.6224744586297459,0.0,0.5706528477563928,0.0,-0.24865594502025182,0.0,0.11097777777777777,0.0,0.0,0.0,1.9996788501739502,0.0
4,1,500,0,output,3,0.6112855008521091,0.013751285471456206,0.6101686279214771,0.014796687377899392,-0.032097596513585624,0.021704513827513424,0.0,0.0,0.0,0.0,3.7912500699361167,0.327153003558047
4,1,500,0,pre_activation,3,0.6112855008521091,0.013751285471456206,0.6101686279214771,0.014796687377899392,-0.032097596513585624,0.021704513827513424,0.0,0.0,0.0,0.0,3.7912500699361167,0.327153003558047
4,1,500,1,input,3,0.541050056187411,0.012643358962419386,0.5403471311885983,0.013277389387042798,-0.024392753017197052,0.01520748277193785,0.2954,0.007070507407534493,0.0,0.0,1.2845445076624553,0.1419005244071665
4,1,500,1,output,3,0.5442238235253976,0.018953139656773484,0.5420273198251505,0.01831688835367375,-0.034889023065353825,0.04215185869990431,0.022504999999999997,0.0005880263599533613,0.0,0.0,3.346851030985514,0.16731603534799216
4,1,500,1,pre_activation,3,0.5442238235253976,0.018953139656773484,0.5420273198251505,0.01831688835367375,-0.034889023065353825,0.04215185869990431,0.022504999999999997,0.0005880263599533613,0.0,0.0,3.346851030985514,0.16731603534799216
4,1,500,2,input,3,0.4825483659088744,0.0173213341317182,0.48084512415967734,0.016936908441712813,-0.03226291567708055,0.03021860645933492,0.3025333333333333,0.006830976016158549,0.0,0.0,1.181406815846761,0.11661686060220469
4,1,500,2,output,3,0.483528491068621,0.01814946093158737,0.48325005684579586,0.01826055943671976,0.009569878683592893,0.01619744994084209,0.022423333333333333,0.0005908115886924821,0.0,0.0,3.5918289025624595,0.6503601964283702
4,1,500,2,pre_activation,3,0.483528491068621,0.01814946093158737,0.48325005684579586,0.01826055943671976,0.009569878683592893,0.01619744994084209,0.022423333333333333,0.0005908115886924821,0.0,0.0,3.5918289025624595,0.6503601964283702
4,1,500,3,input,3,0.4291258155805265,0.015778831754303613,0.428903791647112,0.0158617234548897,0.0062872097711761795,0.014961230333270913,0.3002316666666667,0.001967170133296412,0.0,0.0,1.0600182215372722,0.08131820803290207
4,1,500,3,output,3,0.40978348530676334,0.03332204298650372,0.40046349862841496,0.022844444583635038,-0.07292444123805811,0.06275958373274043,0.019533333333333333,0.003384277372399214,0.0,0.0,2.055505911509196,0.4282086977610571
4,1,500,3,pre_activation,3,0.40978348530676334,0.03332204298650372,0.40046349862841496,0.022844444583635038,-0.07292444123805811,0.06275958373274043,0.019533333333333333,0.003384277372399214,0.0,0.0,2.055505911509196,0.4282086977610571
4,1,1000,0,input,3,0.6224744586297459,0.0,0.5706528477563928,0.0,-0.24865594502025182,0.0,0.11097777777777777,0.0,0.0,0.0,1.9996788501739502,0.0
4,1,1000,0,output,3,0.6107679293344023,0.012545324398072854,0.609621193134205,0.01357083212634009,-0.03351308956131555,0.01969069575527724,0.0,0.0,0.0,0.0,3.7912500699361167,0.327153003558047
4,1,1000,0,pre_activation,3,0.6107679293344023,0.012545324398072854,0.609621193134205,0.01357083212634009,-0.03351308956131555,0.01969069575527724,0.0,0.0,0.0,0.0,3.7912500699361167,0.327153003558047
4,1,1000,1,input,3,0.5403118048894213,0.01129360195108811,0.5395821489021522,0.011949546795417152,-0.02497571653460463,0.015198709987633317,0.294785,0.0076178934095982335,0.0,0.0,1.289500633875529,0.15721623139954305
4,1,1000,1,output,3,0.5424802266123014,0.015693309119564992,0.540311475722656,0.015154266217311653,-0.03489076117236435,0.04138886982470066,0.022105,0.00014654350889752805,0.0,0.0,3.5669874350229898,0.29101200541108796
4,1,1000,1,pre_activation,3,0.5424802266123014,0.015693309119564992,0.540311475722656,0.015154266217311653,-0.03489076117236435,0.04138886982470066,0.022105,0.00014654350889752805,0.0,0.0,3.5669874350229898,0.29101200541108796
4,1,1000,2,input,3,0.48107256954103594,0.014170833306732952,0.4794208790697965,0.013938781855503887,-0.030843431893040736,0.030971014767334645,0.30194666666666664,0.006524213234814843,0.0,0.0,1.2225221792856853,0.13355457095456916
4,1,1000,2,output,3,0.4816422480608582,0.014429169957931925,0.48146140897054873,0.014581149063009563,0.005244927070467836,0.014682551942094228,0.021798333333333333,0.0007324331596352881,0.0,0.0,3.0717599391937256,0.4598417641000762
4,1,1000,2,pre_activation,3,0.4816422480608582,0.014429169957931925,0.48146140897054873,0.014581149063009563,0.005244927070467836,0.014682551942094228,0.021798333333333333,0.0007324331596352881,0.0,0.0,3.0717599391937256,0.4598417641000762
4,1,1000,3,input,3,0.42739091849002847,0.012020609171852045,0.42722937568259844,0.012131313730917087,0.002761759937604268,0.013891433961476251,0.29953833333333335,0.0020064230195383204,0.0,0.0,1.1107714573542278,0.1589658840387445
4,1,1000,3,output,3,0.3972869738566095,0.018461999123022783,0.39030057338731794,0.01736515802158068,-0.05729135428108275,0.05804697063562364,0.020966666666666668,0.0023180451534284947,0.0,0.0,2.117809851964315,0.25790879830460495
4,1,1000,3,pre_activation,3,0.3972869738566095,0.018461999123022783,0.39030057338731794,0.01736515802158068,-0.05729135428108275,0.05804697063562364,0.020966666666666668,0.0023180451534284947,0.0,0.0,2.117809851964315,0.25790879830460495
4,1,1500,0,input,3,0.6224744586297459,0.0,0.5706528477563928,0.0,-0.24865594502025182,0.0,0.11097777777777777,0.0,0.0,0.0,1.9996788501739502,0.0
4,1,1500,0,output,3,0.6123227731641517,0.01568452218172894,0.6110087290713977,0.016731352644064973,-0.03649750084418031,0.019473880557084974,0.0,0.0,0.0,0.0,3.7912500699361167,0.327153003558047
4,1,1500,0,pre_activation,3,0.6123227731641517,0.01568452218172894,0.6110087290713977,0.016731352644064973,-0.03649750084418031,0.019473880557084974,0.0,0.0,0.0,0.0,3.7912500699361167,0.327153003558047
4,1,1500,1,input,3,0.5416751078760618,0.013939879445526559,0.5408239451445016,0.014596925448999048,-0.02759228040724993,0.014876941070133513,0.29606166666666667,0.010363079095198166,0.0,0.0,1.2913382450739543,0.140014388457503
4,1,1500,1,output,3,0.5454201563743345,0.018344330340773488,0.54309576190596,0.0175439729727672,-0.036004141937385874,0.04335304697242934,0.022233333333333334,0.0005831237718815223,0.0,0.0,3.6442433993021646,0.2478768800810565
4,1,1500,1,pre_activation,3,0.5454201563743345,0.018344330340773488,0.54309576190596,0.0175439729727672,-0.036004141937385874,0.04335304697242934,0.022233333333333334,0.0005831237718815223,0.0,0.0,3.6442433993021646,0.2478768800810565
4,1,1500,2,input,3,0.48352273412930374,0.01660030383899061,0.48177921451815403,0.01619176239252942,-0.03183861664960782,0.03189647269137258,0.3016433333333333,0.009219420173380384,0.0,0.0,1.1905469099680583,0.09922446924591141
4,1,1500,2,output,3,0.48428303765599146,0.016852688864806533,0.4840620514582127,0.017010960029094035,0.006058804891485199,0.0161419650248812,0.022269999999999998,0.0006644358509291919,0.0,0.0,2.9424571990966797,0.37539923765644145
4,1,1500,2,pre_activation,3,0.48428303765599146,0.016852688864806533,0.4840620514582127,0.017010960029094035,0.006058804891485199,0.0161419650248812,0.022269999999999998,0.0006644358509291919,0.0,0.0,2.9424571990966797,0.37539923765644145
4,1,1500,3,input,3,0.42979662311280814,0.013848926710826874,0.42962254226604135,0.013976299886716606,0.003098825292438269,0.014368867710573047,0.300815,0.004089440670800834,0.0,0.0,1.1060638825098674,0.1488582795301882
4,1,1500,3,output,3,0.39723496979801376,0.025444486542852626,0.3880444217516951,0.02380856112429133,-0.055991533666849135,0.07876368779966854,0.020399999999999998,0.0024758836806279888,0.0,0.0,2.1393202940622964,0.48664987158513323
4,1,1500,3,pre_activation,3,0.39723496979801376,0.025444486542852626,0.3880444217516951,0.02380856112429133,-0.055991533666849135,0.07876368779966854,0.020399999999999998,0.0024758836806279888,0.0,0.0,2.1393202940622964,0.48664987158513323
4,1,2000,0,input,3,0.6224744586297459,0.0,0.5706528477563928,0.0,-0.24865594502025182,0.0,0.11097777777777777,0.0,0.0,0.0,1.9996788501739502,0.0
