depth,threshold,seed,layer,in_width,out_width,parameters,fires,selected_coordinates,selected_intervals,fire_intervals,fire_interval_rate,fire_given_selected_interval_rate,fires_per_selected_coordinate,updates_per_parameter
4,1,0,0,90,200,18000,2356,34756,11527,2356,0.19633333333333333,0.2043896937624707,0.06778685694556336,0.1308888888888889
4,1,0,1,200,200,40000,4477,76889,11997,4477,0.3730833333333333,0.37317662749020586,0.05822679446995019,0.111925
4,1,0,2,200,200,40000,4760,76500,11998,4760,0.39666666666666667,0.396732788798133,0.06222222222222222,0.119
4,1,0,3,200,10,2000,407,3855,3323,407,0.033916666666666664,0.12247968702979235,0.10557717250324254,0.2035
4,1,1,0,90,200,18000,2355,34399,11483,2355,0.19625,0.2050857789776191,0.06846129247943254,0.13083333333333333
4,1,1,1,200,200,40000,4514,76679,11997,4514,0.37616666666666665,0.37626073184962905,0.05886879067280481,0.11285
4,1,1,2,200,200,40000,4740,77078,11999,4740,0.395,0.39503291940995083,0.0614961467604245,0.1185
4,1,1,3,200,10,2000,391,3844,3326,391,0.03258333333333333,0.11755862898376428,0.10171696149843913,0.1955
4,1,2,0,90,200,18000,2229,34701,11521,2229,0.18575,0.19347278882041488,0.06423446010201435,0.12383333333333334
4,1,2,1,200,200,40000,4680,76317,11995,4680,0.39,0.3901625677365569,0.0613231652187586,0.117
4,1,2,2,200,200,40000,4704,77115,11997,4704,0.392,0.3920980245061265,0.06099980548531414,0.1176
4,1,2,3,200,10,2000,387,3867,3358,387,0.03225,0.11524717093508041,0.10007757951900698,0.1935
4,4,0,0,90,200,18000,2342,34756,11527,2342,0.19516666666666665,0.20317515398629304,0.06738404879732995,0.13011111111111112
4,4,0,1,200,200,40000,4485,76889,11997,4485,0.37375,0.3738434608652163,0.05833084056236913,0.112125
4,4,0,2,200,200,40000,4750,76500,11998,4750,0.3958333333333333,0.3958993165527588,0.06209150326797386,0.11875
4,4,0,3,200,10,2000,400,3855,3323,400,0.03333333333333333,0.12037315678603672,0.10376134889753567,0.2
4,4,1,0,90,200,18000,2307,34399,11483,2307,0.19225,0.20090568666724723,0.06706590307857786,0.12816666666666668
4,4,1,1,200,200,40000,4511,76679,11997,4511,0.3759166666666667,0.3760106693340002,0.05882966653190574,0.112775
4,4,1,2,200,200,40000,4775,77078,11999,4775,0.39791666666666664,0.3979498291524294,0.06195023223228418,0.119375
4,4,1,3,200,10,2000,391,3844,3326,391,0.03258333333333333,0.11755862898376428,0.10171696149843913,0.1955
4,4,2,0,90,200,18000,2189,34701,11521,2189,0.18241666666666667,0.19000086798021004,0.06308175556900378,0.12161111111111111
4,4,2,1,200,200,40000,4634,76317,11995,4634,0.38616666666666666,0.3863276365152147,0.0607204161589161,0.11585
4,4,2,2,200,200,40000,4727,77115,11997,4727,0.3939166666666667,0.39401517045928147,0.06129806133696428,0.118175
4,4,2,3,200,10,2000,428,3867,3358,428,0.035666666666666666,0.12745681953543775,0.11068011378329454,0.214
4,8,0,0,90,200,18000,2199,34756,11527,2199,0.18325,0.1907694977010497,0.06326965128323167,0.12216666666666667
4,8,0,1,200,200,40000,4071,76889,11997,4071,0.33925,0.3393348337084271,0.0529464552796889,0.101775
4,8,0,2,200,200,40000,4218,76500,11998,4218,0.3515,0.3515585930988498,0.05513725490196079,0.10545
4,8,0,3,200,10,2000,384,3855,3323,384,0.032,0.11555823051459524,0.09961089494163425,0.192
4,8,1,0,90,200,18000,2114,34399,11483,2114,0.17616666666666667,0.18409823216929375,0.06145527486264136,0.11744444444444445
4,8,1,1,200,200,40000,4143,76679,11997,4143,0.34525,0.3453363340835209,0.05403043858161948,0.103575
4,8,1,2,200,200,40000,4244,77078,11999,4244,0.3536666666666667,0.35369614134511207,0.05506110693064169,0.1061
4,8,1,3,200,10,2000,357,3844,3326,357,0.02975,0.10733613950691522,0.09287200832466182,0.1785
4,8,2,0,90,200,18000,2052,34701,11521,2052,0.171,0.17810953910250846,0.05913374254344255,0.114
4,8,2,1,200,200,40000,4257,76317,11995,4257,0.35475,0.35489787411421425,0.05578049451629388,0.106425
4,8,2,2,200,200,40000,4174,77115,11997,4174,0.3478333333333333,0.3479203134116863,0.05412695325163717,0.10435
4,8,2,3,200,10,2000,390,3867,3358,390,0.0325,0.11614055985705778,0.1008533747090768,0.195
4,16,0,0,90,200,18000,884,34756,11527,884,0.07366666666666667,0.07668951158150429,0.025434457359880307,0.04911111111111111
4,16,0,1,200,200,40000,1144,76889,11997,1144,0.09533333333333334,0.09535717262648996,0.014878591215908647,0.0286
4,16,0,2,200,200,40000,1292,76500,11998,1292,0.10766666666666666,0.10768461410235039,0.016888888888888887,0.0323
4,16,0,3,200,10,2000,303,3855,3323,303,0.02525,0.0911826662654228,0.07859922178988327,0.1515
4,16,1,0,90,200,18000,900,34399,11483,900,0.075,0.07837673081947226,0.026163551266025174,0.05
4,16,1,1,200,200,40000,1212,76679,11997,1212,0.101,0.10102525631407852,0.015806152923225396,0.0303
4,16,1,2,200,200,40000,1212,77078,11999,1212,0.101,0.10100841736811401,0.015724331196969303,0.0303
4,16,1,3,200,10,2000,293,3844,3326,293,0.024416666666666666,0.08809380637402285,0.07622268470343392,0.1465
4,16,2,0,90,200,18000,817,34701,11521,817,0.06808333333333333,0.07091398316118393,0.023543990086741014,0.04538888888888889
4,16,2,1,200,200,40000,1168,76317,11995,1168,0.09733333333333333,0.09737390579408087,0.015304584823826932,0.0292
4,16,2,2,200,200,40000,1196,77115,11997,1196,0.09966666666666667,0.09969158956405769,0.015509304285806911,0.0299
4,16,2,3,200,10,2000,315,3867,3358,315,0.02625,0.09380583680762358,0.08145849495733126,0.1575
8,1,0,0,90,120,10800,1405,20890,10126,1405,0.11708333333333333,0.1387517282243729,0.06725706079463858,0.1300925925925926
8,1,0,1,120,120,14400,1711,27671,11001,1711,0.14258333333333334,0.15553131533496956,0.06183368869936034,0.11881944444444445
8,1,0,2,120,121,14520,1705,28052,11052,1705,0.14208333333333334,0.1542707202316323,0.06077998003707401,0.11742424242424243
8,1,0,3,121,121,14641,1787,28018,10999,1787,0.14891666666666667,0.16246931539230838,0.06378042686844172,0.12205450447373813
8,1,0,4,121,121,14641,1735,27950,10982,1735,0.14458333333333334,0.1579857949371699,0.06207513416815742,0.11850283450583976
8,1,0,5,121,122,14762,1714,28382,11056,1714,0.14283333333333334,0.1550289435600579,0.060390388274258335,0.11610892832949465
8,1,0,6,122,123,15006,1765,28590,11093,1765,0.14708333333333334,0.15910934823762735,0.06173487233298356,0.11761961881913902
8,1,0,7,123,10,1230,178,2447,2216,178,0.014833333333333334,0.08032490974729242,0.07274213322435635,0.14471544715447154
8,1,1,0,90,120,10800,1317,20529,10043,1317,0.10975,0.13113611470676093,0.06415314920356568,0.12194444444444444
8,1,1,1,120,120,14400,1761,27647,10991,1761,0.14675,0.16022199981803292,0.06369588020400044,0.12229166666666667
8,1,1,2,120,121,14520,1702,27728,11034,1702,0.14183333333333334,0.1542504984593076,0.06138199653779573,0.11721763085399449
8,1,1,3,121,121,14641,1689,28070,11024,1689,0.14075,0.153211175616836,0.06017100106875668,0.11536097261116043
8,1,1,4,121,121,14641,1723,28182,11034,1723,0.14358333333333334,0.15615370672466922,0.06113831523667589,0.11768321835940168
8,1,1,5,121,122,14762,1813,28602,11069,1813,0.15108333333333332,0.16379076700695636,0.06338717572197748,0.12281533667524726
8,1,1,6,122,123,15006,1817,28887,11158,1817,0.15141666666666667,0.16284280336977952,0.06290026655589019,0.1210848993735839
8,1,1,7,123,10,1230,178,2355,2163,178,0.014833333333333334,0.08229311141932501,0.07558386411889596,0.14471544715447154
8,1,2,0,90,120,10800,1305,20660,10091,1305,0.10875,0.12932315925081755,0.06316553727008713,0.12083333333333333
8,1,2,1,120,120,14400,1784,27846,11051,1784,0.14866666666666667,0.1614333544475613,0.06406665230194641,0.1238888888888889
8,1,2,2,120,121,14520,1737,27542,10972,1737,0.14475,0.15831206707983958,0.06306731537288505,0.11962809917355371
8,1,2,3,121,121,14641,1710,28019,11027,1710,0.1425,0.1550739094948762,0.06103001534672901,0.1167953008674271
8,1,2,4,121,121,14641,1728,28152,11110,1728,0.144,0.15553555355535553,0.061381074168797956,0.11802472508708421
8,1,2,5,121,122,14762,1792,28463,11060,1792,0.14933333333333335,0.1620253164556962,0.06295892913607139,0.1213927652079664
8,1,2,6,122,123,15006,1765,28978,11106,1765,0.14708333333333334,0.15892310462812895,0.06090827524328801,0.11761961881913902
8,1,2,7,123,10,1230,178,2340,2149,178,0.014833333333333334,0.08282922289436948,0.07606837606837606,0.14471544715447154
8,4,0,0,90,120,10800,1377,20890,10126,1377,0.11475,0.13598656922773059,0.0659167065581618,0.1275
