depth,threshold,seed,initial_val_loss,initial_val_accuracy,val_loss,val_accuracy,test_loss,test_accuracy,total_fires,fire_epoch_fraction,zero_difference_fraction,train_forward_calls,elapsed_seconds
4,1,0,2.487541259765625,0.098,0.43767581176757814,0.873,0.38252504272460935,0.8913,12000,1.0,2.0833333333333333e-05,1536000,1027.092583194375
4,1,1,2.514267578125,0.104,0.4256199951171875,0.881,0.3840107421875,0.8904,12000,1.0,1.4322916666666666e-05,1536000,966.9393605217338
4,1,2,2.473541259765625,0.082,0.43146624755859375,0.869,0.38730076751708986,0.8893,12000,1.0,2.2135416666666668e-05,1536000,1012.7466277554631
4,4,0,2.487541259765625,0.098,0.44046337890625,0.871,0.38634876861572265,0.8881,11977,0.9980833333333333,1.6927083333333333e-05,1536000,997.2615473903716
4,4,1,2.514267578125,0.104,0.4281691284179687,0.874,0.3865842224121094,0.891,11984,0.9986666666666667,2.34375e-05,1536000,1040.0037220530212
4,4,2,2.473541259765625,0.082,0.43121871948242185,0.876,0.3845168869018555,0.8895,11978,0.9981666666666666,9.114583333333334e-06,1536000,1037.7022599838674
4,8,0,2.487541259765625,0.098,0.4418233642578125,0.873,0.39191458740234375,0.8889,10872,0.906,6.510416666666667e-06,1536000,938.5765460804105
4,8,1,2.514267578125,0.104,0.43820452880859373,0.877,0.395183821105957,0.8896,10858,0.9048333333333334,1.4322916666666666e-05,1536000,1012.0223605632782
4,8,2,2.473541259765625,0.082,0.43936508178710937,0.876,0.39280780487060546,0.8886,10873,0.9060833333333334,1.4322916666666666e-05,1536000,1054.5833685025573
4,16,0,2.487541259765625,0.098,0.5638484497070313,0.851,0.5146785797119141,0.8677,3623,0.30191666666666667,1.171875e-05,1536000,1008.7197999581695
4,16,1,2.514267578125,0.104,0.5532694702148437,0.862,0.5198372863769531,0.8716,3617,0.30141666666666667,3.3854166666666665e-05,1536000,1016.0796429142356
4,16,2,2.473541259765625,0.082,0.560570068359375,0.853,0.5137320617675781,0.8649,3496,0.29133333333333333,2.734375e-05,1536000,1131.0391584299505
8,1,0,2.474818359375,0.132,0.43564132690429686,0.863,0.38052549133300784,0.8857,12000,1.0,5.208333333333333e-06,1536000,1149.1376164779067
8,1,1,2.440069091796875,0.135,0.41811083984375,0.872,0.38408451080322265,0.8906,12000,1.0,5.208333333333333e-06,1536000,1091.1427015401423
8,1,2,2.5791513671875,0.119,0.4377491455078125,0.871,0.3866491882324219,0.8889,11999,0.9999166666666667,7.8125e-06,1536000,1434.3605590723455
8,4,0,2.474818359375,0.132,0.43520428466796873,0.868,0.3839646560668945,0.889,11974,0.9978333333333333,6.510416666666667e-06,1536000,1200.1656855270267
8,4,1,2.440069091796875,0.135,0.42936676025390624,0.869,0.39179265899658205,0.8872,11959,0.9965833333333334,9.114583333333334e-06,1536000,1190.546631474048
8,4,2,2.5791513671875,0.119,0.43523947143554687,0.868,0.3852357574462891,0.8899,11975,0.9979166666666667,7.8125e-06,1536000,1443.084466919303
