condition,depth,threshold,seed,stage,layer,layer_parameters,perturbed_coordinates_per_pair,perturbed_fraction_per_pair,count,mean,rms,median,p90,p99,max,zero_fraction
relu-a3-threshold,4,1,0,initial,0,18000,16,0.0008888888888888889,64,0.0023848600685596466,0.0031476647270386286,0.0016398429870605469,0.0052857637405395504,0.00812458753585815,0.008969783782958984,0.0
relu-a3-threshold,4,1,0,initial,1,40000,16,0.0004,64,0.0013322904706001282,0.001732094804261007,0.00115203857421875,0.0029416561126708995,0.004369227886199948,0.0051729679107666016,0.0
relu-a3-threshold,4,1,0,initial,2,40000,16,0.0004,64,0.0006508529186248779,0.0008168955976214454,0.0005757808685302734,0.0014575719833374023,0.0017801570892333977,0.0019447803497314453,0.0
relu-a3-threshold,4,1,0,initial,3,2000,16,0.008,64,0.000928003340959549,0.001242843687858992,0.0007407665252685547,0.0017100811004638673,0.0037903714179992674,0.0038776397705078125,0.0
relu-a3-threshold,4,1,0,final,0,18000,16,0.0008888888888888889,64,0.00668344646692276,0.008793325873675888,0.004741847515106201,0.013285756111145025,0.023848941326141355,0.024649977684020996,0.0
relu-a3-threshold,4,1,0,final,1,40000,16,0.0004,64,0.0029926765710115433,0.0038109304531821816,0.0026282072067260742,0.005905485153198243,0.010024316310882561,0.011739492416381836,0.0
relu-a3-threshold,4,1,0,final,2,40000,16,0.0004,64,0.0013323388993740082,0.001621661714809426,0.0013009309768676758,0.0027031540870666505,0.003423840999603271,0.0036039352416992188,0.0
relu-a3-threshold,4,1,0,final,3,2000,16,0.008,64,0.002307722344994545,0.002862458685861251,0.002173781394958496,0.0043832302093505865,0.007658069133758544,0.007909059524536133,0.0
relu-a3-threshold,4,1,1,initial,0,18000,16,0.0008888888888888889,64,0.0028457380831241608,0.003446034066968546,0.002550482749938965,0.005456924438476563,0.008418803215026851,0.009537220001220703,0.0
relu-a3-threshold,4,1,1,initial,1,40000,16,0.0004,64,0.0011826418340206146,0.0015768168808763627,0.0007634162902832031,0.0023551225662231446,0.004188201427459714,0.0047299861907958984,0.0
relu-a3-threshold,4,1,1,initial,2,40000,16,0.0004,64,0.000530928373336792,0.0007033922941751201,0.0004038810729980469,0.001145434379577637,0.001965250968933104,0.002352476119995117,0.0
relu-a3-threshold,4,1,1,initial,3,2000,16,0.008,64,0.0009286105632781982,0.0011639108055449287,0.0006810426712036133,0.0018647432327270508,0.0026219630241394037,0.0027365684509277344,0.0
relu-a3-threshold,4,1,1,final,0,18000,16,0.0008888888888888889,64,0.005028616636991501,0.006579592656105452,0.00403285026550293,0.009534668922424319,0.020876824855804423,0.02619028091430664,0.0
relu-a3-threshold,4,1,1,final,1,40000,16,0.0004,64,0.002222765237092972,0.003033576873813721,0.0016188621520996094,0.005253648757934572,0.00892996311187744,0.00910329818725586,0.0
relu-a3-threshold,4,1,1,final,2,40000,16,0.0004,64,0.0009147413074970245,0.0012570340474711242,0.0006681680679321289,0.0021887063980102544,0.0035789346694946275,0.003927707672119141,0.0
relu-a3-threshold,4,1,1,final,3,2000,16,0.008,64,0.0015495195984840393,0.0020249629103171528,0.0010175704956054688,0.003285336494445801,0.004824333190917964,0.0059893131256103516,0.0
relu-a3-threshold,4,1,2,initial,0,18000,16,0.0008888888888888889,64,0.0030228495597839355,0.003786712326788101,0.002531290054321289,0.006604504585266114,0.008455519676208495,0.008687734603881836,0.0
