condition,depth,threshold,stage,layer,seeds,mean_mean,mean_std,rms_mean,rms_std,median_mean,median_std,p90_mean,p90_std,p99_mean,p99_std,zero_fraction_mean,zero_fraction_std
relu-a3-threshold,4,1,initial,0,3,0.0027511492371559143,0.0003293447055356443,0.003460137040265092,0.0003197571407775639,0.0022405385971069336,0.0005203061616375677,0.005782397588094076,0.0007170906025245279,0.008332970142364499,0.00018139599678937402,0.0,0.0
relu-a3-threshold,4,1,initial,1,3,0.0013181492686271667,0.0001290193800375741,0.0017109440213274498,0.0001249021672794689,0.0010706583658854167,0.00027571181912906665,0.0026874224344889328,0.00030095871444900494,0.004391059080759682,0.00021460767333764488,0.0,0.0
relu-a3-threshold,4,1,initial,2,3,0.0005936709543069204,6.015533628700652e-05,0.0007561865637407214,5.7164084825440045e-05,0.0005034605662027994,8.91329486860401e-05,0.0012950738271077476,0.00015646558954698914,0.0018381547927856436,0.0001102083720132732,0.0,0.0
relu-a3-threshold,4,1,initial,3,3,0.0009594497581322988,5.394177674961739e-05,0.001235480476215294,6.818689033207757e-05,0.0007368326187133789,5.393070946785031e-05,0.001940123240152995,0.0002755759600370358,0.003163549105326334,0.0005888492634613702,0.0,0.0
relu-a3-threshold,4,1,final,0,3,0.005836969241499901,0.0008280734004588502,0.007607577455736294,0.0011152671021284952,0.004338224728902181,0.0003645666258541962,0.011685252189636232,0.0019350979921629377,0.020615605910619093,0.0033715429276916183,0.0,0.0
relu-a3-threshold,4,1,final,1,3,0.002702515572309494,0.00041850800818391405,0.0034680325211017384,0.0003966821879663402,0.002264221509297689,0.0005604219054728937,0.005614356199900311,0.0003314416179533827,0.009273331960042314,0.0006511643644727178,0.0,0.0
relu-a3-threshold,4,1,final,2,3,0.001215929165482521,0.0002630668233417886,0.001543971612732559,0.00025705390404354037,0.0010367830594380696,0.00032906268689369294,0.0025641083717346195,0.0003287283329054317,0.00367193818092346,0.0003054108275020536,0.0,0.0
relu-a3-threshold,4,1,final,3,3,0.002166055142879486,0.000559323527199698,0.002771382011417581,0.0007053049451448851,0.001812259356180827,0.0006891524015596384,0.004328044255574545,0.0010162392150988451,0.007393664518992104,0.0024478623763860225,0.0,0.0
relu-a3-threshold,4,4,initial,0,3,0.0027511492371559143,0.0003293447055356443,0.003460137040265092,0.0003197571407775639,0.0022405385971069336,0.0005203061616375677,0.005782397588094076,0.0007170906025245279,0.008332970142364499,0.00018139599678937402,0.0,0.0
relu-a3-threshold,4,4,initial,1,3,0.0013181492686271667,0.0001290193800375741,0.0017109440213274498,0.0001249021672794689,0.0010706583658854167,0.00027571181912906665,0.0026874224344889328,0.00030095871444900494,0.004391059080759682,0.00021460767333764488,0.0,0.0
relu-a3-threshold,4,4,initial,2,3,0.0005936709543069204,6.015533628700652e-05,0.0007561865637407214,5.7164084825440045e-05,0.0005034605662027994,8.91329486860401e-05,0.0012950738271077476,0.00015646558954698914,0.0018381547927856436,0.0001102083720132732,0.0,0.0
relu-a3-threshold,4,4,initial,3,3,0.0009594497581322988,5.394177674961739e-05,0.001235480476215294,6.818689033207757e-05,0.0007368326187133789,5.393070946785031e-05,0.001940123240152995,0.0002755759600370358,0.003163549105326334,0.0005888492634613702,0.0,0.0
relu-a3-threshold,4,4,final,0,3,0.0052865004787842436,0.0005635995288261238,0.006653364604617027,0.0004991703252606447,0.004366060098012288,0.0009771356814933499,0.011065105597178142,0.0008731056243091841,0.016630177100499466,0.0027829865547801666,0.0,0.0
relu-a3-threshold,4,4,final,1,3,0.0027318671345710754,0.00023285588453239104,0.003517553956044817,0.0003178920705608488,0.002259631951649984,0.00026644839179444473,0.005578068892161052,0.00042697556971305674,0.00946511069933573,0.001446438923191981,0.0,0.0
relu-a3-threshold,4,4,final,2,3,0.0013335974266131718,0.00010849954316211052,0.0017328994436427454,0.00012445108016329902,0.0011165142059326172,6.302857925632287e-05,0.002632379531860352,0.00011494403010453512,0.004962150653203327,0.0004957520924515782,0.0,0.0
relu-a3-threshold,4,4,final,3,3,0.0021258890628814697,0.0003224616702434884,0.0027047514157296916,0.0005035037798622158,0.00172346830368042,0.00023641389474120586,0.004316695531209311,0.0010045422279934837,0.006870763301849364,0.0015279220503459433,0.0,0.0
