stage,layer,pair,perturbed_coordinates,loss_plus,loss_minus,abs_y
initial,0,0,16,2.3384599685668945,2.319739818572998,0.018720149993896484
initial,0,1,16,2.338956117630005,2.3566949367523193,0.017738819122314453
initial,0,2,16,2.3435158729553223,2.312058687210083,0.03145718574523926
initial,0,3,16,2.346001625061035,2.317267656326294,0.02873396873474121
initial,0,4,16,2.305680513381958,2.3305797576904297,0.02489924430847168
initial,0,5,16,2.3556742668151855,2.3337631225585938,0.021911144256591797
initial,0,6,16,2.3069024085998535,2.3014800548553467,0.005422353744506836
initial,0,7,16,2.3325018882751465,2.338547945022583,0.0060460567474365234
initial,0,8,16,2.3269407749176025,2.324451446533203,0.002489328384399414
initial,0,9,16,2.354929208755493,2.368429660797119,0.013500452041625977
initial,0,10,16,2.293375015258789,2.2916107177734375,0.0017642974853515625
initial,0,11,16,2.3473258018493652,2.3334884643554688,0.013837337493896484
initial,0,12,16,2.32936954498291,2.3189828395843506,0.01038670539855957
initial,0,13,16,2.3198347091674805,2.3337783813476562,0.013943672180175781
initial,0,14,16,2.3385586738586426,2.296476364135742,0.04208230972290039
initial,0,15,16,2.342729330062866,2.3179514408111572,0.024777889251708984
initial,0,16,16,2.3073487281799316,2.303614377975464,0.0037343502044677734
initial,0,17,16,2.3194119930267334,2.298508882522583,0.02090311050415039
initial,0,18,16,2.2964797019958496,2.308255195617676,0.011775493621826172
initial,0,19,16,2.335144519805908,2.3458495140075684,0.010704994201660156
initial,0,20,16,2.2906646728515625,2.280210494995117,0.010454177856445312
initial,0,21,16,2.367493152618408,2.371763229370117,0.004270076751708984
initial,0,22,16,2.346201181411743,2.3332180976867676,0.012983083724975586
initial,0,23,16,2.3733596801757812,2.320011854171753,0.05334782600402832
initial,0,24,16,2.3211796283721924,2.3347153663635254,0.013535737991333008
initial,0,25,16,2.2746613025665283,2.301330327987671,0.026669025421142578
initial,0,26,16,2.3457069396972656,2.351501703262329,0.0057947635650634766
initial,0,27,16,2.2901241779327393,2.305593252182007,0.015469074249267578
initial,0,28,16,2.303734540939331,2.2923755645751953,0.011358976364135742
initial,0,29,16,2.332477331161499,2.3328466415405273,0.0003693103790283203
initial,0,30,16,2.355520725250244,2.327059745788574,0.028460979461669922
initial,0,31,16,2.3299646377563477,2.3346107006073,0.0046460628509521484
initial,0,32,16,2.319657564163208,2.3373260498046875,0.017668485641479492
initial,0,33,16,2.3370184898376465,2.3650095462799072,0.027991056442260742
initial,0,34,16,2.31597900390625,2.324997901916504,0.009018898010253906
initial,0,35,16,2.3218839168548584,2.3288674354553223,0.006983518600463867
initial,0,36,16,2.317904233932495,2.2784440517425537,0.039460182189941406
initial,0,37,16,2.3420512676239014,2.3232829570770264,0.018768310546875
initial,0,38,16,2.3051254749298096,2.293747663497925,0.011377811431884766
initial,0,39,16,2.2961339950561523,2.3326613903045654,0.036527395248413086
initial,0,40,16,2.3117640018463135,2.3122622966766357,0.0004982948303222656
initial,0,41,16,2.3628530502319336,2.3624789714813232,0.00037407875061035156
initial,0,42,16,2.2876646518707275,2.308016300201416,0.020351648330688477
initial,0,43,16,2.2944209575653076,2.3102827072143555,0.01586174964904785
initial,0,44,16,2.3526268005371094,2.3391919136047363,0.013434886932373047
initial,0,45,16,2.3268754482269287,2.369791269302368,0.04291582107543945
initial,0,46,16,2.3534557819366455,2.346862554550171,0.006593227386474609
initial,0,47,16,2.330242156982422,2.371079921722412,0.040837764739990234
initial,0,48,16,2.303769826889038,2.3319787979125977,0.02820897102355957
initial,0,49,16,2.3061187267303467,2.3137547969818115,0.007636070251464844
initial,0,50,16,2.3698103427886963,2.3327033519744873,0.037106990814208984
initial,0,51,16,2.314412832260132,2.2946059703826904,0.019806861877441406
initial,0,52,16,2.3324031829833984,2.3324198722839355,1.6689300537109375e-05
initial,0,53,16,2.320935010910034,2.3085246086120605,0.012410402297973633
initial,0,54,16,2.2966840267181396,2.3433637619018555,0.04667973518371582
initial,0,55,16,2.2817132472991943,2.297621726989746,0.015908479690551758
initial,0,56,16,2.358332633972168,2.328902006149292,0.029430627822875977
initial,0,57,16,2.333033323287964,2.3345706462860107,0.001537322998046875
initial,0,58,16,2.3281538486480713,2.328819990158081,0.0006661415100097656
initial,0,59,16,2.316986083984375,2.3256607055664062,0.00867462158203125
initial,0,60,16,2.312145709991455,2.319077253341675,0.0069315433502197266
initial,0,61,16,2.317401170730591,2.3403091430664062,0.02290797233581543
initial,0,62,16,2.307166337966919,2.3251023292541504,0.017935991287231445
initial,0,63,16,2.3339078426361084,2.346423864364624,0.012516021728515625
final,0,0,16,2.1634023189544678,2.1695003509521484,0.006098031997680664
final,0,1,16,2.1532671451568604,2.141771078109741,0.01149606704711914
final,0,2,16,2.142535448074341,2.126465320587158,0.016070127487182617
final,0,3,16,2.09782075881958,2.133017063140869,0.03519630432128906
final,0,4,16,2.138308525085449,2.1391983032226562,0.0008897781372070312
final,0,5,16,2.1834418773651123,2.1594293117523193,0.02401256561279297
final,0,6,16,2.119004249572754,2.1154818534851074,0.0035223960876464844
final,0,7,16,2.147189140319824,2.1182968616485596,0.02889227867126465
final,0,8,16,2.077803611755371,2.0796332359313965,0.0018296241760253906
final,0,9,16,2.1160695552825928,2.100738763809204,0.015330791473388672
final,0,10,16,2.160175085067749,2.172212600708008,0.012037515640258789
final,0,11,16,2.123429298400879,2.1097006797790527,0.013728618621826172
final,0,12,16,2.0504069328308105,2.0860893726348877,0.03568243980407715
final,0,13,16,2.131075382232666,2.158708333969116,0.027632951736450195
