stage,layer,pair,perturbed_coordinates,loss_plus,loss_minus,abs_y
initial,0,0,16,2.294788122177124,2.2983689308166504,0.003580808639526367
initial,0,1,16,2.3156723976135254,2.316110372543335,0.0004379749298095703
initial,0,2,16,2.290532350540161,2.289381742477417,0.0011506080627441406
initial,0,3,16,2.2880144119262695,2.290024757385254,0.002010345458984375
initial,0,4,16,2.3039615154266357,2.300119161605835,0.0038423538208007812
initial,0,5,16,2.3137025833129883,2.3156943321228027,0.001991748809814453
initial,0,6,16,2.3235583305358887,2.326070547103882,0.002512216567993164
initial,0,7,16,2.289233684539795,2.2949531078338623,0.005719423294067383
initial,0,8,16,2.311708450317383,2.316582441329956,0.004873991012573242
initial,0,9,16,2.3238956928253174,2.322098731994629,0.0017969608306884766
initial,0,10,16,2.297553300857544,2.298205614089966,0.000652313232421875
initial,0,11,16,2.316638708114624,2.317485809326172,0.0008471012115478516
initial,0,12,16,2.305539131164551,2.3102095127105713,0.004670381546020508
initial,0,13,16,2.3138539791107178,2.3127670288085938,0.0010869503021240234
initial,0,14,16,2.2942464351654053,2.2889814376831055,0.005264997482299805
initial,0,15,16,2.3066558837890625,2.308135986328125,0.0014801025390625
initial,0,16,16,2.2993290424346924,2.301340341567993,0.0020112991333007812
initial,0,17,16,2.2984344959259033,2.3045568466186523,0.0061223506927490234
initial,0,18,16,2.305879831314087,2.311495542526245,0.005615711212158203
initial,0,19,16,2.305445432662964,2.3012197017669678,0.004225730895996094
initial,0,20,16,2.3155646324157715,2.311197519302368,0.00436711311340332
initial,0,21,16,2.3041181564331055,2.305097818374634,0.0009796619415283203
initial,0,22,16,2.3085756301879883,2.3044111728668213,0.004164457321166992
initial,0,23,16,2.3106746673583984,2.311558723449707,0.0008840560913085938
initial,0,24,16,2.3139119148254395,2.311166286468506,0.0027456283569335938
initial,0,25,16,2.3190412521362305,2.324261426925659,0.005220174789428711
initial,0,26,16,2.2971577644348145,2.304919719696045,0.007761955261230469
initial,0,27,16,2.316091299057007,2.322237968444824,0.006146669387817383
initial,0,28,16,2.3081607818603516,2.311044454574585,0.0028836727142333984
initial,0,29,16,2.3182873725891113,2.31473970413208,0.00354766845703125
initial,0,30,16,2.303532838821411,2.30316424369812,0.0003685951232910156
initial,0,31,16,2.300792932510376,2.302013397216797,0.0012204647064208984
initial,0,32,16,2.2962331771850586,2.297520160675049,0.0012869834899902344
initial,0,33,16,2.300175666809082,2.296851634979248,0.0033240318298339844
initial,0,34,16,2.308459758758545,2.306291103363037,0.0021686553955078125
initial,0,35,16,2.3236143589019775,2.322641134262085,0.0009732246398925781
initial,0,36,16,2.310354471206665,2.3094425201416016,0.0009119510650634766
initial,0,37,16,2.305987596511841,2.306610584259033,0.0006229877471923828
initial,0,38,16,2.3093948364257812,2.3120646476745605,0.002669811248779297
initial,0,39,16,2.3192031383514404,2.315410614013672,0.0037925243377685547
initial,0,40,16,2.3073909282684326,2.3053746223449707,0.002016305923461914
initial,0,41,16,2.3052992820739746,2.3148365020751953,0.009537220001220703
initial,0,42,16,2.3118789196014404,2.312011480331421,0.00013256072998046875
initial,0,43,16,2.3205513954162598,2.3196327686309814,0.0009186267852783203
initial,0,44,16,2.310551404953003,2.306525230407715,0.004026174545288086
initial,0,45,16,2.332324981689453,2.3350298404693604,0.0027048587799072266
initial,0,46,16,2.3098132610321045,2.306640625,0.003172636032104492
initial,0,47,16,2.3124921321868896,2.309903383255005,0.0025887489318847656
initial,0,48,16,2.3149256706237793,2.312939405441284,0.001986265182495117
initial,0,49,16,2.319268226623535,2.3160696029663086,0.0031986236572265625
initial,0,50,16,2.3156185150146484,2.313599109649658,0.0020194053649902344
initial,0,51,16,2.2991573810577393,2.298185110092163,0.0009722709655761719
initial,0,52,16,2.3205928802490234,2.322476387023926,0.0018835067749023438
initial,0,53,16,2.289177894592285,2.29323148727417,0.004053592681884766
initial,0,54,16,2.3111672401428223,2.3078787326812744,0.0032885074615478516
initial,0,55,16,2.2982614040374756,2.3018312454223633,0.0035698413848876953
initial,0,56,16,2.311403274536133,2.305864095687866,0.0055391788482666016
initial,0,57,16,2.3139564990997314,2.3087310791015625,0.005225419998168945
initial,0,58,16,2.3007426261901855,2.298835277557373,0.0019073486328125
initial,0,59,16,2.3079569339752197,2.307457208633423,0.000499725341796875
initial,0,60,16,2.3115234375,2.313258171081543,0.0017347335815429688
initial,0,61,16,2.2954282760620117,2.2966458797454834,0.0012176036834716797
initial,0,62,16,2.310482978820801,2.3070597648620605,0.0034232139587402344
initial,0,63,16,2.300983428955078,2.301560640335083,0.0005772113800048828
final,0,0,16,2.0595216751098633,2.0537779331207275,0.005743741989135742
final,0,1,16,2.086299180984497,2.085696220397949,0.0006029605865478516
final,0,2,16,2.0739927291870117,2.0702195167541504,0.003773212432861328
final,0,3,16,2.053837299346924,2.0514297485351562,0.002407550811767578
final,0,4,16,2.0330352783203125,2.022988796234131,0.01004648208618164
final,0,5,16,2.045213222503662,2.041232109069824,0.003981113433837891
final,0,6,16,2.091092348098755,2.0859551429748535,0.005137205123901367
final,0,7,16,2.029149293899536,2.037447929382324,0.008298635482788086
final,0,8,16,2.0475032329559326,2.0371129512786865,0.010390281677246094
final,0,9,16,2.0833706855773926,2.085982322692871,0.0026116371154785156
final,0,10,16,2.0411202907562256,2.0404293537139893,0.0006909370422363281
final,0,11,16,2.041811943054199,2.039724111557007,0.002087831497192383
final,0,12,16,2.03094744682312,2.0302724838256836,0.0006749629974365234
final,0,13,16,2.1030702590942383,2.0989272594451904,0.0041429996490478516
final,0,14,16,2.0760066509246826,2.082634925842285,0.006628274917602539
final,0,15,16,2.0503954887390137,2.0538170337677,0.0034215450286865234
final,0,16,16,2.034416675567627,2.0362892150878906,0.0018725395202636719
final,0,17,16,2.0419869422912598,2.045497417449951,0.0035104751586914062
final,0,18,16,2.0465118885040283,2.0389277935028076,0.007584095001220703
final,0,19,16,2.0823702812194824,2.0811846256256104,0.0011856555938720703
final,0,20,16,2.0397403240203857,2.0384230613708496,0.0013172626495361328
final,0,21,16,2.0515925884246826,2.042868137359619,0.008724451065063477
final,0,22,16,2.0771217346191406,2.076096534729004,0.0010251998901367188
final,0,23,16,2.0816380977630615,2.078986167907715,0.0026519298553466797
final,0,24,16,2.0343377590179443,2.0310418605804443,0.0032958984375
final,0,25,16,2.019190788269043,2.010154962539673,0.009035825729370117
final,0,26,16,2.0802998542785645,2.0759096145629883,0.004390239715576172
final,0,27,16,2.029402494430542,2.0307583808898926,0.001355886459350586
final,0,28,16,2.0493569374084473,2.053764581680298,0.004407644271850586
final,0,29,16,2.076727867126465,2.06697940826416,0.009748458862304688
final,0,30,16,2.084383010864258,2.071852445602417,0.01253056526184082
final,0,31,16,2.0275957584381104,2.0281100273132324,0.0005142688751220703
final,0,32,16,2.057637929916382,2.061702251434326,0.004064321517944336
final,0,33,16,2.035269260406494,2.053025484085083,0.017756223678588867
final,0,34,16,2.0383827686309814,2.0436103343963623,0.005227565765380859
final,0,35,16,2.0329086780548096,2.0348188877105713,0.0019102096557617188
final,0,36,16,2.0354278087615967,2.042943239212036,0.007515430450439453
final,0,37,16,2.086763620376587,2.0907649993896484,0.0040013790130615234
final,0,38,16,2.0850229263305664,2.090331792831421,0.005308866500854492
final,0,39,16,2.04687762260437,2.039834976196289,0.007042646408081055
final,0,40,16,2.0473520755767822,2.050875186920166,0.003523111343383789
