depth,threshold,seed,layer,in_width,out_width,parameters,fires,selected_coordinates,selected_intervals,fire_intervals,fire_interval_rate,fire_given_selected_interval_rate,fires_per_selected_coordinate,updates_per_parameter
4,1,0,0,90,200,18000,2049,34756,11527,2049,0.17075,0.17775657152771754,0.058953849695016686,0.11383333333333333
4,1,0,1,200,200,40000,4758,76889,11997,4758,0.3965,0.39659914978744687,0.06188141346616551,0.11895
4,1,0,2,200,200,40000,4907,76500,11998,4907,0.40891666666666665,0.4089848308051342,0.0641437908496732,0.122675
4,1,0,3,200,10,2000,286,3855,3323,286,0.023833333333333335,0.08606680710201625,0.074189364461738,0.143
4,1,1,0,90,200,18000,2001,34399,11483,2001,0.16675,0.17425759818862666,0.058170295648129304,0.11116666666666666
4,1,1,1,200,200,40000,4791,76679,11997,4791,0.39925,0.39934983745936486,0.062481253015819194,0.119775
4,1,1,2,200,200,40000,4926,77078,11999,4926,0.4105,0.41053421118426536,0.06390928669659306,0.12315
4,1,1,3,200,10,2000,282,3844,3326,282,0.0235,0.08478653036680697,0.07336108220603538,0.141
4,1,2,0,90,200,18000,2032,34701,11521,2032,0.16933333333333334,0.17637357868240605,0.058557390276937266,0.11288888888888889
4,1,2,1,200,200,40000,4743,76317,11995,4743,0.39525,0.39541475614839516,0.062148669365934196,0.118575
4,1,2,2,200,200,40000,4932,77115,11997,4932,0.411,0.4111027756939235,0.06395642871036764,0.1233
4,1,2,3,200,10,2000,293,3867,3358,293,0.024416666666666666,0.08725431804645623,0.07576933023015257,0.1465
4,4,0,0,90,200,18000,2018,34756,11527,2018,0.16816666666666666,0.17506723345189554,0.05806191736678559,0.1121111111111111
4,4,0,1,200,200,40000,4821,76889,11997,4821,0.40175,0.40185046261565394,0.06270077644396467,0.120525
4,4,0,2,200,200,40000,4863,76500,11998,4863,0.40525,0.4053175529254876,0.0635686274509804,0.121575
4,4,0,3,200,10,2000,278,3855,3323,278,0.023166666666666665,0.08365934396629551,0.07211413748378728,0.139
4,4,1,0,90,200,18000,1946,34399,11483,1946,0.16216666666666665,0.16946790908299225,0.056571411959649986,0.10811111111111112
4,4,1,1,200,200,40000,4699,76679,11997,4699,0.39158333333333334,0.391681253646745,0.06128144602824763,0.117475
4,4,1,2,200,200,40000,5036,77078,11999,5036,0.4196666666666667,0.4197016418034836,0.0653364124652949,0.1259
4,4,1,3,200,10,2000,303,3844,3326,303,0.02525,0.09110042092603728,0.07882414151925078,0.1515
4,4,2,0,90,200,18000,2046,34701,11521,2046,0.1705,0.17758875097647775,0.05896083686349097,0.11366666666666667
4,4,2,1,200,200,40000,4778,76317,11995,4778,0.39816666666666667,0.3983326385994164,0.06260728278103175,0.11945
4,4,2,2,200,200,40000,4854,77115,11997,4854,0.4045,0.4046011502875719,0.06294495234390196,0.12135
4,4,2,3,200,10,2000,294,3867,3358,294,0.0245,0.08755211435378202,0.07602792862684252,0.147
4,8,0,0,90,200,18000,1771,34756,11527,1771,0.14758333333333334,0.15363928168647523,0.050955230751524916,0.09838888888888889
4,8,0,1,200,200,40000,4285,76889,11997,4285,0.3570833333333333,0.35717262648995585,0.05572968825189559,0.107125
4,8,0,2,200,200,40000,4229,76500,11998,4229,0.35241666666666666,0.35247541256876147,0.055281045751633985,0.105725
4,8,0,3,200,10,2000,271,3855,3323,271,0.022583333333333334,0.08155281372253988,0.07029831387808042,0.1355
4,8,1,0,90,200,18000,1639,34399,11483,1639,0.13658333333333333,0.1427327353479056,0.04764673391668362,0.09105555555555556
4,8,1,1,200,200,40000,4190,76679,11997,4190,0.3491666666666667,0.3492539801617071,0.05464338345570495,0.10475
4,8,1,2,200,200,40000,4336,77078,11999,4336,0.36133333333333334,0.3613634469539128,0.056254703028101406,0.1084
4,8,1,3,200,10,2000,244,3844,3326,244,0.02033333333333333,0.07336139506915214,0.06347554630593132,0.122
4,8,2,0,90,200,18000,1790,34701,11521,1790,0.14916666666666667,0.15536845759916673,0.05158352785222328,0.09944444444444445
4,8,2,1,200,200,40000,4193,76317,11995,4193,0.34941666666666665,0.3495623176323468,0.054941887128686924,0.104825
4,8,2,2,200,200,40000,4291,77115,11997,4291,0.3575833333333333,0.35767275152121364,0.055644167801335666,0.107275
4,8,2,3,200,10,2000,246,3867,3358,246,0.0205,0.07325789160214413,0.06361520558572537,0.123
4,16,0,0,90,200,18000,251,34756,11527,251,0.020916666666666667,0.02177496313004251,0.007221774657613074,0.013944444444444445
4,16,0,1,200,200,40000,584,76889,11997,584,0.048666666666666664,0.048678836375760606,0.007595364746582736,0.0146
4,16,0,2,200,200,40000,542,76500,11998,542,0.04516666666666667,0.045174195699283215,0.007084967320261438,0.01355
4,16,0,3,200,10,2000,59,3855,3323,59,0.004916666666666666,0.017755040625940414,0.01530479896238651,0.0295
4,16,1,0,90,200,18000,234,34399,11483,234,0.0195,0.02037795001306279,0.006802523329166545,0.013
4,16,1,1,200,200,40000,549,76679,11997,549,0.04575,0.04576144036009002,0.007159717784530314,0.013725
4,16,1,2,200,200,40000,588,77078,11999,588,0.049,0.04900408367363947,0.0076286359272425336,0.0147
4,16,1,3,200,10,2000,47,3844,3326,47,0.003916666666666666,0.01413108839446783,0.01222684703433923,0.0235
4,16,2,0,90,200,18000,250,34701,11521,250,0.020833333333333332,0.021699505251280272,0.0072044033313161,0.013888888888888888
4,16,2,1,200,200,40000,584,76317,11995,584,0.048666666666666664,0.048686952897040434,0.007652292411913466,0.0146
4,16,2,2,200,200,40000,626,77115,11997,626,0.05216666666666667,0.05217971159456531,0.008117746223173183,0.01565
4,16,2,3,200,10,2000,59,3867,3358,59,0.004916666666666666,0.01756998213222156,0.015257305404706491,0.0295
8,1,0,0,90,120,10800,1299,20890,10126,1299,0.10825,0.12828362630851273,0.06218286261369076,0.12027777777777778
8,1,0,1,120,120,14400,1757,27671,11001,1757,0.14641666666666667,0.1597127533860558,0.06349607892739692,0.1220138888888889
8,1,0,2,120,121,14520,1727,28052,11052,1727,0.14391666666666666,0.15626131017010494,0.06156423784400399,0.11893939393939394
8,1,0,3,121,121,14641,1735,28018,10999,1735,0.14458333333333334,0.15774161287389762,0.06192447712185024,0.11850283450583976
8,1,0,4,121,121,14641,1671,27950,10982,1671,0.13925,0.15215807685303223,0.05978533094812165,0.11413154839150332
8,1,0,5,121,122,14762,1778,28382,11056,1778,0.14816666666666667,0.1608176555716353,0.06264533859488408,0.12044438422977917
8,1,0,6,122,123,15006,1862,28590,11093,1862,0.15516666666666667,0.16785360137023347,0.06512766701643931,0.12408369985339197
8,1,0,7,123,10,1230,171,2447,2216,171,0.01425,0.07716606498194946,0.06988148753575807,0.13902439024390245
8,1,1,0,90,120,10800,1224,20529,10043,1224,0.102,0.12187593348601015,0.05962297238053485,0.11333333333333333
8,1,1,1,120,120,14400,1675,27647,10991,1675,0.13958333333333334,0.15239741606769175,0.06058523528773466,0.11631944444444445
8,1,1,2,120,121,14520,1719,27728,11034,1719,0.14325,0.15579119086460033,0.061995095210617426,0.11838842975206612
8,1,1,3,121,121,14641,1707,28070,11024,1707,0.14225,0.15484397677793904,0.06081225507659423,0.11659039683081757
8,1,1,4,121,121,14641,1810,28182,11034,1810,0.15083333333333335,0.1640384266811673,0.06422539209424455,0.12362543542107779
8,1,1,5,121,122,14762,1812,28602,11069,1812,0.151,0.16370042460926912,0.06335221313194882,0.12274759517680531
8,1,1,6,122,123,15006,1900,28887,11158,1900,0.15833333333333333,0.1702814124395053,0.06577353134628033,0.12661602025856325
8,1,1,7,123,10,1230,153,2355,2163,153,0.01275,0.07073509015256588,0.06496815286624204,0.12439024390243902
8,1,2,0,90,120,10800,1269,20660,10091,1269,0.10575,0.1257556238232088,0.061423039690222656,0.1175
8,1,2,1,120,120,14400,1722,27846,11051,1722,0.1435,0.1558230024432178,0.06184012066365008,0.11958333333333333
8,1,2,2,120,121,14520,1660,27542,10972,1660,0.13833333333333334,0.15129420342690486,0.06027158521530753,0.11432506887052342
8,1,2,3,121,121,14641,1757,28019,11027,1757,0.14641666666666667,0.1593361748435658,0.0627074485170777,0.12000546410764291
8,1,2,4,121,121,14641,1790,28152,11110,1790,0.14916666666666667,0.16111611161116113,0.06358340437624325,0.12225940851034765
8,1,2,5,121,122,14762,1758,28463,11060,1758,0.1465,0.15895117540687162,0.061764395882373604,0.11908955426094026
8,1,2,6,122,123,15006,1895,28978,11106,1895,0.15791666666666668,0.1706284891049883,0.06539443715922424,0.12628282020525122
8,1,2,7,123,10,1230,149,2340,2149,149,0.012416666666666666,0.0693345742205677,0.06367521367521367,0.12113821138211382
8,4,0,0,90,120,10800,1273,20890,10126,1273,0.10608333333333334,0.12571597866877346,0.06093824796553375,0.11787037037037038
8,4,0,1,120,120,14400,1637,27671,11001,1637,0.13641666666666666,0.14880465412235253,0.059159408767301504,0.11368055555555556
8,4,0,2,120,121,14520,1770,28052,11052,1770,0.1475,0.16015200868621063,0.06309710537573078,0.12190082644628099
8,4,0,3,121,121,14641,1713,28018,10999,1713,0.14275,0.1557414310391854,0.06113926761367692,0.1170002049040366
8,4,0,4,121,121,14641,1697,27950,10982,1697,0.14141666666666666,0.15452558732471317,0.06071556350626118,0.11590738337545249
8,4,0,5,121,122,14762,1835,28382,11056,1835,0.15291666666666667,0.16597322720694646,0.06465365372419139,0.12430564964097006
8,4,0,6,122,123,15006,1870,28590,11093,1870,0.15583333333333332,0.16857477688632472,0.06540748513466246,0.12461681993869118
8,4,0,7,123,10,1230,169,2447,2216,169,0.014083333333333333,0.07626353790613719,0.06906416019615856,0.13739837398373983
8,4,1,0,90,120,10800,1191,20529,10043,1191,0.09925,0.11859006273025988,0.05801549028204004,0.11027777777777778
8,4,1,1,120,120,14400,1747,27647,10991,1747,0.14558333333333334,0.15894823037030298,0.06318949614786415,0.12131944444444444
8,4,1,2,120,121,14520,1699,27728,11034,1699,0.14158333333333334,0.15397861156425593,0.061273802654356606,0.11701101928374656
8,4,1,3,121,121,14641,1724,28070,11024,1724,0.14366666666666666,0.15638606676342526,0.06141788386177414,0.11775151970493819
8,4,1,4,121,121,14641,1721,28182,11034,1721,0.14341666666666666,0.15597244879463476,0.06106734795259385,0.11754661566832866
8,4,1,5,121,122,14762,1821,28602,11069,1821,0.15175,0.16451350618845423,0.06366687644220684,0.12335726866278282
8,4,1,6,122,123,15006,1908,28887,11158,1908,0.159,0.17099838680767163,0.06605047253089626,0.12714914034386246
8,4,1,7,123,10,1230,151,2355,2163,151,0.012583333333333334,0.06981044845122515,0.06411889596602972,0.12276422764227642
8,4,2,0,90,120,10800,1207,20660,10091,1207,0.10058333333333333,0.11961153503121594,0.05842207163601162,0.11175925925925925
8,4,2,1,120,120,14400,1726,27846,11051,1726,0.14383333333333334,0.15618496063704643,0.06198376786612081,0.11986111111111111
8,4,2,2,120,121,14520,1734,27542,10972,1734,0.1445,0.15803864382063434,0.06295839082129112,0.11942148760330579
8,4,2,3,121,121,14641,1685,28019,11027,1685,0.14041666666666666,0.1528067470753605,0.060137763660373315,0.11508776722901441
8,4,2,4,121,121,14641,1768,28152,11110,1768,0.14733333333333334,0.15913591359135915,0.06280193236714976,0.1207567789085445
8,4,2,5,121,122,14762,1803,28463,11060,1803,0.15025,0.16301989150090415,0.06334539577697361,0.1221379216908278
8,4,2,6,122,123,15006,1889,28978,11106,1889,0.15741666666666668,0.1700882405906717,0.06518738353233487,0.12588298014127683
8,4,2,7,123,10,1230,150,2340,2149,150,0.0125,0.06979990693345742,0.0641025641025641,0.12195121951219512
8,8,0,0,90,120,10800,1094,20890,10126,1094,0.09116666666666666,0.10803871222595299,0.052369554810914314,0.1012962962962963
8,8,0,1,120,120,14400,1512,27671,11001,1512,0.126,0.13744205072266158,0.05464204401720212,0.105
8,8,0,2,120,121,14520,1459,28052,11052,1459,0.12158333333333333,0.1320123054650742,0.05201055183231142,0.10048209366391185
8,8,0,3,121,121,14641,1614,28018,10999,1614,0.1345,0.14674061278298028,0.057605824826896995,0.1102383716959224
8,8,0,4,121,121,14641,1533,27950,10982,1533,0.12775,0.13959205973411037,0.0548479427549195,0.10470596270746534
8,8,0,5,121,122,14762,1571,28382,11056,1571,0.13091666666666665,0.14209479015918958,0.055351983651610176,0.10642189405229643
8,8,0,6,122,123,15006,1617,28590,11093,1617,0.13475,0.1457676011899396,0.05655823714585519,0.10775689724110356
8,8,0,7,123,10,1230,131,2447,2216,131,0.010916666666666667,0.05911552346570397,0.05353494074376788,0.10650406504065041
8,8,1,0,90,120,10800,1019,20529,10043,1019,0.08491666666666667,0.10146370606392512,0.04963709873837011,0.09435185185185185
8,8,1,1,120,120,14400,1454,27647,10991,1454,0.12116666666666667,0.1322900554999545,0.052591601258726084,0.10097222222222223
8,8,1,2,120,121,14520,1491,27728,11034,1491,0.12425,0.13512778684067428,0.05377236006924409,0.10268595041322313
8,8,1,3,121,121,14641,1509,28070,11024,1509,0.12575,0.13688316400580552,0.05375846099038119,0.10306673041458916
8,8,1,4,121,121,14641,1568,28182,11034,1568,0.13066666666666665,0.14210621714700017,0.05563835072031793,0.10709650980124308
8,8,1,5,121,122,14762,1603,28602,11069,1603,0.13358333333333333,0.1448188634926371,0.05604503181595693,0.1085896220024387
8,8,1,6,122,123,15006,1682,28887,11158,1682,0.14016666666666666,0.1507438609069726,0.05822688406549659,0.11208849793415968
8,8,1,7,123,10,1230,120,2355,2163,120,0.01,0.05547850208044383,0.050955414012738856,0.0975609756097561
8,8,2,0,90,120,10800,1094,20660,10091,1094,0.09116666666666666,0.10841343771677732,0.05295256534365925,0.1012962962962963
8,8,2,1,120,120,14400,1431,27846,11051,1431,0.11925,0.12949054384218622,0.05138978668390433,0.099375
8,8,2,2,120,121,14520,1537,27542,10972,1537,0.12808333333333333,0.14008384979948962,0.05580567859995643,0.10585399449035812
8,8,2,3,121,121,14641,1496,28019,11027,1496,0.12466666666666666,0.13566699918382152,0.053392340911524325,0.10217881292261458
8,8,2,4,121,121,14641,1555,28152,11110,1555,0.12958333333333333,0.13996399639963997,0.0552358624609264,0.10620859230926849
8,8,2,5,121,122,14762,1592,28463,11060,1592,0.13266666666666665,0.14394213381555154,0.055932262937849135,0.1078444655195773
8,8,2,6,122,123,15006,1678,28978,11106,1678,0.13983333333333334,0.15108950117053846,0.05790599765339223,0.11182193789151006
8,8,2,7,123,10,1230,132,2340,2149,132,0.011,0.06142391810144253,0.05641025641025641,0.1073170731707317
8,16,0,0,90,120,10800,137,20890,10126,137,0.011416666666666667,0.013529527947857002,0.006558161799904261,0.012685185185185185
8,16,0,1,120,120,14400,189,27671,11001,189,0.01575,0.017180256340332697,0.006830255502150265,0.013125
8,16,0,2,120,121,14520,201,28052,11052,201,0.01675,0.018186753528773074,0.007165264508769428,0.01384297520661157
8,16,0,3,121,121,14641,202,28018,10999,202,0.016833333333333332,0.018365305936903355,0.007209650938682276,0.013796871798374428
8,16,0,4,121,121,14641,203,27950,10982,203,0.016916666666666667,0.018484793298124202,0.007262969588550984,0.013865173143910935
8,16,0,5,121,122,14762,208,28382,11056,208,0.017333333333333333,0.01881331403762663,0.007328588542033683,0.014090231675924672
8,16,0,6,122,123,15006,205,28590,11093,205,0.017083333333333332,0.018480122599837737,0.007170339279468346,0.01366120218579235
8,16,0,7,123,10,1230,15,2447,2216,15,0.00125,0.006768953068592058,0.006129955046996322,0.012195121951219513
8,16,1,0,90,120,10800,119,20529,10043,119,0.009916666666666667,0.011849049088917655,0.005796677870329777,0.011018518518518518
8,16,1,1,120,120,14400,185,27647,10991,185,0.015416666666666667,0.016831953416431625,0.006691503598943827,0.012847222222222222
8,16,1,2,120,121,14520,224,27728,11034,224,0.018666666666666668,0.02030088816385717,0.008078476630121177,0.015426997245179064
8,16,1,3,121,121,14641,170,28070,11024,170,0.014166666666666666,0.015420899854862119,0.006056287851799074,0.011611228741206202
8,16,1,4,121,121,14641,203,28182,11034,203,0.016916666666666667,0.01839767989849556,0.007203179334326876,0.013865173143910935
8,16,1,5,121,122,14762,211,28602,11069,211,0.017583333333333333,0.019062245912006504,0.007377106496049227,0.014293456171250508
8,16,1,6,122,123,15006,229,28887,11158,229,0.019083333333333334,0.020523391288761426,0.00792744140963063,0.01526056244168999
8,16,1,7,123,10,1230,16,2355,2163,16,0.0013333333333333333,0.007397133610725843,0.006794055201698514,0.013008130081300813
8,16,2,0,90,120,10800,139,20660,10091,139,0.011583333333333333,0.013774650678822713,0.006727976766698935,0.01287037037037037
8,16,2,1,120,120,14400,217,27846,11051,217,0.018083333333333333,0.019636232015202246,0.007792860734037205,0.015069444444444444
8,16,2,2,120,121,14520,217,27542,10972,217,0.018083333333333333,0.01977761574917973,0.007878875898627551,0.014944903581267217
8,16,2,3,121,121,14641,213,28019,11027,213,0.01775,0.019316223814274055,0.007601984367750455,0.014548186599276005
8,16,2,4,121,121,14641,199,28152,11110,199,0.016583333333333332,0.01791179117911791,0.0070687695368002275,0.013591967761764906
8,16,2,5,121,122,14762,209,28463,11060,209,0.017416666666666667,0.018896925858951176,0.007342866177142255,0.014157973174366617
8,16,2,6,122,123,15006,213,28978,11106,213,0.01775,0.01917882225823879,0.007350403754572434,0.014194322271091563
8,16,2,7,123,10,1230,18,2340,2149,18,0.0015,0.00837598883201489,0.007692307692307693,0.014634146341463415
16,1,0,0,90,79,7110,827,13771,8359,827,0.06891666666666667,0.09893527933963393,0.06005373611211967,0.11631504922644163
16,1,0,1,79,82,6478,772,12525,8005,772,0.06433333333333334,0.09643972517176765,0.06163672654690619,0.1191725841309046
16,1,0,2,82,80,6560,779,12612,8027,779,0.06491666666666666,0.09704746480627881,0.061766571519188074,0.11875
16,1,0,3,80,82,6560,770,12491,7910,770,0.06416666666666666,0.09734513274336283,0.061644383956448646,0.1173780487804878
16,1,0,4,82,80,6560,818,12713,7973,818,0.06816666666666667,0.10259626238555124,0.06434358530637929,0.12469512195121951
16,1,0,5,80,82,6560,814,12702,8033,814,0.06783333333333333,0.1013320054774057,0.06408439615808534,0.12408536585365854
16,1,0,6,82,81,6642,789,12804,8024,789,0.06575,0.09833000997008973,0.06162136832239925,0.11878952122854562
16,1,0,7,81,81,6561,804,12450,7879,804,0.067,0.10204340652367051,0.06457831325301205,0.12254229538180156
16,1,0,8,81,81,6561,786,12586,7948,786,0.0655,0.09889280322093609,0.06245034164945177,0.11979881115683585
16,1,0,9,81,81,6561,774,12503,7834,774,0.0645,0.0988001021189686,0.06190514276573622,0.11796982167352538
16,1,0,10,81,81,6561,837,12555,7936,837,0.06975,0.10546875,0.06666666666666667,0.12757201646090535
16,1,0,11,81,82,6642,742,12794,8024,742,0.06183333333333333,0.09247258225324027,0.05799593559481007,0.11171333935561578
16,1,0,12,82,81,6642,784,12751,7976,784,0.06533333333333333,0.09829488465396188,0.06148537369618069,0.11803673592291479
16,1,0,13,81,82,6642,796,12690,8000,796,0.06633333333333333,0.0995,0.06272655634357761,0.11984342065642879
