condition,depth,threshold,step,layer,quantity,seeds,rms_mean,rms_std,zero_fraction_mean,zero_fraction_std
relu-a3-threshold,4,1,0,0,quantized_linear_input,3,0.6224744586297459,0.0,0.11097777777777777,0.0
relu-a3-threshold,4,1,0,0,h_l,3,0.4143951229207694,0.023570701603223276,0.5177766666666667,0.015157671599996264
relu-a3-threshold,4,1,0,1,quantized_linear_input,3,0.35428319725639557,0.018777541074122894,0.6001816666666666,0.01561835645429229
relu-a3-threshold,4,1,0,1,h_l,3,0.24178704475442991,0.012690228002997218,0.5318033333333333,0.01381567256174427
relu-a3-threshold,4,1,0,2,quantized_linear_input,3,0.20766057201476867,0.011906310536829084,0.5983466666666667,0.015169001560199444
relu-a3-threshold,4,1,0,2,h_l,3,0.1407332111722126,0.0064712649210090425,0.5152633333333333,0.012079654727405674
relu-a3-threshold,4,1,0,3,quantized_linear_input,3,0.12134415478106649,0.0057914189797207815,0.5830983333333334,0.010622045863831192
relu-a3-threshold,4,1,0,3,h_l,3,0.12244058118723525,0.017319709152874323,0.031433333333333334,0.004645786621588783
relu-a3-threshold,4,1,500,0,quantized_linear_input,3,0.6224744586297459,0.0,0.11097777777777777,0.0
relu-a3-threshold,4,1,500,0,h_l,3,0.41570006369448426,0.02579663419250257,0.5195983333333334,0.01559125743271953
relu-a3-threshold,4,1,500,1,quantized_linear_input,3,0.35498608931657477,0.020060580847411646,0.6018066666666667,0.015827105178564223
relu-a3-threshold,4,1,500,1,h_l,3,0.24290051454518707,0.012238791859757738,0.5291116666666666,0.012489996330397067
relu-a3-threshold,4,1,500,2,quantized_linear_input,3,0.2087944441909465,0.011689080326447705,0.5957733333333334,0.014639925147805025
relu-a3-threshold,4,1,500,2,h_l,3,0.1409343732678928,0.007674969382937501,0.5144066666666667,0.00973208910426394
relu-a3-threshold,4,1,500,3,quantized_linear_input,3,0.12149941463644827,0.006848824703771684,0.581865,0.008899286488252878
relu-a3-threshold,4,1,500,3,h_l,3,0.1172826705182884,0.017085324592009496,0.032966666666666665,0.008459511412211306
relu-a3-threshold,4,1,1000,0,quantized_linear_input,3,0.6224744586297459,0.0,0.11097777777777777,0.0
relu-a3-threshold,4,1,1000,0,h_l,3,0.4183785771216267,0.027128758546195477,0.51841,0.018308078135074644
relu-a3-threshold,4,1,1000,1,quantized_linear_input,3,0.35736922374750263,0.02079305034418817,0.599625,0.018456324796665226
relu-a3-threshold,4,1,1000,1,h_l,3,0.2452023389296018,0.012834799904691387,0.5293733333333334,0.008877885915764725
relu-a3-threshold,4,1,1000,2,quantized_linear_input,3,0.2105805291621305,0.011765407834795452,0.5963533333333333,0.01060514183466366
relu-a3-threshold,4,1,1000,2,h_l,3,0.14245925744083712,0.007816044566387516,0.5168633333333333,0.008803255553108364
relu-a3-threshold,4,1,1000,3,quantized_linear_input,3,0.12265401689400977,0.00701603173681912,0.5847,0.008004081771196516
relu-a3-threshold,4,1,1000,3,h_l,3,0.11473437626592763,0.027154111342538978,0.033966666666666666,0.0074298945708087495
relu-a3-threshold,4,1,1500,0,quantized_linear_input,3,0.6224744586297459,0.0,0.11097777777777777,0.0
relu-a3-threshold,4,1,1500,0,h_l,3,0.4192584178291435,0.027028360884826637,0.5175416666666667,0.019287511719590304
relu-a3-threshold,4,1,1500,1,quantized_linear_input,3,0.3583305350230395,0.02060588401469696,0.59834,0.01959479714107802
relu-a3-threshold,4,1,1500,1,h_l,3,0.24616225514364784,0.013352126220177736,0.5283366666666667,0.008999201816457584
relu-a3-threshold,4,1,1500,2,quantized_linear_input,3,0.21137418736733285,0.012029900963340556,0.594975,0.010540767287062129
relu-a3-threshold,4,1,1500,2,h_l,3,0.14275547308182548,0.009504940070334002,0.51687,0.010407063706925204
relu-a3-threshold,4,1,1500,3,quantized_linear_input,3,0.12302482048350495,0.00804159055680652,0.5840533333333333,0.01052877050435298
relu-a3-threshold,4,1,1500,3,h_l,3,0.11142317691378037,0.02388064755939895,0.034466666666666666,0.0053612809414666325
relu-a3-threshold,4,1,2000,0,quantized_linear_input,3,0.6224744586297459,0.0,0.11097777777777777,0.0
relu-a3-threshold,4,1,2000,0,h_l,3,0.4204840327604361,0.024587447146696504,0.5193266666666666,0.019347909663147925
relu-a3-threshold,4,1,2000,1,quantized_linear_input,3,0.3594335969064311,0.01882239633400773,0.5990449999999999,0.01842581816365287
relu-a3-threshold,4,1,2000,1,h_l,3,0.24843790661783918,0.013590921085060942,0.5273116666666666,0.011256954887238947
relu-a3-threshold,4,1,2000,2,quantized_linear_input,3,0.21377900231877126,0.012277475487238607,0.5934866666666667,0.012214708688025802
relu-a3-threshold,4,1,2000,2,h_l,3,0.14605033153640906,0.010762578698764819,0.5195933333333334,0.009635176870890003
relu-a3-threshold,4,1,2000,3,quantized_linear_input,3,0.12571924925552033,0.008990381138812818,0.58573,0.010491364305942257
relu-a3-threshold,4,1,2000,3,h_l,3,0.11058588200681763,0.025219489257714438,0.033466666666666665,0.009591836807063249
relu-a3-threshold,4,1,2500,0,quantized_linear_input,3,0.6224744586297459,0.0,0.11097777777777777,0.0
relu-a3-threshold,4,1,2500,0,h_l,3,0.42313070570197436,0.02486991685725711,0.5192249999999999,0.0191218905969049
relu-a3-threshold,4,1,2500,1,quantized_linear_input,3,0.3610733059056995,0.01908843696851032,0.59889,0.017992903462198652
relu-a3-threshold,4,1,2500,1,h_l,3,0.2537187382953936,0.01384921018876587,0.525685,0.013903568786466309
relu-a3-threshold,4,1,2500,2,quantized_linear_input,3,0.2180673841395129,0.012745199891249417,0.591735,0.014678497027965776
relu-a3-threshold,4,1,2500,2,h_l,3,0.15047318336515075,0.011865747704443194,0.5176183333333333,0.008194274423848206
relu-a3-threshold,4,1,2500,3,quantized_linear_input,3,0.12952875858287752,0.009808540031897179,0.5836166666666667,0.008240434353438774
relu-a3-threshold,4,1,2500,3,h_l,3,0.11872617119560032,0.025509210316552938,0.031133333333333332,0.007414400402819726
relu-a3-threshold,4,1,3000,0,quantized_linear_input,3,0.6224744586297459,0.0,0.11097777777777777,0.0
relu-a3-threshold,4,1,3000,0,h_l,3,0.42738552799556606,0.026204589663810417,0.5182516666666667,0.021862877974624793
relu-a3-threshold,4,1,3000,1,quantized_linear_input,3,0.36478532828465454,0.020045838170363095,0.597365,0.020517083735268057
relu-a3-threshold,4,1,3000,1,h_l,3,0.2581761911339569,0.01391296747200629,0.5280716666666667,0.014779971526810603
relu-a3-threshold,4,1,3000,2,quantized_linear_input,3,0.22183873415831679,0.012828367147166808,0.5934233333333333,0.01592385108362086
relu-a3-threshold,4,1,3000,2,h_l,3,0.15473776076581733,0.011254306053919848,0.5132616666666666,0.005285776511860226
relu-a3-threshold,4,1,3000,3,quantized_linear_input,3,0.13329380687072762,0.009220578447172487,0.5788449999999999,0.005468118963592538
relu-a3-threshold,4,1,3000,3,h_l,3,0.12245498849994363,0.030217504162583328,0.033299999999999996,0.010001499887516871
relu-a3-threshold,4,1,3500,0,quantized_linear_input,3,0.6224744586297459,0.0,0.11097777777777777,0.0
relu-a3-threshold,4,1,3500,0,h_l,3,0.4312322955841303,0.025621153783709993,0.5168783333333333,0.022920790416853732
relu-a3-threshold,4,1,3500,1,quantized_linear_input,3,0.3682545858530982,0.019379317382829327,0.5952933333333333,0.020909084349471998
relu-a3-threshold,4,1,3500,1,h_l,3,0.2627974615502815,0.01565935142044982,0.528605,0.015271592091199925
relu-a3-threshold,4,1,3500,2,quantized_linear_input,3,0.22546398129048728,0.014332566778721363,0.59258,0.01631267988406567
relu-a3-threshold,4,1,3500,2,h_l,3,0.15780729620352696,0.011577496370787352,0.51258,0.0031443083500191002
relu-a3-threshold,4,1,3500,3,quantized_linear_input,3,0.13567587222555647,0.009402083664838756,0.578265,0.003604271771107144
relu-a3-threshold,4,1,3500,3,h_l,3,0.12242740956482333,0.031681953890614394,0.0336,0.007850477692471968
relu-a3-threshold,4,1,4000,0,quantized_linear_input,3,0.6224744586297459,0.0,0.11097777777777777,0.0
relu-a3-threshold,4,1,4000,0,h_l,3,0.43820239252261567,0.02326167719293862,0.513505,0.022604506187926292
relu-a3-threshold,4,1,4000,1,quantized_linear_input,3,0.37395749140985723,0.017437364721151292,0.591505,0.020056711470228625
