condition,depth,threshold,seed,step,layer,quantity,rms,zero_fraction,values
relu-a3-threshold,4,1,0,0,0,quantized_linear_input,0.6224744586297459,0.11097777777777777,90000
relu-a3-threshold,4,1,0,0,0,h_l,0.43899804125402,0.503825,200000
relu-a3-threshold,4,1,0,0,1,quantized_linear_input,0.37453551964740506,0.586015,200000
relu-a3-threshold,4,1,0,0,1,h_l,0.2516788465821842,0.528145,200000
relu-a3-threshold,4,1,0,0,2,quantized_linear_input,0.21693489525059428,0.594105,200000
relu-a3-threshold,4,1,0,0,2,h_l,0.14658701407546001,0.501315,200000
relu-a3-threshold,4,1,0,0,3,quantized_linear_input,0.12650250462583365,0.57084,200000
relu-a3-threshold,4,1,0,0,3,h_l,0.11095177047812795,0.0346,10000
relu-a3-threshold,4,1,0,500,0,quantized_linear_input,0.6224744586297459,0.11097777777777777,90000
relu-a3-threshold,4,1,0,500,0,h_l,0.44365795245822287,0.50565,200000
relu-a3-threshold,4,1,0,500,1,quantized_linear_input,0.37727959508647935,0.58776,200000
relu-a3-threshold,4,1,0,500,1,h_l,0.2543904297370737,0.52446,200000
relu-a3-threshold,4,1,0,500,2,quantized_linear_input,0.21957650290329714,0.59083,200000
relu-a3-threshold,4,1,0,500,2,h_l,0.1493833710066745,0.503175,200000
relu-a3-threshold,4,1,0,500,3,quantized_linear_input,0.12896527363285687,0.571695,200000
relu-a3-threshold,4,1,0,500,3,h_l,0.10466978733767168,0.0377,10000
relu-a3-threshold,4,1,0,1000,0,quantized_linear_input,0.6224744586297459,0.11097777777777777,90000
relu-a3-threshold,4,1,0,1000,0,h_l,0.446707672661901,0.50255,200000
relu-a3-threshold,4,1,0,1000,1,quantized_linear_input,0.3797292111497539,0.58352,200000
relu-a3-threshold,4,1,0,1000,1,h_l,0.2548380397126456,0.526115,200000
relu-a3-threshold,4,1,0,1000,2,quantized_linear_input,0.21994153366709931,0.59253,200000
relu-a3-threshold,4,1,0,1000,2,h_l,0.15001484339700183,0.506765,200000
relu-a3-threshold,4,1,0,1000,3,quantized_linear_input,0.12926501970029583,0.57568,200000
relu-a3-threshold,4,1,0,1000,3,h_l,0.1013712196281126,0.037,10000
relu-a3-threshold,4,1,0,1500,0,quantized_linear_input,0.6224744586297459,0.11097777777777777,90000
relu-a3-threshold,4,1,0,1500,0,h_l,0.4455966037770387,0.5005,200000
relu-a3-threshold,4,1,0,1500,1,quantized_linear_input,0.3793050357461308,0.580995,200000
relu-a3-threshold,4,1,0,1500,1,h_l,0.25580291902045854,0.52138,200000
relu-a3-threshold,4,1,0,1500,2,quantized_linear_input,0.22044653631438052,0.58835,200000
relu-a3-threshold,4,1,0,1500,2,h_l,0.15320830465655189,0.505345,200000
relu-a3-threshold,4,1,0,1500,3,quantized_linear_input,0.1317792326430294,0.57201,200000
relu-a3-threshold,4,1,0,1500,3,h_l,0.09949953682793575,0.0354,10000
relu-a3-threshold,4,1,0,2000,0,quantized_linear_input,0.6224744586297459,0.11097777777777777,90000
relu-a3-threshold,4,1,0,2000,0,h_l,0.4450257375499749,0.50381,200000
relu-a3-threshold,4,1,0,2000,1,quantized_linear_input,0.3787713170656513,0.58495,200000
relu-a3-threshold,4,1,0,2000,1,h_l,0.2595749612961155,0.517155,200000
relu-a3-threshold,4,1,0,2000,2,quantized_linear_input,0.22407154480507077,0.584075,200000
relu-a3-threshold,4,1,0,2000,2,h_l,0.15813244721477854,0.50913,200000
relu-a3-threshold,4,1,0,2000,3,quantized_linear_input,0.13573378437704242,0.574145,200000
relu-a3-threshold,4,1,0,2000,3,h_l,0.10042145593722511,0.0366,10000
relu-a3-threshold,4,1,0,2500,0,quantized_linear_input,0.6224744586297459,0.11097777777777777,90000
relu-a3-threshold,4,1,0,2500,0,h_l,0.44882094971096503,0.503845,200000
relu-a3-threshold,4,1,0,2500,1,quantized_linear_input,0.3814915897144606,0.584535,200000
relu-a3-threshold,4,1,0,2500,1,h_l,0.2653007740410094,0.51396,200000
relu-a3-threshold,4,1,0,2500,2,quantized_linear_input,0.22907255669417795,0.580565,200000
relu-a3-threshold,4,1,0,2500,2,h_l,0.16386440470041652,0.508325,200000
relu-a3-threshold,4,1,0,2500,3,quantized_linear_input,0.1405641228971577,0.574205,200000
relu-a3-threshold,4,1,0,2500,3,h_l,0.10723513742446188,0.0348,10000
relu-a3-threshold,4,1,0,3000,0,quantized_linear_input,0.6224744586297459,0.11097777777777777,90000
relu-a3-threshold,4,1,0,3000,0,h_l,0.4545542654511152,0.501185,200000
relu-a3-threshold,4,1,0,3000,1,quantized_linear_input,0.38612571668231405,0.58194,200000
relu-a3-threshold,4,1,0,3000,1,h_l,0.26997715943499084,0.518005,200000
relu-a3-threshold,4,1,0,3000,2,quantized_linear_input,0.23293420962842618,0.5841,200000
relu-a3-threshold,4,1,0,3000,2,h_l,0.16729742548147816,0.507185,200000
relu-a3-threshold,4,1,0,3000,3,quantized_linear_input,0.14348773978787385,0.57261,200000
relu-a3-threshold,4,1,0,3000,3,h_l,0.10101367762803261,0.0406,10000
relu-a3-threshold,4,1,0,3500,0,quantized_linear_input,0.6224744586297459,0.11097777777777777,90000
relu-a3-threshold,4,1,0,3500,0,h_l,0.4580527499932964,0.498955,200000
relu-a3-threshold,4,1,0,3500,1,quantized_linear_input,0.38891243216833005,0.579795,200000
relu-a3-threshold,4,1,0,3500,1,h_l,0.27606152529694045,0.515905,200000
relu-a3-threshold,4,1,0,3500,2,quantized_linear_input,0.23783207438921636,0.58068,200000
relu-a3-threshold,4,1,0,3500,2,h_l,0.17047667837954458,0.509345,200000
relu-a3-threshold,4,1,0,3500,3,quantized_linear_input,0.14596756061279975,0.57454,200000
relu-a3-threshold,4,1,0,3500,3,h_l,0.09948817636042198,0.0414,10000
relu-a3-threshold,4,1,0,4000,0,quantized_linear_input,0.6224744586297459,0.11097777777777777,90000
relu-a3-threshold,4,1,0,4000,0,h_l,0.4634570367245883,0.495385,200000
relu-a3-threshold,4,1,0,4000,1,quantized_linear_input,0.3931495521010948,0.57605,200000
relu-a3-threshold,4,1,0,4000,1,h_l,0.2806062484137933,0.512775,200000
relu-a3-threshold,4,1,0,4000,2,quantized_linear_input,0.24169910874395653,0.576605,200000
relu-a3-threshold,4,1,0,4000,2,h_l,0.17439100770616142,0.5113,200000
relu-a3-threshold,4,1,0,4000,3,quantized_linear_input,0.14888793422732818,0.57644,200000
relu-a3-threshold,4,1,0,4000,3,h_l,0.10544704464712107,0.0378,10000
relu-a3-threshold,4,1,0,4500,0,quantized_linear_input,0.6224744586297459,0.11097777777777777,90000
relu-a3-threshold,4,1,0,4500,0,h_l,0.4661878469232624,0.496275,200000
relu-a3-threshold,4,1,0,4500,1,quantized_linear_input,0.39463031658485725,0.577725,200000
relu-a3-threshold,4,1,0,4500,1,h_l,0.2858701101155258,0.51134,200000
relu-a3-threshold,4,1,0,4500,2,quantized_linear_input,0.24594710328809827,0.57512,200000
relu-a3-threshold,4,1,0,4500,2,h_l,0.17851484279224342,0.50522,200000
relu-a3-threshold,4,1,0,4500,3,quantized_linear_input,0.15225278675486958,0.571305,200000
relu-a3-threshold,4,1,0,4500,3,h_l,0.1082244708441751,0.0357,10000
relu-a3-threshold,4,1,0,5000,0,quantized_linear_input,0.6224744586297459,0.11097777777777777,90000
relu-a3-threshold,4,1,0,5000,0,h_l,0.46739148535713787,0.49609,200000
relu-a3-threshold,4,1,0,5000,1,quantized_linear_input,0.3953458556388531,0.577555,200000
relu-a3-threshold,4,1,0,5000,1,h_l,0.29225003908280395,0.50888,200000
relu-a3-threshold,4,1,0,5000,2,quantized_linear_input,0.25100204625181866,0.57193,200000
relu-a3-threshold,4,1,0,5000,2,h_l,0.18425316563087418,0.508765,200000
relu-a3-threshold,4,1,0,5000,3,quantized_linear_input,0.1565819773748087,0.57373,200000
relu-a3-threshold,4,1,0,5000,3,h_l,0.110645466017658,0.0436,10000
relu-a3-threshold,4,1,0,5500,0,quantized_linear_input,0.6224744586297459,0.11097777777777777,90000
relu-a3-threshold,4,1,0,5500,0,h_l,0.4707823044567067,0.494485,200000
relu-a3-threshold,4,1,0,5500,1,quantized_linear_input,0.3974040460232805,0.57569,200000
relu-a3-threshold,4,1,0,5500,1,h_l,0.2939547223071762,0.510895,200000
relu-a3-threshold,4,1,0,5500,2,quantized_linear_input,0.25238767327307704,0.573705,200000
relu-a3-threshold,4,1,0,5500,2,h_l,0.18684656137322433,0.502245,200000
relu-a3-threshold,4,1,0,5500,3,quantized_linear_input,0.15860740428812892,0.567555,200000
relu-a3-threshold,4,1,0,5500,3,h_l,0.1098525612069983,0.0413,10000
