layer,matrix,parameters,selected_coordinates,selected_intervals,fires,all_interval_firing_rate,selected_interval_firing_rate
0,W_in,6840,26135,16247,1216,0.050666666666666665,0.07484458669292793
1,block0.W1,5776,22264,14720,1135,0.04729166666666667,0.07710597826086957
2,block0.W2,5776,22163,14720,1177,0.049041666666666664,0.07995923913043479
3,block1.W1,5776,22240,14722,1107,0.046125,0.0751935878277408
4,block1.W2,5776,22178,14773,1147,0.04779166666666667,0.07764164353888851
5,block2.W1,5776,22152,14715,1186,0.049416666666666664,0.08059802922188243
6,block2.W2,5776,21910,14728,1185,0.049375,0.080458989679522
7,block3.W1,5776,22158,14695,1207,0.050291666666666665,0.08213678121810139
8,block3.W2,5776,22256,14785,1246,0.051916666666666667,0.08427460263780859
9,block4.W1,5776,22117,14707,1193,0.049708333333333334,0.08111783504453661
10,block4.W2,5776,22235,14778,1308,0.0545,0.08850994721883881
11,block5.W1,5776,22298,14805,1244,0.051833333333333335,0.0840256670043904
12,block5.W2,5776,22094,14697,1251,0.052125,0.08511941212492345
13,block6.W1,5776,22265,14787,1182,0.04925,0.07993507810914993
14,block6.W2,5776,22059,14696,1225,0.051041666666666666,0.08335601524224279
15,block7.W1,5776,22368,14787,1245,0.051875,0.08419557719618584
16,block7.W2,5776,22199,14777,1213,0.050541666666666665,0.08208702713676659
17,W_out,760,2909,2754,187,0.007791666666666666,0.06790123456790123
