step,elapsed_seconds,engine_seconds,cumulative_fires,actual_fires_per_parameter,next_scale,gpu_workflow_milliseconds,schedule_seconds,fires,clip_rate,zero_difference_count,zero_difference_fraction,saturation_rate,nonzero_vote_rate,scale,counter_peak_abs,counter_count,counter_min,counter_max,counter_mean,counter_abs_max,counter_abs_mean,counter_saturated_count,counter_saturated_fraction,counter_capacity,counter_all_mean,counter_all_abs_mean,counter_histogram
1,0.010934118181467056,0.010404396802186966,1,9.998400255959046e-06,0.019451373100280764,1.213919997215271,0.003615681082010269,1,0.140625,0,0.0,0.0,0.6103515625,0.02,36,20,-26,36,-1.649999976158142,36,8.449999809265137,0,0.0,127,-0.00016497360775247216,0.0008448648150078952,"{""-10"": 1, ""-18"": 1, ""-2"": 2, ""-26"": 1, ""-3"": 3, ""-4"": 2, ""-5"": 1, ""-6"": 2, ""-9"": 1, ""1"": 1, ""11"": 2, ""36"": 1, ""4"": 1, ""5"": 1}"
2,0.02121308073401451,0.020516201853752136,2,1.9996800511918092e-05,0.018024438571929934,1.1220159530639648,0.003432776778936386,1,0.046875,0,0.0,0.0,0.3173828125,0.019451373100280764,21,21,-21,12,-1.952380895614624,21,4.714285850524902,0,0.0,127,-0.0002049672038992867,0.0004949208232574165,"{""-1"": 1, ""-2"": 1, ""-21"": 1, ""-3"": 1, ""-5"": 3, ""-6"": 2, ""-7"": 1, ""-9"": 1, ""0"": 3, ""1"": 1, ""12"": 1, ""2"": 1, ""3"": 2, ""4"": 2}"
3,0.03143935278058052,0.0306117944419384,3,2.999520076787714e-05,0.016609925584793094,1.1209919452667236,0.0036610476672649384,1,0.0,0,0.0,0.0,0.2197265625,0.018024438571929934,10,20,-9,8,-0.550000011920929,9,3.6500000953674316,0,0.0,127,-5.499120015883818e-05,0.00036494160303846,"{""-1"": 2, ""-2"": 1, ""-3"": 2, ""-4"": 3, ""-5"": 1, ""-6"": 1, ""-9"": 1, ""0"": 1, ""2"": 3, ""3"": 3, ""8"": 2}"
4,0.041088297963142395,0.04013102874159813,4,3.9993601023836184e-05,0.015452353856086733,1.1228480339050293,0.0030608437955379486,1,0.015625,0,0.0,0.0,0.3349609375,0.016609925584793094,16,22,-16,12,1.8636363744735718,16,5.318181991577148,0,0.0,127,0.0002049672038992867,0.0005849064327776432,"{""-16"": 1, ""-2"": 1, ""-3"": 1, ""-5"": 2, ""-7"": 1, ""0"": 3, ""11"": 1, ""12"": 1, ""2"": 1, ""3"": 2, ""4"": 2, ""5"": 2, ""7"": 2, ""8"": 2}"
5,0.05075225979089737,0.04966925084590912,5,4.999200127979523e-05,0.01472494188051224,1.1221439838409424,0.0030915141105651855,1,0.140625,0,0.0,0.0,0.52734375,0.015452353856086733,21,20,-11,21,0.699999988079071,21,7.199999809265137,0,0.0,127,6.998880417086184e-05,0.0007198848179541528,"{""-10"": 1, ""-11"": 1, ""-2"": 1, ""-3"": 2, ""-6"": 2, ""-7"": 1, ""-8"": 1, ""-9"": 1, ""11"": 2, ""12"": 1, ""2"": 2, ""21"": 1, ""3"": 1, ""5"": 2, ""7"": 1}"
6,0.06040274351835251,0.05919585004448891,6,5.999040153575428e-05,0.013871310798234941,1.1218880414962769,0.0030598118901252747,1,0.109375,0,0.0,0.0,0.4287109375,0.01472494188051224,15,25,-15,13,-0.8399999737739563,15,4.679999828338623,0,0.0,127,-0.00010498320625629276,0.0005849064327776432,"{""-1"": 3, ""-12"": 1, ""-15"": 1, ""-2"": 3, ""-3"": 1, ""-4"": 2, ""-6"": 1, ""-8"": 2, ""0"": 2, ""13"": 1, ""2"": 2, ""3"": 2, ""4"": 1, ""5"": 1, ""8"": 2}"
7,0.0702684298157692,0.06893528997898102,7,6.998880179171333e-05,0.0130977022480135,1.1207040548324585,0.003237709403038025,1,0.078125,0,0.0,0.0,0.462890625,0.013871310798234941,20,24,-20,9,-1.1666666269302368,20,5.166666507720947,0,0.0,127,-0.00013997760834172368,0.0006199008203111589,"{""-1"": 4, ""-14"": 1, ""-2"": 2, ""-20"": 1, ""-3"": 2, ""-4"": 1, ""-7"": 1, ""-8"": 1, ""-9"": 1, ""1"": 2, ""2"": 1, ""3"": 1, ""6"": 3, ""7"": 2, ""9"": 1}"
8,0.08002682030200958,0.07851462438702583,8,7.998720204767237e-05,0.01228832493703051,1.1209280490875244,0.00308990478515625,1,0.046875,0,0.0,0.0,0.421875,0.0130977022480135,19,20,-17,18,0.699999988079071,18,6.300000190734863,0,0.0,127,6.998880417086184e-05,0.0006298992084339261,"{""-1"": 2, ""-10"": 1, ""-12"": 1, ""-17"": 1, ""-2"": 2, ""-5"": 1, ""-6"": 1, ""1"": 3, ""12"": 1, ""14"": 1, ""18"": 1, ""2"": 1, ""3"": 2, ""6"": 1, ""9"": 1}"
9,0.08981756120920181,0.08817758411169052,9,8.998560230363142e-05,0.01204375586343244,1.12227201461792,0.0031785033643245697,1,0.375,0,0.0,0.0,0.697265625,0.01228832493703051,27,19,-27,26,-1.7894736528396606,27,7.052631378173828,0,0.0,127,-0.00016997280181385577,0.0006698928191326559,"{""-10"": 1, ""-12"": 1, ""-2"": 2, ""-27"": 1, ""-3"": 1, ""-4"": 1, ""-5"": 2, ""-7"": 2, ""0"": 1, ""1"": 2, ""2"": 1, ""26"": 1, ""6"": 2, ""8"": 1}"
10,0.09951851516962051,0.09776195138692856,10,9.998400255959046e-05,0.011213411343983728,1.1203839778900146,0.0031363777816295624,1,0.015625,0,0.0,0.0,0.376953125,0.01204375586343244,19,23,-19,11,-0.6086956262588501,19,5.3913044929504395,0,0.0,127,-6.998880417086184e-05,0.0006199008203111589,"{""-1"": 1, ""-12"": 1, ""-19"": 1, ""-2"": 3, ""-3"": 1, ""-4"": 2, ""-5"": 1, ""-7"": 1, ""-8"": 1, ""0"": 1, ""11"": 1, ""2"": 2, ""3"": 1, ""4"": 2, ""5"": 1, ""7"": 1, ""8"": 1, ""9"": 1}"
