condition,seed,start_step,end_step,count,mean,rms,median,p90,p99,max,zero_fraction,normalized_mean,clip_rate,nonzero_vote_rate
a16,0,1,500,32000,0.004392748761922121,0.005610552394967275,0.003609180450439453,0.009166872501373295,0.015336813926696767,0.0374147891998291,3.125e-05,1.1044716910769443,0.45628125,0.7118125
a16,0,501,1000,32000,0.003868946444243193,0.004923585231110324,0.003172576427459717,0.008131718635559084,0.01329677224159238,0.028695106506347656,0.0,1.1701772857119137,0.48209375,0.730314453125
a16,0,1001,1500,32000,0.004016626492142677,0.0051529050811012465,0.0032809972763061523,0.008391261100769046,0.014283254742622374,0.03238415718078613,0.0,1.1677348926794757,0.4795625,0.728619140625
a16,0,1501,2000,32000,0.003996517082676292,0.005134181510690679,0.003262639045715332,0.008320844173431397,0.014304834604263265,0.027999043464660645,3.125e-05,1.1688365272112724,0.47825,0.726619140625
a16,0,2001,2500,32000,0.004052967326715589,0.005213772822379049,0.003302246332168579,0.008418715000152588,0.01444533288478848,0.03839242458343506,0.0,1.1724073101692976,0.48003125,0.728484375
a16,0,2501,3000,32000,0.004130979781970382,0.005325960241785468,0.003343254327774048,0.008664852380752564,0.014727848768234231,0.035986483097076416,0.0,1.1745038379917874,0.4786875,0.728068359375
a16,0,3001,3500,32000,0.004238363513723016,0.005545019406264144,0.003434687852859497,0.008842486143112184,0.0156982862949371,0.06250834465026855,3.125e-05,1.175470074352914,0.47821875,0.725208984375
a16,0,3501,4000,32000,0.004247369568794966,0.005489399554729136,0.0034468472003936768,0.00888689756393433,0.015723193287849414,0.037079691886901855,0.0,1.1778759589690848,0.479875,0.727380859375
a16,0,4001,4500,32000,0.004302862343378365,0.005551847630201005,0.003485262393951416,0.00897074341773987,0.01566847681999206,0.04060351848602295,0.0,1.177910327206689,0.47925,0.726939453125
a16,0,4501,5000,32000,0.004419777737930417,0.005721748722689312,0.003547489643096924,0.009293735027313232,0.01625115692615507,0.04147878289222717,0.0,1.188455879425473,0.47996875,0.7280078125
a16,0,5001,5500,32000,0.0044443897614255545,0.005756937395900795,0.003566443920135498,0.009350860118865972,0.016564046144485468,0.039360493421554565,0.0,1.1849095604955757,0.4783125,0.728408203125
a16,0,5501,6000,32000,0.00456334417918697,0.005901807417085453,0.003694295883178711,0.009548744559288029,0.01690109550952909,0.03564155101776123,0.0,1.1885938064369694,0.48234375,0.7300703125
a16,0,6001,6500,32000,0.004544402762316167,0.005869044279636835,0.0036787688732147217,0.009565553069114687,0.016489277482032768,0.03460294008255005,3.125e-05,1.1847943357559299,0.4810625,0.727060546875
a16,0,6501,7000,32000,0.004450507637113333,0.005758656817699425,0.0036157071590423584,0.00930583477020264,0.016574242711067173,0.034498751163482666,0.0,1.1815368982330567,0.4806875,0.728427734375
a16,0,7001,7500,32000,0.004436279565561562,0.005744741663449742,0.0035865455865859985,0.00930561125278473,0.016268514990806563,0.0402834415435791,0.0,1.1896563351668206,0.48290625,0.72890234375
a16,0,7501,8000,32000,0.004446376614272595,0.005741744777516254,0.003614664077758789,0.009283658862113953,0.016619817614555357,0.03918862342834473,0.0,1.183156477159001,0.48340625,0.729484375
a16,0,8001,8500,32000,0.004419275991618633,0.005714123440113858,0.003549337387084961,0.009284830093383791,0.01628637582063675,0.036988675594329834,0.0,1.1938982254258474,0.48275,0.730564453125
a16,0,8501,9000,32000,0.0044481005859561265,0.005773203946180651,0.003569081425666809,0.00937244296073914,0.01657260715961455,0.03373602032661438,0.0,1.1891037023708517,0.48146875,0.725431640625
a16,0,9001,9500,32000,0.004571657720487564,0.005941535153114063,0.0036735236644744873,0.009662479162216187,0.01699027895927429,0.03912895917892456,3.125e-05,1.196155322961221,0.48275,0.726826171875
a16,0,9501,10000,32000,0.004469161679036915,0.005814090006606315,0.0035934150218963623,0.009363418817520144,0.016547162234783166,0.051121652126312256,0.0,1.1862804082989649,0.4796875,0.72646484375
a16,0,10001,10500,32000,0.004485382809769362,0.005779819557889645,0.003665044903755188,0.00940339267253876,0.016207017898559568,0.033627092838287354,0.0,1.1790022952918822,0.4831875,0.72876953125
a16,0,10501,11000,32000,0.0045167295807041225,0.005849384900501227,0.0036336779594421387,0.00943034589290619,0.016789375841617576,0.03981667757034302,0.0,1.193349305653921,0.48259375,0.72896484375
a16,0,11001,11500,32000,0.0044309725919738415,0.005719610439405703,0.0035967379808425903,0.009278175234794617,0.016233620643615703,0.03766152262687683,0.0,1.1764939985561877,0.479875,0.72696875
a16,0,11501,12000,32000,0.004385059622582049,0.005670318993155402,0.0035426467657089233,0.009181785583496095,0.015976141989231103,0.039960503578186035,0.0,1.183230891517048,0.47878125,0.7267734375
a16,1,1,500,32000,0.004012185677886009,0.005099143569382483,0.003321230411529541,0.008343982696533204,0.013780882358551017,0.025971293449401855,3.125e-05,1.1102530706940892,0.46028125,0.713146484375
a16,1,501,1000,32000,0.0037327776215970517,0.004756373743316348,0.00308305025100708,0.007793283462524416,0.012889626026153563,0.024175405502319336,0.0,1.1502105524276471,0.47665625,0.72635546875
a16,1,1001,1500,32000,0.003697114501148462,0.0047132592768289695,0.003043144941329956,0.00773003101348877,0.012783166766166677,0.022855043411254883,0.0,1.1717659218990528,0.4846875,0.730525390625
a16,1,1501,2000,32000,0.003836087747476995,0.004958761763016955,0.0031189322471618652,0.007992470264434816,0.014069795608520508,0.030654311180114746,0.0,1.1686809542702632,0.47778125,0.725306640625
a16,1,2001,2500,32000,0.0038580722892656923,0.004988008840116559,0.0031154751777648926,0.008105409145355227,0.014152865409851058,0.030351638793945312,0.0,1.1860978370819548,0.48075,0.728845703125
a16,1,2501,3000,32000,0.003989678286015988,0.005155992957569812,0.0032537877559661865,0.008325910568237305,0.014685460329055785,0.0325850248336792,0.0,1.1723720383593303,0.4805,0.725640625
a16,1,3001,3500,32000,0.004018097901716828,0.005201766839607522,0.0032565444707870483,0.008378502726554873,0.014854203164577454,0.034263432025909424,3.125e-05,1.1831598752398453,0.48171875,0.727470703125
a16,1,3501,4000,32000,0.004009277508594096,0.005174930467814901,0.003261089324951172,0.00845138430595398,0.014668012559413905,0.03514599800109863,0.0,1.1831153465450899,0.483625,0.72862890625
a16,1,4001,4500,32000,0.004173819637857378,0.005432695931135677,0.003361314535140991,0.008747726678848267,0.015581497550010679,0.04800534248352051,0.0,1.1819768947485045,0.4790625,0.72698046875
a16,1,4501,5000,32000,0.004211833491455764,0.005453984758334076,0.0033812224864959717,0.008873566985130314,0.015467849969863877,0.03286111354827881,0.0,1.187284904890951,0.47809375,0.72744140625
a16,1,5001,5500,32000,0.004183730615768582,0.00543753611107686,0.0033638477325439453,0.00881980061531067,0.015438963174819938,0.04517665505409241,0.0,1.190593098169258,0.48125,0.725875
a16,1,5501,6000,32000,0.004336141782347113,0.0056008634312959505,0.003486454486846924,0.009138593077659608,0.015817534923553464,0.03386741876602173,0.0,1.1919553002582775,0.4814375,0.73017578125
a16,1,6001,6500,32000,0.004235196735244244,0.0055082055709039564,0.003410354256629944,0.008867806196212769,0.015597597360610931,0.04448235034942627,0.0,1.1836931814499911,0.479,0.72575390625
a16,1,6501,7000,32000,0.004248333090450615,0.005488158422070089,0.0034445524215698242,0.008968225121498112,0.015376560389995566,0.030505657196044922,0.0,1.1834643583399078,0.481125,0.72678125
a16,1,7001,7500,32000,0.004324889936950058,0.005612940253264304,0.003493979573249817,0.00905345678329468,0.016136006116867063,0.0370030403137207,0.0,1.1894608688211123,0.48225,0.730205078125
a16,1,7501,8000,32000,0.004500872815493494,0.005814077268505628,0.0036384612321853638,0.009411817789077764,0.01655486613512038,0.03501507639884949,3.125e-05,1.1812360743839507,0.47953125,0.728703125
a16,1,8001,8500,32000,0.004489869963843375,0.005793385587451632,0.003659382462501526,0.009417414665222171,0.016291112303733812,0.03536039590835571,3.125e-05,1.1849496387554102,0.48565625,0.728005859375
a16,1,8501,9000,32000,0.004448485263157636,0.005808882819945285,0.0035733431577682495,0.009364369511604308,0.017110707461833928,0.044281840324401855,0.0,1.1957772554900765,0.4814375,0.7264296875
a16,1,9001,9500,32000,0.0043735247850418095,0.005672844862288169,0.003512933850288391,0.009267723560333254,0.015887313187122342,0.047398388385772705,6.25e-05,1.190380478906882,0.4805,0.72770703125
a16,1,9501,10000,32000,0.004350019342731684,0.005639848331168875,0.003500998020172119,0.009163409471511844,0.01604767501354217,0.048711538314819336,0.0,1.1925034913210792,0.48371875,0.72683203125
a16,1,10001,10500,32000,0.004391539834439754,0.005694550566413425,0.003539055585861206,0.009235697984695436,0.016357021927833556,0.03560507297515869,0.0,1.1902974146064722,0.4808125,0.72840234375
a16,1,10501,11000,32000,0.0043363691987469795,0.005610808981405319,0.003502175211906433,0.009115287661552429,0.015871284008026114,0.038263291120529175,0.0,1.19078713315089,0.48228125,0.72929296875
a16,1,11001,11500,32000,0.004366108056157827,0.005641116678478386,0.0035312026739120483,0.009163513779640198,0.016068062782287583,0.033916592597961426,0.0,1.1854518826094493,0.48103125,0.729533203125
a16,1,11501,12000,32000,0.004469653549604118,0.005790698462559602,0.0036201179027557373,0.009422349929809573,0.016491487324237813,0.03492894768714905,0.0,1.1933455735827176,0.4846875,0.72757421875
a16,2,1,500,32000,0.0045998736135661605,0.005972199811601216,0.003711104393005371,0.00963510274887085,0.01715327739715576,0.03191089630126953,6.25e-05,1.1101259087537423,0.45815625,0.712255859375
a16,2,501,1000,32000,0.004192798901349306,0.005402870662692382,0.0034169554710388184,0.00872173309326172,0.014859360456466669,0.05093085765838623,0.0,1.1574669621774705,0.4743125,0.725185546875
a16,2,1001,1500,32000,0.004033447295427322,0.0052309112966269266,0.003278017044067383,0.008406531810760499,0.014820253849029515,0.04174089431762695,3.125e-05,1.1582110521408717,0.4716875,0.72459375
a16,2,1501,2000,32000,0.003907211415469646,0.005095202747425894,0.003129124641418457,0.008240562677383424,0.01466743171215053,0.03866219520568848,0.0,1.1786888288788173,0.47565625,0.723794921875
a16,2,2001,2500,32000,0.004026459619402885,0.005303617712686727,0.003218024969100952,0.0083955466747284,0.015537986159324644,0.05150914192199707,0.0,1.1809058004377613,0.47284375,0.72340625
a16,2,2501,3000,32000,0.004045066649094224,0.005306024041484887,0.0032048821449279785,0.008501136302948003,0.01570917785167694,0.03484147787094116,0.0,1.187026802696153,0.47134375,0.72464453125
a16,2,3001,3500,32000,0.004136415606364608,0.005490804062340342,0.003306061029434204,0.008614242076873781,0.016072834134101845,0.055922746658325195,0.0,1.1794176090810842,0.47234375,0.72232421875
a16,2,3501,4000,32000,0.004036907904781401,0.005278524982493026,0.003247857093811035,0.008440583944320679,0.01529020637273788,0.04904061555862427,3.125e-05,1.1878286397797984,0.47875,0.726994140625
a16,2,4001,4500,32000,0.0040872064353898166,0.005415064690680318,0.003246098756790161,0.008520171046257019,0.016071418225765223,0.05309206247329712,0.0,1.1791423548694964,0.47025,0.721041015625
a16,2,4501,5000,32000,0.004067261436488479,0.005399136355711756,0.00322800874710083,0.008515167236328128,0.015921150445938094,0.07464271783828735,0.0,1.1981938266739598,0.47684375,0.727291015625
a16,2,5001,5500,32000,0.004113888535648584,0.005367899593251032,0.003291592001914978,0.008642423152923587,0.015419963002204894,0.04457882046699524,0.0,1.1856791759142247,0.476125,0.72565625
a16,2,5501,6000,32000,0.004137877630069852,0.005435800834154373,0.003259330987930298,0.008729639649391177,0.016114872992038724,0.0370827317237854,0.0,1.193464243475091,0.47440625,0.723818359375
a16,2,6001,6500,32000,0.004121133077889681,0.005346182618276118,0.0033346861600875854,0.008674612641334536,0.014939365386962871,0.04551398754119873,0.0,1.1784029039663642,0.478375,0.726251953125
a16,2,6501,7000,32000,0.0041594406175427135,0.005436803218125777,0.0033398419618606567,0.008673352003097537,0.015829191505908946,0.04646199941635132,0.0,1.192220006311502,0.48209375,0.729267578125
a16,2,7001,7500,32000,0.004097437290940434,0.0053447882950021204,0.003260284662246704,0.00864673256874085,0.015526269674301095,0.04128164052963257,0.0,1.1916752244453663,0.47675,0.725744140625
a16,2,7501,8000,32000,0.004102089537773281,0.005347668330878284,0.0032993704080581665,0.008573633432388306,0.015582101345062254,0.044650375843048096,0.0,1.185975247787558,0.47984375,0.72441015625
