condition,start_step,end_step,seeds,mean_mean,mean_std,rms_mean,rms_std,zero_fraction_mean,zero_fraction_std,normalized_mean_mean,normalized_mean_std,clip_rate_mean,clip_rate_std,nonzero_vote_rate_mean,nonzero_vote_rate_std
a16,1,500,3,0.00433493601779143,0.0002980788695529087,0.005560631925316991,0.0004386636986198564,4.1666666666666665e-05,1.8042195912175806e-05,1.1082835568415919,0.0033017848196903424,0.4582395833333333,0.002001301659753779,0.7124049479166666,0.0006793740671590543
a16,501,1000,3,0.0039315076557298505,0.00023630557196823395,0.0050276098790396845,0.00033556729909706037,0.0,0.0,1.1592849334390105,0.01010674894029225,0.4776875,0.003991812910508189,0.72728515625,0.0026878725725123826
a16,1001,1500,3,0.003915729429572821,0.00018951279654228013,0.005032358551519047,0.0002790869089476612,1.0416666666666666e-05,1.8042195912175806e-05,1.1659039555731334,0.006960450528223656,0.4786458333333333,0.006548298124958379,0.7279127604166666,0.0030282536015137896
a16,1501,2000,3,0.003913272081874311,8.038620314502706e-05,0.005062715340377843,9.211186503924211e-05,1.0416666666666666e-05,1.8042195912175806e-05,1.1720687701201176,0.005733666733554613,0.47722916666666665,0.001382201783689101,0.7252402343750001,0.0014132799543940704
a16,2001,2500,3,0.003979166411794723,0.00010570479894522652,0.005168466458394112,0.00016260916356222017,0.0,0.0,1.1798036492296713,0.006911489329418732,0.477875,0.00437198556865185,0.726912109375,0.00304153365449658
a16,2501,3000,3,0.004055241572360198,7.119813893170759e-05,0.005262659080280055,9.291183628114201e-05,0.0,0.0,1.1779675596824235,0.007917610460523439,0.47684375,0.004848586295251419,0.7261178385416667,0.0017610932203173985
a16,3001,3500,3,0.0041309590072681505,0.0001102341408701937,0.0054125301027373365,0.0001845282923918155,2.0833333333333333e-05,1.8042195912175806e-05,1.1793491862246146,0.003845357029669398,0.47742708333333334,0.004737373569113292,0.7250013020833334,0.002579520169766791
a16,3501,4000,3,0.004097851660723488,0.0001302212091938949,0.005314285001679021,0.00016025537708702693,1.0416666666666666e-05,1.8042195912175806e-05,1.1829399817646578,0.00497865729234785,0.48075,0.0025525722320827796,0.72766796875,0.0008543643877644184
a16,4001,4500,3,0.004187962805541853,0.00010852137833949912,0.005466536084005666,7.440604878420934e-05,0.0,0.0,1.17967652560823,0.002085244991991626,0.4761875,0.00514288039429268,0.7249869791666667,0.0034173662043297847
a16,4501,5000,3,0.004232957555291553,0.00017720498088451042,0.005524956612245048,0.00017261934383893803,0.0,0.0,1.1913115369967946,0.005988925508005226,0.47830208333333335,0.0015728821740147354,0.727580078125,0.00037798393707863987
a16,5001,5500,3,0.004247336304280907,0.00017418963163278454,0.005520791033409562,0.00020745153540551863,0.0,0.0,1.187060611526353,0.0030833299182675125,0.4785625,0.00257163007643012,0.726646484375,0.0015296086447850342
a16,5501,6000,3,0.004345787863867978,0.00021289723171271556,0.005646157227511926,0.00023628199215241957,0.0,0.0,1.1913377833901126,0.002493247791020335,0.47939583333333335,0.004344799033998413,0.728021484375,0.0036403949975964463
a16,6001,6500,3,0.004300244191816697,0.0002190038473258706,0.005574477489605637,0.0002676565983429583,1.0416666666666666e-05,1.8042195912175806e-05,1.1822968070574285,0.003416869351222181,0.4794791666666667,0.0014063657359781468,0.72635546875,0.0006594422220251219
a16,6501,7000,3,0.004286093781702221,0.0001491623438515235,0.005561206152631763,0.00017291446756933555,0.0,0.0,1.1857404209614888,0.005693640781341463,0.48130208333333335,0.0007196552270589893,0.7281588541666667,0.0012647842943033592
a16,7001,7500,3,0.004286202264484018,0.00017270226914616597,0.005567490070572056,0.00020381355098034754,0.0,0.0,1.1902641428110998,0.0012259344627668597,0.48063541666666665,0.003380830226561707,0.7282838541666666,0.002293880526148946
a16,7501,8000,3,0.004349779655846457,0.00021622963471782698,0.0056344967923000555,0.00025101976421064426,1.0416666666666666e-05,1.8042195912175806e-05,1.18345593311017,0.002383735836325523,0.48092708333333334,0.0021526993713320134,0.7275325520833333,0.0027321428761391316
a16,8001,8500,3,0.004343349462375044,0.00019585169984717788,0.005622599479268859,0.00023059824638354217,1.0416666666666666e-05,1.8042195912175806e-05,1.1858929422979112,0.00757779437556919,0.48070833333333335,0.006225132821541502,0.7279075520833334,0.002707393620151422
a16,8501,9000,3,0.004328639497204374,0.00020724590472610772,0.005622139111501188,0.00029309419025925023,0.0,0.0,1.1919830878599866,0.0034295331435687236,0.48131250000000003,0.0002440703023720756,0.7273522135416667,0.0025122565864838437
a16,9001,9500,3,0.004366270410673072,0.00020910889368053756,0.005672522527633445,0.0002691739375559149,3.125e-05,3.125e-05,1.1912494102988065,0.0045343267743623555,0.48114583333333333,0.0013980082558173162,0.7273854166666667,0.0004861372198934948
a16,9501,10000,3,0.004293346904373417,0.0002099677409485512,0.005571396326610023,0.00028319387021575557,0.0,0.0,1.1905815275118508,0.003731886373015161,0.4828020833333333,0.002772340598814171,0.7273587239583333,0.0012438758875845336
a16,10001,10500,3,0.004356305949234714,0.00014983371409274914,0.00564939008568236,0.00015792901540411045,1.0416666666666666e-05,1.8042195912175806e-05,1.1867239675766967,0.006693336959814174,0.4808854166666667,0.0022665048578887504,0.7277740885416667,0.0014180983246869232
a16,10501,11000,3,0.004323307274530331,0.0002002729884304938,0.005594193765967833,0.0002638913340875059,0.0,0.0,1.189899515453704,0.00396875451938812,0.4827708333333333,0.0005981198841648314,0.7290735677083333,0.00019000938526199203
a16,11001,11500,3,0.004290077831906577,0.00019064151860979193,0.005544558064448229,0.0002384737189508698,0.0,0.0,1.1819058424749624,0.004761495510763083,0.4807916666666667,0.0008234439239154921,0.728703125,0.001502471159850205
