condition,stage,layer,seeds,mse_mean,mse_std,relative_squared_error_mean,relative_squared_error_std,cosine_mean_valid_mean,cosine_mean_valid_std,cosine_undefined_examples_mean,cosine_undefined_examples_std,zero_fraction_mean,zero_fraction_std
a16,initial,0,3,2.800162166966666e-08,0.0,4.7379492558986193e-08,0.0,0.999999979098083,0.0,0.0,0.0,0.0,0.0
a16,initial,1,3,2.571258294603371e-08,1.098186026104705e-09,4.306378712133124e-08,1.4398185715248776e-10,0.9999999792255496,1.2194836659391827e-10,0.0,0.0,0.0,0.0
a16,initial,2,3,2.5757777143936586e-08,4.704439817359526e-09,4.2780579721218775e-08,4.5332193200288923e-10,0.999999979380062,1.2729430795599044e-10,0.0,0.0,4.0650406504065046e-06,7.0408569413369e-06
a16,initial,3,3,2.4379208549032674e-08,4.530218086345192e-09,4.2881229707834844e-08,2.38986166418775e-10,0.9999999793233146,1.7304353707768862e-10,0.0,0.0,0.0,0.0
a16,initial,4,3,2.4592159837483885e-08,5.1836960460249225e-09,4.3100514879704345e-08,1.7327190499355985e-10,0.9999999791709401,1.1054261010537748e-10,0.0,0.0,0.0,0.0
a16,initial,5,3,2.524722228332318e-08,7.0212294538276286e-09,4.295963228960226e-08,1.9418202486720806e-10,0.9999999793556239,4.306306246563917e-11,0.0,0.0,0.0,0.0
a16,initial,6,3,2.3201438246964593e-08,6.169230118078865e-09,4.273494523169648e-08,1.3875535895033616e-10,0.999999979355985,3.7321567918461034e-11,0.0,0.0,0.0,0.0
a16,initial,7,3,2.247172673261332e-08,7.683186106893424e-09,4.300684801469549e-08,4.2536239753009004e-10,0.9999999792233205,1.4347642991459396e-10,0.0,0.0,0.0,0.0
a16,initial,8,3,2.285552744152355e-08,7.144595019102249e-09,4.315233668529432e-08,2.2422541238827328e-10,0.9999999793016733,8.954532501173172e-11,0.0,0.0,4.115226337448559e-06,7.12778110110649e-06
a16,initial,9,3,2.4109946665529035e-08,8.414603374216796e-09,4.356519986710953e-08,2.2384373174603354e-10,0.9999999790319005,1.0558378757924737e-10,0.0,0.0,0.0,0.0
a16,initial,10,3,2.3504343281939942e-08,7.84312264544715e-09,4.301754204254988e-08,2.1226667436888286e-10,0.9999999793088148,7.806765031910808e-11,0.0,0.0,0.0,0.0
a16,initial,11,3,2.1732466915536183e-08,9.006809469894854e-09,4.2731334486672615e-08,4.974725269972569e-10,0.9999999793696797,1.7909484680937495e-10,0.0,0.0,0.0,0.0
a16,initial,12,3,2.151064783190647e-08,8.997908670914046e-09,4.30817784062916e-08,1.7399195818068377e-10,0.9999999792064154,9.092098325196557e-11,0.0,0.0,0.0,0.0
a16,initial,13,3,2.0951123892982966e-08,8.019009314130637e-09,4.3103783097526845e-08,3.46043305714548e-10,0.9999999792691352,1.3064046140479609e-10,0.0,0.0,0.0,0.0
a16,initial,14,3,2.1979366841316135e-08,1.3038503071789615e-08,4.3186402200794126e-08,4.416412391792213e-10,0.9999999792032764,2.204785797707298e-10,0.0,0.0,0.0,0.0
a16,initial,15,3,2.476174919539045e-08,1.7409811221043023e-08,4.33010912533388e-08,2.2589202839476162e-11,0.9999999791414474,3.213334526481814e-11,0.0,0.0,0.0,0.0
a16,final,0,3,2.800162166966666e-08,0.0,4.7379492558986193e-08,0.0,0.999999979098083,0.0,0.0,0.0,0.0,0.0
a16,final,1,3,2.6549355022758587e-08,1.6876710205866385e-10,4.29172152573899e-08,2.8622148197698234e-10,0.9999999793245509,8.604417211721306e-11,0.0,0.0,4.219409282700422e-06,7.308231255564884e-06
a16,final,2,3,2.7887156101147063e-08,1.2585611024299022e-09,4.331213727756697e-08,1.6356109225305098e-10,0.9999999791197536,1.0955995180844335e-10,0.0,0.0,0.0,0.0
a16,final,3,3,2.8792931274546744e-08,1.3619847760166643e-09,4.28748653644344e-08,5.058370652037986e-10,0.9999999793334344,1.4893687066647508e-10,0.0,0.0,0.0,0.0
a16,final,4,3,3.5235302897983615e-08,2.882375940290178e-09,4.266797061619862e-08,4.192006055617497e-10,0.999999979339707,2.247526175029021e-10,0.0,0.0,0.0,0.0
