stage,layer,pair,perturbed_coordinates,loss_plus,loss_minus,abs_y
initial,0,0,16,2.6714444160461426,2.6822750568389893,0.01083064079284668
initial,0,1,16,2.650921106338501,2.648325204849243,0.0025959014892578125
initial,0,2,16,2.5314698219299316,2.532496213912964,0.0010263919830322266
initial,0,3,16,2.5982983112335205,2.6121013164520264,0.01380300521850586
initial,0,4,16,2.6723549365997314,2.685314416885376,0.012959480285644531
initial,0,5,16,2.5843088626861572,2.5826778411865234,0.001631021499633789
initial,0,6,16,2.5372908115386963,2.541782855987549,0.004492044448852539
initial,0,7,16,2.508260726928711,2.513887405395508,0.005626678466796875
initial,0,8,16,2.5105786323547363,2.51151442527771,0.0009357929229736328
initial,0,9,16,2.627164602279663,2.6170923709869385,0.01007223129272461
initial,0,10,16,2.516430616378784,2.5126965045928955,0.003734111785888672
initial,0,11,16,2.5463829040527344,2.543814182281494,0.0025687217712402344
initial,0,12,16,2.5885257720947266,2.583951234817505,0.00457453727722168
initial,0,13,16,2.6100101470947266,2.6114211082458496,0.0014109611511230469
initial,0,14,16,2.7146260738372803,2.707974910736084,0.006651163101196289
initial,0,15,16,2.6109023094177246,2.6054904460906982,0.005411863327026367
initial,0,16,16,2.4729301929473877,2.465402841567993,0.007527351379394531
initial,0,17,16,2.6137001514434814,2.6189210414886475,0.005220890045166016
initial,0,18,16,2.5505168437957764,2.5569233894348145,0.006406545639038086
initial,0,19,16,2.568906784057617,2.5688986778259277,8.106231689453125e-06
initial,0,20,16,2.6446380615234375,2.636361837387085,0.008276224136352539
initial,0,21,16,2.605494260787964,2.5944669246673584,0.011027336120605469
initial,0,22,16,2.578200578689575,2.558262825012207,0.019937753677368164
initial,0,23,16,2.5245466232299805,2.5241167545318604,0.0004298686981201172
initial,0,24,16,2.6409900188446045,2.644289970397949,0.0032999515533447266
initial,0,25,16,2.6168270111083984,2.6148674488067627,0.001959562301635742
initial,0,26,16,2.6322104930877686,2.645524263381958,0.013313770294189453
initial,0,27,16,2.5797109603881836,2.5646822452545166,0.015028715133666992
initial,0,28,16,2.6386337280273438,2.632789373397827,0.0058443546295166016
initial,0,29,16,2.68632435798645,2.6769137382507324,0.009410619735717773
initial,0,30,16,2.576026678085327,2.567061185836792,0.008965492248535156
initial,0,31,16,2.602739095687866,2.6045281887054443,0.001789093017578125
initial,0,32,16,2.6130752563476562,2.6293721199035645,0.016296863555908203
initial,0,33,16,2.617659091949463,2.6163811683654785,0.001277923583984375
initial,0,34,16,2.5689010620117188,2.580430030822754,0.011528968811035156
initial,0,35,16,2.5534989833831787,2.5429329872131348,0.010565996170043945
initial,0,36,16,2.5451605319976807,2.5405116081237793,0.004648923873901367
initial,0,37,16,2.505504846572876,2.511936902999878,0.006432056427001953
initial,0,38,16,2.630232095718384,2.6188454627990723,0.011386632919311523
initial,0,39,16,2.6491801738739014,2.669759750366211,0.02057957649230957
initial,0,40,16,2.5382561683654785,2.5366997718811035,0.001556396484375
initial,0,41,16,2.6629514694213867,2.6620264053344727,0.0009250640869140625
initial,0,42,16,2.5300631523132324,2.5244362354278564,0.0056269168853759766
initial,0,43,16,2.586887836456299,2.5875437259674072,0.0006558895111083984
initial,0,44,16,2.6398539543151855,2.6727256774902344,0.03287172317504883
initial,0,45,16,2.5945887565612793,2.5773873329162598,0.01720142364501953
initial,0,46,16,2.5023279190063477,2.5087473392486572,0.00641942024230957
initial,0,47,16,2.5740127563476562,2.5785796642303467,0.00456690788269043
initial,0,48,16,2.5087645053863525,2.5145647525787354,0.0058002471923828125
initial,0,49,16,2.6233160495758057,2.618462562561035,0.004853487014770508
initial,0,50,16,2.607820510864258,2.5957629680633545,0.01205754280090332
initial,0,51,16,2.499622106552124,2.493649482727051,0.005972623825073242
initial,0,52,16,2.691423177719116,2.688004732131958,0.003418445587158203
initial,0,53,16,2.5773916244506836,2.5743937492370605,0.002997875213623047
initial,0,54,16,2.539583921432495,2.548701763153076,0.009117841720581055
initial,0,55,16,2.5140020847320557,2.511317729949951,0.002684354782104492
initial,0,56,16,2.5944132804870605,2.586845874786377,0.007567405700683594
initial,0,57,16,2.613619327545166,2.6120798587799072,0.001539468765258789
initial,0,58,16,2.5521745681762695,2.5561044216156006,0.003929853439331055
initial,0,59,16,2.5034615993499756,2.497643232345581,0.005818367004394531
initial,0,60,16,2.5678279399871826,2.5612311363220215,0.006596803665161133
initial,0,61,16,2.557765483856201,2.5567524433135986,0.001013040542602539
initial,0,62,16,2.585440158843994,2.5975844860076904,0.012144327163696289
initial,0,63,16,2.6163313388824463,2.622680187225342,0.006348848342895508
final,0,0,16,0.3634242117404938,0.365630567073822,0.002206355333328247
final,0,1,16,0.4551328122615814,0.4601607322692871,0.0050279200077056885
final,0,2,16,0.30631986260414124,0.3077530860900879,0.0014332234859466553
final,0,3,16,0.5118845105171204,0.5075583457946777,0.004326164722442627
final,0,4,16,0.3659510314464569,0.36636579036712646,0.00041475892066955566
final,0,5,16,0.46948111057281494,0.4718911051750183,0.002409994602203369
final,0,6,16,0.33942338824272156,0.33672383427619934,0.002699553966522217
final,0,7,16,0.38644149899482727,0.3846495747566223,0.001791924238204956
final,0,8,16,0.33621376752853394,0.3328178822994232,0.0033958852291107178
final,0,9,16,0.2571260631084442,0.26029056310653687,0.0031644999980926514
final,0,10,16,0.4535542130470276,0.45098981261253357,0.0025644004344940186
final,0,11,16,0.5553236603736877,0.5489581823348999,0.006365478038787842
final,0,12,16,0.3221651017665863,0.31865671277046204,0.0035083889961242676
final,0,13,16,0.6391746997833252,0.6417271494865417,0.0025524497032165527
final,0,14,16,0.36920079588890076,0.3718060851097107,0.0026052892208099365
final,0,15,16,0.3947233557701111,0.39340052008628845,0.0013228356838226318
final,0,16,16,0.46155136823654175,0.45866405963897705,0.0028873085975646973
final,0,17,16,0.44676709175109863,0.44013097882270813,0.006636112928390503
final,0,18,16,0.371160626411438,0.36036890745162964,0.01079171895980835
final,0,19,16,0.5157549977302551,0.514107346534729,0.001647651195526123
final,0,20,16,0.3759992718696594,0.3771103024482727,0.0011110305786132812
final,0,21,16,0.5026103854179382,0.4957892894744873,0.006821095943450928
final,0,22,16,0.3577170968055725,0.3492566645145416,0.008460432291030884
final,0,23,16,0.3916371166706085,0.3959560692310333,0.004318952560424805
final,0,24,16,0.46082139015197754,0.4702264964580536,0.00940510630607605
final,0,25,16,0.30011096596717834,0.3040980100631714,0.003987044095993042
final,0,26,16,0.4450281262397766,0.44034263491630554,0.004685491323471069
final,0,27,16,0.3656470775604248,0.36863967776298523,0.002992600202560425
final,0,28,16,0.3568667769432068,0.3580639660358429,0.0011971890926361084
final,0,29,16,0.4907108545303345,0.4958336353302002,0.005122780799865723
final,0,30,16,0.36733248829841614,0.3648982346057892,0.002434253692626953
final,0,31,16,0.46592947840690613,0.4720986485481262,0.006169170141220093
final,0,32,16,0.332474946975708,0.34510961174964905,0.01263466477394104
final,0,33,16,0.4261389672756195,0.42401641607284546,0.002122551202774048
final,0,34,16,0.46004796028137207,0.46235203742980957,0.0023040771484375
final,0,35,16,0.6884707808494568,0.6928262710571289,0.004355490207672119
final,0,36,16,0.5191035270690918,0.5257964730262756,0.006692945957183838
final,0,37,16,0.5213306546211243,0.5175831317901611,0.0037475228309631348
final,0,38,16,0.3566127419471741,0.3529196083545685,0.003693133592605591
final,0,39,16,0.3063829839229584,0.30518457293510437,0.001198410987854004
final,0,40,16,0.3874683380126953,0.40177202224731445,0.01430368423461914
final,0,41,16,0.3990481197834015,0.39544135332107544,0.00360676646232605
final,0,42,16,0.354058176279068,0.3596332371234894,0.005575060844421387
final,0,43,16,0.5593160390853882,0.552256166934967,0.007059872150421143
final,0,44,16,0.3096020817756653,0.3141290843486786,0.004527002573013306
final,0,45,16,0.3188609182834625,0.3190169036388397,0.00015598535537719727
final,0,46,16,0.29634127020835876,0.3047212064266205,0.008379936218261719
final,0,47,16,0.37026962637901306,0.36985719203948975,0.00041243433952331543
final,0,48,16,0.4194689095020294,0.40392085909843445,0.01554805040359497
final,0,49,16,0.4513206481933594,0.4404814839363098,0.01083916425704956
final,0,50,16,0.3747398853302002,0.37661153078079224,0.001871645450592041
final,0,51,16,0.437155157327652,0.43725651502609253,0.00010135769844055176
final,0,52,16,0.4694421589374542,0.47293320298194885,0.003491044044494629
final,0,53,16,0.42151930928230286,0.4184085428714752,0.0031107664108276367
final,0,54,16,0.253006249666214,0.25064799189567566,0.00235825777053833
final,0,55,16,0.42450928688049316,0.42105957865715027,0.0034497082233428955
final,0,56,16,0.3626687526702881,0.35568347573280334,0.006985276937484741
final,0,57,16,0.37138137221336365,0.3761158883571625,0.004734516143798828
final,0,58,16,0.5464669466018677,0.5488434433937073,0.0023764967918395996
final,0,59,16,0.6358868479728699,0.632607638835907,0.0032792091369628906
final,0,60,16,0.48528826236724854,0.48812445998191833,0.0028361976146698
final,0,61,16,0.3065923750400543,0.3034800589084625,0.003112316131591797
final,0,62,16,0.35300561785697937,0.35298967361450195,1.5944242477416992e-05
final,0,63,16,0.4376092255115509,0.43661898374557495,0.0009902417659759521
initial,1,0,16,2.6877400875091553,2.6957032680511475,0.007963180541992188
initial,1,1,16,2.5695128440856934,2.592090368270874,0.022577524185180664
initial,1,2,16,2.5863826274871826,2.5945751667022705,0.00819253921508789
initial,1,3,16,2.718160390853882,2.721503973007202,0.0033435821533203125
initial,1,4,16,2.5393996238708496,2.549443244934082,0.010043621063232422
initial,1,5,16,2.611182451248169,2.606121301651001,0.005061149597167969
initial,1,6,16,2.4881176948547363,2.490797281265259,0.002679586410522461
initial,1,7,16,2.520984411239624,2.526364803314209,0.005380392074584961
initial,1,8,16,2.6334362030029297,2.6392855644226074,0.005849361419677734
initial,1,9,16,2.5647480487823486,2.565812110900879,0.0010640621185302734
initial,1,10,16,2.510392189025879,2.5063180923461914,0.0040740966796875
initial,1,11,16,2.6560306549072266,2.6637954711914062,0.0077648162841796875
initial,1,12,16,2.6557679176330566,2.6467137336730957,0.009054183959960938
initial,1,13,16,2.579885244369507,2.599961042404175,0.02007579803466797
initial,1,14,16,2.5645499229431152,2.5625922679901123,0.0019576549530029297
initial,1,15,16,2.699354887008667,2.6962711811065674,0.0030837059020996094
initial,1,16,16,2.5203590393066406,2.5154385566711426,0.004920482635498047
initial,1,17,16,2.692884922027588,2.6873910427093506,0.005493879318237305
initial,1,18,16,2.661229372024536,2.653066873550415,0.008162498474121094
initial,1,19,16,2.6223819255828857,2.610682964324951,0.01169896125793457
initial,1,20,16,2.6662962436676025,2.6763272285461426,0.010030984878540039
initial,1,21,16,2.5244460105895996,2.5315780639648438,0.007132053375244141
initial,1,22,16,2.4555113315582275,2.4409239292144775,0.01458740234375
initial,1,23,16,2.49446177482605,2.482914686203003,0.011547088623046875
initial,1,24,16,2.562112331390381,2.569319248199463,0.007206916809082031
initial,1,25,16,2.7292287349700928,2.726208209991455,0.0030205249786376953
initial,1,26,16,2.596163511276245,2.5954344272613525,0.0007290840148925781
initial,1,27,16,2.571052074432373,2.572237730026245,0.0011856555938720703
initial,1,28,16,2.5994462966918945,2.5983450412750244,0.0011012554168701172
initial,1,29,16,2.5899760723114014,2.594966411590576,0.004990339279174805
initial,1,30,16,2.6108202934265137,2.607226848602295,0.00359344482421875
initial,1,31,16,2.635568618774414,2.6213595867156982,0.01420903205871582
initial,1,32,16,2.624925374984741,2.6138529777526855,0.011072397232055664
initial,1,33,16,2.6814398765563965,2.6977150440216064,0.01627516746520996
initial,1,34,16,2.648160934448242,2.6271097660064697,0.02105116844177246
initial,1,35,16,2.5274581909179688,2.5276339054107666,0.00017571449279785156
initial,1,36,16,2.481983184814453,2.4840996265411377,0.0021164417266845703
initial,1,37,16,2.518632173538208,2.5272445678710938,0.008612394332885742
initial,1,38,16,2.5398130416870117,2.545179843902588,0.005366802215576172
initial,1,39,16,2.6714484691619873,2.667119264602661,0.004329204559326172
initial,1,40,16,2.5500881671905518,2.5470097064971924,0.003078460693359375
initial,1,41,16,2.6124532222747803,2.622372627258301,0.009919404983520508
initial,1,42,16,2.577491521835327,2.5688462257385254,0.008645296096801758
initial,1,43,16,2.5904715061187744,2.5963613986968994,0.005889892578125
initial,1,44,16,2.524557590484619,2.527747631072998,0.0031900405883789062
