checkpoint_stage,layer,stage,values,examples,features,mean,std,rms,zero_fraction,negative_fraction,max_abs,nonfinite_count,dead_features,dead_feature_fraction
initial,0,input,90000,1000,90,0.018378877114887452,0.768440140846667,0.7686598943540957,0.0029444444444444444,0.7184444444444444,2.821486711502075,0,0,0.0
initial,0,output,79000,1000,79,0.010327350882190766,0.780870230735239,0.7809385196190218,0.0,0.4921772151898734,4.020108699798584,0,0,0.0
initial,0,pre_activation,79000,1000,79,0.010327350882190766,0.780870230735239,0.7809385196190218,0.0,0.4921772151898734,4.020108699798584,0,0,0.0
initial,0,pre_quantization,90000,1000,90,0.018114338403025208,0.7685564910431445,0.7687699325418043,0.0,0.7199444444444445,2.821486711502075,0,0,0.0
initial,1,input,79000,1000,79,0.010346294926302626,0.780873909447362,0.7809424487593878,0.008607594936708861,0.4877974683544304,4.020108699798584,0,0,0.0
initial,1,output,82000,1000,82,-0.021084098048861168,0.8474739810760406,0.8477362135661111,0.0,0.49253658536585365,4.986983299255371,0,0,0.0
initial,1,pre_activation,82000,1000,82,-0.021084098048861168,0.8474739810760406,0.8477362135661111,0.0,0.49253658536585365,4.986983299255371,0,0,0.0
initial,1,pre_quantization,79000,1000,79,0.010327350882190766,0.780870230735239,0.7809385196190218,0.0,0.4921772151898734,4.020108699798584,0,0,0.0
initial,2,input,82000,1000,82,-0.021092097171923008,0.8475092407087675,0.8477716612684465,0.009207317073170731,0.4876951219512195,4.986983299255371,0,0,0.0
initial,2,output,80000,1000,80,0.04965172917906231,0.8218875987661945,0.8233860086351554,0.0,0.4758125,4.212641716003418,0,0,0.0
initial,2,pre_activation,80000,1000,80,0.04965172917906231,0.8218875987661945,0.8233860086351554,0.0,0.4758125,4.212641716003418,0,0,0.0
initial,2,pre_quantization,82000,1000,82,-0.021084098048861168,0.8474739810760406,0.8477362135661111,0.0,0.49253658536585365,4.986983299255371,0,0,0.0
initial,3,input,80000,1000,80,0.049663109094236275,0.8219267922102017,0.8234258170338468,0.0075875,0.47195,4.212641716003418,0,0,0.0
initial,3,output,82000,1000,82,0.08024862663776665,0.8341312910704616,0.8379826089007592,0.0,0.4569390243902439,3.8289191722869873,0,0,0.0
initial,3,pre_activation,82000,1000,82,0.08024862663776665,0.8341312910704616,0.8379826089007592,0.0,0.4569390243902439,3.8289191722869873,0,0,0.0
initial,3,pre_quantization,80000,1000,80,0.04965172917906231,0.8218875987661945,0.8233860086351554,0.0,0.4758125,4.212641716003418,0,0,0.0
initial,4,input,82000,1000,82,0.0802544739545868,0.8341318996129621,0.837983774629113,0.008060975609756098,0.4529390243902439,3.8289191722869873,0,0,0.0
initial,4,output,80000,1000,80,-0.006414793218768943,0.8773095853639549,0.877333037189136,0.0,0.51275,4.297855377197266,0,0,0.0
initial,4,pre_activation,80000,1000,80,-0.006414793218768943,0.8773095853639549,0.877333037189136,0.0,0.51275,4.297855377197266,0,0,0.0
initial,4,pre_quantization,82000,1000,82,0.08024862663776665,0.8341312910704616,0.8379826089007592,0.0,0.4569390243902439,3.8289191722869873,0,0,0.0
initial,5,input,80000,1000,80,-0.006395042161270976,0.8773223181064478,0.8773456254019368,0.0075625,0.5090875,4.297855377197266,0,0,0.0
initial,5,output,82000,1000,82,0.0815775133236496,0.830107838958579,0.8341066568374528,0.0,0.4700731707317073,4.151994705200195,0,0,0.0
initial,5,pre_activation,82000,1000,82,0.0815775133236496,0.830107838958579,0.8341066568374528,0.0,0.4700731707317073,4.151994705200195,0,0,0.0
initial,5,pre_quantization,80000,1000,80,-0.006414793218768943,0.8773095853639549,0.877333037189136,0.0,0.51275,4.297855377197266,0,0,0.0
initial,6,input,82000,1000,82,0.08160412442450207,0.8301038146687373,0.8341052548993315,0.008219512195121952,0.4660975609756098,4.151994705200195,0,0,0.0
initial,6,output,81000,1000,81,0.04126259873291204,0.843095999346215,0.8441051274383935,0.0,0.4790864197530864,4.156421661376953,0,0,0.0
initial,6,pre_activation,81000,1000,81,0.04126259873291204,0.843095999346215,0.8441051274383935,0.0,0.4790864197530864,4.156421661376953,0,0,0.0
initial,6,pre_quantization,82000,1000,82,0.0815775133236496,0.830107838958579,0.8341066568374528,0.0,0.4700731707317073,4.151994705200195,0,0,0.0
initial,7,input,81000,1000,81,0.04126102572493255,0.8430932216002156,0.8441022761206748,0.008703703703703703,0.4746296296296296,4.156421661376953,0,0,0.0
initial,7,output,81000,1000,81,-0.008452491035975432,0.8405359502330898,0.8405784485929653,0.0,0.5055925925925926,4.33639669418335,0,0,0.0
initial,7,pre_activation,81000,1000,81,-0.008452491035975432,0.8405359502330898,0.8405784485929653,0.0,0.5055925925925926,4.33639669418335,0,0,0.0
