condition,seed,layer,fires,all_interval_rate,selected_interval_rate,selected_coordinates
a16,0,0,767,0.06391666666666666,0.09175738724727839,13771
a16,0,1,649,0.05408333333333333,0.08107432854465958,12525
a16,0,2,690,0.0575,0.08595988538681948,12612
a16,0,3,650,0.05416666666666667,0.08217446270543616,12491
a16,0,4,710,0.059166666666666666,0.08905054559137088,12713
a16,0,5,693,0.05775,0.08626913979833188,12702
a16,0,6,715,0.059583333333333335,0.08910767696909272,12804
a16,0,7,667,0.05558333333333333,0.08465541312349283,12450
a16,0,8,701,0.058416666666666665,0.08819828887770509,12586
a16,0,9,654,0.0545,0.08348225682920603,12503
a16,0,10,658,0.05483333333333333,0.0829133064516129,12555
a16,0,11,678,0.0565,0.08449651046859422,12794
a16,0,12,706,0.058833333333333335,0.08851554663991976,12751
a16,0,13,707,0.058916666666666666,0.088375,12690
a16,0,14,654,0.0545,0.082701062215478,12457
a16,0,15,63,0.00525,0.042,1596
a16,1,0,766,0.06383333333333334,0.09328948970892705,13455
a16,1,1,687,0.05725,0.08688503857341597,12408
a16,1,2,708,0.059,0.08833437305053025,12690
a16,1,3,677,0.056416666666666664,0.08648441492079714,12484
a16,1,4,647,0.05391666666666667,0.0819921429476619,12490
a16,1,5,651,0.05425,0.08180447348580046,12575
a16,1,6,699,0.05825,0.08793558938231225,12728
a16,1,7,684,0.057,0.08602691485347755,12651
a16,1,8,670,0.05583333333333333,0.08443604284814114,12615
a16,1,9,698,0.058166666666666665,0.08836561590074693,12566
a16,1,10,708,0.059,0.08862185505069471,12610
a16,1,11,691,0.057583333333333334,0.084983396876153,13011
a16,1,12,651,0.05425,0.08117206982543641,12731
a16,1,13,670,0.05583333333333333,0.0836245631552671,12720
a16,1,14,700,0.058333333333333334,0.08752188047011752,12729
a16,1,15,71,0.005916666666666666,0.04896551724137931,1537
a16,2,0,784,0.06533333333333333,0.09404990403071017,13542
a16,2,1,674,0.05616666666666666,0.08504731861198739,12579
a16,2,2,683,0.056916666666666664,0.08501369180980832,12689
a16,2,3,651,0.05425,0.08156872572359354,12636
a16,2,4,655,0.05458333333333333,0.08276472074804145,12469
a16,2,5,652,0.05433333333333333,0.0830467456374984,12336
a16,2,6,678,0.0565,0.08461250467989517,12738
a16,2,7,682,0.05683333333333333,0.08648237382703525,12581
a16,2,8,726,0.0605,0.09173616376042457,12530
a16,2,9,708,0.059,0.08776496838973596,12755
a16,2,10,673,0.05608333333333333,0.08494257225798309,12491
a16,2,11,709,0.059083333333333335,0.087867145866898,12943
a16,2,12,658,0.05483333333333333,0.08248715055785383,12629
a16,2,13,686,0.057166666666666664,0.08558951965065502,12872
a16,2,14,707,0.058916666666666666,0.08866315525457738,12726
a16,2,15,64,0.005333333333333333,0.0453257790368272,1484
a4,1,0,761,0.06341666666666666,0.092680550481062,13455
a4,1,1,666,0.0555,0.08422916403187049,12408
a4,1,2,688,0.05733333333333333,0.08583905177791641,12690
a4,1,3,681,0.05675,0.08699540112416965,12484
a4,1,4,691,0.057583333333333334,0.08756811557470535,12490
a4,1,5,778,0.06483333333333334,0.0977632570997738,12575
a4,1,6,704,0.058666666666666666,0.08856459932066926,12728
a4,1,7,696,0.058,0.087536158973714,12651
a4,1,8,652,0.05433333333333333,0.0821676118462508,12615
a4,1,9,664,0.05533333333333333,0.08406127357893405,12566
a4,1,10,723,0.06025,0.09049943672549755,12610
a4,1,11,681,0.05675,0.0837535358504489,13011
a4,1,12,699,0.05825,0.0871571072319202,12731
a4,1,13,750,0.0625,0.09360958562156765,12720
a4,1,14,735,0.06125,0.0918979744936234,12729
a4,1,15,84,0.007,0.057931034482758624,1537
a8,1,0,741,0.06175,0.09024479356960176,13455
a8,1,1,717,0.05975,0.09067914506133805,12408
a8,1,2,693,0.05775,0.08646288209606987,12690
a8,1,3,653,0.05441666666666667,0.08341849770056209,12484
a8,1,4,671,0.05591666666666667,0.08503358256241288,12490
a8,1,5,687,0.05725,0.08632822317165117,12575
a8,1,6,685,0.05708333333333333,0.08617436155491257,12728
a8,1,7,707,0.058916666666666666,0.08891963275059742,12651
a8,1,8,681,0.05675,0.08582230623818525,12615
a8,1,9,695,0.057916666666666665,0.08798582098999873,12566
a8,1,10,676,0.05633333333333333,0.08461634747778195,12610
a8,1,11,703,0.058583333333333334,0.08645923010699791,13011
a8,1,12,682,0.05683333333333333,0.08503740648379052,12731
a8,1,13,629,0.05241666666666667,0.07850723914128807,12720
a8,1,14,698,0.058166666666666665,0.08727181795448863,12729
a8,1,15,75,0.00625,0.05172413793103448,1537
a8,2,0,779,0.06491666666666666,0.09345009596928983,13542
a8,2,1,704,0.058666666666666666,0.08883280757097792,12579
a8,2,2,682,0.05683333333333333,0.08488922081155091,12689
a8,2,3,703,0.058583333333333334,0.08808419997494048,12636
a8,2,4,663,0.05525,0.08377558756633814,12469
a8,2,5,664,0.05533333333333333,0.084575213348618,12336
a8,2,6,648,0.054,0.08086858854361663,12738
a8,2,7,730,0.060833333333333336,0.09256910981486179,12581
a8,2,8,685,0.05708333333333333,0.08655547131665403,12530
a8,2,9,713,0.059416666666666666,0.08838477748853353,12755
a8,2,10,694,0.057833333333333334,0.08759308342799445,12491
a8,2,11,676,0.05633333333333333,0.08377741975461643,12943
a8,2,12,677,0.056416666666666664,0.08486899837031465,12629
a8,2,13,686,0.057166666666666664,0.08558951965065502,12872
a8,2,14,734,0.06116666666666667,0.09204915976925006,12726
a8,2,15,76,0.006333333333333333,0.053824362606232294,1484
a4,2,0,739,0.06158333333333333,0.08865163147792707,13542
a4,2,1,684,0.057,0.08630914826498423,12579
a4,2,2,716,0.059666666666666666,0.08912123475230271,12689
a4,2,3,678,0.0565,0.08495176043102368,12636
a4,2,4,660,0.055,0.08339651250947688,12469
a4,2,5,692,0.057666666666666665,0.08814163800789708,12336
a4,2,6,689,0.057416666666666664,0.08598527392986396,12738
a4,2,7,733,0.06108333333333334,0.09294953081410094,12581
a4,2,8,671,0.05591666666666667,0.08478645438463482,12530
a4,2,9,733,0.06108333333333334,0.09086401388372381,12755
a4,2,10,722,0.06016666666666667,0.09112709832134293,12491
a4,2,11,708,0.059,0.08774321477258644,12943
a4,2,12,704,0.058666666666666666,0.08825372947223267,12629
a4,2,13,725,0.06041666666666667,0.09045539613225202,12872
a4,2,14,657,0.05475,0.08239277652370203,12726
a4,2,15,81,0.00675,0.05736543909348442,1484
a4,0,0,726,0.0605,0.0868524943175021,13771
a4,0,1,738,0.0615,0.09219237976264834,12525
a4,0,2,699,0.05825,0.0870811012831693,12612
a4,0,3,705,0.05875,0.08912768647281921,12491
a4,0,4,717,0.05975,0.0899285087169196,12713
a4,0,5,761,0.06341666666666666,0.09473422133698493,12702
a4,0,6,713,0.059416666666666666,0.08885842472582253,12804
a4,0,7,726,0.0605,0.09214367305495622,12450
a4,0,8,708,0.059,0.08907901358832411,12586
a4,0,9,696,0.058,0.08884350268062292,12503
a4,0,10,703,0.058583333333333334,0.0885836693548387,12555
a4,0,11,690,0.0575,0.08599202392821535,12794
a4,0,12,675,0.05625,0.08462888665997995,12751
a4,0,13,690,0.0575,0.08625,12690
a4,0,14,721,0.060083333333333336,0.09117349519473951,12457
a4,0,15,90,0.0075,0.06,1596
a8,0,0,754,0.06283333333333334,0.09020217729393468,13771
a8,0,1,680,0.056666666666666664,0.08494690818238601,12525
a8,0,2,692,0.057666666666666665,0.08620904447489722,12612
a8,0,3,682,0.05683333333333333,0.08621997471554994,12491
a8,0,4,720,0.06,0.09030477862786906,12713
a8,0,5,740,0.06166666666666667,0.09212000497945973,12702
a8,0,6,736,0.06133333333333333,0.09172482552342971,12804
a8,0,7,672,0.056,0.08529001142276939,12450
a8,0,8,668,0.05566666666666667,0.0840463009562154,12586
a8,0,9,676,0.05633333333333333,0.0862905284656625,12503
a8,0,10,675,0.05625,0.0850554435483871,12555
a8,0,11,700,0.058333333333333334,0.0872382851445663,12794
a8,0,12,666,0.0555,0.08350050150451355,12751
a8,0,13,662,0.05516666666666667,0.08275,12690
a8,0,14,671,0.05591666666666667,0.08485078401618613,12457
a8,0,15,81,0.00675,0.054,1596
a32,0,0,751,0.06258333333333334,0.0898432826893169,13771
a32,0,1,722,0.06016666666666667,0.09019362898188632,12525
a32,0,2,661,0.05508333333333333,0.08234707860969229,12612
a32,0,3,620,0.051666666666666666,0.07838179519595449,12491
a32,0,4,740,0.06166666666666667,0.09281324470086542,12713
a32,0,5,702,0.0585,0.08738951823727126,12702
a32,0,6,739,0.06158333333333333,0.09209870388833499,12804
a32,0,7,674,0.05616666666666666,0.08554385074248001,12450
a32,0,8,710,0.059166666666666666,0.08933064921992954,12586
a32,0,9,667,0.05558333333333333,0.0851416900689303,12503
a32,0,10,671,0.05591666666666667,0.08455141129032258,12555
a32,0,11,674,0.05616666666666666,0.08399800598205384,12794
a32,0,12,689,0.057416666666666664,0.08638415245737212,12751
a32,0,13,691,0.057583333333333334,0.086375,12690
a32,0,14,652,0.05433333333333333,0.08244815376833586,12457
a32,0,15,79,0.006583333333333333,0.05266666666666667,1596
a32,1,0,743,0.06191666666666667,0.09048836926074778,13455
a32,1,1,727,0.060583333333333336,0.09194384722397875,12408
a32,1,2,687,0.05725,0.08571428571428572,12690
a32,1,3,674,0.05616666666666666,0.08610117526826776,12484
a32,1,4,680,0.056666666666666664,0.08617412241794449,12490
a32,1,5,641,0.05341666666666667,0.08054787635084192,12575
a32,1,6,681,0.05675,0.08567115360422695,12728
a32,1,7,678,0.0565,0.08527229279335932,12651
a32,1,8,701,0.058416666666666665,0.08834278512917454,12615
a32,1,9,678,0.0565,0.08583364982909229,12566
a32,1,10,679,0.05658333333333333,0.08499186381274253,12610
a32,1,11,693,0.05775,0.08522936908129382,13011
a32,1,12,652,0.05433333333333333,0.08129675810473816,12731
a32,1,13,719,0.05991666666666667,0.08974038941587618,12720
a32,1,14,686,0.057166666666666664,0.08577144286071518,12729
a32,1,15,54,0.0045,0.037241379310344824,1537
a32,2,0,768,0.064,0.09213051823416507,13542
a32,2,1,699,0.05825,0.0882018927444795,12579
a32,2,2,679,0.05658333333333333,0.08451580781677868,12689
a32,2,3,674,0.05616666666666666,0.084450570103997,12636
a32,2,4,686,0.057166666666666664,0.08668182966894111,12469
a32,2,5,695,0.057916666666666665,0.08852375493567699,12336
a32,2,6,680,0.056666666666666664,0.0848620990889804,12738
a32,2,7,682,0.05683333333333333,0.08648237382703525,12581
a32,2,8,697,0.058083333333333334,0.08807177154409906,12530
a32,2,9,686,0.057166666666666664,0.08503780835502665,12755
a32,2,10,672,0.056,0.0848163574403635,12491
a32,2,11,697,0.058083333333333334,0.08637997273515925,12943
a32,2,12,705,0.05875,0.08837908988341482,12629
a32,2,13,642,0.0535,0.08009981285090455,12872
a32,2,14,674,0.05616666666666666,0.08452470529219965,12726
a32,2,15,62,0.005166666666666667,0.043909348441926344,1484
