condition,layer,seeds,fires_mean,fires_std,all_interval_rate_mean,all_interval_rate_std,selected_interval_rate_mean,selected_interval_rate_std
a16,0,3,772.3333333333334,10.115993936995679,0.0643611111111111,0.0008429994947496351,0.09303226032897187,0.0011677043786905996
a16,1,3,670.0,19.313207915827967,0.05583333333333333,0.001609433992985666,0.08433556191002098,0.0029700228890815095
a16,2,3,693.6666666666666,12.897028081435403,0.057805555555555554,0.0010747523401196158,0.08643598341571936,0.0017107697026374996
a16,3,3,659.3333333333334,15.307950004273378,0.05494444444444444,0.0012756625003561126,0.08340920111660895,0.00268037950277478
a16,4,3,670.6666666666666,34.297716153314546,0.05588888888888889,0.0028581430127762116,0.08460246976235808,0.0038714665244446813
a16,5,3,665.3333333333334,23.96525262402492,0.05544444444444444,0.0019971043853354124,0.08370678630721025,0.002304354917285633
a16,6,3,697.3333333333334,18.556220879622373,0.05811111111111111,0.0015463517399685314,0.08721859034376671,0.0023317824069472672
a16,7,3,677.6666666666666,9.29157324317757,0.05647222222222222,0.000774297770264799,0.08572156726800187,0.0009509859168457349
a16,8,3,699.0,28.053520278211074,0.058249999999999996,0.0023377933565175892,0.0881234984954236,0.0036506350864542454
a16,9,3,686.6666666666666,28.728615235220325,0.05722222222222222,0.0023940512696016924,0.08653761370656297,0.002663005556533859
a16,10,3,679.6666666666666,25.658007197234422,0.056638888888888884,0.002138167266436201,0.0854925779200969,0.002893745228641881
a16,11,3,692.6666666666666,15.56705923844749,0.05772222222222222,0.001297254936537291,0.08578235107054841,0.0018218237018523902
a16,12,3,671.6666666666666,29.93882651897588,0.05597222222222222,0.002494902209914658,0.08405825567440334,0.003915729995371186
a16,13,3,687.6666666666666,18.556220879622373,0.057305555555555554,0.0015463517399685314,0.08586302760197403,0.0023869996865364253
a16,14,3,687.0,28.792360097775937,0.05725,0.0023993633414813283,0.08629536598005763,0.003164631368337309
a16,15,3,66.0,4.358898943540674,0.0055,0.0003632415786283893,0.04543043209273551,0.0034839376869529853
a4,0,3,742.0,17.69180601295413,0.06183333333333333,0.0014743171677461767,0.08939489209216372,0.002984273264449608
a4,1,3,696.0,37.469987990390386,0.058,0.003122498999199198,0.08757689735316769,0.004130204838342699
a4,2,3,701.0,14.106735979665885,0.058416666666666665,0.0011755613316388233,0.08734712927112948,0.0016571841892564123
a4,3,3,688.0,14.798648586948742,0.05733333333333333,0.001233220715579059,0.08702494934267084,0.002088119824040033
a4,4,3,689.3333333333334,28.53652630109932,0.057444444444444444,0.002378043858424942,0.08696437893370061,0.003307584777791836
a4,5,3,743.6666666666666,45.54484969053398,0.06197222222222222,0.0037954041408778346,0.0935463721482186,0.004919565809980724
