condition,seed,stage,layer,count,mean,rms,median,p90,p99,max,zero_fraction
a16,0,initial,0,64,0.006058689206838608,0.007863133821217666,0.004799246788024902,0.014369225502014164,0.018322205543518058,0.020045042037963867,0.0
a16,0,initial,1,64,0.006258860230445862,0.008063137842793066,0.005446672439575195,0.012859749794006349,0.021742851734161343,0.029530763626098633,0.0
a16,0,initial,2,64,0.006074454635381699,0.0076335527954438775,0.0048580169677734375,0.01213817596435547,0.019967336654663076,0.022067785263061523,0.0
a16,0,initial,3,64,0.006670750677585602,0.008229588699755597,0.0053615570068359375,0.012526416778564453,0.01979147195816039,0.022342681884765625,0.0
a16,0,initial,4,64,0.005124010145664215,0.006802602832454245,0.003420591354370117,0.009840822219848633,0.01854189395904539,0.024021625518798828,0.0
a16,0,initial,5,64,0.00624929741024971,0.007834984014709058,0.005048036575317383,0.012066912651062012,0.017939567565917965,0.018450260162353516,0.0
a16,0,initial,6,64,0.005380671471357346,0.006964782540094033,0.004023194313049316,0.012627196311950686,0.017502758502960205,0.0175323486328125,0.0
a16,0,initial,7,64,0.0062178149819374084,0.007476656998397675,0.006126284599304199,0.012971568107604983,0.014940912723541257,0.015621185302734375,0.0
a16,0,initial,8,64,0.006861969828605652,0.008612941986979991,0.005667686462402344,0.012395381927490234,0.02267770290374753,0.03011488914489746,0.0
a16,0,initial,9,64,0.0057029686868190765,0.00765368782596303,0.0036689043045043945,0.012582802772521976,0.020673618316650374,0.024655818939208984,0.0
a16,0,initial,10,64,0.005860399454832077,0.0071691468458252115,0.005150437355041504,0.011524915695190431,0.016266086101531976,0.018090009689331055,0.0
a16,0,initial,11,64,0.005723718553781509,0.0076330785801426385,0.004013776779174805,0.013671779632568364,0.01891168355941772,0.02000141143798828,0.0
a16,0,initial,12,64,0.00529879704117775,0.006485462800130076,0.0046797990798950195,0.010071301460266118,0.015374975204467765,0.017302989959716797,0.0
a16,0,initial,13,64,0.006294276565313339,0.007525825112916743,0.005937337875366211,0.011980295181274414,0.01628237962722777,0.020101308822631836,0.0
a16,0,initial,14,64,0.0052859969437122345,0.006808056001267572,0.004288196563720703,0.010841727256774904,0.015877299308776852,0.016689300537109375,0.0
