condition,stage,layer,seeds,mean_mean,mean_std,rms_mean,rms_std,median_mean,median_std,p90_mean,p90_std,p99_mean,p99_std,zero_fraction_mean,zero_fraction_std
a16,initial,0,3,0.0060625821352005005,0.000989180215568668,0.007865105221113118,0.001311603049014499,0.004670500755310059,0.0012318391498307207,0.0130229393641154,0.0017548336075688517,0.01966709931691486,0.004969528664043215,0.0,0.0
a16,initial,1,3,0.005821748326222102,0.0011412971978372493,0.007432131445307765,0.0016197548084697648,0.004904389381408691,0.0006930556925976055,0.012011297543843589,0.003001512841270822,0.019228954315185526,0.004516639471215292,0.0,0.0
a16,initial,2,3,0.0058520448704560595,0.0016645584915267882,0.007335228745853909,0.002209450927947845,0.004891832669576009,0.0009999392194333415,0.011477573712666831,0.00434759087342551,0.0191771380106608,0.0061634326263729396,0.0,0.0
a16,initial,3,3,0.0057882703840732574,0.0015095222153740566,0.007265218696119833,0.0017985336421321532,0.00478200117746989,0.0009758740123468711,0.01097121238708496,0.002489008886082765,0.01787868340810138,0.004686125957338571,0.0,0.0
a16,initial,4,3,0.0057036392390728,0.0008729657212902307,0.007120375097457406,0.0009475352824988913,0.004578908284505208,0.0010237771542579146,0.011064743995666504,0.0021667466959321567,0.015952781041463207,0.0027953019278684032,0.0,0.0
a16,initial,5,3,0.005817864090204239,0.000607639338624356,0.007174734983103388,0.000742321125106463,0.004998644193013509,0.0002639023991177141,0.011581126848856609,0.0010644223448173758,0.0164445940653483,0.0015064959812323001,0.0,0.0
a16,initial,6,3,0.005172473688920339,0.0010005037584388866,0.006875220008776039,0.0014818299754266883,0.003883957862854004,0.000766169677933041,0.011694598197937014,0.002822956140449605,0.01934790770212809,0.0058011722329767475,0.0,0.0
a16,initial,7,3,0.00570112590988477,0.0008304739576943979,0.007028393934278558,0.0009758920466009894,0.005108038584391276,0.0009410199823498659,0.011488755544026695,0.001560508094973001,0.016875296433766677,0.004628473000763853,0.0,0.0
a16,initial,8,3,0.006619703024625778,0.0014186472948999622,0.008335404621372694,0.0016892323119412744,0.005175669987996419,0.001054013250301416,0.013381107648213706,0.0031099302362869456,0.01967023770014444,0.003360526903535163,0.0,0.0
a16,initial,9,3,0.006162803620100021,0.0022865551461634967,0.00771577859139216,0.002455586268293783,0.004826148351033528,0.0026783575229753034,0.012904858589172365,0.003953674716386367,0.018179725805918368,0.005651754123534632,0.0,0.0
a16,initial,10,3,0.006101604551076889,0.002278832395004047,0.007649422501540249,0.0029491566658993843,0.005075772603352864,0.001622952203373274,0.012578725814819336,0.0051381984658117495,0.01848938385645548,0.009187498769128177,0.0,0.0
a16,initial,11,3,0.005671631544828415,0.001911572699533676,0.007277898283524879,0.0024393922358652374,0.004113316535949707,0.0014325710163317418,0.012611309687296552,0.00414070363369667,0.01658819437026977,0.005527629912886884,0.0,0.0
a16,initial,12,3,0.005282784501711528,0.0014803742442511987,0.006812816275688395,0.0019125948921290806,0.004168510437011719,0.0012629030278342385,0.011039106051127118,0.004143771665325753,0.016567370096842438,0.0033885475540934417,0.0,0.0
a16,initial,13,3,0.006208829581737518,0.0017445384804213484,0.007579002785901405,0.0019469117074677775,0.005700747172037761,0.0012803576076860436,0.012095944086710612,0.002667186247470566,0.016704747676849357,0.0036263047003756463,0.0,0.0
