condition,seed,initial_val_accuracy,initial_val_loss,val_accuracy,val_loss,test_accuracy,test_loss,total_fires,train_forward_calls,elapsed_seconds,zero_difference_fraction,abs_y_mean,abs_y_rms,normalized_abs_y_mean
a16,0,0.105,2.578446533203125,0.869,0.46002554321289063,0.8782,0.4162567474365234,10362,1536000,1196.249176044017,6.510416666666667e-06,0.004344950006479242,0.005618976396839979,1.1786668895049213
a16,1,0.112,2.374783447265625,0.858,0.4891810913085938,0.8703,0.43481085052490237,10378,1536000,1196.5856219828129,7.8125e-06,0.0041914033180413144,0.005428534331775799,1.1807838810834257
a16,2,0.069,2.599361083984375,0.859,0.48069964599609377,0.8762,0.42479899291992185,10390,1536000,1197.7954646013677,6.510416666666667e-06,0.004115648001374211,0.005371692739022839,1.1810829542742325
a4,1,0.11,2.41064501953125,0.659,1.03219677734375,0.6651,0.9834183471679687,10653,1536000,1926.763040356338,1.3020833333333333e-06,0.025780352649201328,0.03264137956325415,1.1611452740661776
a8,1,0.112,2.37486767578125,0.856,0.49392739868164065,0.8691,0.44391814422607423,10393,1536000,1933.6952884756029,1.3020833333333333e-06,0.004537699362321291,0.005827101304235295,1.1721617845675671
a8,2,0.074,2.599860107421875,0.853,0.4864726257324219,0.871,0.4315146713256836,10514,1536000,1937.4713154919446,5.208333333333333e-06,0.004609792194891877,0.005945393734961265,1.1748608612267852
a4,2,0.086,2.631957275390625,0.667,1.0145553588867187,0.6882,0.9799700439453125,10592,1536000,1952.3664087057114,2.6041666666666666e-06,0.02615793949427704,0.032951449581367816,1.1595769756864875
a4,0,0.085,2.61305224609375,0.648,1.089105224609375,0.6618,1.0350384155273438,10758,1536000,1991.7443975359201,0.0,0.026951831002176428,0.0340065297481017,1.159833391784325
a8,0,0.103,2.578001953125,0.847,0.48606649780273437,0.8708,0.4331163101196289,10475,1536000,2002.1483080983162,3.90625e-06,0.004801052682955439,0.006156269840963386,1.173180312089649
a32,0,0.105,2.578424072265625,0.856,0.4737726745605469,0.8777,0.4203759796142578,10442,1536000,1480.5360028482974,5.208333333333333e-06,0.004243405003566295,0.005476674742664893,1.1795894522528558
a32,1,0.112,2.37475927734375,0.859,0.48450439453125,0.8683,0.43770914459228516,10373,1536000,1485.6312338113785,5.208333333333333e-06,0.004061611600705267,0.005253885353473147,1.1785652210199609
a32,2,0.068,2.599349365234375,0.859,0.47719158935546874,0.8734,0.4347421936035156,10398,1536000,1747.6424502581358,2.6041666666666666e-06,0.004223462612989048,0.005506769527756953,1.1818319126596253
