step,elapsed_seconds,engine_seconds,first_matrix,guard_fallbacks,abs_y_mean,val_loss,val_accuracy,fires,clip_rate,zero_difference_count,zero_difference_fraction,saturation_rate,nonzero_vote_rate,scale,counter_peak_abs,counter_count,counter_min,counter_max,counter_mean,counter_abs_max,counter_abs_mean,counter_saturated_count,counter_saturated_fraction,counter_capacity,counter_all_mean,counter_all_abs_mean,counter_histogram
1,0.3748290687799454,0.37426020205020905,0,128,0.003108251839876175,,,0,0.0,0,0.0,0.0,0.154296875,0.02,6,21,-5,6,0.6666666865348816,6,2.3809523582458496,0,0.0,127,6.998880417086184e-05,0.0002499599941074848,"{""-2"": 3, ""-3"": 1, ""-4"": 1, ""-5"": 1, ""0"": 4, ""1"": 1, ""2"": 4, ""3"": 3, ""4"": 2, ""6"": 1}"
2,0.735624298453331,0.7345937713980675,1,128,0.004188653081655502,,,0,0.0,0,0.0,0.0,0.2001953125,0.018266647338867188,10,24,-8,10,0.5416666865348816,10,3.125,0,0.0,127,6.498960283352062e-05,0.0003749400202650577,"{""-1"": 4, ""-3"": 3, ""-4"": 1, ""-6"": 1, ""-8"": 1, ""0"": 1, ""1"": 4, ""10"": 1, ""2"": 2, ""3"": 2, ""4"": 1, ""5"": 2, ""6"": 1}"
3,1.089217022061348,1.0876644141972065,1,128,0.012626245617866516,,,1,0.140625,0,0.0,0.0,0.7431640625,0.016835566711425783,49,19,-49,16,-3.8421051502227783,49,9.421052932739258,0,0.0,127,-0.00036494160303846,0.0008948568138293922,"{""-16"": 2, ""-2"": 1, ""-49"": 1, ""-6"": 3, ""-7"": 1, ""-9"": 2, ""0"": 1, ""16"": 1, ""3"": 1, ""4"": 3, ""5"": 1, ""8"": 1, ""9"": 1}"
4,1.4233961813151836,1.4213238842785358,0,128,0.005659658461809158,,,1,0.0,0,0.0,0.0,0.353515625,0.016445049362182617,21,21,-17,21,-0.5714285969734192,21,5.333333492279053,0,0.0,127,-5.99904014961794e-05,0.0005599104333668947,"{""-1"": 3, ""-17"": 1, ""-2"": 2, ""-3"": 1, ""-4"": 1, ""-7"": 2, ""-8"": 1, ""-9"": 1, ""1"": 2, ""2"": 1, ""21"": 1, ""3"": 1, ""4"": 2, ""6"": 1, ""8"": 1}"
5,1.7603009156882763,1.7577159777283669,0,128,0.003595896065235138,,,1,0.0,0,0.0,0.0,0.2294921875,0.015354200050354004,10,19,-10,5,-2.1578948497772217,10,4.157894611358643,0,0.0,127,-0.0002049672038992867,0.0003949367965105921,"{""-1"": 1, ""-10"": 1, ""-2"": 2, ""-5"": 2, ""-6"": 1, ""-7"": 3, ""-8"": 1, ""0"": 2, ""2"": 2, ""3"": 2, ""4"": 1, ""5"": 1}"
6,2.1177545823156834,2.1146475821733475,0,128,0.006361473351716995,,,1,0.0625,0,0.0,0.0,0.4482421875,0.01410354719619751,22,23,-13,22,-0.21739129722118378,22,5.08695650100708,0,0.0,127,-2.4996001229737885e-05,0.0005849064327776432,"{""-1"": 1, ""-13"": 1, ""-2"": 1, ""-3"": 3, ""-4"": 2, ""-6"": 2, ""-7"": 1, ""-9"": 1, ""0"": 2, ""1"": 1, ""2"": 1, ""22"": 1, ""3"": 1, ""4"": 1, ""5"": 2, ""7"": 2}"
7,2.4493229798972607,2.44568770006299,0,128,0.007562953978776932,,,1,0.09375,0,0.0,0.0,0.55078125,0.013269712442703249,18,19,-18,13,-0.21052631735801697,18,7.473684310913086,0,0.0,127,-1.9996799892396666e-05,0.0007098864298313856,"{""-10"": 1, ""-12"": 1, ""-13"": 1, ""-18"": 1, ""-4"": 2, ""-5"": 1, ""-7"": 1, ""0"": 1, ""1"": 1, ""10"": 1, ""12"": 1, ""13"": 1, ""2"": 1, ""3"": 1, ""4"": 1, ""7"": 1, ""8"": 1, ""9"": 1}"
8,2.7541307993233204,2.7499578036367893,2,128,0.005014743655920029,,,1,0.03125,0,0.0,0.0,0.392578125,0.012633964342964174,18,22,-18,13,0.27272728085517883,18,5.363636493682861,0,0.0,127,2.99952007480897e-05,0.0005899055977351964,"{""-1"": 2, ""-13"": 1, ""-18"": 1, ""-2"": 2, ""-4"": 1, ""-6"": 1, ""-9"": 1, ""1"": 4, ""13"": 1, ""3"": 1, ""5"": 3, ""6"": 2, ""7"": 1, ""8"": 1}"
9,3.108400583267212,3.1037068367004395,1,128,0.004031691700220108,,,1,0.03125,0,0.0,0.0,0.3505859375,0.011848787894629672,22,22,-22,9,-0.9545454382896423,22,4.409090995788574,0,0.0,127,-0.00010498320625629276,0.0004849224060308188,"{""-1"": 1, ""-2"": 1, ""-22"": 1, ""-4"": 1, ""-5"": 3, ""-7"": 1, ""-8"": 1, ""0"": 2, ""1"": 1, ""2"": 3, ""3"": 4, ""5"": 2, ""9"": 1}"
10,3.4591547325253487,3.4540285170078278,0,128,0.0074288249015808105,,,0,0.1875,0,0.0,0.0,0.6064453125,0.01100973525415352,35,20,-10,35,3.8499999046325684,35,5.849999904632568,0,0.0,127,0.0003849384083878249,0.0005849064327776432,"{""-1"": 1, ""-10"": 1, ""-2"": 2, ""-5"": 1, ""1"": 5, ""10"": 1, ""13"": 1, ""2"": 2, ""35"": 1, ""4"": 1, ""5"": 1, ""6"": 1, ""7"": 1, ""8"": 1}"
