seed,layer,matrix,fires,selected_intervals,fire_intervals,selected_coordinates,all_interval_rate,selected_interval_rate
0,0,W_in,688,8135,688,13008,0.05733333333333333,0.08457283343577136
0,1,block0.W1,644,7380,644,11135,0.05366666666666667,0.08726287262872628
0,2,block0.W2,649,7436,649,11240,0.05408333333333333,0.08727810650887574
0,3,block1.W1,557,7352,557,11076,0.04641666666666667,0.07576169749727965
0,4,block1.W2,579,7350,579,11059,0.04825,0.07877551020408163
0,5,block2.W1,588,7321,588,10981,0.049,0.0803168965988253
0,6,block2.W2,627,7356,627,10950,0.05225,0.08523654159869494
0,7,block3.W1,597,7341,597,11097,0.04975,0.0813240702901512
0,8,block3.W2,622,7370,622,11130,0.051833333333333335,0.08439620081411126
0,9,block4.W1,597,7294,597,11013,0.04975,0.081848094324102
0,10,block4.W2,630,7384,630,11115,0.0525,0.0853196099674973
0,11,block5.W1,612,7398,612,11143,0.051,0.0827250608272506
0,12,block5.W2,615,7389,615,11154,0.05125,0.0832318311002842
0,13,block6.W1,571,7424,571,11155,0.04758333333333333,0.07691271551724138
0,14,block6.W2,592,7285,592,11017,0.04933333333333333,0.08126286890871653
0,15,block7.W1,590,7338,590,11071,0.049166666666666664,0.08040337966748433
0,16,block7.W2,584,7394,584,11175,0.048666666666666664,0.0789829591560725
0,17,W_out,132,1402,132,1481,0.011,0.09415121255349501
1,0,W_in,727,8106,727,12968,0.060583333333333336,0.08968665186281767
1,1,block0.W1,650,7376,650,11139,0.05416666666666667,0.0881236442516269
1,2,block0.W2,574,7339,574,11012,0.04783333333333333,0.0782122905027933
1,3,block1.W1,578,7308,578,11003,0.04816666666666667,0.07909140667761358
1,4,block1.W2,609,7438,609,11113,0.05075,0.08187684861521914
1,5,block2.W1,638,7351,638,11221,0.05316666666666667,0.08679091280097946
1,6,block2.W2,607,7307,607,10999,0.050583333333333334,0.0830710277815793
1,7,block3.W1,586,7366,586,11021,0.04883333333333333,0.0795547108335596
1,8,block3.W2,589,7335,589,10952,0.04908333333333333,0.08029993183367416
1,9,block4.W1,602,7436,602,11074,0.050166666666666665,0.08095750403442711
1,10,block4.W2,600,7397,600,11021,0.05,0.081113965120995
1,11,block5.W1,594,7386,594,11055,0.0495,0.08042242079610074
1,12,block5.W2,610,7481,610,11193,0.050833333333333335,0.08153990108274295
1,13,block6.W1,593,7364,593,11062,0.049416666666666664,0.0805268875611081
1,14,block6.W2,623,7423,623,11310,0.051916666666666667,0.08392833086353227
1,15,block7.W1,633,7373,633,11125,0.05275,0.0858537908585379
1,16,block7.W2,635,7492,635,11243,0.05291666666666667,0.08475707421249333
1,17,W_out,128,1410,128,1489,0.010666666666666666,0.09078014184397164
2,0,W_in,702,8012,702,12791,0.0585,0.08761857214178732
2,1,block0.W1,618,7392,618,11194,0.0515,0.0836038961038961
2,2,block0.W2,591,7419,591,11274,0.04925,0.07966033158107562
2,3,block1.W1,616,7373,616,11074,0.051333333333333335,0.0835480808354808
2,4,block1.W2,605,7299,605,11037,0.050416666666666665,0.08288806685847376
2,5,block2.W1,596,7339,596,11052,0.049666666666666665,0.0812099741109143
2,6,block2.W2,626,7408,626,11294,0.05216666666666667,0.08450323974082073
2,7,block3.W1,615,7477,615,11384,0.05125,0.08225224020329008
2,8,block3.W2,570,7312,570,10949,0.0475,0.07795404814004377
2,9,block4.W1,603,7281,603,10906,0.05025,0.08281829419035847
2,10,block4.W2,650,7429,650,11181,0.05416666666666667,0.08749495221429533
2,11,block5.W1,602,7366,602,11044,0.050166666666666665,0.08172685310887863
2,12,block5.W2,581,7291,581,10935,0.04841666666666666,0.07968728569469209
2,13,block6.W1,682,7435,682,11137,0.05683333333333333,0.09172831203765971
2,14,block6.W2,605,7435,605,11177,0.050416666666666665,0.08137188971082716
2,15,block7.W1,614,7355,614,11067,0.051166666666666666,0.08348062542488104
2,16,block7.W2,604,7350,604,11057,0.050333333333333334,0.08217687074829932
2,17,W_out,122,1367,122,1447,0.010166666666666666,0.08924652523774688
