step,elapsed_seconds,engine_seconds,train_candidate_forward_equivalents,abs_y_mean,val_loss,val_accuracy,gpu_workflow_milliseconds,schedule_seconds,fires,clip_rate,zero_difference_count,zero_difference_fraction,saturation_rate,nonzero_vote_rate,scale,counter_peak_abs,counter_count,counter_min,counter_max,counter_mean,counter_abs_max,counter_abs_mean,counter_saturated_count,counter_saturated_fraction,counter_capacity,counter_all_mean,counter_all_abs_mean
1,0.18550793454051018,0.018992237746715546,128,0.011516481637954712,,,1.2939200401306152,0.004831381142139435,1,0.171875,0,0.0,0.0,0.5419921875,0.02,35,20,-35,15,-1.350000023841858,35,7.849999904632568,0,0.0,127,-0.00013497839972842485,0.0007848744280636311
2,0.370078906416893,0.03628835827112198,256,0.006511945277452469,,,1.1418880224227905,0.003456398844718933,1,0.03125,0,0.0,0.0,0.3466796875,0.019122331619262696,12,19,-12,10,-0.05263157933950424,12,4.8947367668151855,0,0.0,127,-4.9991999730991665e-06,0.00046492560068145394
3,0.5520497225224972,0.05217047035694122,384,0.008265841752290726,,,1.1421120166778564,0.0033490583300590515,1,0.078125,0,0.0,0.0,0.427734375,0.01767305965423584,22,21,-22,22,1.047619104385376,22,5.904761791229248,0,0.0,127,0.00010998240031767637,0.0006199008203111589
4,0.735768873244524,0.06859688088297844,512,0.007018044590950012,,,1.1420799493789673,0.003425970673561096,1,0.046875,0,0.0,0.0,0.4443359375,0.016624681072235106,19,22,-19,13,-1.3181818723678589,19,5.5,0,0.0,127,-0.00014497680240310729,0.0006049032090231776
5,0.9185806475579739,0.08441531285643578,640,0.003575105220079422,,,1.1396160125732422,0.0033259280025959015,1,0.0,0,0.0,0.0,0.2158203125,0.015530221387863159,9,23,-9,8,0.1304347813129425,9,3.17391300201416,0,0.0,127,1.499760037404485e-05,0.00036494160303846
6,1.102378185838461,0.1010606586933136,768,0.006187234073877335,,,1.1446399688720703,0.0034191645681858063,1,0.046875,0,0.0,0.0,0.4287109375,0.014280801467704773,15,24,-14,13,-1.7083333730697632,14,6.125,0,0.0,127,-0.0002049672038992867,0.0007348824292421341
7,1.2853984758257866,0.116934385150671,896,0.008377965539693832,,,1.1445120573043823,0.003348112106323242,1,0.265625,0,0.0,0.0,0.55859375,0.01341481696302414,30,20,-9,30,2.9000000953674316,30,6.099999904632568,0,0.0,127,0.00028995360480621457,0.0006099024321883917
8,1.4696172662079334,0.13384439051151276,1024,0.0041352324187755585,,,1.148800015449524,0.003469400107860565,1,0.0,0,0.0,0.0,0.3115234375,0.012806567764890671,18,20,-18,7,-1.75,18,4.550000190734863,0,0.0,127,-0.0001749720104271546,0.00045492721255868673
9,1.6531460173428059,0.14963608980178833,1152,0.008511006832122803,,,1.1425280570983887,0.0033193491399288177,1,0.265625,0,0.0,0.0,0.6484375,0.011909097328733634,22,23,-21,13,-0.695652186870575,21,6.5217390060424805,0,0.0,127,-7.998719956958666e-05,0.0007498800405301154
10,1.8390107937157154,0.1664249673485756,1280,0.00638948380947113,,,1.1414079666137695,0.0034556910395622253,1,0.125,0,0.0,0.0,0.537109375,0.011662968899266032,27,20,-10,27,4.5,27,7.699999809265137,0,0.0,127,0.00044992801849730313,0.0007698768167756498
11,2.0234916545450687,0.18218637257814407,1408,0.00790724903345108,,,1.1367679834365845,0.003375489264726639,1,0.296875,0,0.0,0.0,0.5908203125,0.01109171709906111,27,22,-27,10,0.13636364042758942,27,4.590909004211426,0,0.0,127,1.499760037404485e-05,0.0005049192113801837
12,2.20724480971694,0.1988082118332386,1536,0.006707917898893356,,,1.139359951019287,0.0034838728606700897,1,0.25,0,0.0,0.0,0.529296875,0.010585958971003144,30,23,-9,30,1.91304349899292,30,6.26086950302124,0,0.0,127,0.00021996480063535273,0.0007198848179541528
13,2.39108582213521,0.21458005532622337,1664,0.006258498877286911,,,1.1386239528656006,0.0033854134380817413,1,0.109375,0,0.0,0.0,0.57421875,0.01005400587328027,25,22,-20,25,-0.7272727489471436,25,6.818181991577148,0,0.0,127,-7.998719956958666e-05,0.0007498800405301154
14,2.5747305005788803,0.23107733204960823,1792,0.009495127946138382,,,1.1396160125732422,0.0034442581236362457,1,0.421875,0,0.0,0.0,0.7353515625,0.009657979332277928,35,24,-13,35,-2.125,35,7.708333492279053,0,0.0,127,-0.0002549592172726989,0.0009248520364053547
15,2.7600374557077885,0.2469675987958908,1920,0.007662799209356308,,,1.1391680240631104,0.0034498386085033417,1,0.453125,0,0.0,0.0,0.69140625,0.009548199465456386,24,21,-22,22,-0.9523809552192688,22,7.047618865966797,0,0.0,127,-9.998400491895154e-05,0.0007398815941996872
16,2.9442367255687714,0.2634272836148739,2048,0.005063969641923904,,,1.139456033706665,0.0034761205315589905,1,0.109375,0,0.0,0.0,0.5087890625,0.009428774378224713,19,19,-8,16,2.8947367668151855,16,5.842105388641357,0,0.0,127,0.0002749559935182333,0.0005549112102016807
17,3.129028894007206,0.2790961302816868,2176,0.003822382539510727,,,1.1400320529937744,0.0033330880105495453,1,0.046875,0,0.0,0.0,0.40234375,0.008900101537875387,18,20,-17,18,-1.7999999523162842,18,5.800000190734863,0,0.0,127,-0.0001799712044885382,0.0005799072096124291
18,3.313543278723955,0.2958255149424076,2304,0.01048361137509346,,,1.139583945274353,0.003467574715614319,1,0.515625,0,0.0,0.0,0.734375,0.008325519164239216,18,20,-17,17,0.4000000059604645,17,7.5,0,0.0,127,3.999359978479333e-05,0.0007498800405301154
19,3.497830081731081,0.3115217536687851,2432,0.005725935101509094,,,1.1392320394515991,0.003348611295223236,1,0.25,0,0.0,0.0,0.5693359375,0.008346481919140978,20,22,-15,19,-1.8636363744735718,19,5.954545497894287,0,0.0,127,-0.0002049672038992867,0.0006548952078446746
