seed,block_size,threshold,initial_val_accuracy,initial_val_loss,val_accuracy,val_loss,val_loss_drop,test_accuracy,total_fires,fire_epoch_fraction,train_forward_calls,total_forward_calls,train_forward_examples,counter_min,counter_max,counter_mean,counter_abs_max,counter_abs_mean,counter_capacity,counter_count,counter_saturated_count,counter_saturated_fraction,counter_saturation_update_count,counter_peak_abs_during_accumulation
0,1,4,0.084,2.65402685546875,0.778,1.0548057861328124,1.5992210693359377,0.8027,888,0.296,384000,384017,49152000,-64,64,-0.8964903357070193,64,18.182858596134285,127,3932,0,0.0,0,64
1,1,4,0.116,2.526526611328125,0.765,1.121389892578125,1.4051367187500001,0.7937,861,0.287,384000,384017,49152000,-64,64,-1.0251360456076704,64,18.30733350608966,127,3859,0,0.0,0,64
2,1,4,0.057,2.482106689453125,0.784,1.047385498046875,1.43472119140625,0.8103,907,0.30233333333333334,384000,384017,49152000,-64,64,-0.2512114256567202,64,18.1752104055088,127,3921,0,0.0,0,64
0,1,8,0.084,2.65402685546875,0.777,1.0682486572265626,1.5857781982421875,0.7983,666,0.222,384000,384017,49152000,-64,64,-0.8518060366155369,64,17.95571499257793,127,4042,0,0.0,0,64
1,1,8,0.116,2.526526611328125,0.753,1.14075927734375,1.385767333984375,0.7681,632,0.21066666666666667,384000,384017,49152000,-64,64,-1.0247349823321554,64,17.904088844018172,127,3962,0,0.0,0,64
2,1,8,0.057,2.482106689453125,0.786,1.0650384521484375,1.4170682373046877,0.8136,696,0.232,384000,384017,49152000,-64,64,-0.34701492537313433,64,17.830597014925374,127,4020,0,0.0,0,64
0,1,16,0.084,2.65402685546875,0.756,1.126083251953125,1.527943603515625,0.7926,453,0.151,384000,384017,49152000,-64,64,-0.9232073643410853,64,18.229893410852714,127,4128,0,0.0,0,64
1,1,16,0.116,2.526526611328125,0.729,1.2030157470703124,1.3235108642578126,0.7548,428,0.14266666666666666,384000,384017,49152000,-64,64,-0.8102640019738465,64,18.452010856155933,127,4053,0,0.0,0,64
2,1,16,0.057,2.482106689453125,0.768,1.1523082275390626,1.3297984619140626,0.7839,424,0.14133333333333334,384000,384017,49152000,-64,64,-0.3830615721586761,64,17.907033341445608,127,4109,0,0.0,0,64
0,1,32,0.084,2.65402685546875,0.665,1.4553348388671874,1.1986920166015627,0.6841,230,0.07666666666666666,384000,384017,49152000,-64,64,-0.9389693659463311,64,19.48895749228212,127,4211,0,0.0,0,64
1,1,32,0.116,2.526526611328125,0.617,1.540714111328125,0.9858125,0.629,195,0.065,384000,384017,49152000,-64,64,-0.8419144307469181,64,19.2929659173314,127,4137,0,0.0,0,64
2,1,32,0.057,2.482106689453125,0.64,1.5029075927734374,0.9791990966796877,0.6596,211,0.07033333333333333,384000,384017,49152000,-64,64,-0.36704030527068926,64,19.11924636298593,127,4193,0,0.0,0,64
0,8,4,0.084,2.65402685546875,0.795,1.0085593872070313,1.6454674682617187,0.8223,2589,0.863,384000,384017,49152000,-62,57,0.058881222943722944,62,8.594324945887445,127,29568,0,0.0,0,62
1,8,4,0.116,2.526526611328125,0.794,0.9981437377929687,1.5283828735351563,0.8181,2593,0.8643333333333333,384000,384017,49152000,-60,63,-0.010038871049518337,63,8.541524421159371,127,29585,0,0.0,0,63
2,8,4,0.057,2.482106689453125,0.784,1.0159744262695312,1.466132263183594,0.8098,2638,0.8793333333333333,384000,384017,49152000,-63,58,0.11990927248722029,63,8.628998950539964,127,29539,0,0.0,0,63
0,8,8,0.084,2.65402685546875,0.791,1.0138088989257812,1.6402179565429689,0.8225,1553,0.5176666666666667,384000,384017,49152000,-61,56,0.08000126334407176,61,8.142599962099679,127,31662,0,0.0,0,61
1,8,8,0.116,2.526526611328125,0.8,1.0087260131835938,1.5178005981445313,0.8226,1596,0.532,384000,384017,49152000,-63,62,-0.018577612081766767,63,8.120312154434298,127,31651,0,0.0,0,63
