steps,seed,block_size,threshold,num_params,initial_val_accuracy,initial_val_loss,val_accuracy,val_loss,val_loss_drop,test_accuracy,total_fires,fire_epoch_fraction,train_forward_calls,total_forward_calls,train_forward_examples,counter_min,counter_max,counter_mean,counter_abs_max,counter_abs_mean,counter_capacity,counter_count,counter_saturated_count,counter_saturated_fraction,counter_saturation_update_count,counter_peak_abs_during_accumulation,layer_0_fires,layer_1_fires
3000,0,64,8,100000,0.113,2.4033251953125,0.762,1.198103515625,1.2052216796875002,0.7754,2998,0.9993333333333333,384000,384017,49152000,-59,51,-0.01211003414040733,59,5.274104304830671,127,254830,0,0.0,0,59,2282,716
3000,1,64,8,100000,0.129,2.439138427734375,0.78,1.221509521484375,1.2176289062499999,0.77,2998,0.9993333333333333,384000,384017,49152000,-51,51,-0.03984605556578891,51,5.290260506276528,127,255157,0,0.0,0,51,2275,723
3000,2,64,8,100000,0.061,2.441544921875,0.768,1.204582275390625,1.2369626464843748,0.7842,2997,0.999,384000,384017,49152000,-55,52,0.007280619814275509,55,5.29593855235374,127,254786,0,0.0,0,55,2282,715
3000,0,128,8,100000,0.113,2.4033251953125,0.726,1.40309375,1.0002314453125,0.728,3000,1.0,384000,384017,49152000,-63,44,-0.00962703119346872,63,5.008812980761668,127,508568,0,0.0,0,63,2374,626
3000,1,128,8,100000,0.129,2.439138427734375,0.7,1.3943446044921874,1.0447938232421874,0.6983,2999,0.9996666666666667,384000,384017,49152000,-45,42,-0.0043520993866960215,45,5.023855952193741,127,508720,0,0.0,0,45,2369,630
3000,2,128,8,100000,0.061,2.441544921875,0.712,1.40293994140625,1.0386049804687498,0.7363,2999,0.9996666666666667,384000,384017,49152000,-45,41,0.007948106202905848,45,5.023799080686751,127,508423,0,0.0,0,45,2385,614
3000,0,256,8,100000,0.113,2.4033251953125,0.654,1.549653076171875,0.8536721191406251,0.6561,3000,1.0,384000,384017,49152000,-45,39,-0.01620521084405587,45,4.856717055954864,127,1015229,0,0.0,0,45,2509,491
3000,1,256,8,100000,0.129,2.439138427734375,0.614,1.6206895751953125,0.8184488525390623,0.6094,3000,1.0,384000,384017,49152000,-37,39,-0.0012090625584117896,39,4.874990408169288,127,1016490,0,0.0,0,39,2519,481
3000,2,256,8,100000,0.061,2.441544921875,0.65,1.6279071044921876,0.8136378173828123,0.6694,3000,1.0,384000,384017,49152000,-42,42,0.005449183606776832,42,4.8654949347003535,127,1015932,0,0.0,0,42,2504,496
6000,0,64,8,100000,0.113,2.4033251953125,0.827,0.839900634765625,1.563424560546875,0.8399,5998,0.9996666666666667,768000,768023,98304000,-59,51,-0.018517457991615107,59,5.2158151769298975,127,506387,0,0.0,0,59,4799,1199
6000,1,64,8,100000,0.129,2.439138427734375,0.838,0.8475267944335938,1.591611633300781,0.844,5998,0.9996666666666667,768000,768023,98304000,-51,51,-0.04394891010728246,51,5.237615752388056,127,506793,0,0.0,0,51,4829,1169
6000,2,64,8,100000,0.061,2.441544921875,0.829,0.8448658447265625,1.5966790771484374,0.8483,5996,0.9993333333333333,768000,768023,98304000,-55,52,-0.023558192014480325,55,5.235431742104785,127,506066,0,0.0,0,55,4823,1173
6000,0,128,8,100000,0.113,2.4033251953125,0.788,1.044907470703125,1.3584177246093752,0.8035,6000,1.0,768000,768023,98304000,-63,44,-0.014920486575133713,63,5.010002549747357,127,1007943,0,0.0,0,63,4952,1048
6000,1,128,8,100000,0.129,2.439138427734375,0.814,1.0220161743164062,1.4171222534179686,0.8161,5999,0.9998333333333334,768000,768023,98304000,-45,43,-0.0022245078338347145,45,5.0227870853695755,127,1009212,0,0.0,0,45,4906,1093
