step,elapsed_seconds,val_loss,val_accuracy,fires,total_fires,scale,clip_rate,saturation_rate,nonzero_vote_rate,action_accuracy,local_regret,oracle_gain,fire_delta_loss,train_forward_calls,train_forward_examples,total_forward_calls,total_forward_examples
0,,2.65402685546875,0.084,,0,,,,,,,,,0,0,1,1000
1,0.013409302999207284,,,0,0,0.02,0.0,0.0,0.4375,,,,,32,4096,33,5096
2,0.022052649001125246,,,0,0,0.018732493400573733,0.0,0.0,0.1875,,,,,64,8192,65,9192
3,0.030574659998819698,,,0,0,0.017207549762725833,0.0,0.0,0.0625,,,,,96,12288,97,13288
4,0.03903838300175266,,,1,1,0.01568031914710999,0.0,0.0,0.5625,,,,,128,16384,129,17384
5,0.04746670099848416,,,0,1,0.014716487595558169,0.0,0.0,0.4375,,,,,160,20480,161,21480
6,0.055859722997411154,,,0,1,0.013686294677066805,0.0,0.0,0.0625,,,,,192,24576,193,25576
7,0.0642499300010968,,,1,2,0.012441809763498308,0.5,0.0,1.0,,,,,224,28672,225,29672
8,0.07268497000040952,,,0,2,0.01247986774741459,0.0,0.0,0.3125,,,,,256,32768,257,33768
9,0.0810921380034415,,,0,2,0.011640172789384558,0.0,0.0,0.0625,,,,,288,36864,289,37864
10,0.08945943199796602,,,0,2,0.010605306854745419,0.0,0.0,0.0,,,,,320,40960,321,41960
11,0.09781956300139427,,,0,2,0.0096809847035116,0.125,0.0,0.4375,,,,,352,45056,353,46056
12,0.1061195630027214,,,1,3,0.009033535380194132,0.0,0.0,0.25,,,,,384,49152,385,50152
13,0.11439847300061956,,,0,3,0.008344329409923742,0.0,0.0,0.0,,,,,416,53248,417,54248
14,0.12262011800339678,,,0,3,0.007619807433897188,0.0,0.0,0.25,,,,,448,57344,449,58344
15,0.13086831100372365,,,1,4,0.007109334449601708,0.8125,0.0,0.9375,,,,,480,61440,481,62440
16,0.13910517399926903,,,1,5,0.007725105029910093,0.125,0.0,0.3125,,,,,512,65536,513,66536
17,0.1473215279984288,,,1,6,0.007415508040102678,0.25,0.0,0.625,,,,,544,69632,545,70632
18,0.15554573699773755,,,1,7,0.007275701887886844,0.5,0.0,0.9375,,,,,576,73728,577,74728
19,0.16377842200017767,,,1,8,0.007285155052674819,0.8125,0.0,0.9375,,,,,608,77824,609,78824
20,0.1720047449998674,,,0,8,0.0076648091030714,0.0,0.0,0.125,,,,,640,81920,641,82920
21,0.1803479439986404,,,1,9,0.006987806685501077,0.0,0.0,0.3125,,,,,672,86016,673,87016
22,0.18855967999843415,,,0,9,0.006422921890974407,0.0,0.0,0.375,,,,,704,90112,705,91112
23,0.1968091460003052,,,0,9,0.005927376337313978,0.0,0.0,0.125,,,,,736,94208,737,95208
24,0.20501863800018327,,,1,10,0.005372976411102111,0.875,0.0,1.0,,,,,768,98304,769,99304
25,0.21326882499852218,,,0,10,0.00572662515823653,0.0,0.0,0.5,,,,,800,102400,801,103400
26,0.22149226300098235,,,0,10,0.005385300189715123,0.0,0.0,0.3125,,,,,832,106496,833,107496
27,0.2297597520009731,,,1,11,0.004989034536893513,1.0,0.0,1.0,,,,,864,110592,865,111592
28,0.23798194700066233,,,0,11,0.005633658114148986,0.0,0.0,0.0625,,,,,896,114688,897,115688
29,0.2462075889998232,,,0,11,0.005181562253600787,0.0,0.0,0.4375,,,,,928,118784,929,119784
30,0.2544269490026636,,,0,11,0.004800425185650377,0.0,0.0,0.125,,,,,960,122880,961,123880
31,0.26263521800137823,,,0,11,0.004397892547151257,1.0,0.0,1.0,,,,,992,126976,993,127976
32,0.27086078000138514,,,1,12,0.005129263036698827,0.375,0.0,0.625,,,,,1024,131072,1025,132072
33,0.27912491300230613,,,0,12,0.004992990404293593,0.0,0.0,0.1875,,,,,1056,135168,1057,136168
34,0.2873252580029657,,,0,12,0.004689266124301245,0.0,0.0,0.1875,,,,,1088,139264,1089,140264
35,0.29558332900342066,,,1,13,0.004336139415740749,0.9375,0.0,0.9375,,,,,1120,143360,1121,144360
36,0.3038133489972097,,,1,14,0.005158848334884448,0.0,0.0,0.25,,,,,1152,147456,1153,148456
37,0.3120444910018705,,,0,14,0.004798579307975594,0.0,0.0,0.3125,,,,,1184,151552,1185,152552
38,0.32026942200172925,,,0,14,0.004440672480388484,0.0,0.0,0.1875,,,,,1216,155648,1217,156648
39,0.3285027270030696,,,0,14,0.004142016723743679,0.0,0.0,0.3125,,,,,1248,159744,1249,160744
40,0.3367262550018495,,,0,14,0.003838131327919604,0.0,0.0,0.3125,,,,,1280,163840,1281,164840
41,0.34498632999748224,,,1,15,0.0035098458822003975,1.0,0.0,1.0,,,,,1312,167936,1313,168936
42,0.35320874599710805,,,0,15,0.0038564740564315295,0.0625,0.0,0.125,,,,,1344,172032,1345,173032
43,0.3614757039977121,,,1,16,0.003528762365510056,0.0,0.0,0.4375,,,,,1376,176128,1377,177128
44,0.3697002539993264,,,0,16,0.003290541623648992,0.625,0.0,0.875,,,,,1408,180224,1409,181224
45,0.37796929600153817,,,1,17,0.0033923813592943467,0.875,0.0,0.9375,,,,,1440,184320,1441,185320
46,0.38618860600399785,,,0,17,0.0036055590711432323,0.0,0.0,0.1875,,,,,1472,188416,1473,189416
47,0.3944413680001162,,,0,17,0.0033084701897857453,0.25,0.0,0.625,,,,,1504,192512,1505,193512
48,0.4026653070031898,,,0,17,0.003245462602569866,0.125,0.0,0.4375,,,,,1536,196608,1537,197608
49,0.41091672600305174,,,0,17,0.003027513289029188,0.0,0.0,0.5,,,,,1568,200704,1569,201704
50,0.41919345300266286,,,1,18,0.002834577557660449,0.3125,0.0,0.6875,,,,,1600,204800,1601,205800
51,0.42748321300314274,,,1,19,0.0028238229726707713,0.125,0.0,0.4375,,,,,1632,208896,1633,209896
52,0.4357035549983266,,,1,20,0.0027218758560677565,0.8125,0.0,0.875,,,,,1664,212992,1665,213992
53,0.4439450659992872,,,1,21,0.0028124421385640084,0.375,0.0,0.8125,,,,,1696,217088,1697,218088
54,0.45219451199955074,,,1,22,0.0027345928145391506,0.75,0.0,0.9375,,,,,1728,221184,1729,222184
55,0.4604204839997692,,,0,22,0.002887735896671661,0.0625,0.0,0.3125,,,,,1760,225280,1761,226280
56,0.46864048600400565,,,0,22,0.0026950211525245144,0.0625,0.0,0.375,,,,,1792,229376,1793,230376
57,0.47689082300348673,,,1,23,0.00247384648325595,0.125,0.0,0.4375,,,,,1824,233472,1825,234472
58,0.48516166800254723,,,1,24,0.002311553425811703,0.9375,0.0,1.0,,,,,1856,237568,1857,238568
59,0.49340714699792443,,,0,24,0.0028057866101470364,0.0,0.0,0.375,,,,,1888,241664,1889,242664
60,0.5016197639997699,,,0,24,0.002647016001195321,0.75,0.0,0.9375,,,,,1920,245760,1921,246760
61,0.5098666850026348,,,0,24,0.0029541613630508865,0.0,0.0,0.4375,,,,,1952,249856,1953,250856
62,0.5181160209976952,,,1,25,0.002830692705993845,0.1875,0.0,0.25,,,,,1984,253952,1985,254952
63,0.5263536549973651,,,0,25,0.0026504772104188746,0.0,0.0,0.375,,,,,2016,258048,2017,259048
64,0.534583474000101,,,0,25,0.0025261679766206396,0.4375,0.0,0.8125,,,,,2048,262144,2049,263144
65,0.5428282709981431,,,1,26,0.002517834855106037,1.0,0.0,1.0,,,,,2080,266240,2081,267240
66,0.5510413099982543,,,0,26,0.0038278599557160387,0.0,0.0,0.5,,,,,2112,270336,2113,271336
67,0.5592617419970338,,,1,27,0.0035726040581058605,0.125,0.0,0.625,,,,,2144,274432,2145,275432
68,0.5674738680027076,,,1,28,0.0033979722838870714,1.0,0.0,1.0,,,,,2176,278528,2177,279528
69,0.5756969150024815,,,0,28,0.00504715820979524,0.4375,0.0,0.6875,,,,,2208,282624,2209,283624
70,0.5839293590033776,,,0,28,0.005029388494772747,0.5625,0.0,0.8125,,,,,2240,286720,2241,287720
71,0.5921624650000012,,,0,28,0.0050571932442334605,0.0,0.0,0.25,,,,,2272,290816,2273,291816
72,0.6003918440037523,,,1,29,0.004643598858774959,0.9375,0.0,0.9375,,,,,2304,294912,2305,295912
73,0.6086335750005674,,,0,29,0.005514692960019045,0.625,0.0,0.9375,,,,,2336,299008,2337,300008
74,0.6168569330038736,,,1,30,0.005577056137772023,0.25,0.0,0.8125,,,,,2368,303104,2369,304104
75,0.6250750300023356,,,0,30,0.005505414481209177,0.1875,0.0,0.5,,,,,2400,307200,2401,308200
76,0.6332980270017288,,,0,30,0.005304799981635622,0.0,0.0,0.5,,,,,2432,311296,2433,312296
77,0.6415412010028376,,,1,31,0.005147755003918838,0.0625,0.0,0.6875,,,,,2464,315392,2465,316392
78,0.6497762299986789,,,1,32,0.004945880046739845,0.5,0.0,1.0,,,,,2496,319488,2497,320488
79,0.6579785290014115,,,0,32,0.004951994900037052,0.3125,0.0,0.75,,,,,2528,323584,2529,324584
80,0.6662296580034308,,,0,32,0.004840387061949851,0.0,0.0,0.125,,,,,2560,327680,2561,328680
81,0.6744457410022733,,,0,32,0.004423129399761213,0.0625,0.0,0.25,,,,,2592,331776,2593,332776
82,0.6827236300014192,,,0,32,0.004113782501350033,0.0,0.0,0.125,,,,,2624,335872,2625,336872
83,0.6909500230030972,,,1,33,0.0037894270325871003,0.6875,0.0,0.75,,,,,2656,339968,2657,340968
84,0.699196503002895,,,0,33,0.004067279831037374,0.375,0.0,0.6875,,,,,2688,344064,2689,345064
85,0.7074245100011467,,,0,33,0.003963701071261274,0.1875,0.0,0.5625,,,,,2720,348160,2721,349160
86,0.7156269379993319,,,0,33,0.0038120676355829003,0.375,0.0,0.5625,,,,,2752,352256,2753,353256
87,0.7238452559977304,,,0,33,0.0036328967759552745,0.375,0.0,0.75,,,,,2784,356352,2785,357352
88,0.7320712889995775,,,1,34,0.003578740628022833,0.375,0.0,0.625,,,,,2816,360448,2817,361448
89,0.7402982429994154,,,0,34,0.003508184794895843,0.1875,0.0,0.5625,,,,,2848,364544,2849,365544
90,0.7485200570008601,,,1,35,0.0033950457969126064,1.0,0.0,1.0,,,,,2880,368640,2881,369640
91,0.7567331359969103,,,0,35,0.003987161815060701,0.1875,0.0,0.5625,,,,,2912,372736,2913,373736
92,0.7649657000001753,,,1,36,0.0038492994009496503,0.1875,0.0,0.8125,,,,,2944,376832,2945,377832
93,0.7731749309969018,,,0,36,0.003786115333352244,0.0,0.0,0.3125,,,,,2976,380928,2977,381928
94,0.7814271219976945,,,0,36,0.0035501019521776644,0.0625,0.0,0.5625,,,,,3008,385024,3009,386024
95,0.7896426250008517,,,0,36,0.0033480134335956402,0.5,0.0,0.625,,,,,3040,389120,3041,390120
96,0.797913640999468,,,1,37,0.0033582037741960373,0.25,0.0,0.625,,,,,3072,393216,3073,394216
97,0.8061578970009577,,,1,38,0.003250359242113348,0.25,0.0,0.6875,,,,,3104,397312,3105,398312
98,0.8143959619992529,,,1,39,0.0031043518289493766,0.875,0.0,0.875,,,,,3136,401408,3137,402408
99,0.8225990709979669,,,0,39,0.003976663533261471,0.0,0.0,0.5,,,,,3168,405504,3169,406504
100,0.8314952270011418,,,0,39,0.0037378793210486047,0.0,0.0,0.25,0.0,0.0006368160247802734,0.0006368160247802734,0.0,3200,409600,3205,412648
101,0.8397380399983376,,,0,39,0.003458505146267963,0.0,0.0,0.4375,,,,,3232,413696,3237,416744
102,0.8479612680021091,,,1,40,0.0032320308141973193,0.125,0.0,0.5,,,,,3264,417792,3269,420840
103,0.856184623997251,,,0,40,0.0030747193801164544,0.0,0.0,0.3125,,,,,3296,421888,3301,424936
104,0.8644053780008107,,,0,40,0.002869982007839672,0.6875,0.0,0.8125,,,,,3328,425984,3333,429032
105,0.87264964300266,,,1,41,0.002993898228137248,0.5,0.0,0.8125,,,,,3360,430080,3365,433128
106,0.8809194569985266,,,1,42,0.0030105799156384646,0.375,0.0,0.75,,,,,3392,434176,3397,437224
107,0.8891484650011989,,,1,43,0.002943720494326083,0.5,0.0,0.8125,,,,,3424,438272,3429,441320
108,0.8973822519983514,,,0,43,0.0029798442792440608,0.0,0.0,0.25,,,,,3456,442368,3461,445416
109,0.9057013869969524,,,0,43,0.0027678812746594985,0.125,0.0,0.5625,,,,,3488,446464,3493,449512
110,0.9139653899983387,,,1,44,0.0026730780486217713,0.4375,0.0,0.6875,,,,,3520,450560,3525,453608
111,0.9222076119986014,,,1,45,0.0026592091933445553,0.3125,0.0,0.6875,,,,,3552,454656,3557,457704
112,0.9304662750000716,,,1,46,0.0026109882785877365,1.0,0.0,1.0,,,,,3584,458752,3589,461800
113,0.9387017039989587,,,0,46,0.003240263634383748,0.9375,0.0,1.0,,,,,3616,462848,3621,465896
114,0.9469208950031316,,,1,47,0.0040397848249614865,0.125,0.0,0.25,,,,,3648,466944,3653,469992
115,0.9551581769992481,,,1,48,0.003786749144894537,0.625,0.0,0.9375,,,,,3680,471040,3685,474088
116,0.9633914540027035,,,0,48,0.003906035274716607,0.75,0.0,0.875,,,,,3712,475136,3717,478184
117,0.971610893997422,,,0,48,0.004153678283499829,0.0,0.0,0.4375,,,,,3744,479232,3749,482280
118,0.9799090899978182,,,1,49,0.0038395429838363696,0.9375,0.0,1.0,,,,,3776,483328,3781,486376
119,0.988116196996998,,,0,49,0.004119727479398046,0.5,0.0,0.6875,,,,,3808,487424,3813,490472
120,0.9963637190012378,,,0,49,0.004210817933362539,0.0,0.0,0.5,,,,,3840,491520,3845,494568
121,1.0045971450017532,,,0,49,0.003947426188244059,0.8125,0.0,1.0,,,,,3872,495616,3877,498664
122,1.0128275960014435,,,0,49,0.004202707983482153,0.0,0.0,0.1875,,,,,3904,499712,3909,502760
123,1.0210400029973243,,,1,50,0.0038886526621236843,0.3125,0.0,0.6875,,,,,3936,503808,3941,506856
124,1.0292776369969943,,,0,50,0.003767316883521179,0.1875,0.0,0.6875,,,,,3968,507904,3973,510952
125,1.037481838997337,,,0,50,0.0036218273750396666,0.0,0.0,0.5625,,,,,4000,512000,4005,515048
126,1.045730272999208,,,1,51,0.0033590413431631412,0.625,0.0,0.9375,,,,,4032,516096,4037,519144
127,1.053942869999446,,,1,52,0.003418101426986476,0.0,0.0,0.5625,,,,,4064,520192,4069,523240
